value,label,count
Q2864737,religious art,168
Q1047337,genre art,19
Q191163,landscape art,16
Q134307,portrait,13
Q170571,still life,7
Q2414609,religious painting,5
Q158607,marine art,3
Q2839016,allegory,3
Q21074330,church interior,3
Q557141,public art,2
Q742333,history painting,2
Q40446,nude,2
Q180268,gospel music,1
Q192110,self-portrait,1
Q214127,genre painting,1
Q282129,portrait miniature,1
Q605789,war photography,1
Q3374376,mythological painting,1
Q16675884,religious sculpture,1
Q16875712,animal art,1
Q30303254,portrait historié,1
Q8261,novel,1
