RecordNumber,CopyrightStatement,filename,iri
56279, https://commons.wikimedia.org/wiki/File:Albanipsalter_DreiKoenige.jpg,Albanipsalter_DreiKoenige.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Albanipsalter_DreiKoenige.jpg
57179, https://commons.wikimedia.org/wiki/File:BaliuagChurchjf9702_02.JPG,BaliuagChurchjf9702_02.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/BaliuagChurchjf9702_02.JPG
57248, https://commons.wikimedia.org/wiki/File:Immigrant_Family_Toronto.jpg,Immigrant_Family_Toronto.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Immigrant_Family_Toronto.jpg
57620, https://commons.wikimedia.org/wiki/File:Job_and_his_friends.jpg,Job_and_his_friends.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Job_and_his_friends.jpg
57249, https://commons.wikimedia.org/wiki/File:Rogier_van_der_Weyden_-_The_Altar_of_St._John_-_Google_Art_Project.jpg,Rogier_van_der_Weyden_-_The_Altar_of_St._John_-_Google_Art_Project.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Rogier_van_der_Weyden_-_The_Altar_of_St._John_-_Google_Art_Project.jpg
56278," https://commons.wikimedia.org/wiki/File:Star_of_Bethlehem_with_Pomegranate_Trees,_New_York,_c._1850_-_Museum_of_Fine_Arts,_Boston_-_DSC02710.JPG","Star_of_Bethlehem_with_Pomegranate_Trees,_New_York,_c._1850_-_Museum_of_Fine_Arts,_Boston_-_DSC02710.JPG","http://commons.wikimedia.org/wiki/Special:FilePath/Star_of_Bethlehem_with_Pomegranate_Trees,_New_York,_c._1850_-_Museum_of_Fine_Arts,_Boston_-_DSC02710.JPG"
57225, https://commons.wikimedia.org/wiki/File:Torah_case.jpg – Davidbena,Torah_case.jpg – Davidbena,http://commons.wikimedia.org/wiki/Special:FilePath/Torah_case.jpg – Davidbena
55813,"commons.wikimedia.org/wiki/File:Crossing_of_the_Red_Sea_by_the_Jews,_Byzantine_illuminated_manuscript.jpg","Crossing_of_the_Red_Sea_by_the_Jews,_Byzantine_illuminated_manuscript.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Crossing_of_the_Red_Sea_by_the_Jews,_Byzantine_illuminated_manuscript.jpg"
55811,commons.wikimedia.org/wiki/File:Crossing-of-the-red-sea_01.JPG,Crossing-of-the-red-sea_01.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/Crossing-of-the-red-sea_01.JPG
55814,commons.wikimedia.org/wiki/File:Paris_psaulter_gr139_fol419v.jpg,Paris_psaulter_gr139_fol419v.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Paris_psaulter_gr139_fol419v.jpg
55812,commons.wikimedia.org/wiki/File:Red_sea_passage.jpg,Red_sea_passage.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Red_sea_passage.jpg
54720,http://commons.wikimedia.org/wikgood-letteriei/File:De_barmhartige_Samaritaan_Frank_Letterie_Dorpsstraat_Putten.jpg,De_barmhartige_Samaritaan_Frank_Letterie_Dorpsstraat_Putten.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/De_barmhartige_Samaritaan_Frank_Letterie_Dorpsstraat_Putten.jpg
54282,"http://commons.wikimedia.org/wiki/File:'Joseph's_Dream',_painting_by_Gaetano_Gandolfi,_c._1790.jpg","'Joseph's_Dream',_painting_by_Gaetano_Gandolfi,_c._1790.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/'Joseph's_Dream',_painting_by_Gaetano_Gandolfi,_c._1790.jpg"
