RecordNumber,CopyrightStatement
27238,https://commons.wikimedia.org/wiki/File:Tree_of_Jesse_Louvre_OA10428.jpg
54387,"https://commons.wikimedia.org/wiki/File:Hagia_Eirene,_Topkapi_Palace.JPG"
54234,"https://commons.wikimedia.org/wiki/File:BRUEGEL_the_Elder,_Pieter_-_Massacre_of_the_Innocents_(1565-7).JPG"
56136,"https://commons.wikimedia.org/wiki/File:German_School,_16th_Century_-_Mary_Magdalene_anointing_the_feet_of_Christ.jpg"
56663,https://commons.wikimedia.org/wiki/File:The_Generous_Vegetable_Seller.JPG
56664,https://commons.wikimedia.org/wiki/File:Maerten_de_Vos_-_The_poor_widow.jpg
56869,"https://commons.wikimedia.org/wiki/File:Basilica_of_Saint_Mary_of_the_Immaculate_Conception_(Norfolk,_Virginia),_interior,_wooden_statue_of_the_risen_Christ,_from_Uganda.jpg"
55712,http://commons.wikimedia.org/wiki/File:TaullLlatzer.jpg
42443,https://commons.wikimedia.org/wiki/File:Christ_in_Majesty_with_Symbols_of_the_Four_Evangelists_from_Santa_Maria_de_Mur.jpg
54235,https://commons.wikimedia.org/wiki/File:Charles_Leplae_Twee_zwangere_vrouwen_1953.jpg
54241,https://commons.wikimedia.org/wiki/File:Hieronymus_Bosch_012FXD.jpg
58321,https://commons.wikimedia.org/wiki/File:Fra_Angelico_-_Die_Bergpredigt.jpeg
46074,https://commons.wikimedia.org/wiki/File:Antonello_da_Messina_062.jpg
58445,https://commons.wikimedia.org/wiki/File:CaravaggioSerpent.jpg
58442,https://commons.wikimedia.org/wiki/File:The_Creation_of_Light_-_John_Martin.jpg
58443,"https://commons.wikimedia.org/wiki/File:Vecchietta,_piet%C3%A0,_1445-1450_ca.,_da_s._michele_al_monte_di_s._donato_02.JPG"
56600,https://commons.wikimedia.org/wiki/File:KlosterEberbach_Hohenlied_Christus_und_Ecclesia.jpg
56601,"https://commons.wikimedia.org/wiki/File:Halonen,_Pekka_-_Children_reading_-_Google_Art_Project.jpg"
56602,https://commons.wikimedia.org/wiki/File:Quentin_Massys_001.jpg
56604,https://commons.wikimedia.org/wiki/File:Mihaly_Munkacsy_Head_of_a_Pharisee.jpg
56605,https://commons.wikimedia.org/wiki/File:Kuzma_Petrov-Vodkin_-_The_Mother_of_God_of_Tenderness_Towards_Evil_Hearts_-_Google_Art_Project.jpg
56606,"https://commons.wikimedia.org/wiki/File:Print,_Peter_and_John_Healing_the_Cripple_at_the_Gate_of_the_Temple,_1659_(CH_18384731).jpg"
57389,https://commons.wikimedia.org/wiki/File:Capela_do_Divino_Esp%C3%ADrito_Santo_em_Porto_Alegre_000.JPG
56676,https://commons.wikimedia.org/wiki/File:Snap_the_Whip_1872_Winslow_Homer.jpg
56673,https://commons.wikimedia.org/wiki/File:William_de_Brailes_-_Top_-_Hannah_Prays_in_the_Temple_(1_Samuel_1_-9-17)_-_Walters_W10617R_-_Full_Page.jpg
56662,https://commons.wikimedia.org/wiki/File:Duccio_di_Buoninsegna_037.jpg
56645,https://commons.wikimedia.org/wiki/File:Job22.jpg
58373,https://commons.wikimedia.org/wiki/File:Joachim_Beuckelaer_-_Keukensc%C3%A8ne_met_Christus_en_de_Emma%C3%BCsgangers.jpg
56683,"https://commons.wikimedia.org/wiki/File:Catacombes_chr%C3%A9tiennes,_Sousse,_23_septembre_2013,_(24).jpg"
56666,https://commons.wikimedia.org/wiki/File:Icon_second_coming.jpg
