qid,label_en,act_uuid,act,act_ref1_hash,act_ref1_retrieved_nodeId,act_ref1_retrieved_val,act_ref1_retrieved_prec
Q18748543,Vision of Cornelius the Centurion,4b044f76-4f90-af27-e889-e3943966a8a2,55473,d3e5214f59a5c284c269af012d46b4cb3aac7528,c4795c70-f3ec-4e2a-9fe0-bc908f3e8f04,2021-02-02T00:00:00Z,11
Q19858822,Mary Magdalene questions the Angels in the Tomb,7db5ca92-4c91-cb68-d7b9-302aae925882,56871,d3e5214f59a5c284c269af012d46b4cb3aac7528,2e5c7a4d-1670-4ad9-8732-ed561f791bb4,2021-02-02T00:00:00Z,11
Q20086887,The Hand of Christ,e7a26bae-4e73-a325-bced-61d23426664d,55740,d3e5214f59a5c284c269af012d46b4cb3aac7528,19aa6d2e-a79e-429e-afb5-4652539ad89c,2021-02-02T00:00:00Z,11
Q101385607,,2E6F7379-AE2E-4CC3-BCD6-549635298689,56012,d3e5214f59a5c284c269af012d46b4cb3aac7528,6f7742c8-ca13-474d-ae4e-628fab681b99,2021-02-02T00:00:00Z,11
Q102355566,,58A5CF17-4230-47CA-86AA-0ACAB0D20F0B,56783,d3e5214f59a5c284c269af012d46b4cb3aac7528,39846e2e-8cc8-48f2-a215-840d11ebab8b,2021-02-02T00:00:00Z,11
Q10289604,,82332AF7-6388-4529-8694-2AFFB83AA202,57346,d3e5214f59a5c284c269af012d46b4cb3aac7528,62e1cae9-eb6a-4d2a-8657-a155fa0a1973,2021-02-02T00:00:00Z,11
Q1077064,,A2E93899-8B2E-41C7-814B-9419EBD5059B,55368,d3e5214f59a5c284c269af012d46b4cb3aac7528,5c9647d9-a81c-4a74-9273-3a7533a6b4a7,2021-02-02T00:00:00Z,11
Q1109475,,9EA8AAF3-A39C-4E73-8503-0479CD6DBCC1,49490,d3e5214f59a5c284c269af012d46b4cb3aac7528,bb375e19-f7af-48cb-8d10-ad4c0ef49cb4,2021-02-02T00:00:00Z,11
Q1132723,,77E9E3E5-F910-4178-9F70-0D4DB08C4CB0,55362,d3e5214f59a5c284c269af012d46b4cb3aac7528,c54ce9dc-bce2-4335-9791-a396fa6b22cb,2021-02-02T00:00:00Z,11
Q11684158,,A686EF9E-2697-480B-9D0B-827091C5DBA4,58170,d3e5214f59a5c284c269af012d46b4cb3aac7528,f2ce9df0-a88c-4078-bd7e-998f98433db1,2021-02-02T00:00:00Z,11
Q11688008,,7C161FE3-8F72-493A-99B2-F1671CACE703,58367,d3e5214f59a5c284c269af012d46b4cb3aac7528,a96b8a23-3720-4b16-a3d9-c5f951011f56,2021-02-02T00:00:00Z,11
Q11691365,,C3E2586D-AC43-4CFF-ACB5-1F93CF2490E3,54997,d3e5214f59a5c284c269af012d46b4cb3aac7528,40e725f3-2ce1-4f3f-a3e5-281c426d2b0a,2021-02-02T00:00:00Z,11
Q1174304,,7A6B812E-C655-49DA-88D7-0D96A34C0B5B,55483,d3e5214f59a5c284c269af012d46b4cb3aac7528,2d67cae2-92c6-49fe-b971-96bbeaaf0ac8,2021-02-02T00:00:00Z,11
Q11825956,,8232345D-4641-43B8-8A0D-B7FFD7CD4543,54669,d3e5214f59a5c284c269af012d46b4cb3aac7528,b9112912-000c-43f3-972b-f1f2099d048a,2021-02-02T00:00:00Z,11
Q11891414,,55270750-7A69-400A-A504-103590A2FF69,55966,d3e5214f59a5c284c269af012d46b4cb3aac7528,980bdc7b-7e00-4c34-bc1f-1f17a663a440,2021-02-02T00:00:00Z,11
Q11930181,,1024D010-2451-4D7C-8E04-F9FA0F0249F7,57990,d3e5214f59a5c284c269af012d46b4cb3aac7528,12940d53-dd04-4a1f-9144-9ac25859fdbd,2021-02-02T00:00:00Z,11
Q12092902,,637288D8-F441-417D-B2DB-E2EC3DEE9D8F,55361,d3e5214f59a5c284c269af012d46b4cb3aac7528,6023d5fa-a52b-4031-9c2c-017b6829c82c,2021-02-02T00:00:00Z,11
Q1213160,,40C0CB91-87C5-4EC5-ADD3-88BB5076F174,58359,d3e5214f59a5c284c269af012d46b4cb3aac7528,be2bd343-592c-424a-83a1-5997b69c964a,2021-02-02T00:00:00Z,11
Q12404907,,68EA5304-9EE5-4487-9899-C9F2AA3767AA,57358,d3e5214f59a5c284c269af012d46b4cb3aac7528,0d432d91-b28d-43f0-92b9-1408a3a7651f,2021-02-02T00:00:00Z,11
Q126553,,E74DBA87-701E-4161-8192-EF1DB37A81AD,54263,d3e5214f59a5c284c269af012d46b4cb3aac7528,868869b9-9d9f-4e66-ae15-87bb02e7f80f,2021-02-02T00:00:00Z,11
Q1285598,,A658017F-F7E8-4263-803F-CEB2DF0F8B55,55587,d3e5214f59a5c284c269af012d46b4cb3aac7528,36167be7-ecbd-4529-9ebe-501e1a396352,2021-02-02T00:00:00Z,11
Q130704,,78FA92CF-19CC-46C2-B03C-308D8930202C,56126,d3e5214f59a5c284c269af012d46b4cb3aac7528,4048e7c6-15ae-41d5-b47e-aa8e4c725268,2021-02-02T00:00:00Z,11
Q1316518,,555B1723-C3E7-4E2A-A8C6-94D8595A13C8,57041,d3e5214f59a5c284c269af012d46b4cb3aac7528,5c0e1581-7bae-4084-81b4-bb48a6d4d852,2021-02-02T00:00:00Z,11
Q1332178,,C5A7C410-DC39-4763-BC99-D9FF85C7C4CF,58363,d3e5214f59a5c284c269af012d46b4cb3aac7528,adc0ef7b-2ec2-4597-a56a-97d8f6ee1190,2021-02-02T00:00:00Z,11
Q1341397,,7DF19E3A-0DF1-4367-B650-49D2E44DD126,57284,d3e5214f59a5c284c269af012d46b4cb3aac7528,b76598e3-9ff1-441b-9b7a-2e84bb6ec4ed,2021-02-02T00:00:00Z,11
Q139792,,94D9429B-0495-4F89-A578-D6016D42C3FE,54227,d3e5214f59a5c284c269af012d46b4cb3aac7528,3c693fb2-6f95-4b48-98f9-8ce42c229ed3,2021-02-02T00:00:00Z,11
Q139797,,52605ED1-7E3C-451D-8AC5-435C577CF0C2,53078,d3e5214f59a5c284c269af012d46b4cb3aac7528,b4d6390c-4c1a-4904-bcdf-3852a42b4eac,2021-02-02T00:00:00Z,11
Q14019,,F0689005-09A5-4423-B98E-9C4E7CF7B167,56825,d3e5214f59a5c284c269af012d46b4cb3aac7528,f514dd82-ec22-4cf1-b79f-83435a97bbad,2021-02-02T00:00:00Z,11
Q1464531,,459AE04A-91C4-4988-B207-5A7CBF84C0D3,55682,d3e5214f59a5c284c269af012d46b4cb3aac7528,0146dad4-b6ea-4718-aaa6-6ef04330d2ea,2021-02-02T00:00:00Z,11
Q1518676,,CFE2C830-87CD-4D63-8701-B2EEACCA8542,54957,d3e5214f59a5c284c269af012d46b4cb3aac7528,454c7f33-68ff-48c2-b831-34830fba02bb,2021-02-02T00:00:00Z,11
Q15709560,,1B62C119-AA9F-497B-A18B-2398AFD7F500,55559,d3e5214f59a5c284c269af012d46b4cb3aac7528,2ae39ce2-1818-4893-8878-05d6bfde3ea5,2021-02-02T00:00:00Z,11
Q16536241,,1C40A609-801B-4E27-B37A-7E7AE6F406FC,55743,d3e5214f59a5c284c269af012d46b4cb3aac7528,6cdd8ff9-6a18-46e5-9b16-6f8f4a2fc0cd,2021-02-02T00:00:00Z,11
Q16536648,,639479E6-445C-450B-8DC8-477F6029D66C,56288,d3e5214f59a5c284c269af012d46b4cb3aac7528,36ad7677-0739-4e44-bfbb-bab1262f22ce,2021-02-02T00:00:00Z,11
Q1655766,,69935FF1-8B14-4686-B4DD-00D946E99658,55848,d3e5214f59a5c284c269af012d46b4cb3aac7528,29f98334-e611-4bfe-9e72-1db6df2aff8a,2021-02-02T00:00:00Z,11
Q16588018,,0C68BFB7-B38D-42BA-8159-195F92CDA406,56286,d3e5214f59a5c284c269af012d46b4cb3aac7528,9051b177-df4a-4133-ae35-380689055bab,2021-02-02T00:00:00Z,11
Q16622023,,0838CE18-3FBC-40FE-AFA1-06CF96BFF1C6,58310,d3e5214f59a5c284c269af012d46b4cb3aac7528,e1f0752f-d603-4277-92d8-9091db1d30ec,2021-02-02T00:00:00Z,11
Q16913580,,6F870B89-FE09-4631-8511-2339796FB5CF,57167,d3e5214f59a5c284c269af012d46b4cb3aac7528,e86d5c4e-b9ea-442a-b029-00306c536e19,2021-02-02T00:00:00Z,11
Q1698794,,BDE353EE-2A67-4D34-B055-AADB91B48448,57249,d3e5214f59a5c284c269af012d46b4cb3aac7528,791776a0-aee1-491c-b1f0-3b71df5e727b,2021-02-02T00:00:00Z,11
