qid,label_en,description_en,act_uuid,act,act_ref1_hash,act_ref1_retrieved_nodeId,act_ref1_retrieved_val,act_ref1_retrieved_prec,inventory_number_uuid,inventory_number,inventory_number_collection,inventory_number_ref1_hash,inventory_number_ref1_referenceUrl,inventory_number_ref1_retrieved_nodeId,inventory_number_ref1_retrieved_val,inventory_number_ref1_retrieved_prec,title_uuid,title,title_ref1_hash,title_ref1_referenceUrl,title_ref1_retrieved_nodeId,title_ref1_retrieved_val,title_ref1_retrieved_prec,creator_uuid,creator,creator_object_has_role,creator_ref1_hash,creator_ref1_referenceUrl,creator_ref1_retrieved_nodeId,creator_ref1_retrieved_val,creator_ref1_retrieved_prec,instance_of_uuid,instance_of,instance_of_ref1_hash,instance_of_ref1_referenceUrl,instance_of_ref1_retrieved_nodeId,instance_of_ref1_retrieved_val,instance_of_ref1_retrieved_prec,inception_uuid,inception_nodeId,inception_val,inception_prec,inception_earliest_date_nodeId,inception_earliest_date_val,inception_earliest_date_prec,inception_latest_date_nodeId,inception_latest_date_val,inception_latest_date_prec,inception_sourcing_circumstances,inception_ref1_hash,inception_ref1_referenceUrl,inception_ref1_retrieved_nodeId,inception_ref1_retrieved_val,inception_ref1_retrieved_prec,country_of_origin_uuid,country_of_origin,country_of_origin_ref1_hash,country_of_origin_ref1_referenceUrl,country_of_origin_ref1_retrieved_nodeId,country_of_origin_ref1_retrieved_val,country_of_origin_ref1_retrieved_prec,copyright_status_uuid,copyright_status,copyright_status_applies_to_jurisdiction,copyright_status_determination_method,copyright_status_ref1_hash,copyright_status_ref1_referenceUrl,copyright_status_ref1_retrieved_nodeId,copyright_status_ref1_retrieved_val,copyright_status_ref1_retrieved_prec,image_uuid,image,image_ref1_hash,image_ref1_referenceUrl,image_ref1_retrieved_nodeId,image_ref1_retrieved_val,image_ref1_retrieved_prec,collection_uuid,collection,collection_ref1_hash,collection_ref1_referenceUrl,collection_ref1_retrieved_nodeId,collection_ref1_retrieved_val,collection_ref1_retrieved_prec
,2009 world map showing countries by prevalence of female trafficking,garment by WomanStats Project,,57440,,,2022-01-13,,,,,,,,,,,2009 world map showing countries by prevalence of female trafficking,,,,,,,,,,,,,,,Q11460,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57440,,2022-01-13,,,,2011-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57440,,2022-01-13,,,,,,,,,,,,,,,,,,,Map3.3Trafficking compressed.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57440,,2022-01-13,,,,,,,,
,A mosaic map of 6th century Jerusalem,mosaic,,53078,,,2022-01-13,,,,,,,,,,,A mosaic map of 6th century Jerusalem,,,,,,,,,,,,,,,Q133067,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=53078,,2022-01-13,,,,0550-01-01T00:00:00Z,7,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=53078,,2022-01-13,,,,,,,,,,,,,,,,,,,Madaba Jerusalem Mosaic.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=53078,,2022-01-13,,,,,,,,
,Abbie Sweetwine Treating Injured,drawing by Air Force Medical Service Art,,57836,,,2022-01-13,,,,,,,,,,,Abbie Sweetwine Treating Injured,,,,,,,,,,,,,,,Q93184,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57836,,2022-01-13,,,,2016-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57836,,2022-01-13,,,,,,,,,,,,,,,,,,,Drawing of Abbie Sweetwine treating injured.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57836,,2022-01-13,,,,,,,,
,Adoration of the Shepherds,manuscript by artist unknown,,58778,,,2022-01-13,,,2005.145.6,Q657415,,"https://commons.wikimedia.org/wiki/File:Northern_India,_Uttar_Pradesh,_Allahabad,_Mughal_period_-_The_Adoration_of_the_Shepherds,_from_a_Mirror_of_Holiness_(Mir%27at_al-quds)_-_2005.145.6_-_Cleveland_Museum_of_Art.tif",,2022-01-13,,,Adoration of the Shepherds,,,,,,,_:,Q4233718,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58778,,2022-01-13,,,Q87167,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58778,,2022-01-13,,,,1602-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58778,,2022-01-13,,,Q30,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58778,,2022-01-13,,,,,,,,,,,,"Northern India, Uttar Pradesh, Allahabad, Mughal period - The Adoration of the Shepherds, from a Mirror of Holiness (Mir'at al-quds) - 2005.145.6 - Cleveland Museum of Art.tif",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58778,,2022-01-13,,,Q657415,,"https://commons.wikimedia.org/wiki/File:Northern_India,_Uttar_Pradesh,_Allahabad,_Mughal_period_-_The_Adoration_of_the_Shepherds,_from_a_Mirror_of_Holiness_(Mir%27at_al-quds)_-_2005.145.6_-_Cleveland_Museum_of_Art.tif",,2022-01-13,
,"Alfa i Omega Monument on Torredembarra beach, Catalonia",sculpture,,54971,,,2022-01-13,,,,,,,,,,,"Alfa i Omega Monument on Torredembarra beach, Catalonia",,,,,,,,,,,,,,,Q860861,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54971,,2022-01-13,,,,2000-01-01T00:00:00Z,9,,,,,,,Q5727902,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54971,,2022-01-13,,,Q29,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54971,,2022-01-13,,,,,,,,,,,,Alfa i Omega Torredembarra.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54971,,2022-01-13,,,,,,,,
,Altar of the Mystical Lamb - Throne of God the Father,painting by Hubert van Eyck,,48725,,,2022-01-13,,,,,,,,,,,Altar of the Mystical Lamb - Throne of God the Father,,,,,,,Q364350,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48725,,2022-01-13,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Hubert_van_Eyck_023.jpg,,2022-01-13,,,,1429-01-01T00:00:00Z,9,,1426-01-01T00:00:00Z,9,,1432-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48725,,2022-01-13,,,Q31,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48725,,2022-01-13,,,,,,,,,,,,Hubert van Eyck 023.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48725,,2022-01-13,,,Q938154,,https://commons.wikimedia.org/wiki/File:Hubert_van_Eyck_023.jpg,,2022-01-13,
,Apostasia,graffiti,,55634,,,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,Q93184,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55634,,2022-01-13,,,,2007-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55634,,2022-01-13,,,Q29,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55634,,2022-01-13,,,,,,,,,,,,Apostasialogo.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55634,,2022-01-13,,,,,,,,
,"Arnolfini Wedding, detail",painting by Jan van Eyck,,49616,,,2022-01-13,,,,,,,,,,,"Arnolfini Wedding, detail",,,,,,,Q102272,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49616,,2022-01-13,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49616,,2022-01-13,,,,1434-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49616,,2022-01-13,,,Q145,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49616,,2022-01-13,,,Q19652,Q60332278,Q29940705,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49616,,2022-01-13,,,Jan van Eyck 004.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49616,,2022-01-13,,,,,,,,
,Baptism of Christ,painting by Jacopino Del Conte,,46151,,,2022-01-13,,,,,,,,,,,Baptism of Christ,,,,,,,Q2538308,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46151,,2022-01-13,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46151,,2022-01-13,,,,1541-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46151,,2022-01-13,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46151,,2022-01-13,,,Q19652,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46151,,2022-01-13,,,Jacopo del Conte 001.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46151,,2022-01-13,,,,,,,,
,Baptism of Jesus,fresco by Castera Bazile,,54305,,,2022-01-13,,,,,,,,,,,Baptism of Jesus,,,,,,,Q2941413,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54305,,2022-01-13,,,Q22669139,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54305,,2022-01-13,,,,1950-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54305,,2022-01-13,,,Q790,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54305,,2022-01-13,,,,,,,,,,,,PortAuPrinceMural.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54305,,2022-01-13,,,,,,,,
