qid,commons_template,label_en,label_commons,description_en,act_uuid,act,act_ref1_hash,act_ref1_retrieved_nodeId,act_ref1_retrieved_val,act_ref1_retrieved_prec,inventory_number_uuid,inventory_number,inventory_number_collection,inventory_number_ref1_hash,inventory_number_ref1_referenceUrl,inventory_number_ref1_retrieved_nodeId,inventory_number_ref1_retrieved_val,inventory_number_ref1_retrieved_prec,title_uuid,title,title_ref1_hash,title_ref1_referenceUrl,title_ref1_retrieved_nodeId,title_ref1_retrieved_val,title_ref1_retrieved_prec,creator_uuid,creator,creator_ref1_hash,creator_ref1_referenceUrl,creator_ref1_retrieved_nodeId,creator_ref1_retrieved_val,creator_ref1_retrieved_prec,instance_of_uuid,instance_of,instance_of_ref1_hash,instance_of_ref1_referenceUrl,instance_of_ref1_retrieved_nodeId,instance_of_ref1_retrieved_val,instance_of_ref1_retrieved_prec,inception_uuid,inception_nodeId,inception_val,inception_prec,inception_earliest_date_nodeId,inception_earliest_date_val,inception_earliest_date_prec,inception_latest_date_nodeId,inception_latest_date_val,inception_latest_date_prec,inception_sourcing_circumstances,inception_ref1_hash,inception_ref1_referenceUrl,inception_ref1_retrieved_nodeId,inception_ref1_retrieved_val,inception_ref1_retrieved_prec,country_of_origin_uuid,country_of_origin,country_of_origin_ref1_hash,country_of_origin_ref1_referenceUrl,country_of_origin_ref1_retrieved_nodeId,country_of_origin_ref1_retrieved_val,country_of_origin_ref1_retrieved_prec,copyright_status_uuid,copyright_status,copyright_status_applies_to_jurisdiction,copyright_status_determination_method,copyright_status_ref1_hash,copyright_status_ref1_referenceUrl,copyright_status_ref1_retrieved_nodeId,copyright_status_ref1_retrieved_val,copyright_status_ref1_retrieved_prec,image_uuid,image,image_ref1_hash,image_ref1_referenceUrl,image_ref1_retrieved_nodeId,image_ref1_retrieved_val,image_ref1_retrieved_prec,collection_uuid,collection,collection_ref1_hash,collection_ref1_referenceUrl,collection_ref1_retrieved_nodeId,collection_ref1_retrieved_val,collection_ref1_retrieved_prec
,information,Abbie Sweetwine Treating Injured,"Lt Abbie Sweetwine, ""The Angel of Platform 6"", African-American nurse treating injured during the 1952 
Harrow and Wealdstone rail crash. VIRIN: 160128-F-EX708-007.JPG",drawing by Air Force Medical Service Art,,57836,,,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,Q93184,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57836,,2022-01-13,,,,2016-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57836,,2022-01-13,,,,,,,,,,,,,,,,,,,Drawing of Abbie Sweetwine treating injured.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57836,,2022-01-13,,,,,,,,
,artwork,Adoration of the Shepherds,"The Adoration of the Shepherds, from a Mirror of Holiness (Mir’at al-quds) of Father Jerome Xavier",manuscript by artist unknown,,58778,,,2022-01-13,,,2005.145.6,Q657415,,"https://commons.wikimedia.org/wiki/File:Northern_India,_Uttar_Pradesh,_Allahabad,_Mughal_period_-_The_Adoration_of_the_Shepherds,_from_a_Mirror_of_Holiness_(Mir%27at_al-quds)_-_2005.145.6_-_Cleveland_Museum_of_Art.tif",,2022-01-13,,,,,,,,,,anon,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58778,,2022-01-13,,,Q87167,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58778,,2022-01-13,,,,1602-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58778,,2022-01-13,,,Q30,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58778,,2022-01-13,,,,,,,,,,,,"Northern India, Uttar Pradesh, Allahabad, Mughal period - The Adoration of the Shepherds, from a Mirror of Holiness (Mir'at al-quds) - 2005.145.6 - Cleveland Museum of Art.tif",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58778,,2022-01-13,,,Q657415,,"https://commons.wikimedia.org/wiki/File:Northern_India,_Uttar_Pradesh,_Allahabad,_Mughal_period_-_The_Adoration_of_the_Shepherds,_from_a_Mirror_of_Holiness_(Mir%27at_al-quds)_-_2005.145.6_-_Cleveland_Museum_of_Art.tif",,2022-01-13,
,artwork,Eastern Orthodox icon of Jesus Christ as the True Vine,Eastern Orthodox icon of Jesus Christ as the True Vine .,painting by artist unknown,,55553,,,2022-01-13,,,,,,,,,,,,,,,,,,anon,,"https://commons.wikimedia.org/wiki/File:Christ_the_True_Vine_icon_(Athens,_16th_century).jpg",,2022-01-13,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55553,,2022-01-13,,,,1550-01-01T00:00:00Z,7,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55553,,2022-01-13,,,Q41,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55553,,2022-01-13,,,,,,,,,,,,"Christ the True Vine icon (Athens, 16th century).jpg",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55553,,2022-01-13,,,Q1018775,,"https://commons.wikimedia.org/wiki/File:Christ_the_True_Vine_icon_(Athens,_16th_century).jpg",,2022-01-13,
,none,"Alfa i Omega Monument on Torredembarra beach, Catalonia",,sculpture,,54971,,,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,Q860861,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54971,,2022-01-13,,,,2000-01-01T00:00:00Z,9,,,,,,,Q5727902,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54971,,2022-01-13,,,Q29,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54971,,2022-01-13,,,,,,,,,,,,Alfa i Omega Torredembarra.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54971,,2022-01-13,,,,,,,,
,artwork,David the Prophet - King David in Prayer,King David in Prayer .,painting by Pieter de Grebber,,57280,,,2022-01-13,,,StCC s00028,Q1954426,,https://commons.wikimedia.org/wiki/File:5201-king-david-in-prayer-pieter-de-grebber.jpg,,2022-01-13,,,,,,,,,,Q512817,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57280,,2022-01-13,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57280,,2022-01-13,,,,1637-01-01T00:00:00Z,9,,1635-01-01T00:00:00Z,9,,1640-01-01T00:00:00Z,9,Q5727902,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57280,,2022-01-13,,,Q55,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57280,,2022-01-13,,,,,,,,,,,,5201-king-david-in-prayer-pieter-de-grebber.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57280,,2022-01-13,,,Q1954426,,https://commons.wikimedia.org/wiki/File:5201-king-david-in-prayer-pieter-de-grebber.jpg,,2022-01-13,
,information,Icon of Christ Feeding the Multitude,Christ feeding the multitude (Coptic icon),painting by artist unknown,,57436,,,2022-01-13,,,,,,,,,,,,,,,,,,anon,,https://commons.wikimedia.org/wiki/File:Christ_feeding_the_multitude.jpg,,2022-01-13,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57436,,2022-01-13,,,,1950-01-01T00:00:00Z,7,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57436,,2022-01-13,,,,,,,,,,Q19652,,,,https://commons.wikimedia.org/wiki/File:Christ_feeding_the_multitude.jpg,,2022-01-13,,,Christ feeding the multitude.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57436,,2022-01-13,,,,,,,,
,information,"Parable of the Prodigal Son, detail","Close up of the hanging tapestry of the parable of the prodigal son, probably from Tournai, beginning XVIth century, showing a picnic. Hospices de Beaune, France. Wool and silk.",tapestry,,55005,,,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,Q28823,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55005,,2022-01-13,,,,1550-01-01T00:00:00Z,7,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55005,,2022-01-13,,,Q142,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55005,,2022-01-13,,,,,,,,,,,,Picnic tournai tapisserie.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55005,,2022-01-13,,,,,,,,
,artwork,"Tree of Jesse, a Bavarian ivory panel.",,carving by artist unknown,,58438,,,2022-01-13,,,OA 10428,Q19675,,https://commons.wikimedia.org/wiki/File:Tree_of_Jesse_Louvre_OA10428.jpg,,2022-01-13,,,,,,,,,,anon,,https://commons.wikimedia.org/wiki/File:Tree_of_Jesse_Louvre_OA10428.jpg,,2022-01-13,,,Q97570030,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=27238,,2022-01-13,,,,1200-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=27238,,2022-01-13,,,Q142,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=27238,,2022-01-13,,,,,,,,,,,,Tree of Jesse Louvre OA10428.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=27238,,2022-01-13,,,Q19675,,https://commons.wikimedia.org/wiki/File:Tree_of_Jesse_Louvre_OA10428.jpg,,2022-01-13,
,artwork,Christ Pantocrator,,mosaic by artist unknown,,46638,,,2022-01-13,,,,,,,,,,,,,,,,,,anon,,,,,,,Q133067,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46638,,2022-01-13,,,,1020-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46638,,2022-01-13,,,Q43,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46638,,2022-01-13,,,,,,,,,,,,Byzantinischer Mosaizist um 1020 001.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46638,,2022-01-13,,,Q12506,,https://commons.wikimedia.org/wiki/File:Byzantinischer_Mosaizist_um_1020_001.jpg,,2022-01-13,
,information,2009 world map showing countries by prevalence of female trafficking.,2009 world map showing countries by prevalence of female trafficking.,garment by WomanStats Project,,57440,,,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,Q11460,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57440,,2022-01-13,,,,2011-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57440,,2022-01-13,,,,,,,,,,,,,,,,,,,Map3.3Trafficking compressed.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57440,,2022-01-13,,,,,,,,
,information,Fog,"Fog curls around the peaks of Mt Lu ( Lushan ) in Jiangxi province, China. The trees have been identified as Pinus hwangshanensis, or Huangshan Pine.",photograph,,57420,,,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,Q125191,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57420,,2022-01-13,,,,2005-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57420,,2022-01-13,,,,,,,,,,,,,,,,,,,Mount Lushan - fog.JPG,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57420,,2022-01-13,,,,,,,,
,artwork,Philip the Apostle,,painting by Georges du Mesnil de La Tour,,46630,,,2022-01-13,,,,,,,,,,,,,,,,,,Q203371,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46630,,2022-01-13,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46630,,2022-01-13,,,,1637-01-01T00:00:00Z,9,,1624-01-01T00:00:00Z,9,,1650-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46630,,2022-01-13,,,Q142,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46630,,2022-01-13,,,Q19652,Q60332278,Q29940705,,,,,,,Georges de La Tour 053.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46630,,2022-01-13,,,,,,,,
,information,Holy Spirit Seminary,"Holy Spirit Seminary, HOng Kong",architectural structure,,57368,,,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,Q811979,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57368,,2022-01-13,,,,1931-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57368,,2022-01-13,,,Q148,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57368,,2022-01-13,,,,,,,,,,,,Holy Spirit Seminary.JPG,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57368,,2022-01-13,,,,,,,,
,information,John VI Kantakouzenos,"Byzantine Emperor John VI Kantakouzenos presiding over a synod. The Hesychast Council of Constantinople, 1351. Constantinople, 1370-75, paint on parchment, Greek Manuscript 1242, fol.5 v, 33,5x24 cm, Bibliothèque nationale de France, Paris.",manuscript,,54592,,,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,Q87167,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54592,,2022-01-13,,,,1374-01-01T00:00:00Z,9,,1370-01-01T00:00:00Z,9,,1379-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54592,,2022-01-13,,,,,,,,,,,,,,,,,,,John VI Kantakouzenos.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54592,,2022-01-13,,,,,,,,
,information,Snowstorm of Stars,"It’s beginning to look a lot like Christmas in this NASA/ESA Hubble Space Telescope image of a blizzard of stars, which resembles a swirling storm in a snow globe. These stars make up the globular cluster Messier 79, located about 40 000 light-years from Earth in the constellation of Lepus (The Hare). Globular clusters are gravitationally bound groupings of up to one million stars. These giant “star globes” contain some of the oldest stars in our galaxy. Messier 79 is no exception; it contains about 150 000 stars, packed into an area measuring just roughly 120 light-years across. This 11.7-billion-year-old star cluster was first discovered by French astronomer Pierre Méchain in 1780. Méchain reported the finding to his colleague Charles Messier, who included it in his catalogue of non-cometary objects: The Messier catalogue. About four years later, using a larger telescope than Messier’s, William Herschel was able to resolve the stars in Messier 79 and described it as a “globular star cluster.” In this sparkling Hubble image, Sun-like stars appear yellow-white and the reddish stars are bright giants that are in the final stages of their lives. Most of the blue stars sprinkled throughout the cluster are aging “helium-burning” stars, which have exhausted their hydrogen fuel and are now fusing helium in their cores.",photograph by NASA and ESA,,56825,,,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,Q125191,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56825,,2022-01-13,,,,2017-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56825,,2022-01-13,,,,,,,,,,,,,,,,,,,A snowstorm of stars.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56825,,2022-01-13,,,,,,,,
,information,Solomon and the Queen of Sheba,"Batisterio san Giovanni, Florence, Salomon meets the Queen of Saabe, on the Paradise Door of the Florence Baptistry",sculpture by Lorenzo Ghiberti,,58618,,,2022-01-13,,,,,,,,,,,,,,,,,,Q208125,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58618,,2022-01-13,,,Q860861,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58618,,2022-01-13,,,,1438-01-01T00:00:00Z,9,,1425-01-01T00:00:00Z,9,,1452-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58618,,2022-01-13,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58618,,2022-01-13,,,Q19652,Q60332278,Q29940705,,,,,,,Saabaghiberti.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58618,,2022-01-13,,,,,,,,
,artwork,David and Abigail,,painting by Antonio Molinari,,57285,,,2022-01-13,,,,,,,,,,,,,,,,,,Q603707,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57285,,2022-01-13,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57285,,2022-01-13,,,,1700-01-01T00:00:00Z,7,,1650-01-01T00:00:00Z,7,,1750-01-01T00:00:00Z,7,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57285,,2022-01-13,,,,,,,,,,Q19652,Q60332278,Q29940705,,,,,,,Antonio Molinari David y Abigail.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57285,,2022-01-13,,,,,,,,
,information," Interior view of Yuriria Convent, founded in 1550, Yuriria, Guanajuato, Mexico","Interior view of Yuriria Convent, founded in 1550, Yuriria, Guanajuato, Mexico",architectural structure,,55661,,,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,Q811979,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55661,,2022-01-13,,,,1550-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55661,,2022-01-13,,,Q96,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55661,,2022-01-13,,,,,,,,,,,,Interior convento 3.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55661,,2022-01-13,,,,,,,,
,information,Three Youths in the Fiery Furnace,"The symbolic story of tribulation and redemption is represented in this early Christian painting of the biblical story of ""The Three Hebrews in the Fiery Furnace"" . From the Catacombs of Priscilla, Rome, Italy. Late 3rd century / Early 4th century. The fiery furnace is a story from the Book of Daniel in the Tanakh / Old Testament . The story is well-known among Jews and Christians. (see also en:Fiery furnace )",painting,,49955,,,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49955,,2022-01-13,,,,0300-01-01T00:00:00Z,7,,0250-01-01T00:00:00Z,7,,0350-01-01T00:00:00Z,7,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49955,,2022-01-13,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49955,,2022-01-13,,,,,,,,,,,,Fiery furnace 01.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49955,,2022-01-13,,,,,,,,
,information,A mosaic map of 6th century Jerusalem,"A mosaic map of 6th century Jerusalem found under the floor of St George's Church in Madaba, Jordan.  The map depicts some famous Old City structures such as the Damascus Gate, St Steven's Gate, the Golden Gate, the gate leading to Mount Zion, the Citadel (Tower of David), the Church of the Holy Sepulcre, and the Cardo Maximus.",mosaic,,53078,,,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,Q133067,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=53078,,2022-01-13,,,,0550-01-01T00:00:00Z,7,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=53078,,2022-01-13,,,,,,,,,,,,,,,,,,,Madaba Jerusalem Mosaic.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=53078,,2022-01-13,,,,,,,,
