RecordNumber,DateUpdated,DateCreated,LocationCountry,MaterialMedium,Description,RelScriptureChapter,CopyrightStatement,BibliographyLink,StaffNotes,DateCreation,RelScriptureBook,LectionaryLink,CopyrightStatus,RelICANumber,RelScripture,SubjectBuildingName,ImageLink,Unit,Title,SubjectLC,RelScriptureVerse,Subject,ImageAvailable,ObjectFunction,CreatorArtist,SubjectName,LocationCreationSite,LocationState,IconClassNumber,OriginalLocation,BCAD,SortDate,LectionaryRank,CopyrightPermission
42443,2021-07-31 13:54:11.0,2004-10-28 00:00:00.0,United States,Paint,"""Maiestas Domini""; Spanish (Catalan)",||||,https://commons.wikimedia.org/wiki/File:Christ_in_Majesty_with_Symbols_of_the_Four_Evangelists_from_Santa_Maria_de_Mur.jpg,103,MFA_21-1285,12th century,||||,,Educational Use Permitted,,,"Museum of Fine Arts, Boston",MFA_21-1285,,Christ in Majesty,Christian art and symbolism -- Spain,||||,Christ in Majesty|Four Evangelists,on,Fresco,,,Boston,MA,710911|11D321,,2,1100,100,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46074,2021-08-30 13:14:40.0,2006-06-22 00:00:00.0,,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Antonello_da_Messina_062.jpg,,,1465,||||,BLent03|BProp14|CProp26,Educational Use Permitted,,"John 4:5-42|Thessalonians II, 1:1-4, 11-12",National Gallery (Great Britain),Yorck_A_001,,"Salvator Mundi, Savior of the World",,||||,Salvator Mundi,on,,"Antonello, da Messina, 1430?-1479",Jesus Christ (Biblical figure) ,London,,11D324,,2,1465,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46133,2021-08-26 10:47:53.0,2006-06-25 00:00:00.0,Italy,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Angelo_Bronzino_023.jpg,,,1541-1542,||||,AVigl|BVigl|CVigl,Educational Use Permitted,,Exodus 14:10-31; 15:20-21,Palazzo Vecchio,Yorck_A_009,,Detail of the head of an Israelite from fresco of The Crossing of the Red Sea,Christian art and symbolism,||||,,on,,"Bronzino, Agnolo, 1503-1572",,Florence,,7.1E+123,,2,1541,23,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46137,2021-09-04 08:59:56.0,2006-06-25 00:00:00.0,Italy,Paint,"Fifth Sunday in Easter, Year C:  The psalmist exclaims, ""Praise him, all his angels; praise him, all his host!""  (Psalm 148:2) <br><br>From The Yorck Project.",||||,https://commons.wikimedia.org/wiki/File:Andrea_Mantegna_105.jpg,,,1497,||||,BProp22,Educational Use Permitted,,Psalm 148,"Civic Museum of Art and Painting, Castle Sforzesco",Yorck_A_013,,Angel Musicians (detail of Madonna altarpiece),Christian art and symbolism,||||,Angels|Musicians,on,Altarpiece,"Mantegna, Andrea, 1431-1506",,Milan,,11G,,2,1497,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46139,2021-02-24 08:13:31.0,2006-06-25 00:00:00.0,Italy,,Detail from Presentation of Jesus in the Temple. <br><br>From The Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Andrea_Mantegna_009.jpg,,,1461,||||,CTran|BXmas01|AProp22,Educational Use Permitted,,Exodus 34:29-35,Uffizi Gallery,Yorck_A_029,,Moses Giving the Law,,||||,Law,on,,"Mantegna, Andrea, 1431-1506",Moses (Biblical figure) ,Florence,,71E1374,,2,1461,3,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46141,2021-07-28 14:29:02.0,2006-06-25 00:00:00.0,Italy,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Antonello_da_Messina_037.jpg,,,1475,||||,BAdvt04,Educational Use Permitted,,Luke 1:26-38,Museo Archeologico Regionale (Palermo),Yorck_A_003,,"Mary - the Annunciation, detail",,||||,Annunciation to Mary,on,,"Antonello, da Messina, 1430?-1479","Mary, the mother of Jesus (Biblical figure) ",Palermo,,73A51,,2,1475,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46152,2021-02-24 08:16:24.0,2006-06-26 00:00:00.0,France,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Andrea_Mantegna_103.jpg,,,1496,||||,CTDay,Educational Use Permitted,,Deuteronomy 15:14,Louvre,Yorck_A_014,,"Fruits and vines, detail",Christian art and symbolism,||||,Bounty,on,,"Mantegna, Andrea, 1431-1506",,Paris,,,,2,1496,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46158,2021-08-09 10:43:20.0,2006-06-26 00:00:00.0,United Kingdom,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Andrea_Mantegna_037.jpg,,,1455,||||,APass|BPass,Educational Use Permitted,,Matthew 26:14-27:66|Mark 14:1-15:47,National Gallery (Great Britain),Yorck_A_020,,Detail of pelicans from painting of Christ at Gethsemane,Christian art and symbolism -- Italy,||||,Pelican|Passion of Jesus Christ: Gethsemane,on,,"Mantegna, Andrea, 1431-1506",,London,,73D31,,2,1455,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46159,2021-08-09 10:43:52.0,2006-06-26 00:00:00.0,United Kingdom,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Andrea_Mantegna_038.jpg,,,1455,||||,APass|BPass,Educational Use Permitted,,Matthew 26:14-27:66|Mark 14:1-15:47,National Gallery (Great Britain),Yorck_A_019,,Detail of rabbit from painting of Christ at Gethsemane,Christian art and symbolism -- Italy,||||,Rabbit|Passion of Jesus Christ: Gethsemane,on,,"Mantegna, Andrea, 1431-1506",,London,,73D31|25F26(RABBIT),,2,1455,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46160,2021-02-24 08:22:24.0,2006-06-26 00:00:00.0,Italy,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Andrea_Mantegna_025.jpg,,,1459,||||,,Educational Use Permitted,,,"San Zeno Maggiore (Church : Verona, Italy)",Yorck_A_022,,"Madonna and Child, detail",Christian art and symbolism -- Italy,||||,Madonna and Child,on,,"Mantegna, Andrea, 1431-1506",,Verona,,11F4211,,2,1459,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46161,2021-08-06 19:17:37.0,2006-06-26 00:00:00.0,Italy,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Andrea_Mantegna_030.jpg,,,1459,||||,APass|BPass|CPass,Educational Use Permitted,,Matthew 26:14-27:66|Mark 14:1-15:47|Luke 22:14-23:56,"San Zeno Maggiore (Church : Verona, Italy)",Yorck_A_021,,"Soldiers at the Crucifixion, detail",Christian art and symbolism -- Italy,||||,Passion of Jesus Christ: Crucifixion of Jesus,on,,"Mantegna, Andrea, 1431-1506",,Verona,,73D622,,2,1459,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46162,2021-02-24 08:24:40.0,2006-06-26 00:00:00.0,Italy,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Andrea_Mantegna_023.jpg,,,1459,||||,,Educational Use Permitted,,,"San Zeno Maggiore (Church : Verona, Italy)",Yorck_A_023,,"Peter, Paul, John the Apostle with St. Zeno",Christian art and symbolism -- Italy,||||,,on,,"Mantegna, Andrea, 1431-1506","Zeno (martyr or bishop), ca.300-371 |John, the Apostle (Biblical figure) |Peter, the Apostle (Biblical figure) |Paul, the Apostle (Biblical figure) ",Verona,,11H(PETER)|11H(PAUL)|11H(JOHN),,2,1459,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46163,2021-02-24 08:25:22.0,2006-06-26 00:00:00.0,Italy,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Andrea_Mantegna_017.jpg,,,1453,||||,,Educational Use Permitted,,,Pinacoteca di Brera,Yorck_A_024,,"Luke, the Evangelist, detail of altarpiece",Christian art and symbolism -- Italy,||||,,on,,"Mantegna, Andrea, 1431-1506","Luke, the Apostle (Biblical figure) ",Milan,,,,2,1453,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46164,2021-02-24 08:26:05.0,2006-06-26 00:00:00.0,Italy,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Andrea_Mantegna_015.jpg,,,1453,||||,,Educational Use Permitted,,,Pinacoteca di Brera,Yorck_A_025,,"John, the Evangelist, detail of altarpiece",Christian art and symbolism -- Italy,||||,,on,,"Mantegna, Andrea, 1431-1506","John, the Apostle (Biblical figure) ",Milan,,11H(JOHN),,2,1453,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46165,2021-02-24 08:26:56.0,2006-06-26 00:00:00.0,Italy,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Andrea_Mantegna_013.jpg,,,1453,||||,,Educational Use Permitted,,,Pinacoteca di Brera,Yorck_A_026,,"Jesus Christ, detail of altarpiece",Christian art and symbolism -- Italy,||||,,on,,"Mantegna, Andrea, 1431-1506",Jesus Christ (Biblical figure) ,Milan,,11D3,,2,1453,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
