qid,label_en,description_en,act_uuid,act,act_ref1_hash,act_ref1_retrieved_nodeId,act_ref1_retrieved_val,act_ref1_retrieved_prec,inventory_number_uuid,inventory_number,inventory_number_collection,inventory_number_ref1_hash,inventory_number_ref1_referenceUrl,inventory_number_ref1_retrieved_nodeId,inventory_number_ref1_retrieved_val,inventory_number_ref1_retrieved_prec,title_uuid,title,title_ref1_hash,title_ref1_referenceUrl,title_ref1_retrieved_nodeId,title_ref1_retrieved_val,title_ref1_retrieved_prec,creator_uuid,creator,creator_object_has_role,creator_ref1_hash,creator_ref1_referenceUrl,creator_ref1_retrieved_nodeId,creator_ref1_retrieved_val,creator_ref1_retrieved_prec,instance_of_uuid,instance_of,instance_of_ref1_hash,instance_of_ref1_referenceUrl,instance_of_ref1_retrieved_nodeId,instance_of_ref1_retrieved_val,instance_of_ref1_retrieved_prec,inception_uuid,inception_nodeId,inception_val,inception_prec,inception_earliest_date_nodeId,inception_earliest_date_val,inception_earliest_date_prec,inception_latest_date_nodeId,inception_latest_date_val,inception_latest_date_prec,inception_sourcing_circumstances,inception_ref1_hash,inception_ref1_referenceUrl,inception_ref1_retrieved_nodeId,inception_ref1_retrieved_val,inception_ref1_retrieved_prec,country_of_origin_uuid,country_of_origin,country_of_origin_ref1_hash,country_of_origin_ref1_referenceUrl,country_of_origin_ref1_retrieved_nodeId,country_of_origin_ref1_retrieved_val,country_of_origin_ref1_retrieved_prec,copyright_status_uuid,copyright_status,copyright_status_applies_to_jurisdiction,copyright_status_determination_method,copyright_status_ref1_hash,copyright_status_ref1_referenceUrl,copyright_status_ref1_retrieved_nodeId,copyright_status_ref1_retrieved_val,copyright_status_ref1_retrieved_prec,image_uuid,image,image_ref1_hash,image_ref1_referenceUrl,image_ref1_retrieved_nodeId,image_ref1_retrieved_val,image_ref1_retrieved_prec,collection_uuid,collection,collection_ref1_hash,collection_ref1_referenceUrl,collection_ref1_retrieved_nodeId,collection_ref1_retrieved_val,collection_ref1_retrieved_prec
Q110561618,2009 world map showing countries by prevalence of female trafficking,garment by WomanStats Project,01F8212A-4F9D-4716-9519-216C8BC9E525,57440,3c80e548d96d54a9daee7fee9bd09bbedc7f36a2,6f3c34e5-0dc0-4b16-87d0-e62ec568c310,2022-01-13T00:00:00Z,11,,,,,,,,,8B9EAA4F-D75A-4DB4-8B22-12AAAB248016,2009 world map showing countries by prevalence of female trafficking,,,,,,,,,,,,,,DE3F91C5-5713-40ED-A734-B072230A6FC0,Q11460,7010340fc9ec1332bc7eaa063c7c97acc02f40b6,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57440,a533f11b-eea0-49ee-8750-ef78b92dbfd7,2022-01-13T00:00:00Z,11,0A588B2B-69CF-44D4-963D-6A60C7EE7C06,5485ec16-255a-4935-b00f-1c4e643e9198,2011-01-01T00:00:00Z,9,,,,,,,,7010340fc9ec1332bc7eaa063c7c97acc02f40b6,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57440,bf73e2ce-372b-4c45-b06c-236c25e843a1,2022-01-13T00:00:00Z,11,,,,,,,,,,,,,,,,,AC88D5BD-207D-4521-B0D8-05B2243F24F6,http://commons.wikimedia.org/wiki/Special:FilePath/Map3.3Trafficking%20compressed.jpg,7010340fc9ec1332bc7eaa063c7c97acc02f40b6,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57440,68a0701e-6d16-4b3f-b1c2-4c3cc90fd1f2,2022-01-13T00:00:00Z,11,,,,,,,
Q110561822,A mosaic map of 6th century Jerusalem,mosaic,B8BFE8B8-7D4F-48EF-B15C-CA5AE7AB5131,53078,3c80e548d96d54a9daee7fee9bd09bbedc7f36a2,da4585a6-bb60-49ec-a3f7-182f33d3e280,2022-01-13T00:00:00Z,11,,,,,,,,,4465E28E-B8AF-49D9-8D49-6AE6B763BE90,A mosaic map of 6th century Jerusalem,,,,,,,,,,,,,,75419CE6-814B-41DE-8FFC-00F9662571D3,Q133067,6e9faeda5def364701ea81050d1ee0c7818cf88f,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=53078,83eacdf4-ac11-4bfc-a916-080f66e97af9,2022-01-13T00:00:00Z,11,5BA3724B-3B2A-45D0-81FE-A1DBC00A8F9B,b929d02a-a021-42c8-811e-e8fe1fa52197,0550-01-01T00:00:00Z,7,,,,,,,,6e9faeda5def364701ea81050d1ee0c7818cf88f,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=53078,83afcf10-af95-4e9d-ae1e-79ddcc1dbf04,2022-01-13T00:00:00Z,11,,,,,,,,,,,,,,,,,B63D56B5-3B18-43D3-B39D-712D11BDF872,http://commons.wikimedia.org/wiki/Special:FilePath/Madaba%20Jerusalem%20Mosaic.jpg,6e9faeda5def364701ea81050d1ee0c7818cf88f,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=53078,da2a7d7d-ad69-4add-b708-59627fb68cbf,2022-01-13T00:00:00Z,11,,,,,,,
Q110561824,Abbie Sweetwine Treating Injured,drawing by Air Force Medical Service Art,C518B0B5-AFBD-41AD-AE55-4DF57FB5D834,57836,3c80e548d96d54a9daee7fee9bd09bbedc7f36a2,72192bd4-5630-40e6-baf7-f260741607e7,2022-01-13T00:00:00Z,11,,,,,,,,,BD2213F8-C89F-49E6-B571-5FFF2D509252,Abbie Sweetwine Treating Injured,,,,,,,,,,,,,,24A29B4E-E872-4810-A95E-9F14ACF7B66A,Q93184,9e694ad65629a06c293772bd762dc837691e302b,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57836,f08c937a-2b3c-4048-abec-4fc6df959026,2022-01-13T00:00:00Z,11,DCC24706-DCD4-4112-89E7-E454D87A71B5,3a80cb5b-d869-497e-941b-d7dc44b7cb4b,2016-01-01T00:00:00Z,9,,,,,,,,9e694ad65629a06c293772bd762dc837691e302b,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57836,36cba666-8cb8-47d4-9ff4-4b629fe5c18d,2022-01-13T00:00:00Z,11,,,,,,,,,,,,,,,,,EAB41D50-C69F-47A8-8132-91D4BB80AC6C,http://commons.wikimedia.org/wiki/Special:FilePath/Drawing%20of%20Abbie%20Sweetwine%20treating%20injured.jpg,9e694ad65629a06c293772bd762dc837691e302b,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57836,d96638bd-227a-466b-83a3-7691ff978de6,2022-01-13T00:00:00Z,11,,,,,,,
Q110561707,Adoration of the Shepherds,manuscript by artist unknown,18C81EF7-626F-455C-B517-8D948C6DEF93,58778,3c80e548d96d54a9daee7fee9bd09bbedc7f36a2,2f4e9563-3d98-4ee6-a72e-91f8e43e2857,2022-01-13T00:00:00Z,11,D9BDF701-FDA9-41B2-B444-EA8DB428B077,2005.145.6,Q657415,114b669d4ccc1685c1065340803c644868f6dee0,"https://commons.wikimedia.org/wiki/File:Northern_India,_Uttar_Pradesh,_Allahabad,_Mughal_period_-_The_Adoration_of_the_Shepherds,_from_a_Mirror_of_Holiness_(Mir%27at_al-quds)_-_2005.145.6_-_Cleveland_Museum_of_Art.tif",9ecefabf-cbf3-4248-bd24-7e1dd2eed7ed,2022-01-13T00:00:00Z,11,15DB60BC-EBD2-474E-B1D1-9A7160B35E5B,Adoration of the Shepherds,,,,,,4E8637FD-A0F9-4467-BAB2-E26EFBBD2D04,_:fd655ec7-a596-41da-916c-2bd680808165,Q4233718,d64bf7a01d02872314c4f2fbbe09b1b2227e4338,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58778,1a4037b2-2e38-401e-80d8-dea704256c32,2022-01-13T00:00:00Z,11,FC6BD7ED-B663-4F4D-A746-BA03E4B49E4E,Q87167,d64bf7a01d02872314c4f2fbbe09b1b2227e4338,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58778,90cd0406-1850-4ece-aa40-bba78e281124,2022-01-13T00:00:00Z,11,4681DE99-3BBC-43A2-A7EF-4FA87CB53D18,43df7945-ce6c-4a29-b7eb-385f67d2301b,1602-01-01T00:00:00Z,9,,,,,,,,d64bf7a01d02872314c4f2fbbe09b1b2227e4338,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58778,175eb44b-469d-40b5-a252-0de0d3a7bbaf,2022-01-13T00:00:00Z,11,,,,,,,,,,,,,,,,,259C5A9F-C67E-4DF4-B6BA-B1F0E1B525D7,http://commons.wikimedia.org/wiki/Special:FilePath/Northern%20India%2C%20Uttar%20Pradesh%2C%20Allahabad%2C%20Mughal%20period%20-%20The%20Adoration%20of%20the%20Shepherds%2C%20from%20a%20Mirror%20of%20Holiness%20%28Mir%27at%20al-quds%29%20-%202005.145.6%20-%20Cleveland%20Museum%20of%20Art.tif,d64bf7a01d02872314c4f2fbbe09b1b2227e4338,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58778,d7f3338a-1a09-4287-a5b1-f772ac4a4fbc,2022-01-13T00:00:00Z,11,7C51DAED-9B02-447B-9119-88C942A24240,Q657415,114b669d4ccc1685c1065340803c644868f6dee0,"https://commons.wikimedia.org/wiki/File:Northern_India,_Uttar_Pradesh,_Allahabad,_Mughal_period_-_The_Adoration_of_the_Shepherds,_from_a_Mirror_of_Holiness_(Mir%27at_al-quds)_-_2005.145.6_-_Cleveland_Museum_of_Art.tif",2ec3ea66-7f26-4767-8fab-ab56fd3ee380,2022-01-13T00:00:00Z,11
Q110561826,"Alfa i Omega Monument on Torredembarra beach, Catalonia",sculpture,86D69B0A-D11F-4160-960A-26A81787FC5A,54971,3c80e548d96d54a9daee7fee9bd09bbedc7f36a2,cacecc3f-0bf4-463d-98f9-194d39e917ea,2022-01-13T00:00:00Z,11,,,,,,,,,6912FD65-326E-48EA-83BC-AD11105F8B78,"Alfa i Omega Monument on Torredembarra beach, Catalonia",,,,,,,,,,,,,,1F77083D-C1C5-48A3-8814-7A08EC7CE34B,Q860861,ba004d89db4889b9ccf888818e82ea1993cdca0a,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54971,ddab5517-6335-48c9-8c32-7288515ac205,2022-01-13T00:00:00Z,11,47A57D08-B8BB-4F91-8CDE-22853295F997,0a673b9a-e353-4c03-a586-9e49c5fbb584,2000-01-01T00:00:00Z,9,,,,,,,Q5727902,ba004d89db4889b9ccf888818e82ea1993cdca0a,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54971,d3a4eaa6-8d92-429c-8d4e-aaac2e630ecb,2022-01-13T00:00:00Z,11,73A13E63-0703-4415-91AD-7B82485795F3,Q29,ba004d89db4889b9ccf888818e82ea1993cdca0a,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54971,dbc3f46e-4c46-49a6-b60c-17dd16e231da,2022-01-13T00:00:00Z,11,,,,,,,,,,BCF3128E-2843-408A-A6D0-60F8E0CAC40A,http://commons.wikimedia.org/wiki/Special:FilePath/Alfa%20i%20Omega%20Torredembarra.jpg,ba004d89db4889b9ccf888818e82ea1993cdca0a,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54971,11d994ce-c92b-4b0b-a945-7ce10f79f6a8,2022-01-13T00:00:00Z,11,,,,,,,
Q110561828,Altar of the Mystical Lamb - Throne of God the Father,painting by Hubert van Eyck,9141E048-8142-46A0-A229-4C12FE95FA9B,48725,3c80e548d96d54a9daee7fee9bd09bbedc7f36a2,0e57612b-3fc1-4ad3-94e0-79da5088f640,2022-01-13T00:00:00Z,11,,,,,,,,,86222F6A-23F4-47C1-BA42-829B07093FDF,Altar of the Mystical Lamb - Throne of God the Father,,,,,,3829C5F8-C5F3-4ECE-AE56-8C4689A3A057,Q364350,,a86568cf0e5a9c67d033004c6230634763ad4648,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48725,77fa6030-279d-48bc-9ad6-c6aaa520a710,2022-01-13T00:00:00Z,11,DC9B0B71-0CFD-411B-AE5C-CEE2B52BC088,Q3305213,28f7e27c68771b1b61cf1425492dff92dc58f4bf,https://commons.wikimedia.org/wiki/File:Hubert_van_Eyck_023.jpg,5d14d768-740f-4db7-b639-f26ecad6b726,2022-01-13T00:00:00Z,11,DDD9982B-5E30-4A51-A950-E7339B939D0E,e1bc232b-6933-4eaf-b019-90f04b5705da,1429-01-01T00:00:00Z,9,931ec418-40e8-4fe9-a1d0-dc4b29a50f71,1426-01-01T00:00:00Z,9,6a7bf46c-6ea6-426a-b4b5-e44986a0888d,1432-01-01T00:00:00Z,9,,a86568cf0e5a9c67d033004c6230634763ad4648,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48725,62fac7b9-4c43-413e-b829-ca8e7e6228d9,2022-01-13T00:00:00Z,11,95A518EA-AC5B-47D3-90F7-DFF2AD8CBD10,Q31,a86568cf0e5a9c67d033004c6230634763ad4648,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48725,589f6da3-e1b6-4823-855f-89443f2373ed,2022-01-13T00:00:00Z,11,,,,,,,,,,4E2B0E74-2A32-4BB5-BA81-103D4F54F056,http://commons.wikimedia.org/wiki/Special:FilePath/Hubert%20van%20Eyck%20023.jpg,a86568cf0e5a9c67d033004c6230634763ad4648,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48725,03a95500-9bed-479d-a86e-777e59c06e28,2022-01-13T00:00:00Z,11,937B868D-5274-454D-8C16-8264E62F189A,Q938154,28f7e27c68771b1b61cf1425492dff92dc58f4bf,https://commons.wikimedia.org/wiki/File:Hubert_van_Eyck_023.jpg,4f7f60ad-6c2d-49a9-9d43-7ac0d4aba69c,2022-01-13T00:00:00Z,11
Q110561830,Apostasia,graffiti,88177E3F-26C2-4EC6-A824-0D441E084ABD,55634,3c80e548d96d54a9daee7fee9bd09bbedc7f36a2,c7fd2416-79e2-49d1-b3e2-42c69502d516,2022-01-13T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,E0760B6B-6CEB-47FA-AB59-CC9D42C97403,Q93184,43ed34eb9c20c2461875f8b064edd119decda6ff,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55634,e631cab1-a012-420d-9153-fc94d6a0a02f,2022-01-13T00:00:00Z,11,B43576AF-BC6B-4826-B348-1B148128126E,197f3c31-7ebd-4182-9468-5b8241bf6799,2007-01-01T00:00:00Z,9,,,,,,,,43ed34eb9c20c2461875f8b064edd119decda6ff,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55634,a738f952-1ea0-4c23-a574-a5073df770af,2022-01-13T00:00:00Z,11,2AB72481-49B2-4EAA-8AE7-1347AFC1CE5F,Q29,43ed34eb9c20c2461875f8b064edd119decda6ff,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55634,794d6313-add3-4c46-852e-bf8ca9f8ce63,2022-01-13T00:00:00Z,11,,,,,,,,,,CBAD0140-88A1-445E-9047-6DAE7F15F415,http://commons.wikimedia.org/wiki/Special:FilePath/Apostasialogo.jpg,43ed34eb9c20c2461875f8b064edd119decda6ff,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55634,5f521d94-8e50-41ce-acef-52333802f82b,2022-01-13T00:00:00Z,11,,,,,,,
Q110561832,"Arnolfini Wedding, detail",painting by Jan van Eyck,832BF878-2477-45F3-B663-DCB32445F4D1,49616,3c80e548d96d54a9daee7fee9bd09bbedc7f36a2,cb646fd7-fc25-48dc-8925-f7706b90f696,2022-01-13T00:00:00Z,11,,,,,,,,,8EBE6AE8-437A-481F-98AC-BC3A6DA60C9F,"Arnolfini Wedding, detail",,,,,,854CA7B5-B704-46C3-AB0E-689C8B6A7E2D,Q102272,,c9ddb66876a97d01bcdc8f44a220fa324cba5d01,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49616,3e46b98b-6359-4124-ae5d-edd4be1fdd83,2022-01-13T00:00:00Z,11,B598191E-8277-4220-89A6-325D8C7FFD92,Q3305213,c9ddb66876a97d01bcdc8f44a220fa324cba5d01,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49616,bdcb27bc-6281-4041-b049-aff1f9a3b3be,2022-01-13T00:00:00Z,11,F29E4E65-8DF2-4E43-99C0-AD8899647CB4,de2bfa7d-ad91-4d9b-88db-6d727bfa8283,1434-01-01T00:00:00Z,9,,,,,,,,c9ddb66876a97d01bcdc8f44a220fa324cba5d01,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49616,9d28e88f-0d79-4d1c-aecd-5b2bb1a78305,2022-01-13T00:00:00Z,11,026E8D9D-903E-4293-9126-912B89218C67,Q145,c9ddb66876a97d01bcdc8f44a220fa324cba5d01,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49616,2dd3e1bd-cd7e-4109-b384-75bf83619022,2022-01-13T00:00:00Z,11,F9E93572-9E64-4C44-A94D-7B1D7284C307,Q19652,Q60332278,Q29940705,c9ddb66876a97d01bcdc8f44a220fa324cba5d01,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49616,43791064-850b-4f2a-a5d0-e0cddda2f305,2022-01-13T00:00:00Z,11,3713C94F-08D0-4D3D-A534-7C47AA8D28CC,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20van%20Eyck%20004.jpg,c9ddb66876a97d01bcdc8f44a220fa324cba5d01,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49616,a2a83217-bee0-41d8-b019-3f8f3b491632,2022-01-13T00:00:00Z,11,,,,,,,
Q110561834,Baptism of Christ,painting by Jacopino Del Conte,38046847-D7EB-4C88-B6C2-F68D1234D1EC,46151,3c80e548d96d54a9daee7fee9bd09bbedc7f36a2,4e0e8166-6aa0-437a-929e-29b1b9bd3ffd,2022-01-13T00:00:00Z,11,,,,,,,,,F3D93378-F42C-410E-9495-6A10882FC6D8,Baptism of Christ,,,,,,1CB48611-30CD-41FA-86B8-6E3A35D00DAB,Q2538308,,b90032cec9158d3bf9c8ac327d887c0add5a6d95,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46151,405230d0-066f-49bf-865e-8c72446b18fd,2022-01-13T00:00:00Z,11,66461566-7FF1-41F7-8AF4-06A8CA8F3622,Q3305213,b90032cec9158d3bf9c8ac327d887c0add5a6d95,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46151,ffec1451-e56d-4db7-8895-8ecf79cbb36c,2022-01-13T00:00:00Z,11,B3D0D4B8-AF9A-471D-93F0-A2A25FD29ACE,5d17f21e-46d3-4253-a6d8-f6a006ba887d,1541-01-01T00:00:00Z,9,,,,,,,,b90032cec9158d3bf9c8ac327d887c0add5a6d95,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46151,11bc3cd6-502b-4d87-a448-48ed51566519,2022-01-13T00:00:00Z,11,67AE1820-B840-468E-9058-37D7625B46B6,Q38,b90032cec9158d3bf9c8ac327d887c0add5a6d95,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46151,b82221df-7c68-4d5d-93a8-06654d942659,2022-01-13T00:00:00Z,11,C77B7831-F655-42A6-88BB-BF9FED011CC6,Q19652,,,b90032cec9158d3bf9c8ac327d887c0add5a6d95,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46151,54ee71dd-553c-498c-87f9-4000c23d6805,2022-01-13T00:00:00Z,11,0D6672B2-1BA8-4B53-B6CF-E1DE47E49CC3,http://commons.wikimedia.org/wiki/Special:FilePath/Jacopo%20del%20Conte%20001.jpg,b90032cec9158d3bf9c8ac327d887c0add5a6d95,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46151,93757049-de2e-4053-b67e-699d31baadcc,2022-01-13T00:00:00Z,11,,,,,,,
Q110561836,Baptism of Jesus,fresco by Castera Bazile,15B90F92-F179-4162-ACAC-F290CE745809,54305,3c80e548d96d54a9daee7fee9bd09bbedc7f36a2,5d7a6db4-eab0-4a8e-a2a1-21fb92e2c5a2,2022-01-13T00:00:00Z,11,,,,,,,,,EEE1CF90-F3FF-4BEC-BF38-DDF444DD90D4,Baptism of Jesus,,,,,,22D4F04D-3265-48FA-84AC-83564D317E50,Q2941413,,ce4015ac81a7589436198087d4751dcb16bd6dfc,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54305,1e653565-39a5-4151-a663-65c8e8640daf,2022-01-13T00:00:00Z,11,E51F558C-2D09-49AF-B1FE-9C8A196846C6,Q22669139,ce4015ac81a7589436198087d4751dcb16bd6dfc,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54305,bb229902-093b-4acf-81c9-ce515c210f3e,2022-01-13T00:00:00Z,11,FCDF4375-B704-447D-A4FA-294E22A8E2EA,05ac53b1-ef32-4ad1-be32-a99a9ae8a067,1950-01-01T00:00:00Z,9,,,,,,,,ce4015ac81a7589436198087d4751dcb16bd6dfc,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54305,81efc905-cbd7-451f-85e1-4f1f47c3e1fb,2022-01-13T00:00:00Z,11,CA171E91-85C5-4D8C-A533-6DE26D8030B8,Q790,ce4015ac81a7589436198087d4751dcb16bd6dfc,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54305,f98b5e99-89ac-4e7b-8c89-23fd3906c36f,2022-01-13T00:00:00Z,11,,,,,,,,,,EBE5BBC9-60F2-486C-9027-1C95DBB57E0B,http://commons.wikimedia.org/wiki/Special:FilePath/PortAuPrinceMural.jpg,ce4015ac81a7589436198087d4751dcb16bd6dfc,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54305,b9da0dac-9a92-42e6-bdac-169a696c488c,2022-01-13T00:00:00Z,11,,,,,,,
