qid,label_en,label_commons,description_en,act_uuid,act,act_ref1_hash,act_ref1_retrieved_nodeId,act_ref1_retrieved_val,act_ref1_retrieved_prec,inventory_number_uuid,inventory_number,inventory_number_collection,inventory_number_ref1_hash,inventory_number_ref1_referenceUrl,inventory_number_ref1_retrieved_nodeId,inventory_number_ref1_retrieved_val,inventory_number_ref1_retrieved_prec,title_uuid,title,title_ref1_hash,title_ref1_referenceUrl,title_ref1_retrieved_nodeId,title_ref1_retrieved_val,title_ref1_retrieved_prec,creator_uuid,creator,creator_object_has_role,creator_ref1_hash,creator_ref1_referenceUrl,creator_ref1_retrieved_nodeId,creator_ref1_retrieved_val,creator_ref1_retrieved_prec,instance_of_uuid,instance_of,instance_of_ref1_hash,instance_of_ref1_referenceUrl,instance_of_ref1_retrieved_nodeId,instance_of_ref1_retrieved_val,instance_of_ref1_retrieved_prec,inception_uuid,inception_nodeId,inception_val,inception_prec,inception_earliest_date_nodeId,inception_earliest_date_val,inception_earliest_date_prec,inception_latest_date_nodeId,inception_latest_date_val,inception_latest_date_prec,inception_sourcing_circumstances,inception_ref1_hash,inception_ref1_referenceUrl,inception_ref1_retrieved_nodeId,inception_ref1_retrieved_val,inception_ref1_retrieved_prec,country_of_origin_uuid,country_of_origin,country_of_origin_ref1_hash,country_of_origin_ref1_referenceUrl,country_of_origin_ref1_retrieved_nodeId,country_of_origin_ref1_retrieved_val,country_of_origin_ref1_retrieved_prec,copyright_status_uuid,copyright_status,copyright_status_applies_to_jurisdiction,copyright_status_determination_method,copyright_status_ref1_hash,copyright_status_ref1_referenceUrl,copyright_status_ref1_retrieved_nodeId,copyright_status_ref1_retrieved_val,copyright_status_ref1_retrieved_prec,image_uuid,image,image_ref1_hash,image_ref1_referenceUrl,image_ref1_retrieved_nodeId,image_ref1_retrieved_val,image_ref1_retrieved_prec,collection_uuid,collection,collection_ref1_hash,collection_ref1_referenceUrl,collection_ref1_retrieved_nodeId,collection_ref1_retrieved_val,collection_ref1_retrieved_prec
,Madonna and Child,"Madonna with Child enthroned label QS:Len,""Madonna with Child enthroned"" label QS:Lde,""Thronende Madonna""",painting by Florentine master of the 14th century,,46211,,,2022-04-04,,,,,,,,,,,,,,,,,,_:,Q4233718,,,,,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Florentinischer_Meister_des_14._Jahrhunderts_001.jpg,,2022-04-04,,,,1350-01-01T00:00:00Z,7,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46211,,2022-04-04,,,Q183,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46211,,2022-04-04,,,,,,,,,,,,Florentinischer Meister des 14. Jahrhunderts 001.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46211,,2022-04-04,,,,,,,,
,John Chrysostom,,mosaic by Byzantine mosaicist of the 9th century,,46414,,,2022-04-04,,,,,,,,,,,,,,,,,,_:,Q4233718,,,,,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Byzantinischer_Mosaizist_des_9._Jahrhunderts_003.jpg,,2022-04-04,,,,0890-01-01T00:00:00Z,9,,,,,,,Q5727902,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46414,,2022-04-04,,,Q43,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46414,,2022-04-04,,,,,,,,,,,,Byzantinischer Mosaizist des 9. Jahrhunderts 003.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46414,,2022-04-04,,,Q12506,,https://commons.wikimedia.org/wiki/File:Byzantinischer_Mosaizist_des_9._Jahrhunderts_003.jpg,,2022-04-04,
,Constantine the Great,"Mosaics in the Hagia Sophia, section: Maria as patron saint of Istanbul, detail: Emperor Constantine I with a model of the city label QS:Lit,""L'imperatore Costantino I offre la città di Costantinopoli al Salvatore. Mosaico bizantino del secolo X."" label QS:Lde,""Mosaiken in der Hagia Sophia, Szene: Maria als Stadtheilige Istanbuls, Detail: Kaiser Konstantin der Große mit dem Stadtmodell"" label QS:Len,""Mosaics in the Hagia Sophia, section: Maria as patron saint of Istanbul, detail: Emperor Constantine I with a model of the city"" label QS:Lel,"" Ο Κωνσταντίνος ο Μέγας προσφέρει στο Χριστό τη νέα πρωτεύουσα, την Κωνσταντινούπολη. Από τη Ν. είσοδο του νάρθηκα.""","mosaic by Byzantine mosaicist, ca. 1000",,46417,,,2022-04-04,,,,,,,,,,,,,,,,,,_:,Q4233718,,,,,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Byzantinischer_Mosaizist_um_1000_002.jpg,,2022-04-04,,,,1000-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46417,,2022-04-04,,,Q43,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46417,,2022-04-04,,,,,,,,,,,,Byzantinischer Mosaizist um 1000 002.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46417,,2022-04-04,,,,,,,,
,Evangelist and Symbols,,manuscript by Irish Master,,46581,,,2022-04-04,,,,,,,,,,,,,,,,,,_:,Q4233718,,,,,,,Q87167,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46581,,2022-04-04,,,,0750-01-01T00:00:00Z,7,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46581,,2022-04-04,,,Q39,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46581,,2022-04-04,,,,,,,,,,,,Irischer Meister 001.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46581,,2022-04-04,,,,,,,,
,Concordance,,painting by Byzantine painter around 1020,,46582,,,2022-04-04,,,,,,,,,,,,,,,,,,_:,Q4233718,,,,,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Byzantinischer_Maler_um_1020_002.jpg,,2022-04-04,,,,1050-01-01T00:00:00Z,7,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46582,,2022-04-04,,,Q142,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46582,,2022-04-04,,,,,,,,,,,,Byzantinischer Maler um 1020 002.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46582,,2022-04-04,,,,,,,,
,John the Baptist,"Text reads: (left) Ο ΆΓΙΟΣ ΙΩ (meaning Ο ΆΓΙΟΣ ΙΩΑΝΝΗΣ - SAINT JOHN), (right) Ο ΠΡΌΔΡΟΜ (-ΟΣ) (meaning THE FORERUNNER - as THE BAPTIST is called by the Eastern Orthodox Church",mosaic by Byzantine mosaicist of the 12th century,,46584,,,2022-04-04,,,,,,,,,,,,,,,,,,_:,Q4233718,,,,,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Byzantinischer_Mosaizist_des_12._Jahrhunderts_001.jpg,,2022-04-04,,,,1150-01-01T00:00:00Z,7,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46584,,2022-04-04,,,Q43,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46584,,2022-04-04,,,,,,,,,,,,Byzantinischer Mosaizist des 12. Jahrhunderts 001.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46584,,2022-04-04,,,Q12506,,https://commons.wikimedia.org/wiki/File:Byzantinischer_Mosaizist_des_12._Jahrhunderts_001.jpg,,2022-04-04,
,"Mary, Mother of Jesus",,mosaic by Byzantine mosaicist of the 12th century,,46585,,,2022-04-04,,,,,,,,,,,,,,,,,,_:,Q4233718,,,,,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Byzantinischer_Mosaizist_des_12._Jahrhunderts_002.jpg,,2022-04-04,,,,1150-01-01T00:00:00Z,7,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46585,,2022-04-04,,,Q43,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46585,,2022-04-04,,,,,,,,,,,,Byzantinischer Mosaizist des 12. Jahrhunderts 002.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46585,,2022-04-04,,,Q12506,,https://commons.wikimedia.org/wiki/File:Byzantinischer_Mosaizist_des_12._Jahrhunderts_002.jpg,,2022-04-04,
,Annunciation to Mary,,painting by Bavarian Master,,46605,,,2022-04-04,,,,,,,,,,,,,,,,,,_:,Q4233718,,,,,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46605,,2022-04-04,,,,1500-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46605,,2022-04-04,,,Q39,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46605,,2022-04-04,,,,,,,,,,,,Bayerischer Meister 001.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46605,,2022-04-04,,,,,,,,
,John the Baptist in the Wilderness,,painting by Berner Nelkenmeister,,46612,,,2022-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Berner_Nelkenmeister_001.jpg,,2022-04-04,,,,1495-01-01T00:00:00Z,9,,,,,,,Q5727902,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46612,,2022-04-04,,,Q39,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46612,,2022-04-04,,,,,,,,,,,,Berner Nelkenmeister 001.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46612,,2022-04-04,,,,,,,,
,Child and Donkey,,mosaic by Byzantine mosaicist of the 5th century,,46636,,,2022-04-04,,,,,,,,,,,,,,,,,,_:,Q4233718,,,,,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Byzantinischer_Mosaizist_des_5._Jahrhunderts_002.jpg,,2022-04-04,,,,0450-01-01T00:00:00Z,7,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46636,,2022-04-04,,,Q43,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46636,,2022-04-04,,,,,,,,,,,,Byzantinischer Mosaizist des 5. Jahrhunderts 002.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46636,,2022-04-04,,,,,,,,
,Madonna and the Child,,painting by Bohemian Master,,46640,,,2022-04-04,,,,,,,,,,,,,,,,,,_:,Q4233718,,,,,,,Q3305213,,https://commons.wikimedia.org/wiki/File:B%C3%B6hmischer_Meister_002.jpg,,2022-04-04,,,,1343-01-01T00:00:00Z,9,,,,,,,Q5727902,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46640,,2022-04-04,,,Q183,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46640,,2022-04-04,,,,,,,,,,,,Böhmischer Meister 002.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46640,,2022-04-04,,,,,,,,
,Building of the Ark of Noah,,painting by French Master around 1675,,46739,,,2022-04-04,,,,,,,,,,,,,,,,,,_:,Q4233718,,,,,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46739,,2022-04-04,,,,1675-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46739,,2022-04-04,,,Q31,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46739,,2022-04-04,,,Q19652,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46739,,2022-04-04,,,Französischer Meister um 1675 001.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46739,,2022-04-04,,,,,,,,
