qid,label_en,description_en,act_uuid,act,act_ref1_hash,act_ref1_retrieved_nodeId,act_ref1_retrieved_val,act_ref1_retrieved_prec,inventory_number_uuid,inventory_number,inventory_number_collection,inventory_number_ref1_hash,inventory_number_ref1_referenceUrl,inventory_number_ref1_retrieved_nodeId,inventory_number_ref1_retrieved_val,inventory_number_ref1_retrieved_prec,title_uuid,title,title_ref1_hash,title_ref1_referenceUrl,title_ref1_retrieved_nodeId,title_ref1_retrieved_val,title_ref1_retrieved_prec,creator_uuid,creator,creator_object_has_role,creator_ref1_hash,creator_ref1_referenceUrl,creator_ref1_retrieved_nodeId,creator_ref1_retrieved_val,creator_ref1_retrieved_prec,instance_of_uuid,instance_of,instance_of_ref1_hash,instance_of_ref1_referenceUrl,instance_of_ref1_retrieved_nodeId,instance_of_ref1_retrieved_val,instance_of_ref1_retrieved_prec,inception_uuid,inception_nodeId,inception_val,inception_prec,inception_earliest_date_nodeId,inception_earliest_date_val,inception_earliest_date_prec,inception_latest_date_nodeId,inception_latest_date_val,inception_latest_date_prec,inception_sourcing_circumstances,inception_ref1_hash,inception_ref1_referenceUrl,inception_ref1_retrieved_nodeId,inception_ref1_retrieved_val,inception_ref1_retrieved_prec,country_of_origin_uuid,country_of_origin,country_of_origin_ref1_hash,country_of_origin_ref1_referenceUrl,country_of_origin_ref1_retrieved_nodeId,country_of_origin_ref1_retrieved_val,country_of_origin_ref1_retrieved_prec,copyright_status_uuid,copyright_status,copyright_status_applies_to_jurisdiction,copyright_status_determination_method,copyright_status_ref1_hash,copyright_status_ref1_referenceUrl,copyright_status_ref1_retrieved_nodeId,copyright_status_ref1_retrieved_val,copyright_status_ref1_retrieved_prec,image_uuid,image,image_ref1_hash,image_ref1_referenceUrl,image_ref1_retrieved_nodeId,image_ref1_retrieved_val,image_ref1_retrieved_prec,collection_uuid,collection,collection_ref1_hash,collection_ref1_referenceUrl,collection_ref1_retrieved_nodeId,collection_ref1_retrieved_val,collection_ref1_retrieved_prec
Q111821558,'I Don't Give to Idlers!',print by Edmé Jean Pigal,E0028A0B-A6C1-4EA3-9EB3-12A3689D90FD,55563,516ed13243d092beac4cce2fe22292dc3c4a51b0,723358f7-f18e-4db4-8a0e-1599ddf583f8,2022-04-04T00:00:00Z,11,,,,,,,,,5760E65F-7CD0-4F2D-A458-1B496427501D,"""I Don't Give to Idlers!""",8730f94a395ace7d751da4cf1ee62e2e4b37fede,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55563,120496d7-2f08-4444-b300-5773314dec00,2022-04-04T00:00:00Z,11,BD241CEF-7296-4CBF-8408-691727EB5162,Q3047679,,8730f94a395ace7d751da4cf1ee62e2e4b37fede,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55563,af66f932-f0b4-4076-b81b-0f852f35dad0,2022-04-04T00:00:00Z,11,ED5435F1-2C1A-488A-9B06-9E8FCEC9B710,Q11060274,8730f94a395ace7d751da4cf1ee62e2e4b37fede,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55563,64e85865-4d4d-4388-bf6b-e63a9592d7aa,2022-04-04T00:00:00Z,11,,,,,,,,,,,,,,,,,06C5A3DD-2A82-48F2-83D4-291D5770706B,Q30,8730f94a395ace7d751da4cf1ee62e2e4b37fede,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55563,b40ef15b-7c96-43d9-b6b7-129662b6b0d3,2022-04-04T00:00:00Z,11,32F230B8-4E1E-4EB9-819F-49AF5400C67F,Q19652,Q60332278,Q29940705,bbbc98008320c9c0f126e4ccbf6f36e37d49bc23,https://commons.wikimedia.org/wiki/File:Refusing_a_beggar_with_one_leg_and_a_crutch.jpg,389a3726-e5e0-47ef-addf-3a231f59c77a,2022-04-04T00:00:00Z,11,D56CDD41-D457-4690-B8BB-E60F93A7AC2C,http://commons.wikimedia.org/wiki/Special:FilePath/Refusing%20a%20beggar%20with%20one%20leg%20and%20a%20crutch.jpg,8730f94a395ace7d751da4cf1ee62e2e4b37fede,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55563,71db1e11-cda7-4a55-9c62-91247d6531af,2022-04-04T00:00:00Z,11,,,,,,,
Q111821561,'It is easier to forgive an enemy than to forgive a friend…',print by William Blake,F4E1DD98-6B01-473E-A30A-CA31CA68161D,57592,8e12652cfa185834a4698eeacfbc142b4f1db7ce,a86cb878-7d71-473c-a594-fc3a82ce3aa4,2022-03-30T00:00:00Z,11,,,,,,,,,2C11E0B2-90CB-448E-8269-B5878CEBCEED,"""It is easier to forgive an enemy than to forgive a friend…""",357d88db1f51431622de6c8d2fb6eb2777d8d2b7,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57592,10608f2d-da29-4170-acb3-60931a713665,2022-03-30T00:00:00Z,11,62F61307-ADAE-40CD-B3F2-F89D7EF2095C,Q41513,,357d88db1f51431622de6c8d2fb6eb2777d8d2b7,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57592,10401fc6-79db-4d81-8d14-7562e4621547,2022-03-30T00:00:00Z,11,33878F27-9D8E-4EF4-A348-04D967796A43,Q11060274,357d88db1f51431622de6c8d2fb6eb2777d8d2b7,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57592,fe731647-e2f1-4109-87ab-8a21f32eb6d9,2022-03-30T00:00:00Z,11,F8759F5F-912A-4043-8C17-7E2A9C70BB55,82a1cae0-703c-4dcd-a74a-ba0ec3e19d8f,1812-01-01T00:00:00Z,9,71f05e9a-f805-47ee-8727-0bfbb583d48c,1804-01-01T00:00:00Z,9,1a9d7603-3dd4-4dfa-b442-494cd04be599,1820-01-01T00:00:00Z,9,,357d88db1f51431622de6c8d2fb6eb2777d8d2b7,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57592,f3379c20-7ce8-40fe-bbf9-96335998da9f,2022-03-30T00:00:00Z,11,20BC5179-FF72-4976-A770-FAE9FA1DAF58,Q30,357d88db1f51431622de6c8d2fb6eb2777d8d2b7,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57592,ca04a295-7c34-4732-bf44-f8e0458b28ce,2022-03-30T00:00:00Z,11,A3F47D62-C19C-4B92-9624-ECA006EFADAD,Q19652,Q60332278,Q29940705,,,,,,23D76CB3-909E-4575-835C-C4300E7092BC,http://commons.wikimedia.org/wiki/Special:FilePath/William%20Blake%20-%20Jerusalem%2C%20Plate%2091%2C%20%22It%20is%20easier%20to%20forgive%20an%20enemy....%22%20-%20Google%20Art%20Project.jpg,357d88db1f51431622de6c8d2fb6eb2777d8d2b7,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57592,f16c6df3-3861-4615-9261-2b4e8dddcfe2,2022-03-30T00:00:00Z,11,,,,,,,
Q111821564,Dr. Robert Barnes and his Fellow Prisoners Seeking Forgiveness,"manuscript, photo by Joseph Martin Kronheim",3F56CB89-FCE0-4300-8A5B-2954CB73BECF,55217,516ed13243d092beac4cce2fe22292dc3c4a51b0,7261d475-500a-4acb-82b7-83c09087afa1,2022-04-04T00:00:00Z,11,,,,,,,,,26577225-1616-483A-AF02-9BC134AC2635,[Dr. Robert] Barnes and his Fellow Prisoners Seeking Forgiveness,92ceb7e5e711354a81739e49aafb6680a18dc0ec,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55217,a2c67611-a686-4d47-b099-6bde5b7a4c51,2022-04-04T00:00:00Z,11,6289B1A1-3669-4CCE-8B20-445532ACAF90,Q13627811,,92ceb7e5e711354a81739e49aafb6680a18dc0ec,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55217,b2b6bcae-9eac-4519-ba51-41c7b02db801,2022-04-04T00:00:00Z,11,FAB537B8-68BF-4344-9CC8-1293D532B491,Q87167,92ceb7e5e711354a81739e49aafb6680a18dc0ec,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55217,448914a6-fc55-4da6-9e40-a0d564194003,2022-04-04T00:00:00Z,11,1F814FA1-21BC-4B44-9B29-52B93A73A52D,181870bf-f5cf-4f6e-a09b-1be36a2722e2,1887-01-01T00:00:00Z,9,,,,,,,,92ceb7e5e711354a81739e49aafb6680a18dc0ec,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55217,ebb8b064-ade4-4995-8702-5db23ac22b5f,2022-04-04T00:00:00Z,11,,,,,,,,8B11EE74-53BB-4832-932C-BD714A9C1A4F,Q19652,Q60332278,Q29940705,c61f50402dcf5d5896d5402edde9b2620a57c00d,https://commons.wikimedia.org/wiki/File:Joseph_Martin_Kronheim_-_Foxe%27s_Book_of_Martyrs_Plate_IV_-_Barnes_and_his_Fellow-Prisoners_Seeking_Forgiveness.jpg,36c32c93-4dc4-4fd9-a3c5-e89262bce1e6,2022-04-04T00:00:00Z,11,3733C5A6-D7F0-425F-BC7C-C66956052ACE,http://commons.wikimedia.org/wiki/Special:FilePath/Joseph%20Martin%20Kronheim%20-%20Foxe%27s%20Book%20of%20Martyrs%20Plate%20IV%20-%20Barnes%20and%20his%20Fellow-Prisoners%20Seeking%20Forgiveness.jpg,92ceb7e5e711354a81739e49aafb6680a18dc0ec,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55217,0f2b44d0-76e3-444c-bf83-94e91090e835,2022-04-04T00:00:00Z,11,,,,,,,
Q111821565,A Mighty Fortress is Our God...,print by Gotthardt Kuehl,C3FA6BC1-2385-4F80-A16C-3D5382266236,55770,516ed13243d092beac4cce2fe22292dc3c4a51b0,cadaf3a8-be83-4925-b0cc-aaab73a3701f,2022-04-04T00:00:00Z,11,,,,,,,,,3B47C04B-4F3E-4CCD-BC1B-8A7A126ED3E9,A Mighty Fortress is Our God...,bbf2343aa5d7818368026144f81a24b3a6db090e,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55770,9680f8bb-fc4a-4cb3-b63d-c386e277fb03,2022-04-04T00:00:00Z,11,3EEDEA8D-8606-45A1-9610-AC7E85404CF5,Q879198,,bbf2343aa5d7818368026144f81a24b3a6db090e,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55770,e6d0f464-77ad-464f-8c06-5bc540439546,2022-04-04T00:00:00Z,11,BFEB453F-54DB-4173-84E4-0C48FDE51B03,Q11060274,bbf2343aa5d7818368026144f81a24b3a6db090e,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55770,c1cc3b48-43d6-4f30-9bf4-e01dc5686f6e,2022-04-04T00:00:00Z,11,CD112202-9CCC-4040-B8C4-8580944C43EB,5409070e-650e-4f1a-8bef-6f979343f4ac,1896-01-01T00:00:00Z,9,,,,,,,,bbf2343aa5d7818368026144f81a24b3a6db090e,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55770,71c24a38-bd42-4c32-a741-8310e8a4165c,2022-04-04T00:00:00Z,11,,,,,,,,D2885C3B-D922-4CC5-AC16-FE520DD51916,Q19652,Q60332278,Q29940705,,,,,,DDD4BE0B-3C51-416C-8E8F-50227EE0B4DD,http://commons.wikimedia.org/wiki/Special:FilePath/Gotthardt%20Kuehl%20Ein%20feste%20Burg%20ist%20unser%20Gott%20crop%20balance.jpg,bbf2343aa5d7818368026144f81a24b3a6db090e,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55770,eaaf947e-e98c-474d-9bfb-70326d2ba728,2022-04-04T00:00:00Z,11,,,,,,,
Q111821566,A Peaceful Sunday,painting by Hans Thoma,9A984CD2-CDA9-4807-9223-FC768CBC4399,58071,8e12652cfa185834a4698eeacfbc142b4f1db7ce,aa5d5b0c-503c-4fb1-934f-ec5768eb6115,2022-03-30T00:00:00Z,11,,,,,,,,,18797973-DB24-44F8-8C19-71578A4C8314,A Peaceful Sunday,8f78c76a12b77c2818992c1e491b349160f063ac,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58071,eaa76d7d-5d85-4418-bddb-9b12a05020ad,2022-03-30T00:00:00Z,11,3ABAEBDC-DBD1-4EA0-B793-9DCFB482C389,Q678094,,8f78c76a12b77c2818992c1e491b349160f063ac,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58071,db6b9068-24f4-493a-9a12-f1cfc06e96e5,2022-03-30T00:00:00Z,11,61FF6F11-D610-47D8-8D28-FF9D413764D5,Q3305213,8f78c76a12b77c2818992c1e491b349160f063ac,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58071,7b58e17c-4297-4b82-ac92-4ad89a118409,2022-03-30T00:00:00Z,11,BD309B57-5310-4719-8E38-E9090BDCEEAC,22ecfe4b-d320-4228-bbe9-4e0a7c42dc96,1876-01-01T00:00:00Z,9,,,,,,,,8f78c76a12b77c2818992c1e491b349160f063ac,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58071,2bc264a5-2361-431d-9432-040c63e94211,2022-03-30T00:00:00Z,11,AFC24EE5-76FE-45A0-9EB4-3F29EF94E545,Q183,8f78c76a12b77c2818992c1e491b349160f063ac,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58071,31320d69-4305-473d-b008-e7cc78095568,2022-03-30T00:00:00Z,11,,,,,,,,,,81786B43-63EB-4DA4-9CD8-D057F46B303D,http://commons.wikimedia.org/wiki/Special:FilePath/Hans%20Thoma%20-%20Sonntagsfrieden.jpg,8f78c76a12b77c2818992c1e491b349160f063ac,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58071,cbc40f6e-1ee5-48f7-8926-0d1cf1f9aa9a,2022-03-30T00:00:00Z,11,,,,,,,
Q111821567,A potter,painting by Else Berg,41D5709B-85AA-4A80-AF76-D56A445B5E62,56317,8e12652cfa185834a4698eeacfbc142b4f1db7ce,bf12d784-33f4-4873-9a3c-e197d8c4091d,2022-03-30T00:00:00Z,11,,,,,,,,,3CB6AF6C-467F-4582-9797-67F39F158589,A potter,c95e1a313f9e36fcc9b6b205f0e19784746df320,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56317,c6e3dca3-4958-442f-a702-ce703c58401a,2022-03-30T00:00:00Z,11,B20D27F7-0E8E-4AA0-A794-5743AA016D01,Q1439802,,c95e1a313f9e36fcc9b6b205f0e19784746df320,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56317,638f3372-b88d-4e09-b1f6-ab8691850851,2022-03-30T00:00:00Z,11,FE7E15C5-FF3C-4716-A0C4-8CB320280FDC,Q3305213,c95e1a313f9e36fcc9b6b205f0e19784746df320,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56317,c4c73d37-023e-4fdd-8ef2-65d5d8f48127,2022-03-30T00:00:00Z,11,A8AA62DE-0AA5-4119-A0A7-666D12484B8E,15cff198-4d02-46f2-925c-4886e209f9ac,1942-01-01T00:00:00Z,9,,,,,,,,c95e1a313f9e36fcc9b6b205f0e19784746df320,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56317,4a373609-fa73-43ab-b351-26866b8bf45c,2022-03-30T00:00:00Z,11,,,,,,,,,,,,,,,,,CD1CCFB1-13A6-4DE5-9012-CC3CC409FE8F,http://commons.wikimedia.org/wiki/Special:FilePath/Else%20Berg%20A%20potter.jpg,c95e1a313f9e36fcc9b6b205f0e19784746df320,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56317,a55af9cf-b91d-47a7-93bf-44f6f2ff72e4,2022-03-30T00:00:00Z,11,,,,,,,
Q111821570,A Roman Sandal,garment by artist unknown,9B2975F2-DABA-4644-995E-ED38D14C53BD,54175,516ed13243d092beac4cce2fe22292dc3c4a51b0,59af68a8-cc2b-49a7-9368-5c9941900c60,2022-04-04T00:00:00Z,11,,,,,,,,,374115CF-986A-4663-824F-29B2F28ABAA0,A Roman Sandal,d5f9008fe6dc9712ef63b65f0ea46488a8182da6,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54175,c59c54fc-81c4-4e87-8b61-f0f4f2b13608,2022-04-04T00:00:00Z,11,9E287B8F-76EE-45A9-958F-912435C9E5F9,_:443f8981-42fa-4b29-a215-4f87bd91240e,Q4233718,,,,,,6AD1B669-CC86-45B3-9404-A2DCDDE7F4AC,Q11460,d5f9008fe6dc9712ef63b65f0ea46488a8182da6,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54175,8e773915-1928-4462-8e4e-dfc1cdb4c1ac,2022-04-04T00:00:00Z,11,0E29492C-DA51-4856-8C94-6F275C396F36,499a22ab-e293-4c80-a526-6655e6638e98,0200-01-01T00:00:00Z,9,,,,,,,,d5f9008fe6dc9712ef63b65f0ea46488a8182da6,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54175,ffaba008-aec7-48f4-a144-cd7e008827a9,2022-04-04T00:00:00Z,11,4AB2A4BE-B0E9-476F-A9D6-C2F18BB0D36C,Q183,d5f9008fe6dc9712ef63b65f0ea46488a8182da6,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54175,513b1b94-8fe3-4178-bd59-bc7f2ab3ade1,2022-04-04T00:00:00Z,11,,,,,,,,,,330497C4-635D-4603-BF99-14DD1F224071,http://commons.wikimedia.org/wiki/Special:FilePath/Roemische%20Sandale%20fcm.jpg,d5f9008fe6dc9712ef63b65f0ea46488a8182da6,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54175,cc6e8975-f349-497d-82ea-1490f0252877,2022-04-04T00:00:00Z,11,,,,,,,
Q111821571,Abraham and the Three Angels,painting by Jan Polack,A866F155-46C7-4768-B1DB-9A32F8191418,56990,8e12652cfa185834a4698eeacfbc142b4f1db7ce,34a3f665-c85f-44af-b1e0-0e22be9dca28,2022-03-30T00:00:00Z,11,,,,,,,,,4C4E000D-EBE1-49CB-9B37-2F618FC680AB,Abraham and the Three Angels,ff330a68434b514fc8e91d5239913adcc79eb885,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56990,91d26f6a-45c4-4265-a223-85afbb7fae45,2022-03-30T00:00:00Z,11,065E534C-F665-4819-BD1E-A71296886D5C,Q73889,,ff330a68434b514fc8e91d5239913adcc79eb885,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56990,06de2c26-09e1-42fa-b705-0d9042c99d13,2022-03-30T00:00:00Z,11,3BDFD73C-ECB1-40CB-A125-5B0CA0784427,Q3305213,ff330a68434b514fc8e91d5239913adcc79eb885,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56990,bf0b0314-5ab5-481d-82cd-3767ead2ec0c,2022-03-30T00:00:00Z,11,E96D3B0A-8284-4F11-9095-33A8D803E089,b3ed4e32-3d9b-46f2-a0dc-c6d807bf56a3,1500-01-01T00:00:00Z,9,,,,,,,Q5727902,ff330a68434b514fc8e91d5239913adcc79eb885,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56990,8977fb5a-9171-427c-a02e-59902bbe6a98,2022-03-30T00:00:00Z,11,EFB9E1AF-1434-4B60-8D68-46C244E42F55,Q30,ff330a68434b514fc8e91d5239913adcc79eb885,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56990,6eec3a69-d087-4d56-8ba9-b5601f0ff183,2022-03-30T00:00:00Z,11,889B60F3-9C12-4BA9-9132-53918217B5B7,Q19652,Q60332278,Q29940705,9c357b40fe1594d743268f4af411a3b0d6a1bf15,https://commons.wikimedia.org/wiki/File:Jan_Polack_-_Abraham_and_the_Three_Angels_(one_of_four_panels).jpg,ad39f8a4-7a8a-4064-b60b-4e11675cb61a,2022-03-30T00:00:00Z,11,149B2032-A7BA-4B9A-96BA-105B45BFD4B0,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Polack%20-%20Abraham%20and%20the%20Three%20Angels%20%28one%20of%20four%20panels%29.jpg,ff330a68434b514fc8e91d5239913adcc79eb885,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56990,297f258f-e2cf-45ad-b3f1-45d13b67a15a,2022-03-30T00:00:00Z,11,,,,,,,
Q111821573,Abraham and the Three Angels,manuscript by active 1488-1530 Master of James IV of Scotland,79A2D107-4AF8-4AC4-A717-F83F50453149,56992,8e12652cfa185834a4698eeacfbc142b4f1db7ce,6080a08f-20de-4f53-bb94-50c72b3ccc1e,2022-03-30T00:00:00Z,11,,,,,,,,,E92EA13A-0DDD-4015-9CCD-51E199079006,Abraham and the Three Angels,4e8b71a6de8a0a0f1a0a046c09dc63f638f12045,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56992,c6fbf392-6c4d-400b-83e7-f16f71cd0842,2022-03-30T00:00:00Z,11,6A628A20-2159-4653-B03F-FF372FDC04DB,Q1380221,,,,,,,E9A449CF-7A42-439C-B717-3CE7A3402332,Q87167,4e8b71a6de8a0a0f1a0a046c09dc63f638f12045,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56992,b1728cbb-06de-4e8c-a281-3dbb80401ae9,2022-03-30T00:00:00Z,11,DB671244-9252-4409-97CC-1FAC184A19EF,b538086c-b3c4-4f44-b712-09afdf8616f0,1515-01-01T00:00:00Z,9,580bd812-81bc-4b4a-901d-2beb75681c86,1510-01-01T00:00:00Z,9,779d5d0d-2dca-47a6-8e25-b05c0b7b8ad2,1520-01-01T00:00:00Z,9,,4e8b71a6de8a0a0f1a0a046c09dc63f638f12045,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56992,92eb7328-9a32-4870-8e71-0d0067d95f75,2022-03-30T00:00:00Z,11,0E59D5E8-2A7A-48AE-82CA-A99687DF5DE9,Q30,4e8b71a6de8a0a0f1a0a046c09dc63f638f12045,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56992,b46a64fb-a6e0-4d7f-bc44-2d63bb5d1622,2022-03-30T00:00:00Z,11,,,,,,,,,,4355A980-EA3F-4567-9BDC-01DD05966700,http://commons.wikimedia.org/wiki/Special:FilePath/Master%20of%20James%20IV%20of%20Scotland%20%28Flemish%2C%20before%201465%20-%20about%201541%29%20-%20Abraham%20and%20the%20Three%20Angels%20-%20Google%20Art%20Project.jpg,4e8b71a6de8a0a0f1a0a046c09dc63f638f12045,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56992,70a00f9b-76fc-4cca-b5c9-03ffc61df5d8,2022-03-30T00:00:00Z,11,,,,,,,
Q111821575,Accusing Finger of Conscience...God and Conscience Witness Every Action...,print by artist unknown,46197101-ACFA-491A-8ECB-D3131EC53B05,55691,516ed13243d092beac4cce2fe22292dc3c4a51b0,1dfb22c2-d284-453f-ba5e-9725a036522d,2022-04-04T00:00:00Z,11,,,,,,,,,BB21BB23-0188-4271-B74C-7B9C2F57CEDB,Accusing Finger of Conscience...God and Conscience Witness Every Action...,e219957d23cbd5719c18161441f63cc58b48ad6f,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55691,0b72cbbc-96ec-4e14-8407-a29038a14b3b,2022-04-04T00:00:00Z,11,5F1DEF61-59C6-4FB7-929F-60929791AE93,_:44a9f279-3aa9-4eba-9bde-61ad7b8deb1f,Q4233718,,,,,,69F1E806-5EFF-4E2A-AD6C-00A094E0E485,Q11060274,e219957d23cbd5719c18161441f63cc58b48ad6f,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55691,6ad276a7-558b-4d6a-9cd3-d916cedc2621,2022-04-04T00:00:00Z,11,CAEB6010-7A0C-49FF-8586-DA735D8B09E9,fdebe8a0-800e-4f66-b8af-a7cf34edf597,1918-01-01T00:00:00Z,9,e31c0b4b-5fbf-4b12-ba8b-649d9b74996c,1917-01-01T00:00:00Z,9,983f6334-1764-4ca7-9280-0c732fe229e4,1919-01-01T00:00:00Z,9,Q5727902,e219957d23cbd5719c18161441f63cc58b48ad6f,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55691,460d5f98-deda-407f-8197-c2768c8e4ed9,2022-04-04T00:00:00Z,11,40338F3C-CD6F-4B13-98EF-0E3801CBA20D,Q30,e219957d23cbd5719c18161441f63cc58b48ad6f,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55691,a71e9b3c-a353-4171-bfe9-7f8d5e393e9f,2022-04-04T00:00:00Z,11,,,,,,,,,,CBBF234F-5BF1-461B-B79D-4647D62E96B5,http://commons.wikimedia.org/wiki/Special:FilePath/%22Accusing%20Finger%20of%20Conscience...God%20and%20Conscience%20Witness%20Every%20Action...The%20Authorities%20Ask%20That%20You%20Save%20Fats...Reli%20-%20NARA%20-%20512560.jpg,e219957d23cbd5719c18161441f63cc58b48ad6f,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55691,bc583f03-9345-49cf-90fd-0d7613dfa345,2022-04-04T00:00:00Z,11,,,,,,,
