,commons_template,label_en,label_commons,description_en,act_uuid,act,act_ref1_hash,act_ref1_retrieved_nodeId,act_ref1_retrieved_val,act_ref1_retrieved_prec,inventory_number_uuid,inventory_number,inventory_number_collection,inventory_number_ref1_hash,inventory_number_ref1_referenceUrl,inventory_number_ref1_retrieved_nodeId,inventory_number_ref1_retrieved_val,inventory_number_ref1_retrieved_prec,title_uuid,title,title_ref1_hash,title_ref1_referenceUrl,title_ref1_retrieved_nodeId,title_ref1_retrieved_val,title_ref1_retrieved_prec,creator_uuid,creator,"creator_object_has_role,creator_ref1_hash",creator_ref1_referenceUrl,creator_ref1_retrieved_nodeId,creator_ref1_retrieved_val,creator_ref1_retrieved_prec,instance_of_uuid,instance_of,instance_of_ref1_hash,instance_of_ref1_referenceUrl,instance_of_ref1_retrieved_nodeId,instance_of_ref1_retrieved_val,instance_of_ref1_retrieved_prec,inception_uuid,inception_nodeId,inception_val,inception_prec,inception_earliest_date_nodeId,inception_earliest_date_val,inception_earliest_date_prec,inception_latest_date_nodeId,inception_latest_date_val,inception_latest_date_prec,inception_sourcing_circumstances,inception_ref1_hash,inception_ref1_referenceUrl,inception_ref1_retrieved_nodeId,inception_ref1_retrieved_val,inception_ref1_retrieved_prec,country_of_origin_uuid,country_of_origin,country_of_origin_ref1_hash,country_of_origin_ref1_referenceUrl,country_of_origin_ref1_retrieved_nodeId,country_of_origin_ref1_retrieved_val,country_of_origin_ref1_retrieved_prec,copyright_status_uuid,copyright_status,copyright_status_applies_to_jurisdiction,copyright_status_determination_method,copyright_status_ref1_hash,copyright_status_ref1_referenceUrl,copyright_status_ref1_retrieved_nodeId,copyright_status_ref1_retrieved_val,copyright_status_ref1_retrieved_prec,image_uuid,image,image_ref1_hash,image_ref1_referenceUrl,image_ref1_retrieved_nodeId,image_ref1_retrieved_val,image_ref1_retrieved_prec,collection_uuid,collection,collection_ref1_hash,collection_ref1_referenceUrl,collection_ref1_retrieved_nodeId,collection_ref1_retrieved_val,collection_ref1_retrieved_prec
15,artwork,"John the Baptist - study for painting ""Christ Among the People""","Head of St John the Baptist label QS:Len,""Head of St John the Baptist"" label QS:Lde,""Kopf Johannes des Täufers""",painting by Aleksandr Andreevich Ivanov,,46166,,,2022-04-04,,,,,,,,,,,,,,,,,,Q76829,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46166,,2022-04-04,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Alexander_Andrejewitsch_Iwanow_003.jpg,,2022-04-04,,,,1847-01-01T00:00:00Z,9,,1837-01-01T00:00:00Z,9,,1857-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46166,,2022-04-04,,,Q159,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46166,,2022-04-04,,,Q19652,Q60332278,Q29940705,,,,,,,Alexander Andrejewitsch Iwanow 003.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46166,,2022-04-04,,,,,,,,
28,artwork,Two Slaves,,painting by Aleksandr Andreevich Ivanov,,46230,,,2022-04-04,,,,,,,,,,,,,,,,,,Q76829,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46230,,2022-04-04,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46230,,2022-04-04,,,,1847-01-01T00:00:00Z,9,,1837-01-01T00:00:00Z,9,,1857-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46230,,2022-04-04,,,Q159,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46230,,2022-04-04,,,Q19652,Q60332278,Q29940705,,,,,,,Alexander Andrejewitsch Iwanow 002.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46230,,2022-04-04,,,,,,,,
40,artwork,Adoration of the Christ Child by the Three Wise Men,Adoration of the Magi,painting by Albrecht Dürer,,46304,,,2022-04-04,,,,,,,,,,,,,,,,,,Q5580,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46304,,2022-04-04,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46304,,2022-04-04,,,,1491-01-01T00:00:00Z,9,,1490-01-01T00:00:00Z,9,,1493-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46304,,2022-04-04,,,Q39,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46304,,2022-04-04,,,Q19652,Q60332278,Q29940705,,,,,,,Albrecht Dürer 006.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46304,,2022-04-04,,,,,,,,
43,artwork,"Triumph of Thomas Aquinas over Averroes, detail",,painting by di Lese Benozzo,,46412,,,2022-04-04,,,,,,,,,,,,,,,,,,Q248615,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46412,,2022-04-04,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Benozzo_Gozzoli_005.jpg,,2022-04-04,,,,1476-01-01T00:00:00Z,9,,1468-01-01T00:00:00Z,9,,1484-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46412,,2022-04-04,,,Q142,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46412,,2022-04-04,,,Q19652,Q60332278,Q29940705,,,,,,,Benozzo Gozzoli 005.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46412,,2022-04-04,,,Q19675,,https://commons.wikimedia.org/wiki/File:Benozzo_Gozzoli_005.jpg,,2022-04-04,
76,artwork,Archangel Michael,,painting by ca. 1310-ca. 1370 Guariento,,46559,,,2022-04-04,,,,,,,,,,,,,,,,,,Q1391765,,,,,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Guariento_002.jpg,,2022-04-04,,,,1350-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46559,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46559,,2022-04-04,,,,,,,,,,,,Guariento 002.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46559,,2022-04-04,,,,,,,,
99,artwork,"Angels, detail of altarpiece",,painting by di Lese Benozzo,,46633,,,2022-04-04,,,,,,,,,,,,,,,,,,Q248615,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46633,,2022-04-04,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Benozzo_Gozzoli_001.jpg,,2022-04-04,,,,1470-01-01T00:00:00Z,9,,1460-01-01T00:00:00Z,9,,1480-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46633,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46633,,2022-04-04,,,Q19652,Q60332278,Q29940705,,,,,,,Benozzo Gozzoli 001.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46633,,2022-04-04,,,,,,,,
119,artwork,The Arrest of Mark in the Synagogue,The Arrest of St Mark in the Synagogue,painting by Giovanni Bellini,,46687,,,2022-04-04,,,,,,,,,,,,,,,,,,Q17169,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46687,,2022-04-04,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46687,,2022-04-04,,,,1499-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46687,,2022-04-04,,,,,,,,,,Q19652,Q60332278,Q29940705,,,,,,,Giovanni di Niccolò Mansueti 001.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46687,,2022-04-04,,,,,,,,
158,artwork,Rest on the Flight into Egypt,Madonna della Scodella,painting by 1489?-1534 Correggio,,46992,,,2022-04-04,,,,,,,,,,,,,,,,,,Q8457,,,,,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Correggio_042.jpg,,2022-04-04,,,,1530-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46992,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46992,,2022-04-04,,,,,,,,,,,,Correggio 042.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46992,,2022-04-04,,,,,,,,
160,artwork,"Luke, the Apostle, and Ambrose, the Church Father",,painting by 1489?-1534 Correggio,,46997,,,2022-04-04,,,,,,,,,,,,,,,,,,Q8457,,,,,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Correggio_017.jpg,,2022-04-04,,,,1520-01-01T00:00:00Z,9,,1520-01-01T00:00:00Z,9,,1521-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46997,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46997,,2022-04-04,,,,,,,,,,,,Correggio 017.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46997,,2022-04-04,,,,,,,,
164,information,"Christ, detail from Crucifixion","Il crocefisso di Cimabue, restaurato, nella chiesa di San Domenico ad Arezzo .",painting by Cimabue,,47005,,,2022-04-04,,,,,,,,,,,,,,,,,,Q15790,,,,,,,Q3305213,,,,,,,,1269-01-01T00:00:00Z,9,,1268-01-01T00:00:00Z,9,,1271-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47005,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47005,,2022-04-04,,,,,,,,,,,,Arezzo-Chiesa di san Domenico-Crocifisso di Cimabue-closeup.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=47005,,2022-04-04,,,,,,,,
