act,comment
57852," ACT says author unidentified, but Commons gives name: A. Davey"
58776," ACT says author unidentified, but Commons gives name: A. Davey"
58787," ACT says author unidentified, but Commons gives name: A. Davey"
58668," ACT says author unidentified, but Commons gives name: Abu Said Ubaud Allah Ibn Bakhitshu."
58627," ACT says author unidentified, but Commons gives name: Anagoria"
55793," ACT says author unidentified, but Commons gives name: Andrew Parodi"
56220," ACT says author unidentified, but Commons gives name: ArtofCulturalEvolution"
58781," ACT says author unidentified, but Commons gives name: Bibliothèque nationale de France"
57950," ACT says author unidentified, but Commons gives name: Billy Hathorn"
56150," ACT says author unidentified, but Commons gives name: Bischöfliche Pressestelle Hildesheim (bph)"
58779," ACT says author unidentified, but Commons gives name: Bjoertvedt"
58780," ACT says author unidentified, but Commons gives name: Bjoertvedt"
58784," ACT says author unidentified, but Commons gives name: Bjoertvedt"
58785," ACT says author unidentified, but Commons gives name: Bjoertvedt"
58786," ACT says author unidentified, but Commons gives name: Bjoertvedt"
56208," ACT says author unidentified, but Commons gives name: Brianboru100"
58655," ACT says author unidentified, but Commons gives name: Cláudio Pastro"
58721," ACT says author unidentified, but Commons gives name: Cláudio Pastro"
58722," ACT says author unidentified, but Commons gives name: Dguendel"
55752," ACT says author unidentified, but Commons gives name: Diganta Talukdar"
56001," ACT says author unidentified, but Commons gives name: Enrique López-Tamayo Biosca"
58815," ACT says author unidentified, but Commons gives name: Ethan Doyle White"
58656," ACT says author unidentified, but Commons gives name: Eugenio Hansen, OFS"
57829," ACT says author unidentified, but Commons gives name: Ezarate"
58657," ACT says author unidentified, but Commons gives name: Fitrat69"
58733," ACT says author unidentified, but Commons gives name: Following Hadrian"
56082," ACT says author unidentified, but Commons gives name: Galabova"
56160," ACT says author unidentified, but Commons gives name: GFreihalter"
55908," ACT says author unidentified, but Commons gives name: Goodness Shamrock"
54557," ACT says author unidentified, but Commons gives name: Gryffindor"
56038," ACT says author unidentified, but Commons gives name: H. Zell"
58788," ACT says author unidentified, but Commons gives name: Hiart"
58789," ACT says author unidentified, but Commons gives name: Hiart"
58790," ACT says author unidentified, but Commons gives name: Hiart"
58791," ACT says author unidentified, but Commons gives name: Hiart"
58792," ACT says author unidentified, but Commons gives name: Hiart"
58793," ACT says author unidentified, but Commons gives name: Hiart"
58840," ACT says author unidentified, but Commons gives name: Isaacvp"
55859," ACT says author unidentified, but Commons gives name: Jopparn"
58667," ACT says author unidentified, but Commons gives name: José Luiz"
56142," ACT says author unidentified, but Commons gives name: Judgefloro"
57791," ACT says author unidentified, but Commons gives name: Jwh"
55957," ACT says author unidentified, but Commons gives name: Matthew Ross"
58813," ACT says author unidentified, but Commons gives name: Michail Polychronis"
56055," ACT says author unidentified, but Commons gives name: Nevit Dilmen"
58584," ACT says author unidentified, but Commons gives name: Nheyob"
56146," ACT says author unidentified, but Commons gives name: Noel Feans"
55784," ACT says author unidentified, but Commons gives name: Pfir"
58402," ACT says author unidentified, but Commons gives name: Photo: Andreas Praefcke"
56123," ACT says author unidentified, but Commons gives name: Ramon FVelasquez"
56200," ACT says author unidentified, but Commons gives name: Richard Schofield"
55884," ACT says author unidentified, but Commons gives name: Sailko"
56158," ACT says author unidentified, but Commons gives name: School of the Allgäu (Southern Germany), circa 1470-1480"
56149," ACT says author unidentified, but Commons gives name: Sibeaster"
58834," ACT says author unidentified, but Commons gives name: Steffen Schmitz"
58816," ACT says author unidentified, but Commons gives name: Sten Porse"
56232," ACT says author unidentified, but Commons gives name: Sustiputo"
56027," ACT says author unidentified, but Commons gives name: Tangopaso"
55926," ACT says author unidentified, but Commons gives name: Trish Steel"
58371," ACT says author unidentified, but Commons gives name: Uoaei1"
56226," ACT says author unidentified, but Commons gives name: User:Jahsensie"
56108," ACT says author unidentified, but Commons gives name: Veipaofms"
55955," ACT says author unidentified, but Commons gives name: Willemnabuurs"
55864," ACT says author unidentified, but Commons gives name: Wolfgang Sauber"
56193," ACT says author unidentified, but Commons gives name: Wolfgang Sauber"
58639," ACT says author unidentified, but Commons gives name: Wolfgang Sauber"
56953," Commons says name unknown, but ACT gives name: active 1400-1415 Master of the Cité des Dames"
56287," Commons says name unknown, but ACT gives name: active 15th century Boucicaut Master"
55199," Commons says name unknown, but ACT gives name: Anonymous 17th century Master in the manner of Jan de Bray"
55373," Commons says name unknown, but ACT gives name: Christian Egenolf Erben"
55186," Commons says name unknown, but ACT gives name: French (active 12th century in Limoges) Unknown Miniaturist"
55572," Commons says name unknown, but ACT gives name: Italian School"
56051," Commons says name unknown, but ACT gives name: Ivan Alekseevich Ermenev"
57643," Commons says name unknown, but ACT gives name: Manuel Tzykandyles"
57957," Commons says name unknown, but ACT gives name: Master of the Registrum Gregorii"
55958," Commons says name unknown, but ACT gives name: Rudolf von Ems"
57197," Commons says name unknown, but ACT gives name: Tim Ashkar"
56266, Low similarity ratio: 0 between ACT name: Aleksandr Andreevich Ivanov and Commons name: Русский:
58428, Low similarity ratio: 0 between ACT name: Banksy and Commons name: The i-i
55420, Low similarity ratio: 0 between ACT name: Maurice Harron and Commons name: {{{1}}}
56181, Low similarity ratio: 0 between ACT name: Timothy Schmalz and Commons name: Kjp993
56117, Low similarity ratio: 0 between ACT name: Unknown and Commons name: GFreihalter
48066, Low similarity ratio: 10 between ACT name: Master of the School of Tavara Emetrius and Commons name: Ende
56476, Low similarity ratio: 10 between ACT name: Mikhail Reva and Commons name: HOBOPOCC
57780, Low similarity ratio: 10 between ACT name: Paulamaria Walter and Commons name: Geak
56144, Low similarity ratio: 11 between ACT name: Hsieh Ying-chun and Roan Ching-yueh Marco Casagrande and Commons name: Movez
57340, Low similarity ratio: 12 between ACT name: Amos Supuni and Commons name: Ellywa
57733, Low similarity ratio: 12 between ACT name: C J Fleury and Commons name: English:
55625, Low similarity ratio: 12 between ACT name: Skip Wallen and Commons name: Brbbl
54223, Low similarity ratio: 13 between ACT name: 1386?-1466 Donatello and Commons name: Yair Haklai
57052, Low similarity ratio: 13 between ACT name: Giovanni Battista Gaulli and Commons name: Daderot
57834, Low similarity ratio: 14 between ACT name: Andrea Michnay and Commons name: Globetrotter19
58846, Low similarity ratio: 14 between ACT name: Don Desiderio Hernández Xochitiotzin and Commons name: Isaacvp
55677, Low similarity ratio: 14 between ACT name: Marshall M. Fredericks and Commons name: Notwist
57807, Low similarity ratio: 14 between ACT name: Richard Norris Brooke and Commons name: Daderot
55466, Low similarity ratio: 15 between ACT name: di Fredi Bartolo and Commons name: Vignaccia76
57448, Low similarity ratio: 15 between ACT name: Herbert Boeckl and Commons name: Johann Jaritz
57510, Low similarity ratio: 15 between ACT name: Jan Gierveld and Commons name: Willem Nabuurs
58452, Low similarity ratio: 15 between ACT name: John James Audubon and Commons name: Rawpixel
56152, Low similarity ratio: 15 between ACT name: Lucas Cranach and Commons name: Attributed to
57394, Low similarity ratio: 15 between ACT name: van Leyden Lucas and Commons name: Rijksmuseum
55589, Low similarity ratio: 16 between ACT name: Pippa Blackall and Commons name: John Salmon
55976, Low similarity ratio: 17 between ACT name: Dr. Geebers and Commons name: Hywel Williams
56194, Low similarity ratio: 17 between ACT name: Felix Lieftuchter and Commons name: Nheyob
56147, Low similarity ratio: 17 between ACT name: Louis Joseph Strater and Commons name: Marikevanroon20
55127, Low similarity ratio: 17 between ACT name: Lucas Cranach and Commons name: Workshop of
57234, Low similarity ratio: 17 between ACT name: McMow Art Glass Incorporated and Commons name: Deisenbe
58051, Low similarity ratio: 18 between ACT name: Adam Kossowski and Commons name: NewsletterTheFriars
58065, Low similarity ratio: 18 between ACT name: Adam Kossowski and Commons name: NewsletterTheFriars
57745, Low similarity ratio: 18 between ACT name: Charles-Albert Wulffleff and Commons name: Photowalk
56106, Low similarity ratio: 18 between ACT name: Fernando López Hernández and Commons name: Joxemai
56319, Low similarity ratio: 18 between ACT name: George Millereau and Commons name: Vassil
57979, Low similarity ratio: 18 between ACT name: George Nakashima and Commons name: IM3847
54726, Low similarity ratio: 18 between ACT name: Gerard Bruning and Commons name: Erik1980
57283, Low similarity ratio: 18 between ACT name: Nicolas Cordier and Commons name: Jastrow
55735, Low similarity ratio: 18 between ACT name: Norman Rockwell and Commons name: English:
57876, Low similarity ratio: 18 between ACT name: Richard Chávez and Commons name: Jl FilpoC
56869, Low similarity ratio: 18 between ACT name: Unknown sculptor and Commons name: Nheyob
55568, Low similarity ratio: 19 between ACT name: Antonio Barluzzi and Commons name: Otter
56156, Low similarity ratio: 19 between ACT name: Augustin Alois Probst and Commons name: Buchhändler
55671, Low similarity ratio: 19 between ACT name: Brad Howe and Commons name: Ernesto Perales Soto (fotografía de)
57316, Low similarity ratio: 19 between ACT name: JoKarl Huber and Commons name: Adrix3000
57914, Low similarity ratio: 19 between ACT name: Jose Datuin and Commons name: Judgefloro
55505, Low similarity ratio: 19 between ACT name: Karl Hultström and Commons name: Boberger
58100, Low similarity ratio: 19 between ACT name: Oscar Niemeyer and Commons name: Cayambe
57786, Low similarity ratio: 19 between ACT name: Pieter Bruegel and Commons name: Deutsch:
54765, Low similarity ratio: 20 between ACT name: Andrea Pozzo and Commons name: RobyBS89
56003, Low similarity ratio: 20 between ACT name: Barthélémy-François Chardigny and Commons name: Georges Seguin (
55841, Low similarity ratio: 20 between ACT name: Benno Elkan and Commons name: Deror avi
57392, Low similarity ratio: 20 between ACT name: Eddie Dixon and Commons name: Jennifer Rangubphai
58594, Low similarity ratio: 20 between ACT name: Herbert Boeckl and Commons name: Uoaei1
55999, Low similarity ratio: 20 between ACT name: Lee Lawrie and Commons name: Ammodramus
58426, Low similarity ratio: 20 between ACT name: Lucio Fontana and Commons name: Wmpearl
56770, Low similarity ratio: 21 between ACT name: Conrad Schmitt Studios and Commons name: Nheyob
58598, Low similarity ratio: 21 between ACT name: Eugene Francis Savage and Commons name: Carol M. Highsmith
58640, Low similarity ratio: 21 between ACT name: Eva Kun and Commons name: Thaler Tamas
56076, Low similarity ratio: 21 between ACT name: Father George Saget and Commons name: Jonas Roux
58450, Low similarity ratio: 21 between ACT name: George Segal and Commons name: Carol M. Highsmith
56961, Low similarity ratio: 21 between ACT name: John Quincy Adams Ward and Commons name: Wmpearl
58635, Low similarity ratio: 21 between ACT name: Joop Sjollema and Commons name: ArjanH
