act,filename,problem
46511, Guido Reni 042.jpg ," ACT inception: 1641, Commons inception: 1640"
46521, Giotto di Bondone 036.jpg ," ACT inception: 1305, Commons inception: 1304"
46561, Guido Reni Neapolitan Baroque painting (1630–1642).jpg ," ACT date range: 1630-1642, Commons date range: 1641-1642"
46566, Giotto di Bondone 010.jpg ," ACT inception: 1305, Commons inception: 1304"
46609, Bernaerd van Orley 006.jpg ," ACT inception: 1525, Commons inception: 1550"
46620," Georges de La Tour - The New-born (detail, Musée des Beaux-Arts de Rennes).jpg "," ACT inception: 1646, Commons inception: 1645"
46624, Georges de La Tour 047.jpg ," ACT date range: 1625-1650, Commons date range: 1624-1650"
46741, Giotto di Bondone 013.jpg ," ACT inception: 1305, Commons inception: 1304"
46994," Correggio-Saints Peter, Martha, Mary Magdalen, and Leonard.jpg "," ACT inception: 1517, Commons inception: 1510"
47004, Cimabue 020.jpg ," ACT inception: 1279, Commons inception: 1250"
47413, Giotto di Bondone 033.jpg ," ACT inception: 1305, Commons inception: 1304"
47449," Giotto di Bondone - Pietà, Detail.jpg "," ACT inception: 1365, Commons inception: 1300"
49146, Dieric Bouts 004.jpg ," ACT inception: 1467, Commons inception: 1465"
49151, Duccio di Buoninsegna 069.jpg ," ACT inception: 1309, Commons inception: 1350	"
49484, Jacopo Pontormo 067.jpg ," ACT inception: 1527, Commons inception: 1525"
49485, Jacopo Pontormo 068.jpg ," ACT inception: 1527, Commons inception: 1526"
49591, Jan Baegert 001.jpg ," no dates retrieved. Commons data: [""Deutsch:"", ""1. Viertel 16. Jh."", ""English:"", ""1st quarter of 16th century""]"
49622, Hubert van Eyck 008.jpg ," ACT inception: 1429, Commons inception: 1450"
49623, Hubert van Eyck 009.jpg ," ACT inception: 1429, Commons inception: 1432"
49625, Hubert van Eyck 011.jpg ," ACT inception: 1429, Commons inception: 1432"
49629, Agape feast 03.jpg ," ACT inception: 250, Commons inception: 350"
49952, Detail croix qara kelisa iran.jpg ," no dates retrieved. Commons data: [""6 June 2005\u00a0(according to"", ""Exif"", ""data)""]"
49977, Sant'Ignazio - affresco soffitto -antmoose.jpg ," ACT inception: 1650, Commons inception: 1690"
49978," Sarcophage à arbres, Louvre 00.JPG "," ACT inception: 300, Commons inception: 350"
