qid,label_en,description_en,act_uuid,act,act_ref1_hash,act_ref1_retrieved_nodeId,act_ref1_retrieved_val,act_ref1_retrieved_prec,inventory_number_uuid,inventory_number,inventory_number_collection,inventory_number_ref1_hash,inventory_number_ref1_referenceUrl,inventory_number_ref1_retrieved_nodeId,inventory_number_ref1_retrieved_val,inventory_number_ref1_retrieved_prec,title_uuid,title,title_ref1_hash,title_ref1_referenceUrl,title_ref1_retrieved_nodeId,title_ref1_retrieved_val,title_ref1_retrieved_prec,creator_uuid,creator,creator_object_has_role,creator_ref1_hash,creator_ref1_referenceUrl,creator_ref1_retrieved_nodeId,creator_ref1_retrieved_val,creator_ref1_retrieved_prec,instance_of_uuid,instance_of,instance_of_ref1_hash,instance_of_ref1_referenceUrl,instance_of_ref1_retrieved_nodeId,instance_of_ref1_retrieved_val,instance_of_ref1_retrieved_prec,inception_uuid,inception_nodeId,inception_val,inception_prec,inception_earliest_date_nodeId,inception_earliest_date_val,inception_earliest_date_prec,inception_latest_date_nodeId,inception_latest_date_val,inception_latest_date_prec,inception_sourcing_circumstances,inception_ref1_hash,inception_ref1_referenceUrl,inception_ref1_retrieved_nodeId,inception_ref1_retrieved_val,inception_ref1_retrieved_prec,country_of_origin_uuid,country_of_origin,country_of_origin_ref1_hash,country_of_origin_ref1_referenceUrl,country_of_origin_ref1_retrieved_nodeId,country_of_origin_ref1_retrieved_val,country_of_origin_ref1_retrieved_prec,copyright_status_uuid,copyright_status,copyright_status_applies_to_jurisdiction,copyright_status_determination_method,copyright_status_ref1_hash,copyright_status_ref1_referenceUrl,copyright_status_ref1_retrieved_nodeId,copyright_status_ref1_retrieved_val,copyright_status_ref1_retrieved_prec,image_uuid,image,image_ref1_hash,image_ref1_referenceUrl,image_ref1_retrieved_nodeId,image_ref1_retrieved_val,image_ref1_retrieved_prec,collection_uuid,collection,collection_ref1_hash,collection_ref1_referenceUrl,collection_ref1_retrieved_nodeId,collection_ref1_retrieved_val,collection_ref1_retrieved_prec
Q3927386,"Four Saints - Peter, Martha, Mary Magdalen and Leonard",painting by 1489?-1534 Correggio,,46994,,,2022-04-04,,,,,,,,,,,,,,,,,,Q8457,,,,,,,,Q3305213,,"https://commons.wikimedia.org/wiki/File:Correggio-Saints_Peter,_Martha,_Mary_Magdalen,_and_Leonard.jpg",,2022-04-04,,,,1515-01-01T00:00:00Z,9,,,,,,,Q5727902,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46994,,2022-04-04,,,Q30,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46994,,2022-04-04,,,,,,,,,,,,"Correggio-Saints Peter, Martha, Mary Magdalen, and Leonard.jpg",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46994,,2022-04-04,,,,,,,,
Q97378816,Apotheosis of St. Ignatius,fresco by Andrea Pozzo,,49977,,,2022-04-04,,,,,,,,,,,Apotheosis of St. Ignatius,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49977,,2022-04-04,,,Q380103,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49977,,2022-04-04,,,Q22669139,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49977,,2022-04-04,,,,1697-01-01T00:00:00Z,9,,1685-01-01T00:00:00Z,9,,1709-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49977,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49977,,2022-04-04,,,Q19652,Q60332278,Q29940705,,,,,,,Sant'Ignazio - affresco soffitto -antmoose.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49977,,2022-04-04,,,,,,,,
Q110940151,Landscape with the parable of the Good Samaritan,painting by Henri Bles,,55020,,,2022-04-04,,,,,,,,,,,Landscape with the parable of the Good Samaritan,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55020,,2022-04-04,,,Q677006,,,,,,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55020,,2022-04-04,,,,,,,,,,,,,,,,,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55020,,2022-04-04,,,,,,,,,,,,Met-de-bles-2.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55020,,2022-04-04,,,,,,,,
Q110765142,Study of a Flying Sparrow,painting by Giovanni da Udine,,55871,,,2022-04-04,,,,,,,,,,,Study of a Flying Sparrow,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55871,,2022-04-04,,,Q983350,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55871,,2022-04-04,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55871,,2022-04-04,,,,,,,,,,,,,,,,,,,Q34,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55871,,2022-04-04,,,Q19652,Q60332278,Q29940705,,https://commons.wikimedia.org/wiki/File:Giovanni_Da_Udine_-_Study_of_a_Flying_Sparrow_-_WGA09431.jpg,,2022-04-04,,,Giovanni Da Udine - Study of a Flying Sparrow - WGA09431.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55871,,2022-04-04,,,,,,,,
Q64787178,The Lamb,painitng by Paul Klee,,56576,,,2022-03-30,,,,,,,,,,,The Lamb,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56576,,2022-03-30,,,Q44007,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56576,,2022-03-30,,,Q3305213,,,,,,,,1920-01-01T00:00:00Z,7,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56576,,2022-03-30,,,Q183,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56576,,2022-03-30,,,,,,,,,,,,Paul Klee - The Lamb - Google Art Project.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56576,,2022-03-30,,,,,,,,
Q19858782,"Jesus Before Pilate, First Interview",watercolor by James Tissot,,56679,,,2022-03-30,,,,,,,,,,,"Jesus Before Pilate, First Interview",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56679,,2022-03-30,,,Q381248,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56679,,2022-03-30,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56679,,2022-03-30,,,,1890-01-01T00:00:00Z,9,,1886-01-01T00:00:00Z,9,,1894-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56679,,2022-03-30,,,Q30,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56679,,2022-03-30,,,Q19652,Q60332278,Q29940705,,,,,,,"Jesus Before Pilate, First Interview.jpg",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56679,,2022-03-30,,,,,,,,
Q19858708,Woman with an Infirmity of Eighteen Years,watercolor by James Tissot,,57031,,,2022-03-30,,,,,,,,,,,Woman with an Infirmity of Eighteen Years,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57031,,2022-03-30,,,Q381248,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57031,,2022-03-30,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57031,,2022-03-30,,,,1891-01-01T00:00:00Z,9,,1886-01-01T00:00:00Z,9,,1896-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57031,,2022-03-30,,,Q30,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57031,,2022-03-30,,,Q19652,Q60332278,Q29940705,,,,,,,HealWomanSabbath.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57031,,2022-03-30,,,,,,,,
Q64962726,Comforters of Job,print by William Blake,,57718,,,2022-03-30,,,,,,,,,,,Comforters of Job,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57718,,2022-03-30,,,Q41513,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57718,,2022-03-30,,,Q11060274,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57718,,2022-03-30,,,,1825-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57718,,2022-03-30,,,,,,,,,,Q19652,Q60332278,Q29940705,,https://commons.wikimedia.org/wiki/File:Blake_Job_7.jpg,,2022-03-30,,,Blake Job 7.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57718,,2022-03-30,,,,,,,,
Q64962737,Evil Dreams of Job,print by William Blake,,57722,,,2022-03-30,,,,,,,,,,,Evil Dreams of Job,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57722,,2022-03-30,,,Q41513,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57722,,2022-03-30,,,Q11060274,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57722,,2022-03-30,,,,1825-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57722,,2022-03-30,,,,,,,,,,Q19652,Q60332278,Q29940705,,https://commons.wikimedia.org/wiki/File:Blake_Job_A11.jpg,,2022-03-30,,,Blake Job A11.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57722,,2022-03-30,,,,,,,,
Q110113192,Every Man Also Gave Him a Piece of Money,print by William Blake,,57730,,,2022-03-30,,,,,,,,,,,Every Man Also Gave Him a Piece of Money,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57730,,2022-03-30,,,Q41513,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57730,,2022-03-30,,,Q11060274,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57730,,2022-03-30,,,,1825-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57730,,2022-03-30,,,,,,,,,,Q19652,Q60332278,Q29940705,,https://commons.wikimedia.org/wiki/File:Blake_Job_19.jpg,,2022-03-30,,,Blake Job 19.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57730,,2022-03-30,,,,,,,,
