score,artist,act,act_title,match_qid,match_label
100,Q1364698,55541,Dawn: Luther at Erfurt,Q27960145,Dawn: Luther at Erfurt
100,Q156426,57577,Meditation,Q79136505,Meditation
100,Q185850,58642,Returning to the Trenches,Q59504888,Returning to the Trenches
100,Q1883000,58035,Ezekiel Saw the Wheel,Q20490030,Ezekiel Saw the Wheel
100,Q1883000,58035,Ezekiel Saw the Wheel,Q20490032,Ezekiel Saw the Wheel
100,Q1883000,58036,Going to Church,Q20540582,Going to Church
100,Q2978902,58012,Baptism,Q104025255,Baptism
100,Q3290532,56997,Baptism in Kansas,Q29468907,Baptism in Kansas
100,Q344838,56394,Mending the Nets,Q64640129,Mending the Nets
100,Q41513,57708,Every Man Also Gave Him a Piece of Money,Q64962696,Every Man Also Gave Him a Piece of Money
100,Q41513,57708,Every Man Also Gave Him a Piece of Money,Q64962697,Every Man Also Gave Him a Piece of Money
100,Q41513,57702,When the Morning Stars Sang Together,Q23694478,When the Morning Stars Sang Together
100,Q41513,57702,When the Morning Stars Sang Together,Q64962674,When the Morning Stars Sang Together
100,Q41513,57702,When the Morning Stars Sang Together,Q64962675,When the Morning Stars Sang Together
100,Q41513,57702,When the Morning Stars Sang Together,Q64962672,When the Morning Stars Sang Together
100,Q41513,57725,When the Morning Stars Sang Together,Q23694478,When the Morning Stars Sang Together
100,Q41513,57725,When the Morning Stars Sang Together,Q64962674,When the Morning Stars Sang Together
100,Q41513,57725,When the Morning Stars Sang Together,Q64962675,When the Morning Stars Sang Together
100,Q41513,57725,When the Morning Stars Sang Together,Q64962672,When the Morning Stars Sang Together
100,Q437724,55512,St. Lawrence Distributing the Riches of the Church,Q78730114,St. Lawrence Distributing the Riches of the Church
100,Q44007,58361,New Harmony,Q19882681,New Harmony
100,Q598030,56017,Daniel Boone Escorting Settlers through the Cumberland Gap,Q104010478,Daniel Boone Escorting Settlers through the Cumberland Gap
100,Q655545,56093,Gipsy Family in Prison,Q18573311,Gipsy Family in Prison
100,Q7814,46524,Crucifix,Q3005514,Crucifix
