,commons_template,label_en,label_commons,description_en,act_uuid,act,act_ref1_hash,act_ref1_retrieved_nodeId,act_ref1_retrieved_val,act_ref1_retrieved_prec,inventory_number_uuid,inventory_number,inventory_number_collection,inventory_number_ref1_hash,inventory_number_ref1_referenceUrl,inventory_number_ref1_retrieved_nodeId,inventory_number_ref1_retrieved_val,inventory_number_ref1_retrieved_prec,title_uuid,title,title_ref1_hash,title_ref1_referenceUrl,title_ref1_retrieved_nodeId,title_ref1_retrieved_val,title_ref1_retrieved_prec,creator_uuid,creator,"creator_object_has_role,creator_ref1_hash",creator_ref1_referenceUrl,creator_ref1_retrieved_nodeId,creator_ref1_retrieved_val,creator_ref1_retrieved_prec,instance_of_uuid,instance_of,instance_of_ref1_hash,instance_of_ref1_referenceUrl,instance_of_ref1_retrieved_nodeId,instance_of_ref1_retrieved_val,instance_of_ref1_retrieved_prec,inception_uuid,inception_nodeId,inception_val,inception_prec,inception_earliest_date_nodeId,inception_earliest_date_val,inception_earliest_date_prec,inception_latest_date_nodeId,inception_latest_date_val,inception_latest_date_prec,inception_sourcing_circumstances,inception_ref1_hash,inception_ref1_referenceUrl,inception_ref1_retrieved_nodeId,inception_ref1_retrieved_val,inception_ref1_retrieved_prec,country_of_origin_uuid,country_of_origin,country_of_origin_ref1_hash,country_of_origin_ref1_referenceUrl,country_of_origin_ref1_retrieved_nodeId,country_of_origin_ref1_retrieved_val,country_of_origin_ref1_retrieved_prec,copyright_status_uuid,copyright_status,copyright_status_applies_to_jurisdiction,copyright_status_determination_method,copyright_status_ref1_hash,copyright_status_ref1_referenceUrl,copyright_status_ref1_retrieved_nodeId,copyright_status_ref1_retrieved_val,copyright_status_ref1_retrieved_prec,image_uuid,image,image_ref1_hash,image_ref1_referenceUrl,image_ref1_retrieved_nodeId,image_ref1_retrieved_val,image_ref1_retrieved_prec,collection_uuid,collection,collection_ref1_hash,collection_ref1_referenceUrl,collection_ref1_retrieved_nodeId,collection_ref1_retrieved_val,collection_ref1_retrieved_prec,work_qid,work_label
1,artwork,"Salvator Mundi, Savior of the World","Christ blessing, detail Alternative title(s): Salvator mundi, detail",painting by da Messina Antonello,,46074,,,2022-04-04,,,,,,,,,,,,,,,,,,Q5594,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46074,,2022-04-04,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Antonello_da_Messina_062.jpg,,2022-04-04,,,,1465-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46074,,2022-04-04,,,,,,,,,,Q19652,Q60332278,Q29940705,,,,,,,Antonello da Messina 062.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46074,,2022-04-04,,,,,,,,,Q3945928,Christ Blessing
5,artwork,"Mary - the Annunciation, detail",,painting by da Messina Antonello,,46141,,,2022-04-04,,,,,,,,,,,,,,,,,,Q5594,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46141,,2022-04-04,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Antonello_da_Messina_037.jpg,,2022-04-04,,,,1475-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46141,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46141,,2022-04-04,,,Q19652,Q60332278,Q29940705,,,,,,,Antonello da Messina 037.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46141,,2022-04-04,,,,,,,,,Q3332564,Virgin Annunciate
6,artwork,"Fruits and vines, detail","Italian: Madonna della Vittoria Madonna della Vittoria title QS:P1476,it:""Madonna della Vittoria "" label QS:Lit,""Madonna della Vittoria "" label QS:Lsl,""Madonna della Vittoria (Mantegna)"" label QS:Lfr,""La Vierge de la Victoire"" label QS:Les,""Madonna de la Victoria"" label QS:Larz,""مادونا ديلا فيتوريا"" label QS:Lpl,""Matka Boska Zwycięska"" label QS:Lml,""മഡോണ ഡെല്ല വിറ്റോറിയ"" label QS:Lnl,""Madonna della Vittoria"" label QS:Lvec,""Madona de ła Vitòria"" label QS:Lpt,""A Virgem da Vitória"" label QS:Len,""Madonna della Vittoria"" label QS:Lid,""Madonna della Vittoria"" label QS:Lca,""Madonna della Victoria""",painting by Andrea Mantegna,,46152,,,2022-04-04,,,INV 369,Q19675,,https://commons.wikimedia.org/wiki/File:Andrea_Mantegna_103.jpg,,2022-04-04,,,,,,,,,,Q5681,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46152,,2022-04-04,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Andrea_Mantegna_103.jpg,,2022-04-04,,,,1496-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46152,,2022-04-04,,,Q142,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46152,,2022-04-04,,,Q19652,Q60332278,Q29940705,,,,,,,Andrea Mantegna 103.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46152,,2022-04-04,,,Q19675,,https://commons.wikimedia.org/wiki/File:Andrea_Mantegna_103.jpg,,2022-04-04,,Q965822,Madonna della Vittoria
7,artwork,Detail of pelicans from painting of Christ at Gethsemane,"The Agony in the Garden of Gethsemane label QS:Lit,""Orazione nell'orto"" label QS:Lfr,""L'Agonie dans le jardin des oliviers"" label QS:Lbe-tarask,""Агонія ў Гефсіманіі"" label QS:Last,""Agonía nel Xardín"" label QS:Lca,""Oració a l'hort de Getsemaní"" label QS:Lde,""Christus im Garten Getsemani"" label QS:Lpt,""Agonia no Getsêmani"" label QS:Lbe,""Агонія ў садзе"" label QS:Lsk,""Utrpenie v záhrade"" label QS:Lpl,""Modlitwa w Ogrójcu"" label QS:Lru,""Моление о чаше"" label QS:Les,""La Agonía en el Jardín de Getsemaní"" label QS:Len,""The Agony in the Garden of Gethsemane"" label QS:Lgl,""A oración do Horto das Oliveiras"" label QS:Leo,""La Agonio en la Ĝardeno"" label QS:Lel,""Η Αγωνία στον Κήπο της Γεθσημανής"" label QS:Lcs,""Utrpení v zahradě"" (detail)",painting by Andrea Mantegna,,46158,,,2022-04-04,,,,,,,,,,,,,,,,,,Q5681,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46158,,2022-04-04,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Andrea_Mantegna_037.jpg,,2022-04-04,,,,1455-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46158,,2022-04-04,,,Q145,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46158,,2022-04-04,,,Q19652,Q60332278,Q29940705,,,,,,,Andrea Mantegna 037.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46158,,2022-04-04,,,,,,,,,Q3884945,The Agony in the Garden
8,artwork,Detail of rabbit from painting of Christ at Gethsemane,"The Agony in the Garden of Gethsemane label QS:Lit,""Orazione nell'orto"" label QS:Lfr,""L'Agonie dans le jardin des oliviers"" label QS:Lbe-tarask,""Агонія ў Гефсіманіі"" label QS:Last,""Agonía nel Xardín"" label QS:Lca,""Oració a l'hort de Getsemaní"" label QS:Lde,""Christus im Garten Getsemani"" label QS:Lpt,""Agonia no Getsêmani"" label QS:Lbe,""Агонія ў садзе"" label QS:Lsk,""Utrpenie v záhrade"" label QS:Lpl,""Modlitwa w Ogrójcu"" label QS:Lru,""Моление о чаше"" label QS:Les,""La Agonía en el Jardín de Getsemaní"" label QS:Len,""The Agony in the Garden of Gethsemane"" label QS:Lgl,""A oración do Horto das Oliveiras"" label QS:Leo,""La Agonio en la Ĝardeno"" label QS:Lel,""Η Αγωνία στον Κήπο της Γεθσημανής"" label QS:Lcs,""Utrpení v zahradě"" (detail)",painting by Andrea Mantegna,,46159,,,2022-04-04,,,,,,,,,,,,,,,,,,Q5681,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46159,,2022-04-04,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Andrea_Mantegna_038.jpg,,2022-04-04,,,,1455-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46159,,2022-04-04,,,Q145,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46159,,2022-04-04,,,Q19652,Q60332278,Q29940705,,,,,,,Andrea Mantegna 038.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46159,,2022-04-04,,,,,,,,,Q3884945,The Agony in the Garden
9,artwork,"Madonna and Child, detail","German: Altarretabel von San Zeno in Verona, Triptychon, Mitteltafel: Thronende Madonna und Engel San Zeno Altarpiece title QS:P1476,de:""Altarretabel von San Zeno in Verona, Triptychon, Mitteltafel: Thronende Madonna und Engel"" label QS:Lde,""Altarretabel von San Zeno in Verona, Triptychon, Mitteltafel: Thronende Madonna und Engel""",painting by Andrea Mantegna,,46160,,,2022-04-04,,,,,,,,,,,,,,,,,,Q5681,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46160,,2022-04-04,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Andrea_Mantegna_025.jpg,,2022-04-04,,,,1459-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46160,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46160,,2022-04-04,,,Q19652,Q60332278,Q29940705,,,,,,,Andrea Mantegna 025.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46160,,2022-04-04,,,,,,,,,Q2066739,San Zeno Altarpiece
10,artwork,"Soldiers at the Crucifixion, detail","German: Altarretabel von San Zeno in Verona Szene: Kreuzigung, Detail: Soldaten San Zeno Altarpiece title QS:P1476,de:""Altarretabel von San Zeno in Verona Szene: Kreuzigung, Detail: Soldaten"" label QS:Lde,""Altarretabel von San Zeno in Verona Szene: Kreuzigung, Detail: Soldaten""",painting by Andrea Mantegna,,46161,,,2022-04-04,,,,,,,,,,,,,,,,,,Q5681,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46161,,2022-04-04,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Andrea_Mantegna_030.jpg,,2022-04-04,,,,1459-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46161,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46161,,2022-04-04,,,Q19652,Q60332278,Q29940705,,,,,,,Andrea Mantegna 030.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46161,,2022-04-04,,,,,,,,,Q2066739,San Zeno Altarpiece
12,artwork,"Luke, the Evangelist, detail of altarpiece","Jesus, St. Lucas altarpiece label QS:Lde,""Altarretabel des Hl. Lukass"" label QS:Len,""Jesus, St. Lucas altarpiece""",painting by Andrea Mantegna,,46163,,,2022-04-04,,,,,,,,,,,,,,,,,,Q5681,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46163,,2022-04-04,,,Q3305213,,,,,,,,1453-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46163,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46163,,2022-04-04,,,Q19652,Q60332278,Q29940705,,,,,,,Andrea Mantegna 017.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46163,,2022-04-04,,,,,,,,,Q1136780,San Luca Altarpiece
13,artwork,"John, the Evangelist, detail of altarpiece","Jesus, St. Lucas altarpiece label QS:Lde,""Altarretabel des Hl. Lukass"" label QS:Len,""Jesus, St. Lucas altarpiece""",painting by Andrea Mantegna,,46164,,,2022-04-04,,,,,,,,,,,,,,,,,,Q5681,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46164,,2022-04-04,,,Q3305213,,,,,,,,1453-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46164,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46164,,2022-04-04,,,Q19652,Q60332278,Q29940705,,,,,,,Andrea Mantegna 015.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46164,,2022-04-04,,,,,,,,,Q1136780,San Luca Altarpiece
14,artwork,"Jesus Christ, detail of altarpiece","Jesus, St. Lucas altarpiece label QS:Lde,""Altarretabel des Hl. Lukas"" label QS:Len,""Jesus, St. Lucas altarpiece""", painting by Andrea Mantegna,,46165,,,2022-04-04,,,,,,,,,,,,,,,,,,Q5681,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46165,,2022-04-04,,,Q3305213,,,,,,,,1453-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46165,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46165,,2022-04-04,,,Q19652,Q60332278,Q29940705,,,,,,,Andrea Mantegna 013.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46165,,2022-04-04,,,,,,,,,Q1136780,San Luca Altarpiece
