commons_template,label_en,label_commons,description_en,act_uuid,act,act_ref1_hash,act_ref1_retrieved_nodeId,act_ref1_retrieved_val,act_ref1_retrieved_prec,inventory_number_uuid,inventory_number,inventory_number_collection,inventory_number_ref1_hash,inventory_number_ref1_referenceUrl,inventory_number_ref1_retrieved_nodeId,inventory_number_ref1_retrieved_val,inventory_number_ref1_retrieved_prec,title_uuid,title,title_ref1_hash,title_ref1_referenceUrl,title_ref1_retrieved_nodeId,title_ref1_retrieved_val,title_ref1_retrieved_prec,creator_uuid,creator,creator_object_has_role,creator_ref1_hash,creator_ref1_referenceUrl,creator_ref1_retrieved_nodeId,creator_ref1_retrieved_val,creator_ref1_retrieved_prec,instance_of_uuid,instance_of,instance_of_ref1_hash,instance_of_ref1_referenceUrl,instance_of_ref1_retrieved_nodeId,instance_of_ref1_retrieved_val,instance_of_ref1_retrieved_prec,inception_uuid,inception_nodeId,inception_val,inception_prec,inception_earliest_date_nodeId,inception_earliest_date_val,inception_earliest_date_prec,inception_latest_date_nodeId,inception_latest_date_val,inception_latest_date_prec,inception_sourcing_circumstances,inception_ref1_hash,inception_ref1_referenceUrl,inception_ref1_retrieved_nodeId,inception_ref1_retrieved_val,inception_ref1_retrieved_prec,country_of_origin_uuid,country_of_origin,country_of_origin_ref1_hash,country_of_origin_ref1_referenceUrl,country_of_origin_ref1_retrieved_nodeId,country_of_origin_ref1_retrieved_val,country_of_origin_ref1_retrieved_prec,copyright_status_uuid,copyright_status,copyright_status_applies_to_jurisdiction,copyright_status_determination_method,copyright_status_ref1_hash,copyright_status_ref1_referenceUrl,copyright_status_ref1_retrieved_nodeId,copyright_status_ref1_retrieved_val,copyright_status_ref1_retrieved_prec,image_uuid,image,image_ref1_hash,image_ref1_referenceUrl,image_ref1_retrieved_nodeId,image_ref1_retrieved_val,image_ref1_retrieved_prec,collection_uuid,collection,collection_ref1_hash,collection_ref1_referenceUrl,collection_ref1_retrieved_nodeId,collection_ref1_retrieved_val,collection_ref1_retrieved_prec
artwork,Detail of the head of an Israelite from fresco of The Crossing of the Red Sea,,painting by Agnolo Bronzino,,46133,,,2022-04-04,,,,,,,,,,,Detail of the head of an Israelite from fresco of The Crossing of the Red Sea,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46133,,2022-04-04,,,Q7803,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46133,,2022-04-04,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Angelo_Bronzino_023.jpg,,2022-04-04,,,,1541-01-01T00:00:00Z,9,,1541-01-01T00:00:00Z,9,,1542-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46133,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46133,,2022-04-04,,,Q19652,Q60332278,Q29940705,,,,,,,Angelo Bronzino 023.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46133,,2022-04-04,,,,,,,,
artwork,Angel Musicians (detail of Madonna altarpiece),"German: Madonna mit Heiligen, Szene: Maria mit Christuskind und Heiligen, Detail: Musizierende Engel title QS:P1476,de:""Madonna mit Heiligen, Szene: Maria mit Christuskind und Heiligen, Detail: Musizierende Engel"" label QS:Lde,""Madonna mit Heiligen, Szene: Maria mit Christuskind und Heiligen, Detail: Musizierende Engel""",painting by Andrea Mantegna,,46137,,,2022-04-04,,,,,,,,,,,Angel Musicians (detail of Madonna altarpiece),,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46137,,2022-04-04,,,Q5681,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46137,,2022-04-04,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Andrea_Mantegna_105.jpg,,2022-04-04,,,,1497-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46137,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46137,,2022-04-04,,,Q19652,Q60332278,Q29940705,,,,,,,Andrea Mantegna 105.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46137,,2022-04-04,,,,,,,,
artwork,Ecce Homo - 'Here is the Man' (detail),,painting by da Messina Antonello,,46212,,,2022-04-04,,,,,,,,,,,"Ecce Homo - ""Here is the Man"" (detail)",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46212,,2022-04-04,,,Q5594,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46212,,2022-04-04,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Antonello_da_Messina_005.jpg,,2022-04-04,,,,1473-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46212,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46212,,2022-04-04,,,Q19652,Q60332278,Q29940705,,,,,,,Antonello da Messina 005.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46212,,2022-04-04,,,,,,,,
artwork,"Crucifixion, detail",,painting by Albrecht Altdorfer,,46248,,,2022-04-04,,,,,,,,,,,"Crucifixion, detail",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46248,,2022-04-04,,,Q153746,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46248,,2022-04-04,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Albrecht_Altdorfer_035.jpg,,2022-04-04,,,,1512-01-01T00:00:00Z,9,,1509-01-01T00:00:00Z,9,,1516-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46248,,2022-04-04,,,Q40,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46248,,2022-04-04,,,Q19652,Q60332278,Q29940705,,,,,,,Albrecht Altdorfer 035.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46248,,2022-04-04,,,,,,,,
artwork,"Crucifixion, detail 2",,painting by Albrecht Altdorfer,,46249,,,2022-04-04,,,,,,,,,,,"Crucifixion, detail 2",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46249,,2022-04-04,,,Q153746,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46249,,2022-04-04,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Albrecht_Altdorfer_034.jpg,,2022-04-04,,,,1512-01-01T00:00:00Z,9,,1509-01-01T00:00:00Z,9,,1516-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46249,,2022-04-04,,,Q40,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46249,,2022-04-04,,,Q19652,Q60332278,Q29940705,,,,,,,Albrecht Altdorfer 034.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46249,,2022-04-04,,,,,,,,
artwork,"Joseph the Carpenter, detail of Hand of Christ Child",,painting by Georges du Mesnil de La Tour,,46625,,,2022-04-04,,,,,,,,,,,"Joseph the Carpenter, detail of Hand of Christ Child",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46625,,2022-04-04,,,Q203371,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46625,,2022-04-04,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Georges_de_La_Tour_049.jpg,,2022-04-04,,,,1637-01-01T00:00:00Z,9,,1635-01-01T00:00:00Z,9,,1640-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46625,,2022-04-04,,,Q142,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46625,,2022-04-04,,,Q19652,Q60332278,Q29940705,,,,,,,Georges de La Tour 049.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46625,,2022-04-04,,,Q19675,,https://commons.wikimedia.org/wiki/File:Georges_de_La_Tour_049.jpg,,2022-04-04,
artwork,"Adoration of the Three Kings - Flight into Egypt, detail",,painting by da Fabriano Gentile,,46678,,,2022-04-04,,,,,,,,,,,"Adoration of the Three Kings - Flight into Egypt, detail",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46678,,2022-04-04,,,Q312393,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46678,,2022-04-04,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Gentile_da_Fabriano_024.jpg,,2022-04-04,,,,1423-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46678,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46678,,2022-04-04,,,Q19652,Q60332278,Q29940705,,,,,,,Gentile da Fabriano 024.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46678,,2022-04-04,,,Q16335227,,https://commons.wikimedia.org/wiki/File:Gentile_da_Fabriano_024.jpg,,2022-04-04,
artwork,"Model of a city, detail from church altarpiece",,painting by Carlo Crivelli,,46728,,,2022-04-04,,,,,,,,,,,"Model of a city, detail from church altarpiece",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46728,,2022-04-04,,,Q348024,,,,,,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Carlo_Crivelli_036.jpg,,2022-04-04,,,,1482-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46728,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46728,,2022-04-04,,,,,,,,,,,,Carlo Crivelli 036.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46728,,2022-04-04,,,,,,,,
artwork,"Mary, detail",,painting by da Fabriano Gentile,,46771,,,2022-04-04,,,,,,,,,,,"Mary, detail",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46771,,2022-04-04,,,Q312393,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46771,,2022-04-04,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Gentile_da_Fabriano_054.jpg,,2022-04-04,,,,1400-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46771,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46771,,2022-04-04,,,Q19652,Q60332278,Q29940705,,,,,,,Gentile da Fabriano 054.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46771,,2022-04-04,,,,,,,,
artwork,"Adoration of the Three Kings, detail of Joseph at Rest",,painting by da Fabriano Gentile,,46782,,,2022-04-04,,,,,,,,,,,"Adoration of the Three Kings, detail of Joseph at Rest",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46782,,2022-04-04,,,Q312393,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46782,,2022-04-04,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Gentile_da_Fabriano_030.jpg,,2022-04-04,,,,1423-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46782,,2022-04-04,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46782,,2022-04-04,,,Q19652,Q60332278,Q29940705,,,,,,,Gentile da Fabriano 030.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46782,,2022-04-04,,,Q16335227,,https://commons.wikimedia.org/wiki/File:Gentile_da_Fabriano_030.jpg,,2022-04-04,
