act_id,qid,filename
47842,Q2529591,Fra Angelico 074.jpg
47776,Q3005521,Fra Angelico 032.jpg
57196,Q16941169,072 MS 65 F34 V.jpg
46686,Q65057453,1460 Der heilige Hieronymus in der Wüste Barber Institute of Fine Arts anagoria.jpg
55002,Q27981932,184 Württemberg und Mömpelgard Mömpelgarder Altar You know who.jpg
57977,Q18683955,1874 Monet Sommer anagoria.JPG
55507,Q11816717,1890 van Gogh First Steps - after Millet anagoria.JPG
46240,Q21617100,Abel Grimmer 002.jpg
55578,Q64800439,Adam Elsheimer - Glorification of the Cross - WGA7498.jpg
54949,Q17276233,Aert de Gelder - Het loflied van Simeon.jpg
46232,Q17334395,Aertgen van Leyden 001.jpg
58132,Q28949705,Albert Edelfelt - Sisäkuva Helsingin poikien työkodista (1885).jpg
46263,Q55854897,Albrecht Altdorfer - Kreuzigung Detail (Gemäldegalerie Alte Meister Kassel).jpg
46618,Q27978390,Albrecht Altdorfer 029.jpg
46246,Q25986,Albrecht Altdorfer 037.jpg
46241,Q25986,Albrecht Altdorfer 038.jpg
50205,Q3898508,Albrecht Dürer - The Fall of Man (Adam and Eve) - Google Art Project.jpg
46310,Q3947062,Albrecht Dürer 009.jpg
46319,Q3842750,Albrecht Dürer 010.jpg
46320,Q2448065,Albrecht Dürer 014.jpg
46306,Q2598223,Albrecht Dürer 017.jpg
46327,Q16055586,Albrecht Dürer 025.jpg
46326,Q829270,Albrecht Dürer 026.jpg
46325,Q829270,Albrecht Dürer 027.jpg
46324,Q48447927,Albrecht Dürer 032.jpg
46323,Q3428032,Albrecht Dürer 043.jpg
46271,Q571122,Albrecht Dürer 068.jpg
46303,Q2628761,Albrecht-Dürer-005.jpg
46269,Q3618168,Alesso Baldovinetti 003.jpg
54933,Q3910903,Ambrogio Lorenzetti - Presentazione di Gesù al tempio - Google Art Project.jpg
46208,Q3703387,Andrea del Castagno 002.jpg
54951,Q1635039,Andrea del Verrocchio 003.jpg
46165,Q1136780,Andrea Mantegna 013.jpg
46164,Q1136780,Andrea Mantegna 015.jpg
46163,Q1136780,Andrea Mantegna 017.jpg
46160,Q2066739,Andrea Mantegna 025.jpg
46161,Q2066739,Andrea Mantegna 030.jpg
46158,Q3884945,Andrea Mantegna 037.jpg
46159,Q3884945,Andrea Mantegna 038.jpg
46152,Q965822,Andrea Mantegna 103.jpg
55008,Q17323503,Anonymous - Rich man and Lazarus ca. 1610.jpg
46134,Q609576,Anthony van Dyck - Crowning with Thorns - WGA07433.jpg
46215,Q2715353,Antonello da Messina - St Jerome in his study - National Gallery London - detail.jpg
46130,Q3332564,"Antonello da Messina - Virgin Annunciate - Galleria Regionale della Sicilia, Palermo.jpg"
46141,Q3332564,Antonello da Messina 037.jpg
46074,Q3945928,Antonello da Messina 062.jpg
57969,Q3778388,"Arazzi di raffaello, cartone 05.1.jpg"
58679,Q110506497,Archibald Thorburn Warbler and Wrens 1913.jpg
54934,Q3769169,Artemisia Gentileschi - Giuditta decapita Oloferne - Google Art Project-Adjust.jpg
55556,Q18573424,Axel Jungstedt.- I stenbrottet..jpg
54955,Q27898358,"Backhuysen, Ludolf - Christ in the Storm on the Sea of Galilee - 1695.jpg"
46610,Q16627776,Bartolomé Esteban Perez Murillo - The Holy Family with a Bird - WGA16356.jpg
55205,Q5659824,Bartolomé Esteban Perez Murillo - The Young Beggar.jpg
56395,Q20091450,Basaiti Call of the Sons of Zebedee.jpg
46411,Q12902420,Benozzo Gozzoli 004.jpg
46608,Q27697334,Bernaerd van Orley 001FXD.jpg
46634,Q18572492,Bernardino Luini 001.jpg
46613,Q3907521,Bernardo Daddi 003.jpg
46589,Q5966403,Berthe Morisot 008.jpg
55471,Q17491814,Bonnat02.jpg
55414,Q2551625,Botticelli - A Virgem do Magnificat 2.jpg
55256,Q2416277,"Botticelli, Pala della Convertite.jpg"
56475,Q23301547,Brandt Prayer in the steppe.jpg
54956,Q28801633,Brooklyn Museum - Christ Child with Passion Symbols - overall.jpg
57765,Q19858326,Brooklyn Museum - The Foolish Virgins (Les vierges folles) - James Tissot (cropped).jpg
57927,Q19858213,Brooklyn Museum - The Magnificat (Le magnificat) - James Tissot - overall .jpg
56404,Q18574350,Bruno Liljefors - Sea Eagles Nest.jpg
55621,Q2734679,Caravaggio Martha&Mary.jpg
49943,Q685916,Caravaggio-Crucifixion of Peter.jpg
57395,Q19689027,Carel Fabritius - Hagar and the Angel - WGA07722.jpg
46701,Q13726073,Carel Fabritius - The Goldfinch.jpg
58108,Q18573952,Carl Wilhelmson - Church-Goers in a Boat - Google Art Project.jpg
46714,Q3842658,Carlo Crivelli 002.jpg
46786,Q3698183,Carlo Crivelli 003.jpg
46469,Q3605544,Carlo Crivelli 038.jpg
46470,Q3907527,Carlo Crivelli 042.jpg
57229,Q20887918,Carlo Saraceni - The Martyrdom of St Cecilia - WGA20831.jpg
47249,Q16038721,Caspar David Friedrich - Evening - WGA08272.jpg
58408,Q18603171,Caspar David Friedrich - Frau auf der Treppe.jpg
46806,Q1451490,Caspar David Friedrich 018.jpg
