act_id,flickr_id,license,new_license,url
54189,1356007875,by-nc/2.0/,,http://www.flickr.com/photos/pelegrino/1356007875/
54378,2554096278,by-nc-nd/2.0/,,http://www.flickr.com/photos/jimforest/2554096278/
54239,986530941,by-nc-nd/2.0/,,http://www.flickr.com/photos/jimforest/986530941/
54238,3126642715,by-nc-sa/2.0/,,http://www.flickr.com/photos/mistersmed/3126642715/
54237,3674881568,All Rights Reserved,by/2.0/,http://www.flickr.com/photos/lukasz-dunikowski/3674881568/
54164,221008978,,,http://www.flickr.com/photos/swperman/221008978/
56658,2051227883,by-nc-nd/2.0/,,https://www.flickr.com/photos/umccongo/2051227883
56622,26026077355,by-nc-nd/2.0/,,"https://www.flickr.com/photos/paullew/26026077355 - Fr Lawrence Lew, O.P."
56630,8493819053,by-nc-nd/2.0/,,"https://www.flickr.com/photos/paullew/8493819053 - Fr Lawrence Lew, O.P."
56631,36468986901,,,https://www.flickr.com/photos/junaidrao/36468986901
56632,5842958073,All Rights Reserved,by/2.0/,https://www.flickr.com/photos/futurilla/5842958073/
56635,4288827165,All Rights Reserved,by/2.0/,https://www.flickr.com/photos/josephleenovak/4288827165
56636,14890407643,by-nc-nd/2.0/,,https://www.flickr.com/photos/wallyg/14890407643
56637,27393027736,by-sa/2.0/,,https://www.flickr.com/photos/timevanson/27393027736 - Tim Evanson
56616,16120011720,by-nc-nd/2.0/,,"https://www.flickr.com/photos/paullew/16120011720 - Fr Lawrence Lew, O.P"
56619,414242160,by-nc-nd/2.0/,,https://www.flickr.com/photos/quaknit/414242160/ - Mike Alda
54360,3706533213,All Rights Reserved,by-nc-nd/2.0/,http://www.flickr.com/photos/scrc/3706533213/
54391,3355508277,by/2.0/,,http://www.flickr.com/photos/ru_boff/3355508277/
46584,41059657910,"[{'date_change': 1538361194, 'old_license': 'Attribution-NonCommercial License', 'old_license_url': 'https://creativecommons.org/licenses/by-nc/2.0/', 'new_license': 'Attribution License', 'new_license_url': 'https://creativecommons.org/licenses/by/2.0/'}, {'date_change': 1546486994, 'old_license': 'Attribution License', 'old_license_url': 'https://creativecommons.org/licenses/by/2.0/', 'new_license': 'Attribution License', 'new_license_url': 'https://creativecommons.org/licenses/by/2.0/'}]",,https://www.flickr.com/photos/bradhostetler/41059657910
58830,45425440315,by-nd/2.0/,,https://www.flickr.com/photos/thomasgood/45425440315/in/photolist-2cd6fNP-dZaqEW-fvmpPN-i4gfDQ-bDMobg-nqNEvR-D2eJxa-mWQf1Z-aZjeM6-6MC6LN-Tj1rXE-JS4Kjw-2huzWqJ-bPNxTt-2kcSysW-Hj7rkP-29Zr3me-2gFrDwr-oy3oxA-2kcSAWD-2hQ3TFn-mXFZAg-2kcSx7K-2kcS9tc-2kcSxyg-2kcNguw-2kLTWDu-2kGqnSY-2kGqoYv-2kLTv7M-djZasm-2kLTv71-2kLPHXg-2kGqn1Y-2hoUdbs-KGonx8-2b95Cx9-GoJ4kM-AaEjVe-2hv9puE-TYZLRq-2hvaryt-2gi7tkK-bPNzGM-2hnrrcH-Fw8dps-2hKNtb4-p9wL4w-aX7CTr-2jUR3ZX
54385,2802849111,"[{'date_change': 1236703921, 'old_license': 'All Rights Reserved', 'old_license_url': '', 'new_license': 'Attribution-NonCommercial-NoDerivs License', 'new_license_url': 'https://creativecommons.org/licenses/by-nc-nd/2.0/'}, {'date_change': 1239587274, 'old_license': 'Attribution-NonCommercial-NoDerivs License', 'old_license_url': 'https://creativecommons.org/licenses/by-nc-nd/2.0/', 'new_license': 'Attribution-NonCommercial-NoDerivs License', 'new_license_url': 'https://creativecommons.org/licenses/by-nc-nd/2.0/'}, {'date_change': 1328364030, 'old_license': 'Attribution-NonCommercial-NoDerivs License', 'old_license_url': 'https://creativecommons.org/licenses/by-nc-nd/2.0/', 'new_license': 'Attribution License', 'new_license_url': 'https://creativecommons.org/licenses/by/2.0/'}]",,http://www.flickr.com/photos/adavey/2802849111/
54383,2501766883,by-nc-nd/2.0/,,https://www.flickr.com/photos/luxulterior/2501766883
54380,2553279181,by-nc-nd/2.0/,,http://www.flickr.com/photos/jimforest/2553279181/
54405,1006500357,by-nc/2.0/,,http://www.flickr.com/photos/paullew/1006500357/
54406,42279160,by/2.0/,,http://www.flickr.com/photos/antmoose/42279160/
47457,39857380592,by/2.0/,,https://www.flickr.com/photos/36217981@N02/39857380592
54236,343060350,by-nc-nd/2.0/,,http://www.flickr.com/photos/lorenabuena/343060350/
48070,45889226434,by/2.0/,,https://www.flickr.com/photos/dalbera/45889226434/ - CC BY 2.0
58480,46674241004,by/2.0/,,https://www.flickr.com/photos/22711505@N05/46674241004
58462,413448324,by-nc-sa/2.0/,by/2.0/,https://www.flickr.com/photos/oxfordshire_church_photos/413448324 - Martin Beek
56638,2499465520,by/2.0/,,https://www.flickr.com/photos/thechristianalert/2499465520/
56614,8616284980,by-nc-nd/2.0/,,"https://www.flickr.com/photos/paullew/8616284980/ - Fr Lawrence LEw, O.P."
55237,6410830967,,,http://www.flickr.com/photos/feargal/6410830967/
54389,5797176382,by-nc/2.0/,,https://www.flickr.com/photos/dgjones/5797176382/
54222,561258331,by-nc/2.0/,,http://www.flickr.com/photos/pelegrino/561258331/
54229,2232804348,"[{'date_change': 1559741512, 'old_license': 'Attribution License', 'old_license_url': 'https://creativecommons.org/licenses/by/2.0/', 'new_license': 'All Rights Reserved', 'new_license_url': ''}, {'date_change': 1560162146, 'old_license': 'All Rights Reserved', 'old_license_url': '', 'new_license': 'All Rights Reserved', 'new_license_url': ''}, {'date_change': 1560162959, 'old_license': 'All Rights Reserved', 'old_license_url': '', 'new_license': 'All Rights Reserved', 'new_license_url': ''}, {'date_change': 1572344852, 'old_license': 'All Rights Reserved', 'old_license_url': '', 'new_license': 'All Rights Reserved', 'new_license_url': ''}]",,http://www.flickr.com/photos/clairity/2232804348/
