RecordNumber,CopyrightStatement
55510,http://commons.wikimedia.org/wiki/File:%22Ancestral_Legacy%22_1.jpg
56878,https://commons.wikimedia.org/wiki/File:%22The_Hand%22_by_Vincent_deForest_(2945438329).jpg
56362,https://commons.wikimedia.org/wiki/File:34_Street_Penn_Station_art_vc.jpg
55679,http://commons.wikimedia.org/wiki/File:Ai_Weiwei-So_sorry.JPG
54488,https://commons.wikimedia.org/wiki/File:Dome_painting_2_in_Abuna_Yemata_Guh.jpg
55558,http://commons.wikimedia.org/wiki/File:Fire_sculpture_outside_the_Tate_Modern_-_geograph.org.uk_-_1498643.jpg
55819,http://commons.wikimedia.org/wiki/File:Geertgen_tot_Sint_Jans_The_Tree_of_Jesse.jpg
56503,https://commons.wikimedia.org/wiki/File:Hosana_Rings.jpg
55567,"http://commons.wikimedia.org/wiki/File:Jericho,_Royal_Academy_of_Art,_Piccadilly_SW1_-_geograph.org.uk_-_1281845.jpg"
55400,http://commons.wikimedia.org/wiki/File:Lorenzo_Quinn_Vroom_Vroom_London_Park_Lane_1.jpg
54644,http://commons.wikimedia.org/wiki/File:Metz_-_Cath%C3%A9drale_-_Vitrail_-_Chagall_-1.JPG
55474,http://commons.wikimedia.org/wiki/File:Modern_art_-_Buenos_Aires.jpg
54979,http://commons.wikimedia.org/wiki/File:Parable_of_the_Wheat_and_the_Tares_(1624)_Abraham_Bloemaert.jpg
55179,http://commons.wikimedia.org/wiki/File:Previtali_trinita.jpg
55790,http://commons.wikimedia.org/wiki/File:RMontenegroBADF.JPG
56888,https://commons.wikimedia.org/wiki/File:Tabitha_logo_01.jpg
56061,https://commons.wikimedia.org/wiki/File:Thanksgiving_chapel_interior_.jpg
55533,http://commons.wikimedia.org/wiki/File:Wershofen_St.Vincentius_Fenster642.JPG
