act_id,qid,commons_iri,commons_filename,commons_page_url
57051,Q111842422,http://commons.wikimedia.org/wiki/Special:FilePath/V%C3%A1s%C3%A1rosnam%C3%A9ny%20-%20M%C3%A1lenkij%20robotra%20elhurcoltak%20eml%C3%A9k%C3%A9re%202013.02.05%20%2859%29.JPG,Vásárosnamény - Málenkij robotra elhurcoltak emlékére 2013.02.05 (59).JPG,https://commons.wikimedia.org/wiki/File:V%C3%A1s%C3%A1rosnam%C3%A9ny_-_M%C3%A1lenkij_robotra_elhurcoltak_eml%C3%A9k%C3%A9re_2013.02.05_(59).JPG
57245,Q111842558,http://commons.wikimedia.org/wiki/Special:FilePath/Kalvarienberg%2C%20Jerzens%2008.JPG,"Kalvarienberg, Jerzens 08.JPG","https://commons.wikimedia.org/wiki/File:Kalvarienberg,_Jerzens_08.JPG"
57400,Q111842560,http://commons.wikimedia.org/wiki/Special:FilePath/Sacrifice%20d.%20Abraham%3B%20Loue%20don%20de%20Dieu%20%28Sacrifice%20of%20Abraham%2C%20Praise%20the%20gift%20of%20God%29%20-%20Recto%20%2816099058663%29.jpg,"Sacrifice d. Abraham; Loue don de Dieu (Sacrifice of Abraham, Praise the gift of God) - Recto (16099058663).jpg","https://commons.wikimedia.org/wiki/File:Sacrifice_d._Abraham%3B_Loue_don_de_Dieu_(Sacrifice_of_Abraham,_Praise_the_gift_of_God)_-_Recto_(16099058663).jpg"
57536,Q111842341,http://commons.wikimedia.org/wiki/Special:FilePath/Nativity%2C%20Constantinople%2C%20late%2010th%20to%20early%2011th%20century%20AD%2C%20ivory%20-%20Vatican%20Museums%20-%20DSC00720.jpg,"Nativity, Constantinople, late 10th to early 11th century AD, ivory - Vatican Museums - DSC00720.jpg","https://commons.wikimedia.org/wiki/File:Nativity,_Constantinople,_late_10th_to_early_11th_century_AD,_ivory_-_Vatican_Museums_-_DSC00720.jpg"
57587,Q111842546,http://commons.wikimedia.org/wiki/Special:FilePath/Arles%20sarcophagus%20Red%20sea%20crossing.jpg,Arles sarcophagus Red sea crossing.jpg,https://commons.wikimedia.org/wiki/File:Arles_sarcophagus_Red_sea_crossing.jpg
57870,Q111842219,http://commons.wikimedia.org/wiki/Special:FilePath/Extension%20work%20among%20Negroes%201920%20%281921%29%20%2814782828532%29.jpg,Extension work among Negroes 1920 (1921) (14782828532).jpg,https://commons.wikimedia.org/wiki/File:Extension_work_among_Negroes_1920_(1921)_(14782828532).jpg
57757,Q111842507,http://commons.wikimedia.org/wiki/Special:FilePath/Piece%20of%20the%20Berlin%20Wall%20displayed%20at%20the%20Newseum%20museum%2C%20Arlington%2C%20Virginia%20LCCN2011633777.tif,"Piece of the Berlin Wall displayed at the Newseum museum, Arlington, Virginia LCCN2011633777.tif","https://commons.wikimedia.org/wiki/File:Piece_of_the_Berlin_Wall_displayed_at_the_Newseum_museum,_Arlington,_Virginia_LCCN2011633777.tif"
57930,Q111842445,http://commons.wikimedia.org/wiki/Special:FilePath/Mother%20Teresa%20by%20Ariel%20Quiroz%20-%20Portrait.jpg,Mother Teresa by Ariel Quiroz - Portrait.jpg,https://commons.wikimedia.org/wiki/File:Mother_Teresa_by_Ariel_Quiroz_-_Portrait.jpg
57349,Q112181473,http://commons.wikimedia.org/wiki/Special:FilePath/Albrecht%20Altdorfer%20-%20The%20Arrest%20of%20Christ%20-%20WGA00224.jpg,Albrecht Altdorfer - The Arrest of Christ - WGA00224.jpg,https://commons.wikimedia.org/wiki/File:Albrecht_Altdorfer_-_The_Arrest_of_Christ_-_WGA00224.jpg
57645,Q112181511,http://commons.wikimedia.org/wiki/Special:FilePath/Hortus%20deliciarum%20Jesse%20tree.jpg,Hortus deliciarum Jesse tree.jpg,https://commons.wikimedia.org/wiki/File:Hortus_deliciarum_Jesse_tree.jpg
