filename,template_type,artist,author,title,description,depicted people,depicted place,date,medium,dimensions,institution,department,accession number,place of creation,place of discovery,object history,exhibition history,credit line,inscriptions,notes,references,source,permission,other_versions,wikidata,other fields,other versions,photographer,camera coord,attribution,collection,genre,object type,source/photographer,current location
Christ in Majesty with Symbols of the Four Evangelists from Santa Maria de Mur.jpg,information,[],"[""Original fresco: unknown, 12th century"", ""Picture: unknown, credit line listed as Maria Antoinette Evans Fund""]",[],"[""English:"", ""Mural paintings of the central apse of the Santa Maria de Mur monastery in Catalonia, Spain, currently at the Museum of Fine Arts in Boston. The central apse shows a Pantocrator at the top, within a mandorla and a decoration of nine stars, in addition to the alpha and the omega. Jesus Christ in Majesty is blessing the world, with a book on his left knee. It is surrounded by the symbols of the four evangelists. Complete the upper level inscriptions of religious texts and seven lamps.""]",[],[],"[""12"", ""th"", ""century"", ""date QS:P,+1150-00-00T00:00:00Z/7""]",[],[],[],[],[],[],[],[],[],[],[],[],[],"[""Museum of Fine Arts Boston"", ""http://www.mfa.org/collections/object/download/49418""]",[],[],[],[],[],[],[],[],[],[],[],[],[]
Antonello da Messina 062.jpg,artwork,"[""Antonello da Messina"", ""(1430\u20131479)"", ""Alternative names"", ""Birth name: Antonello de Antonio"", ""Description"", ""Italian painter"", ""Date of birth/death"", ""before 1430"", ""date QS:P,+1430-00-00T00:00:00Z/7,P1326,+1430-00-00T00:00:00Z/9"", ""between 14 February 1479 and 25 February 1479"", ""date QS:P,+1479-02-00T00:00:00Z/10,P1319,+1479-02-14T00:00:00Z/11,P1326,+1479-02-25T00:00:00Z/11"", ""Location of birth/death"", ""Messina"", ""Messina"", ""Work location"", ""Sicily"", "","", ""Naples"", "","", ""Venice"", ""Authority control"", "":"", ""Q5594"", ""VIAF"", "":"", ""14972227"", ""ISNI"", "":"", ""0000 0001 0872 6154"", ""ULAN"", "":"", ""500007324"", ""LCCN"", "":"", ""n82020229"", ""NLA"", "":"", ""36555270"", ""WorldCat"", ""artist QS:P170,Q5594""]",[],"[""Christ blessing, detail"", ""Alternative title(s):"", ""Salvator mundi, detail""]","[""Salvator Mundi""]","[""Jesus""]",[],"[""1465"", ""date QS:P571,+1465-00-00T00:00:00Z/9""]","[""oil"", ""on"", ""panel"", ""medium QS:P186,Q296955;P186,Q287,P518,Q861259""]","[""height: 38.7 cm (15.2 in); width: 29.8 cm (11.7 in)"", ""dimensions QS:P2048,38.7U174728"", ""dimensions QS:P2049,29.8U174728""]",[],[],"[""NG673"", ""("", ""National Gallery"", "")""]",[],[],[],[],[],"[""\nSigned; Dated and inscribed""]",[],"[""NG""]",[],[],[],[],[],[],[],[],[],"[""National Gallery"", ""Native name"", ""National Gallery"", ""Location"", ""London"", ""Coordinates"", ""51\u00b0\u00a030\u2032\u00a032.14\u2033\u00a0N, 0\u00b0\u00a007\u2032\u00a041.88\u2033\u00a0W"", ""Established"", ""1824"", ""Web page"", ""nationalgallery.org.uk"", ""Authority control"", "":"", ""Q180788"", ""VIAF"", "":"", ""144868906"", ""ISNI"", "":"", ""0000 0001 2342 2001"", ""ULAN"", "":"", ""500125190"", ""LCCN"", "":"", ""n80081622"", ""NLA"", "":"", ""35311349"", ""WorldCat"", ""institution QS:P195,Q180788""]","[""religious art""]","[""painting""]","[""The Yorck Project (2002)"", ""10.000 Meisterwerke der Malerei"", ""(DVD-ROM), distributed by"", ""DIRECTMEDIA"", ""Publishing GmbH."", ""ISBN"", "":"", ""3936122202"", "".""]","[""room 62, Venice and the Veneto 1450-1500; 2"", ""nd"", ""floor Sainsbury wing""]"
Angelo Bronzino 023.jpg,artwork,"[""Bronzino"", ""(1503\u20131572)"", ""Alternative names"", ""Birth name: Agnolo di Cosimo di Mariano"", ""Description"", ""Italian painter, poet and draftsperson"", ""Date of birth/death"", ""17 November 1503"", ""28 November 1572"", ""Location of birth/death"", ""Florence"", ""Florence"", ""Work location"", ""Florence"", ""Authority control"", "":"", ""Q7803"", ""VIAF"", "":"", ""59354048"", ""ISNI"", "":"", ""0000 0001 1938 6407"", ""ULAN"", "":"", ""500004362"", ""LCCN"", "":"", ""n80116993"", ""NLA"", "":"", ""36552745"", ""WorldCat"", ""artist QS:P170,Q7803""]",[],"[""Deutsch:"", ""Fresken der Kapelle der Eleonora da Toledo im Palazzo Vecchio in Florenz, rechte Seitenwand: Durchzug der Israeliten durch das Rote Meer, Detail""]","[""Detail depicts a portrait of Pierfrancesco Riccio (Cosimo I de' Medici's secretary) as the Old Testament priest, Eleazar""]",[],[],"[""\n1541-1542""]","[""fresco"", ""medium QS:P186,Q25631150""]",[],[],[],[],[],[],[],[],[],[],[],[],[],"[""[1]""]",[],[],[],[],[],[],[],"[""\nPalazzo Vecchio""]",[],"[""painting"", ""object_type QS:P31,Q3305213""]","[""The Yorck Project (2002)"", ""10.000 Meisterwerke der Malerei"", ""(DVD-ROM), distributed by"", ""DIRECTMEDIA"", ""Publishing GmbH."", ""ISBN"", "":"", ""3936122202"", "".""]","[""Florence""]"
Andrea Mantegna 105.jpg,artwork,"[""Andrea Mantegna"", ""(1431\u20131506)"", ""Description"", ""Italian painter, copperplate engraver, illuminator, sculptor, drawer and printmaker"", ""Date of birth/death"", ""1431"", ""13 September 1506"", ""Location of birth/death"", ""Isola Mantegna"", ""Mantua"", ""Work location"", ""Padua"", "","", ""Mantua"", ""Authority control"", "":"", ""Q5681"", ""VIAF"", "":"", ""27084155"", ""ISNI"", "":"", ""0000 0001 2125 1886"", ""ULAN"", "":"", ""500004218"", ""LCCN"", "":"", ""n79040004"", ""NLA"", "":"", ""35326758"", ""WorldCat"", ""artist QS:P170,Q5681""]",[],"[""German:"", ""Madonna mit Heiligen,"", ""Szene: Maria mit Christuskind und Heiligen,"", ""Detail: Musizierende Engel"", ""title QS:P1476,de:\""Madonna mit Heiligen,"", ""Szene: Maria mit Christuskind und Heiligen,"", ""Detail: Musizierende Engel\"""", ""label QS:Lde,\""Madonna mit Heiligen,"", ""Szene: Maria mit Christuskind und Heiligen,"", ""Detail: Musizierende Engel\""""]",[],[],[],"[""1497"", ""date QS:P571,+1497-00-00T00:00:00Z/9""]","[""tempera"", ""on"", ""canvas"", ""medium QS:P186,Q175166;P186,Q12321255,P518,Q861259""]",[],[],[],[],[],[],"[""Deutsch:"", ""Urspr. Hauptaltar von Santa Maria in Organo, Verona""]",[],[],[],[],[],[],"[""[1]""]",[],[],[],[],[],[],[],"[""Castello Sforzesco"", ""Native name"", ""Castello Sforzesco"", ""Parent institution"", ""Medieval walls of Milan"", ""Location"", ""Milan"", ""Coordinates"", ""45\u00b0\u00a028\u2032\u00a012\u2033\u00a0N, 9\u00b0\u00a010\u2032\u00a043\u2033\u00a0E"", ""Established"", ""beginning of construction 1450"", ""Web page"", ""www.milanocastello.it"", ""Authority control"", "":"", ""Q23354"", ""VIAF"", "":"", ""145790064"", ""ISNI"", "":"", ""0000 0001 2178 1430"", ""ULAN"", "":"", ""500219789"", ""LCCN"", "":"", ""n81147430"", ""GND"", "":"", ""4358193-6"", ""WorldCat"", ""institution QS:P195,Q23354""]",[],"[""painting"", ""object_type QS:P31,Q3305213""]","[""The Yorck Project (2002)"", ""10.000 Meisterwerke der Malerei"", ""(DVD-ROM), distributed by"", ""DIRECTMEDIA"", ""Publishing GmbH."", ""ISBN"", "":"", ""3936122202"", "".""]","[""Mailand""]"
Andrea Mantegna 009.jpg,artwork,"[""Andrea Mantegna"", ""(1431\u20131506)"", ""Description"", ""Italian painter, copperplate engraver, illuminator, sculptor, drawer and printmaker"", ""Date of birth/death"", ""1431"", ""13 September 1506"", ""Location of birth/death"", ""Isola Mantegna"", ""Mantua"", ""Work location"", ""Padua"", "","", ""Mantua"", ""Authority control"", "":"", ""Q5681"", ""VIAF"", "":"", ""27084155"", ""ISNI"", "":"", ""0000 0001 2125 1886"", ""ULAN"", "":"", ""500004218"", ""LCCN"", "":"", ""n79040004"", ""NLA"", "":"", ""35326758"", ""WorldCat"", ""artist QS:P170,Q5681""]",[],"[""The Circumsicion of Jesus"", ""label QS:Len,\""The Circumsicion of Jesus\"""", ""label QS:Lde,\""Beschneidung Christi\"""", ""detail""]","[""Deutsch:"", ""Altarretabel der Palastkapelle des Herzogs von Mantua""]",[],[],"[""circa 1461"", ""date QS:P571,+1461-00-00T00:00:00Z/9,P1480,Q5727902""]","[""tempera"", ""on"", ""wood"", ""medium QS:P186,Q175166;P186,Q287,P518,Q861259""]","[""\n86 \u00d7 43 cm (33.8 \u00d7 16.9 in)""]",[],[],[],[],[],[],[],[],[],"[""Deutsch:"", ""vgl. Christi Himmelfahrt und Anbetung der Heiligen Drei K\u00f6nige, ebenso Florenz""]",[],[],"[""[1]""]",[],[],[],[],[],[],[],"[""Uffizi"", ""Native name"", ""Galleria degli Uffizi"", ""Location"", ""Florence"", ""Coordinates"", ""43\u00b0\u00a046\u2032\u00a006.38\u2033\u00a0N, 11\u00b0\u00a015\u2032\u00a021.24\u2033\u00a0E"", ""Established"", ""1581 (built), 1765 (open to public)"", ""Web page"", ""www.uffizi.it"", ""Authority control"", "":"", ""Q51252"", ""VIAF"", "":"", ""169401840"", ""ISNI"", "":"", ""0000 0001 2172 1622"", ""LCCN"", "":"", ""n79007196"", ""GND"", "":"", ""2042762-1"", ""SUDOC"", "":"", ""027439534"", ""WorldCat"", ""institution QS:P195,Q51252""]",[],"[""painting"", ""object_type QS:P31,Q3305213""]","[""The Yorck Project (2002)"", ""10.000 Meisterwerke der Malerei"", ""(DVD-ROM), distributed by"", ""DIRECTMEDIA"", ""Publishing GmbH."", ""ISBN"", "":"", ""3936122202"", "".""]","[""Florence""]"
Antonello da Messina 037.jpg,artwork,"[""Antonello da Messina"", ""(1430\u20131479)"", ""Alternative names"", ""Birth name: Antonello de Antonio"", ""Description"", ""Italian painter"", ""Date of birth/death"", ""before 1430"", ""date QS:P,+1430-00-00T00:00:00Z/7,P1326,+1430-00-00T00:00:00Z/9"", ""between 14 February 1479 and 25 February 1479"", ""date QS:P,+1479-02-00T00:00:00Z/10,P1319,+1479-02-14T00:00:00Z/11,P1326,+1479-02-25T00:00:00Z/11"", ""Location of birth/death"", ""Messina"", ""Messina"", ""Work location"", ""Sicily"", "","", ""Naples"", "","", ""Venice"", ""Authority control"", "":"", ""Q5594"", ""VIAF"", "":"", ""14972227"", ""ISNI"", "":"", ""0000 0001 0872 6154"", ""ULAN"", "":"", ""500007324"", ""LCCN"", "":"", ""n82020229"", ""NLA"", "":"", ""36555270"", ""WorldCat"", ""artist QS:P170,Q5594""]",[],"[""Deutsch:"", ""Maria der Verk\u00fcndigung, Detail: Gesicht der Maria""]","[""Annunciation"", ""Virgin Mary reading""]","[""Virgin Mary""]",[],"[""1475"", ""date QS:P571,+1475-00-00T00:00:00Z/9""]","[""oil"", ""on"", ""panel"", ""medium QS:P186,Q296955;P186,Q287,P518,Q861259""]","[""height: 47 cm (18.5 in)"", ""; width: 34 cm (13.3 in)"", ""dimensions QS:P2048,+47U174728"", ""dimensions QS:P2049,+34U174728""]",[],[],"[""47"", ""("", ""Galleria Regionale della Sicilia (Palermo)"", "")""]",[],[],[],[],[],[],[],"[""Antonello da Messina: Sicily's Renaissance Master"", "",  6"", ""http://libmma.contentdm.oclc.org/cdm/compoundobject/collection/p15324coll10/id/51392"", ""https://www.wga.hu/html/a/antonell/virgin_a.html"", ""https://www.wga.hu/html/s/saliba/annuncia.html""]",[],"[""[1]""]",[],[],[],"[""image"", ""image""]",[],[],[],"[""Deutsch:"", ""Museo Nazionale""]","[""religious art""]","[""painting""]","[""The Yorck Project (2002)"", ""10.000 Meisterwerke der Malerei"", ""(DVD-ROM), distributed by"", ""DIRECTMEDIA"", ""Publishing GmbH."", ""ISBN"", "":"", ""3936122202"", "".""]","[""Deutsch:"", ""Palermo""]"
Andrea Mantegna 103.jpg,artwork,"[""Andrea Mantegna"", ""(1431\u20131506)"", ""Description"", ""Italian painter, copperplate engraver, illuminator, sculptor, drawer and printmaker"", ""Date of birth/death"", ""1431"", ""13 September 1506"", ""Location of birth/death"", ""Isola Mantegna"", ""Mantua"", ""Work location"", ""Padua"", "","", ""Mantua"", ""Authority control"", "":"", ""Q5681"", ""VIAF"", "":"", ""27084155"", ""ISNI"", "":"", ""0000 0001 2125 1886"", ""ULAN"", "":"", ""500004218"", ""LCCN"", "":"", ""n79040004"", ""NLA"", "":"", ""35326758"", ""WorldCat"", ""creator QS:P170,Q5681""]",[],"[""Italian:"", ""Madonna della Vittoria"", ""Madonna della Vittoria"", ""title QS:P1476,it:\""Madonna della Vittoria"", ""\"""", ""label QS:Lit,\""Madonna della Vittoria"", ""\"""", ""label QS:Lsl,\""Madonna della Vittoria (Mantegna)\"""", ""label QS:Lfr,\""La Vierge de la Victoire\"""", ""label QS:Les,\""Madonna de la Victoria\"""", ""label QS:Larz,\""\u0645\u0627\u062f\u0648\u0646\u0627 \u062f\u064a\u0644\u0627 \u0641\u064a\u062a\u0648\u0631\u064a\u0627\"""", ""label QS:Lpl,\""Matka Boska Zwyci\u0119ska\"""", ""label QS:Lml,\""\u0d2e\u0d21\u0d4b\u0d23 \u0d21\u0d46\u0d32\u0d4d\u0d32 \u0d35\u0d3f\u0d31\u0d4d\u0d31\u0d4b\u0d31\u0d3f\u0d2f\"""", ""label QS:Lnl,\""Madonna della Vittoria\"""", ""label QS:Lvec,\""Madona de \u0142a Vit\u00f2ria\"""", ""label QS:Lpt,\""A Virgem da Vit\u00f3ria\"""", ""label QS:Len,\""Madonna della Vittoria\"""", ""label QS:Lid,\""Madonna della Vittoria\"""", ""label QS:Lca,\""Madonna della Victoria\""""]","[""sacra conversazione""]","[""Christ Child"", ""Virgin Mary"", ""Saint George""]",[],"[""from 1495 until 1496"", ""date QS:P,+1495-00-00T00:00:00Z/8,P580,+1495-00-00T00:00:00Z/9,P582,+1496-00-00T00:00:00Z/9""]","[""tempera"", ""and"", ""oil"", ""on"", ""canvas""]","[""height: 285 cm (112.2 in)"", ""; width: 168 cm (66.1 in)"", ""dimensions QS:P2048,+285U174728"", ""dimensions QS:P2049,+168U174728""]",[],[],"[""INV 369"", ""("", ""Department of Paintings of the Louvre"", "")""]",[],[],[],[],[],[],[],"[""https://www.wga.hu/html/m/mantegna/2/mvictory.html"", ""Joconde work ID"", "":"", ""000PE025682"", ""Louvre Museum ARK ID"", "":"", ""010064434""]",[],[],[],[],[],[],[],[],[],"[""Louvre Museum"", ""("", ""Inventory"", "")"", ""Native name"", ""Mus\u00e9e du Louvre"", ""Parent institution"", ""\u00c9tablissement public du mus\u00e9e du Louvre"", ""Location"", ""Saint-Germain-l'Auxerrois"", "","", ""France"", ""Coordinates"", ""48\u00b0\u00a051\u2032\u00a040\u2033\u00a0N, 2\u00b0\u00a020\u2032\u00a009\u2033\u00a0E"", ""Established"", ""1793"", ""Web page"", ""www.louvre.fr"", ""Authority control"", "":"", ""Q19675"", ""VIAF"", "":"", ""257711507"", ""ISNI"", "":"", ""0000 0001 2260 177X"", ""ULAN"", "":"", ""500125189"", ""LCCN"", "":"", ""n80020283"", ""NLA"", "":"", ""35912436"", ""WorldCat"", ""institution QS:P195,Q19675""]","[""religious art""]","[""painting""]",[],"[""Department of Paintings of the Louvre"", ""Room 710""]"
Andrea Mantegna 037.jpg,artwork,"[""Andrea Mantegna"", ""(1431\u20131506)"", ""Description"", ""Italian painter, copperplate engraver, illuminator, sculptor, drawer and printmaker"", ""Date of birth/death"", ""1431"", ""13 September 1506"", ""Location of birth/death"", ""Isola Mantegna"", ""Mantua"", ""Work location"", ""Padua"", "","", ""Mantua"", ""Authority control"", "":"", ""Q5681"", ""VIAF"", "":"", ""27084155"", ""ISNI"", "":"", ""0000 0001 2125 1886"", ""ULAN"", "":"", ""500004218"", ""LCCN"", "":"", ""n79040004"", ""NLA"", "":"", ""35326758"", ""WorldCat"", ""artist QS:P170,Q5681""]",[],"[""The Agony in the Garden of Gethsemane"", ""label QS:Lit,\""Orazione nell'orto\"""", ""label QS:Lfr,\""L'Agonie dans le jardin des oliviers\"""", ""label QS:Lbe-tarask,\""\u0410\u0433\u043e\u043d\u0456\u044f \u045e \u0413\u0435\u0444\u0441\u0456\u043c\u0430\u043d\u0456\u0456\"""", ""label QS:Last,\""Agon\u00eda nel Xard\u00edn\"""", ""label QS:Lca,\""Oraci\u00f3 a l'hort de Getseman\u00ed\"""", ""label QS:Lde,\""Christus im Garten Getsemani\"""", ""label QS:Lpt,\""Agonia no Gets\u00eamani\"""", ""label QS:Lbe,\""\u0410\u0433\u043e\u043d\u0456\u044f \u045e \u0441\u0430\u0434\u0437\u0435\"""", ""label QS:Lsk,\""Utrpenie v z\u00e1hrade\"""", ""label QS:Lpl,\""Modlitwa w Ogr\u00f3jcu\"""", ""label QS:Lru,\""\u041c\u043e\u043b\u0435\u043d\u0438\u0435 \u043e \u0447\u0430\u0448\u0435\"""", ""label QS:Les,\""La Agon\u00eda en el Jard\u00edn de Getseman\u00ed\"""", ""label QS:Len,\""The Agony in the Garden of Gethsemane\"""", ""label QS:Lgl,\""A oraci\u00f3n do Horto das Oliveiras\"""", ""label QS:Leo,\""La Agonio en la \u011cardeno\"""", ""label QS:Lel,\""\u0397 \u0391\u03b3\u03c9\u03bd\u03af\u03b1 \u03c3\u03c4\u03bf\u03bd \u039a\u03ae\u03c0\u03bf \u03c4\u03b7\u03c2 \u0393\u03b5\u03b8\u03c3\u03b7\u03bc\u03b1\u03bd\u03ae\u03c2\"""", ""label QS:Lcs,\""Utrpen\u00ed v zahrad\u011b\"""", ""(detail)""]","[""Deutsch:"", ""Bach mit Pelikan""]",[],[],"[""1455"", ""date QS:P571,+1455-00-00T00:00:00Z/9""]","[""tempera"", ""on"", ""wood"", ""medium QS:P186,Q175166;P186,Q287,P518,Q861259""]","[""height: 62.9 cm (24.7 in)"", ""; width: 80 cm (31.4 in)"", ""dimensions QS:P2048,+62.9U174728"", ""dimensions QS:P2049,+80U174728""]",[],[],"[""NG1417""]",[],[],[],"[""Mantegna and Bellini"", "","", ""Gem\u00e4ldegalerie"", ""(1 March 2019 - 30 June 2019)""]",[],[],[],"[""A descriptive catalogue of the collection of pictures belonging to the Earl of Northbrook"", "",  192"", ""http://www.nationalgallery.org.uk/paintings/andrea-mantegna-the-agony-in-the-garden"", ""https://www.wga.hu/html/m/mantegna/03/7agony.html"", ""Art UK artwork ID"", "":"", ""the-agony-in-the-garden-115424"", ""Bpk-ID"", "":"", ""00026394""]",[],"[""[1]""]",[],[],[],[],[],[],[],"[""National Gallery"", ""Native name"", ""National Gallery"", ""Location"", ""London"", ""Coordinates"", ""51\u00b0\u00a030\u2032\u00a032.14\u2033\u00a0N, 0\u00b0\u00a007\u2032\u00a041.88\u2033\u00a0W"", ""Established"", ""1824"", ""Web page"", ""nationalgallery.org.uk"", ""Authority control"", "":"", ""Q180788"", ""VIAF"", "":"", ""144868906"", ""ISNI"", "":"", ""0000 0001 2342 2001"", ""ULAN"", "":"", ""500125190"", ""LCCN"", "":"", ""n80081622"", ""NLA"", "":"", ""35311349"", ""WorldCat"", ""institution QS:P195,Q180788""]","[""religious art""]","[""painting""]","[""The Yorck Project (2002)"", ""10.000 Meisterwerke der Malerei"", ""(DVD-ROM), distributed by"", ""DIRECTMEDIA"", ""Publishing GmbH."", ""ISBN"", "":"", ""3936122202"", "".""]",[]
Andrea Mantegna 038.jpg,artwork,"[""Andrea Mantegna"", ""(1431\u20131506)"", ""Description"", ""Italian painter, copperplate engraver, illuminator, sculptor, drawer and printmaker"", ""Date of birth/death"", ""1431"", ""13 September 1506"", ""Location of birth/death"", ""Isola Mantegna"", ""Mantua"", ""Work location"", ""Padua"", "","", ""Mantua"", ""Authority control"", "":"", ""Q5681"", ""VIAF"", "":"", ""27084155"", ""ISNI"", "":"", ""0000 0001 2125 1886"", ""ULAN"", "":"", ""500004218"", ""LCCN"", "":"", ""n79040004"", ""NLA"", "":"", ""35326758"", ""WorldCat"", ""artist QS:P170,Q5681""]",[],"[""The Agony in the Garden of Gethsemane"", ""label QS:Lit,\""Orazione nell'orto\"""", ""label QS:Lfr,\""L'Agonie dans le jardin des oliviers\"""", ""label QS:Lbe-tarask,\""\u0410\u0433\u043e\u043d\u0456\u044f \u045e \u0413\u0435\u0444\u0441\u0456\u043c\u0430\u043d\u0456\u0456\"""", ""label QS:Last,\""Agon\u00eda nel Xard\u00edn\"""", ""label QS:Lca,\""Oraci\u00f3 a l'hort de Getseman\u00ed\"""", ""label QS:Lde,\""Christus im Garten Getsemani\"""", ""label QS:Lpt,\""Agonia no Gets\u00eamani\"""", ""label QS:Lbe,\""\u0410\u0433\u043e\u043d\u0456\u044f \u045e \u0441\u0430\u0434\u0437\u0435\"""", ""label QS:Lsk,\""Utrpenie v z\u00e1hrade\"""", ""label QS:Lpl,\""Modlitwa w Ogr\u00f3jcu\"""", ""label QS:Lru,\""\u041c\u043e\u043b\u0435\u043d\u0438\u0435 \u043e \u0447\u0430\u0448\u0435\"""", ""label QS:Les,\""La Agon\u00eda en el Jard\u00edn de Getseman\u00ed\"""", ""label QS:Len,\""The Agony in the Garden of Gethsemane\"""", ""label QS:Lgl,\""A oraci\u00f3n do Horto das Oliveiras\"""", ""label QS:Leo,\""La Agonio en la \u011cardeno\"""", ""label QS:Lel,\""\u0397 \u0391\u03b3\u03c9\u03bd\u03af\u03b1 \u03c3\u03c4\u03bf\u03bd \u039a\u03ae\u03c0\u03bf \u03c4\u03b7\u03c2 \u0393\u03b5\u03b8\u03c3\u03b7\u03bc\u03b1\u03bd\u03ae\u03c2\"""", ""label QS:Lcs,\""Utrpen\u00ed v zahrad\u011b\"""", ""(detail)""]","[""Deutsch:"", ""Felslandschaft mit bergauflaufendem Hasen""]",[],[],"[""1455"", ""date QS:P571,+1455-00-00T00:00:00Z/9""]","[""tempera"", ""on"", ""wood"", ""medium QS:P186,Q175166;P186,Q287,P518,Q861259""]","[""height: 62.9 cm (24.7 in)"", ""; width: 80 cm (31.4 in)"", ""dimensions QS:P2048,+62.9U174728"", ""dimensions QS:P2049,+80U174728""]",[],[],"[""NG1417""]",[],[],[],"[""Mantegna and Bellini"", "","", ""Gem\u00e4ldegalerie"", ""(1 March 2019 - 30 June 2019)""]",[],[],[],"[""A descriptive catalogue of the collection of pictures belonging to the Earl of Northbrook"", "",  192"", ""http://www.nationalgallery.org.uk/paintings/andrea-mantegna-the-agony-in-the-garden"", ""https://www.wga.hu/html/m/mantegna/03/7agony.html"", ""Art UK artwork ID"", "":"", ""the-agony-in-the-garden-115424"", ""Bpk-ID"", "":"", ""00026394""]",[],"[""[1]""]",[],[],[],[],[],[],[],"[""National Gallery"", ""Native name"", ""National Gallery"", ""Location"", ""London"", ""Coordinates"", ""51\u00b0\u00a030\u2032\u00a032.14\u2033\u00a0N, 0\u00b0\u00a007\u2032\u00a041.88\u2033\u00a0W"", ""Established"", ""1824"", ""Web page"", ""nationalgallery.org.uk"", ""Authority control"", "":"", ""Q180788"", ""VIAF"", "":"", ""144868906"", ""ISNI"", "":"", ""0000 0001 2342 2001"", ""ULAN"", "":"", ""500125190"", ""LCCN"", "":"", ""n80081622"", ""NLA"", "":"", ""35311349"", ""WorldCat"", ""institution QS:P195,Q180788""]","[""religious art""]","[""painting""]","[""The Yorck Project (2002)"", ""10.000 Meisterwerke der Malerei"", ""(DVD-ROM), distributed by"", ""DIRECTMEDIA"", ""Publishing GmbH."", ""ISBN"", "":"", ""3936122202"", "".""]",[]
Andrea Mantegna 025.jpg,artwork,"[""Andrea Mantegna"", ""(1431\u20131506)"", ""Description"", ""Italian painter, copperplate engraver, illuminator, sculptor, drawer and printmaker"", ""Date of birth/death"", ""1431"", ""13 September 1506"", ""Location of birth/death"", ""Isola Mantegna"", ""Mantua"", ""Work location"", ""Padua"", "","", ""Mantua"", ""Authority control"", "":"", ""Q5681"", ""VIAF"", "":"", ""27084155"", ""ISNI"", "":"", ""0000 0001 2125 1886"", ""ULAN"", "":"", ""500004218"", ""LCCN"", "":"", ""n79040004"", ""NLA"", "":"", ""35326758"", ""WorldCat"", ""artist QS:P170,Q5681""]",[],"[""German:"", ""Altarretabel von San Zeno in Verona, Triptychon,"", ""Mitteltafel: Thronende Madonna und Engel"", ""San Zeno Altarpiece"", ""title QS:P1476,de:\""Altarretabel von San Zeno in Verona, Triptychon,"", ""Mitteltafel: Thronende Madonna und Engel\"""", ""label QS:Lde,\""Altarretabel von San Zeno in Verona, Triptychon,"", ""Mitteltafel: Thronende Madonna und Engel\""""]","[""detail"", ""Fran\u00e7ais\u00a0:"", ""retable du ma\u00eetre-autel de la basilique San Zeno de V\u00e9rone""]","[""Virgin Mary"", ""Christ Child"", ""Peter"", ""Paul the Apostle""]",[],"[""between 1457 and 1460"", ""date QS:P571,+1450-00-00T00:00:00Z/7,P1319,+1457-00-00T00:00:00Z/9,P1326,+1460-00-00T00:00:00Z/9""]","[""tempera"", ""on"", ""wood"", ""medium QS:P186,Q175166;P186,Q287,P518,Q861259""]","[""\n220 \u00d7 115 cm (86.6 \u00d7 45.2 in)""]",[],[],[],[],[],"[""commissioned by Abt von San Zeno""]",[],[],[],[],"[""https://www.khanacademy.org/humanities/renaissance-reformation/early-renaissance1/venice-early-ren/v/andrea-mantegna-san-zeno-altarpiece"", ""https://www.chieseverona.it/en/our-churches/the-basilica-of-san-zeno""]",[],"[""[1]""]",[],[],[],[],[],[],[],"[""Basilica of San Zeno"", ""Native name"", ""Basilica di San Zeno"", ""Location"", ""Verona"", "","", ""Veneto"", "", Italy"", ""Coordinates"", ""45\u00b0\u00a026\u2032\u00a033\u2033\u00a0N, 10\u00b0\u00a058\u2032\u00a045\u2033\u00a0E"", ""Established"", ""12th/13th century"", ""Web page"", ""http://www.basilicasanzeno.it"", ""Authority control"", "":"", ""Q1763642"", ""VIAF"", "":"", ""153632803"", ""LCCN"", "":"", ""n82145650"", ""WorldCat"", ""institution QS:P195,Q1763642""]","[""religious art""]","[""painting"", ""/"", ""reredos"", ""/"", ""triptych"", ""/"", ""polyptych""]","[""The Yorck Project (2002)"", ""10.000 Meisterwerke der Malerei"", ""(DVD-ROM), distributed by"", ""DIRECTMEDIA"", ""Publishing GmbH."", ""ISBN"", "":"", ""3936122202"", "".""]",[]
