filename,template_type,artist,author,title,description,depicted people,depicted place,date,medium,dimensions,institution,department,accession number,place of creation,place of discovery,object history,exhibition history,credit line,inscriptions,notes,references,source,permission,other_versions,wikidata,other fields,other versions,photographer,camera coord,attribution,collection,genre,object type,source/photographer,current location
Alfred Sisley 057.jpg,artwork,"[""Alfred Sisley"", ""(1839\u20131899)"", ""Alternative names"", ""Arthur Sisley; a. sisley; Sisley; alfred sissley; sisley a."", ""Description"", ""British painter, lithographer and etcher"", ""Date of birth/death"", ""30 October 1839"", ""29 January 1899"", ""Location of birth/death"", ""Paris"", ""Moret-sur-Loing"", ""Work location"", ""Paris"", "","", ""Fontainebleau"", "","", ""\u00cele-de-France"", "","", ""London"", ""Authority control"", "":"", ""Q175130"", ""VIAF"", "":"", ""32004750"", ""ISNI"", "":"", ""0000 0001 0884 6332"", ""ULAN"", "":"", ""500027485"", ""LCCN"", "":"", ""n79102762"", ""NLA"", "":"", ""35502761"", ""WorldCat"", ""artist QS:P170,Q175130""]",[],"[""German:"", ""Stilleben, Trauben und N\u00fcsse"", ""Grapes and Walnuts on a Table"", ""title QS:P1476,de:\""Stilleben, Trauben und N\u00fcsse\"""", ""label QS:Lde,\""Stilleben, Trauben und N\u00fcsse\""""]",[],[],[],"[""1876"", ""date QS:P571,+1876-00-00T00:00:00Z/9""]","[""oil on canvas"", ""medium QS:P186,Q296955;P186,Q12321255,P518,Q861259""]","[""Height: 38 cm (14.9 in); Width: 55.5 cm (21.8 in)"", ""dimensions QS:P2048,38U174728"", ""dimensions QS:P2049,55.5U174728""]",[],[],"[""48.601"", ""("", ""Museum of Fine Arts"", "")""]",[],[],[],[],[],"[""Signature bottom left:"", ""Sisley.""]","[""\nStill Life""]","[""described at URL"", "":"", ""https://collections.mfa.org/objects/33330/""]",[],"[""[1]""]",[],[],[],[],[],[],[],"[""Museum of Fine Arts"", ""Native name"", ""Museum of Fine Arts Boston"", ""Location"", ""Boston"", "","", ""Massachusetts"", ""Coordinates"", ""42\u00b0\u00a020\u2032\u00a021\u2033\u00a0N, 71\u00b0\u00a005\u2032\u00a039\u2033\u00a0W"", ""Established"", ""1870"", ""Web page"", ""www.mfa.org"", ""Authority control"", "":"", ""Q49133"", ""VIAF"", "":"", ""151846308"", ""ISNI"", "":"", ""0000 0001 0664 9044"", ""ULAN"", "":"", ""500305147"", ""LCCN"", "":"", ""n79058410"", ""NLA"", "":"", ""36527557"", ""WorldCat"", ""institution QS:P195,Q49133""]","[""still life""]","[""painting""]","[""The Yorck Project (2002)"", ""10.000 Meisterwerke der Malerei"", ""(DVD-ROM), distributed by"", ""DIRECTMEDIA"", ""Publishing GmbH."", ""ISBN"", "":"", ""3936122202"", "".""]",[]
Bartolomé Esteban Murillo - The Young Christ as the Good Shepherd - 58.1425 - Museum of Fine Arts.jpg,artwork,"[""Bartolom\u00e9 Esteban Murillo"", ""(1617\u20131682)"", ""Alternative names"", ""Bartolome Esteban Murillo; Murillo; Bartolome Murillo; Bartolom\u00e9 Murillo; Bartolom\u00e9 Esteban Perez Murillo; Bartolome Esteban Perez Murillo"", ""Description"", ""Spanish painter and draftsperson"", ""Date of birth/death"", ""December 1617"", ""April 1682 / 3 April 1682"", ""Location of birth/death"", ""Seville"", ""Seville"", ""Work location"", ""Seville"", "";"", ""Tokyo"", "";"", ""C\u00e1diz"", "";"", ""Madrid"", ""Authority control"", "":"", ""Q192062"", ""VIAF"", "":"", ""76584455"", ""ISNI"", "":"", ""0000 0001 0917 9367"", ""ULAN"", "":"", ""500007425"", ""LCCN"", "":"", ""n81068073"", ""NLA"", "":"", ""36229539"", ""WorldCat"", ""creator QS:P170,Q192062""]",[],"[""The Young Christ as the Good Shepherd"", ""title QS:P1476,en:\""The Young Christ as the Good Shepherd"", ""\"""", ""label QS:Len,\""The Young Christ as the Good Shepherd"", ""\""""]",[],[],[],[],"[""oil on canvas""]","[""Height: 55 cm (21.6 in)"", ""; Width: 39.7 cm (15.6 in)"", ""dimensions QS:P2048,+55U174728"", ""dimensions QS:P2049,+39.7U174728""]",[],[],"[""58.1425"", ""("", ""Museum of Fine Arts"", "")""]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[""Museum of Fine Arts"", ""Native name"", ""Museum of Fine Arts Boston"", ""Location"", ""Boston"", "","", ""Massachusetts"", ""Coordinates"", ""42\u00b0\u00a020\u2032\u00a021\u2033\u00a0N, 71\u00b0\u00a005\u2032\u00a039\u2033\u00a0W"", ""Established"", ""1870"", ""Web page"", ""www.mfa.org"", ""Authority control"", "":"", ""Q49133"", ""VIAF"", "":"", ""151846308"", ""ISNI"", "":"", ""0000 0001 0664 9044"", ""ULAN"", "":"", ""500305147"", ""LCCN"", "":"", ""n79058410"", ""NLA"", "":"", ""36527557"", ""WorldCat"", ""institution QS:P195,Q49133""]","[""religious art""]","[""painting""]","[""https://www.mfa.org/collections/object/the-young-christ-as-the-good-shepherd-33628""]",[]
Lucas van Leyden - Moses and the Israelites after the Miracle of Water from the Rock - 54.1432 - Museum of Fine Arts.jpg,artwork,"[""Lucas van Leyden"", ""(1494\u20131533)"", ""Alternative names"", ""Lucas van Leiden, Lucas van Leijden, Lucas Hugensz. van Leyden,"", ""Luca d'Olanda, Lucas Iacobsz., Lucas Jacobsz."", ""Description"", ""Dutch painter, drawer, engraver and wood carver"", ""Date of birth/death"", ""1494"", ""1533"", ""Location of birth/death"", ""Leiden"", ""Leiden"", ""Work period"", ""circa 1508-1533"", ""Work location"", ""Leiden"", ""Authority control"", "":"", ""Q320980"", ""VIAF"", "":"", ""95809141"", ""ISNI"", "":"", ""0000 0003 5543 7835"", ""ULAN"", "":"", ""500020789"", ""LCCN"", "":"", ""n79043330"", ""NLA"", "":"", ""35570589"", ""WorldCat"", ""creator QS:P170,Q320980""]",[],"[""Moses and the Israelites after the Miracle of Water from the Rock"", ""title QS:P1476,en:\""Moses and the Israelites after the Miracle of Water from the Rock"", ""\"""", ""label QS:Len,\""Moses and the Israelites after the Miracle of Water from the Rock"", ""\""""]",[],[],[],"[""1527""]",[],"[""Height: 181.9 cm (71.6 in)"", ""; Width: 237.5 cm (93.5 in)"", ""dimensions QS:P2048,+181.9U174728"", ""dimensions QS:P2049,+237.5U174728""]",[],[],"[""54.1432"", ""("", ""Museum of Fine Arts"", "")""]",[],[],[],[],[],[],[],"[""RKDimages, Art-work number 24037"", "".""]",[],[],[],[],[],[],[],[],[],"[""Museum of Fine Arts"", ""Native name"", ""Museum of Fine Arts Boston"", ""Location"", ""Boston"", "","", ""Massachusetts"", ""Coordinates"", ""42\u00b0\u00a020\u2032\u00a021\u2033\u00a0N, 71\u00b0\u00a005\u2032\u00a039\u2033\u00a0W"", ""Established"", ""1870"", ""Web page"", ""www.mfa.org"", ""Authority control"", "":"", ""Q49133"", ""VIAF"", "":"", ""151846308"", ""ISNI"", "":"", ""0000 0001 0664 9044"", ""ULAN"", "":"", ""500305147"", ""LCCN"", "":"", ""n79058410"", ""NLA"", "":"", ""36527557"", ""WorldCat"", ""institution QS:P195,Q49133""]",[],"[""painting""]","[""https://www.mfa.org/collections/object/moses-and-the-israelites-after-the-miracle-of-water-from-the-rock-33532""]",[]
Jacob Cornelisz. van Oostsanen 001.jpg,artwork,"[""Jacob Cornelisz van Oostsanen"", ""(circa 1472/1477\u20131533)"", ""Alternative names"", ""Jacob Cornelisz. van Amsterdam, Jacob Cornelisz. van Oostzanen"", ""Jakob Cornelisz. van Oostzanen, Jacob van Amsterdam"", ""Jacob van Oostsanen, Jacob van Oostzanen"", ""Description"", ""Dutch painter, drawer and printmaker"", ""Date of birth/death"", ""circa 1472\u20131477"", ""before 18 October 1533"", ""date QS:P,+1533-10-18T00:00:00Z/7,P1326,+1533-10-18T00:00:00Z/11"", ""Location of birth/death"", ""Oostzaan"", ""Amsterdam"", ""Work location"", ""Amsterdam"", ""Authority control"", "":"", ""Q1029143"", ""VIAF"", "":"", ""22939175"", ""ISNI"", "":"", ""0000 0000 8598 4985"", ""ULAN"", "":"", ""500115388"", ""LCCN"", "":"", ""nr97016130"", ""WGA"", "":"", ""CORNELISZ VAN OOSTSANEN, Jacob"", ""WorldCat"", ""artist QS:P170,Q1029143""]",[],"[""Christ Appearing to Mary Magdalen as a Gardener"", ""label QS:Len,\""Christ Appearing to Mary Magdalen as a Gardener\"""", ""label QS:Lde,\""Christus erscheint der heiligen Magdalena als G\u00e4rtner (Evangelium nach Johannes 20,11-18)\"""", ""label QS:Lnl,\""De verschijning van Christus aan Maria Magdalena\""""]","[""Noli me tangere""]","[""Jesus"", ""Mary Magdalene""]",[],"[""1507"", ""date QS:P571,+1507-00-00T00:00:00Z/9""]","[""oil"", ""on"", ""oak wood""]","[""Height: 54.5 cm (21.4 in); Width: 38.8 cm (15.2 in)"", ""dimensions QS:P2048,54.5U174728"", ""dimensions QS:P2049,38.8U174728""]",[],[],"[""GK 29""]",[],[],[],[],[],"[""Date bottom center:"", ""MCCCCCVII"", ""On the jar of ointment"", ""Text right:"", ""MARIA NON ME TANGERE / NONDVM ENIM ASCENDIAD PATREM"", ""On the borders of Christ's coat""]",[],"[""RKDimages, Art-work number 23109"", "", as"", ""De verschijning van Christus aan Maria Magdalena"", "","", ""oil"", ""on"", ""oak wood"", "", Height: 54.5 cm (21.4 in); Width: 38.8 cm (15.2 in)"", ""dimensions QS:P2048,54.5U174728"", ""dimensions QS:P2049,38.8U174728"", ""."", ""Bildindex der Kunst und Architektur, object 32044850"", "", as"", ""Christus als G\u00e4rtner"", "","", ""oak wood"", ""Bildindex der Kunst und Architektur, object 00000471"", "", as"", ""Christus erscheint der heiligen Magdalena als G\u00e4rtner"", "","", ""tempera"", ""on"", ""oak wood"", "", Height: 54.5 cm (21.4 in); Width: 38.8 cm (15.2 in)"", ""dimensions QS:P2048,54.5U174728"", ""dimensions QS:P2049,38.8U174728"", ""Bildindex der Kunst und Architektur, object 07962043"", "", as"", ""Noli me tangere"", "", Height: 52 cm (20.4 in); Width: 36 cm (14.1 in)"", ""dimensions QS:P2048,52U174728"", ""dimensions QS:P2049,36U174728""]",[],"[""\nPublic domain""]",[],[],[],[],[],[],[],"[""Gem\u00e4ldegalerie Alte Meister"", ""Native name"", ""Museum Schloss Wilhelmsh\u00f6he"", ""Parent institution"", ""Museumslandschaft Hessen Kassel"", ""Location"", ""Kassel"", "","", ""Germany"", ""Coordinates"", ""51\u00b0\u00a018\u2032\u00a054\u2033\u00a0N, 9\u00b0\u00a024\u2032\u00a057.996\u2033\u00a0E"", ""Established"", ""Possibly circa 1653"", ""date QS:P,+1653-00-00T00:00:00Z/9,P1480,Q5727902"", ""Web page"", ""www.kassel-museum.de"", ""Authority control"", "":"", ""Q1501219"", ""VIAF"", "":"", ""190230555"", ""LCCN"", "":"", ""n96112770"", ""GND"", "":"", ""2053888-1"", ""SUDOC"", "":"", ""146051785"", ""BIBSYS"", "":"", ""1602157054369"", ""WorldCat"", ""institution QS:P195,Q1501219""]","[""religious art""]","[""painting""]","[""www.museumkijker.nl\u00a0:"", ""Home"", "":"", ""Info"", "":"", ""Pic""]","[""Museumslandschaft Hessen Kassel"", ""Native name"", ""Museumslandschaft Hessen Kassel"", ""Location"", ""Kassel"", "","", ""Germany"", ""Established"", ""2006 (under this name)"", ""Web page"", ""www.museum-kassel.de"", ""Authority control"", "":"", ""Q1954840"", ""VIAF"", "":"", ""144710068"", ""ISNI"", "":"", ""0000 0001 2336 8340"", ""LCCN"", "":"", ""nr2006032505"", ""GND"", "":"", ""3065199-2"", ""SUDOC"", "":"", ""119569191"", ""WorldCat"", ""institution QS:P195,Q1954840""]"
Cristo despues de la Flagelacion Murillo 1665.jpg,artwork,"[""Bartolom\u00e9 Esteban Murillo"", ""(1617\u20131682)"", ""Alternative names"", ""Bartolome Esteban Murillo; Murillo; Bartolome Murillo; Bartolom\u00e9 Murillo; Bartolom\u00e9 Esteban Perez Murillo; Bartolome Esteban Perez Murillo"", ""Description"", ""Spanish painter and draftsperson"", ""Date of birth/death"", ""December 1617"", ""April 1682 / 3 April 1682"", ""Location of birth/death"", ""Seville"", ""Seville"", ""Work location"", ""Seville"", "";"", ""Tokyo"", "";"", ""C\u00e1diz"", "";"", ""Madrid"", ""Authority control"", "":"", ""Q192062"", ""VIAF"", "":"", ""76584455"", ""ISNI"", "":"", ""0000 0001 0917 9367"", ""ULAN"", "":"", ""500007425"", ""LCCN"", "":"", ""n81068073"", ""NLA"", "":"", ""36229539"", ""WorldCat"", ""artist QS:P170,Q192062""]",[],"[""Christ after the Flagellation"", ""label QS:Les,\""Cristo despu\u00e9s de la Flagelaci\u00f3n\"""", ""label QS:Lpl,\""Chrystus po ubiczowaniu\"""", ""label QS:Len,\""Christ after the Flagellation\""""]",[],[],[],"[""after 1665"", ""date QS:P571,+1665-00-00T00:00:00Z/7,P1319,+1665-00-00T00:00:00Z/9""]","[""oil on canvas"", ""medium QS:P186,Q296955;P186,Q12321255,P518,Q861259""]","[""Height: 113 cm (44.4 in); Width: 147 cm (57.8 in)"", ""dimensions QS:P2048,113U174728"", ""dimensions QS:P2049,147U174728""]",[],[],"[""53.1"", ""("", ""Museum of Fine Arts"", "")""]",[],[],[],[],[],[],"[""English:"", ""Christ after the Flagellation by Murillo""]","[""catalogue"", "":"", ""A catalogue of the paintings at Doughty House, Richmond, & elsewhere in the collection of Sir Frederick Cook, bt., Visconde de Monserrate, Vol. III English, French, Early Flemish, German and Spanish Schools"", "",  521"", ""RKDimages, Art-work number 205791"", "".""]",[],[],[],[],[],[],[],[],[],"[""Museum of Fine Arts"", ""Native name"", ""Museum of Fine Arts Boston"", ""Location"", ""Boston"", "","", ""Massachusetts"", ""Coordinates"", ""42\u00b0\u00a020\u2032\u00a021\u2033\u00a0N, 71\u00b0\u00a005\u2032\u00a039\u2033\u00a0W"", ""Established"", ""1870"", ""Web page"", ""www.mfa.org"", ""Authority control"", "":"", ""Q49133"", ""VIAF"", "":"", ""151846308"", ""ISNI"", "":"", ""0000 0001 0664 9044"", ""ULAN"", "":"", ""500305147"", ""LCCN"", "":"", ""n79058410"", ""NLA"", "":"", ""36527557"", ""WorldCat"", ""institution QS:P195,Q49133"", ""Polski:"", ""Muzeum Sztuki Pi\u0119knej""]","[""religious art""]","[""painting""]","[""http://www.mfa.org/collections/object/christ-after-the-flagellation-33496""]",[]
Pontormo-visitation-after-restorationRGB.jpg,artwork,"[""Pontormo"", ""(1494\u20131557)"", ""Alternative names"", ""Birth name: Jacopo Carucci"", ""Description"", ""Italian painter and drawer"", ""Date of birth/death"", ""24 May 1494"", ""2 January 1557 / 31 December 1556 / 2 January 1557"", ""Location of birth/death"", ""Pontormo (Empoli)"", ""Florence"", ""Work location"", ""Florence"", ""Authority control"", "":"", ""Q207929"", ""VIAF"", "":"", ""110043526"", ""ISNI"", "":"", ""0000 0001 0934 0923"", ""ULAN"", "":"", ""500008780"", ""LCCN"", "":"", ""n85800632"", ""NLA"", "":"", ""35794596"", ""WorldCat"", ""creator QS:P170,Q207929""]","[""Unknown author"", ""Unknown author""]","[""Visitation of Carmignano"", ""label QS:Les,\""Visitaci\u00f3n de Carmignano\"""", ""label QS:Lfr,\""Visitation de Carmignano\"""", ""label QS:Larz,\""\u0632\u064a\u0627\u0631\u0647 \u0643\u0627\u0631\u0645\u064a\u0646\u0627\u0646\u0648\"""", ""label QS:Leu,\""Carmignanoko Ikustaldia\"""", ""label QS:Lla,\""Visitatio Carmignano\"""", ""label QS:Lca,\""Visitaci\u00f3 de Carmignano\"""", ""label QS:Lde,\""Visitation von Carmignano\"""", ""label QS:Lpt,\""Visita\u00e7\u00e3o\"""", ""label QS:Len,\""Visitation of Carmignano\"""", ""label QS:Lit,\""Visitazione di Carmignano\"""", ""label QS:Lnl,\""Visitation of Carmignano\"""", ""label QS:Lda,\""Maria bes\u00f8gelsesdag\""""]","[""English:"", ""Post-restoration photograph of the Visitation by Pontormo, located in the church of San Michele Arcangelo in Carmignano, Tuscany, Italy.""]","[""Virgin Mary"", ""Elizabeth""]",[],"[""1528""]","[""oil"", ""and"", ""board""]","[""Height: 202 cm (79.5 in)"", ""; Width: 156 cm (61.4 in)"", ""dimensions QS:P2048,+202U174728"", ""dimensions QS:P2049,+156U174728""]",[],[],[],"[""Florence""]",[],[],"[""Rectory of Saints Michael and Francis"", ""Palazzo Strozzi"", ""J. Paul Getty Museum""]",[],[],[],"[""described at URL"", "":"", ""https://www.wga.hu/html/p/pontormo/drawings/02visita.html""]",[],[],[],[],[],[],[],[],[],"[""Rectory of Saints Michael and Francis"", ""Native name"", ""Propositura dei Santi Michele e Francesco"", ""Location"", ""Carmignano (Prato)"", ""Coordinates"", ""43\u00b0\u00a048\u2032\u00a044.01\u2033\u00a0N, 11\u00b0\u00a000\u2032\u00a059.62\u2033\u00a0E"", ""Established"", ""1330"", ""Web page"", ""Luoghi della Fede"", ""Authority control"", "":"", ""Q3923979"", ""institution QS:P195,Q3923979""]","[""religious art""]","[""painting""]","[""Courtesy of the parish of San Michele Arcangelo, Carmignano"", ""http://www.carmignanodivino.prato.it/2018/03/visitazione-di-nuovo-in-trasferta/""]",[]
Jesus ascending to heaven.jpg,artwork,"[""John Singleton Copley"", ""(1738\u20131815)"", ""Description"", ""American artist and painter"", ""Date of birth/death"", ""3 July 1738"", ""9 September 1815"", ""Location of birth/death"", ""Boston (Massachusetts)"", ""London"", ""Work location"", ""Boston"", "","", ""London"", ""Authority control"", "":"", ""Q316016"", ""VIAF"", "":"", ""66552740"", ""ISNI"", "":"", ""0000 0000 8146 0578"", ""ULAN"", "":"", ""500009177"", ""LCCN"", "":"", ""n50017577"", ""NLA"", "":"", ""35031085"", ""WorldCat"", ""artist QS:P170,Q316016""]",[],"[""Ascension""]","[""ascension of Jesus""]",[],[],"[""1775"", ""date QS:P571,+1775-00-00T00:00:00Z/9""]","[""oil on canvas"", ""medium QS:P186,Q296955;P186,Q12321255,P518,Q861259""]","[""Height: 32 in (81.2 cm)"", ""; Width: 28.7 in (73 cm)"", ""dimensions QS:P2048,+32U218593"", ""dimensions QS:P2049,+28.75U218593""]",[],[],"[""25.95""]","[""United States of America""]",[],[],[],"[""\nBequest of Susan Greene Dexter in memory of Charles and Martha Babcock Amory""]",[],[],"[""The Museum of Fine Arts, Boston"", "","", ""Image""]",[],[],[],[],[],"[""A larger version with similar licensing terms may also be available:\u00a0:"", ""http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=50177""]",[],[],[],"[""Museum of Fine Arts"", ""Native name"", ""Museum of Fine Arts Boston"", ""Location"", ""Boston"", "","", ""Massachusetts"", ""Coordinates"", ""42\u00b0\u00a020\u2032\u00a021\u2033\u00a0N, 71\u00b0\u00a005\u2032\u00a039\u2033\u00a0W"", ""Established"", ""1870"", ""Web page"", ""www.mfa.org"", ""Authority control"", "":"", ""Q49133"", ""VIAF"", "":"", ""151846308"", ""ISNI"", "":"", ""0000 0001 0664 9044"", ""ULAN"", "":"", ""500305147"", ""LCCN"", "":"", ""n79058410"", ""NLA"", "":"", ""36527557"", ""WorldCat"", ""institution QS:P195,Q49133""]","[""religious art""]","[""painting""]","[""abcgallery.com""]","[""Gallery 136""]"
The Martyrdom of Saint Paul from the series The Life of Saint Peter.jpg,artwork,[],[],"[""The Martyrdom of Saint Paul from 'The Life of Saint Peter'"", ""label QS:Len,\""The Martyrdom of Saint Paul from 'The Life of Saint Peter'\""""]",[],"[""Paul"", ""Nero""]",[],"[""circa 1460""]","[""silk"", "","", ""wool"", "","", ""wool"", "","", ""metal-wrapped thread""]","[""Height: 286 cm (112.5 in)"", ""; Width: 205 cm (80.7 in)"", ""dimensions QS:P2048,+286U174728"", ""dimensions QS:P2049,+205U174728""]",[],[],"[""38.758"", ""("", ""Museum of Fine Arts"", "")""]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[""Museum of Fine Arts"", ""Native name"", ""Museum of Fine Arts Boston"", ""Location"", ""Boston"", "","", ""Massachusetts"", ""Coordinates"", ""42\u00b0\u00a020\u2032\u00a021\u2033\u00a0N, 71\u00b0\u00a005\u2032\u00a039\u2033\u00a0W"", ""Established"", ""1870"", ""Web page"", ""www.mfa.org"", ""Authority control"", "":"", ""Q49133"", ""VIAF"", "":"", ""151846308"", ""ISNI"", "":"", ""0000 0001 0664 9044"", ""ULAN"", "":"", ""500305147"", ""LCCN"", "":"", ""n79058410"", ""NLA"", "":"", ""36527557"", ""WorldCat"", ""institution QS:P195,Q49133""]",[],"[""tapestry"", ""/"", ""wall hanging""]","[""Museum of Fine Arts, Boston"", ""Image""]",[]
Cole Thomas Expulsion from the Garden of Eden 1828.jpg,artwork,"[""Thomas Cole"", ""(1801\u20131848)"", ""Alternative names"", ""T. Cole; Cole"", ""Description"", ""American painter and printmaker"", ""Date of birth/death"", ""1 February 1801"", ""11 February 1848"", ""Location of birth/death"", ""Bolton le Moors"", ""Catskill"", ""Work location"", ""New York"", ""Authority control"", "":"", ""Q334001"", ""VIAF"", "":"", ""51697901"", ""ISNI"", "":"", ""0000 0000 8129 7459"", ""ULAN"", "":"", ""500028323"", ""LCCN"", "":"", ""n50026811"", ""WGA"", "":"", ""COLE, Thomas"", ""WorldCat"", ""artist QS:P170,Q334001""]",[],"[""Expulsion from the Garden of Eden""]","[""expulsion of Adam and Eve from paradise""]","[""Adam and Eve""]",[],"[""1828"", ""date QS:P571,+1828-00-00T00:00:00Z/9""]","[""oil on canvas"", ""medium QS:P186,Q296955;P186,Q12321255,P518,Q861259""]","[""Height: 100.9 cm (39.7 in); Width: 138.4 cm (54.5 in)"", ""dimensions QS:P2048,100.96U174728"", ""dimensions QS:P2049,138.43U174728""]",[],[],"[""47.1188"", ""("", ""Museum of Fine Arts"", "")""]","[""United States of America""]",[],"[""The artist"", ""Dr. David Hosack, New York"", ""Dr. J. Kearny Rodgers, New York, 1848"", ""James Lenox, New York, 1849"", ""Lenox Library, New York, 1870"", ""Lenox Foundation, New York Public Library, 1895"", ""with Parke-Bernet Galleries, April 14-16, 1943, no. 533"", ""with Arnold Seligmann, Rey, & Co., New York, 1943"", ""to Maxim Karolik, Newport, R.I., 1943"", ""to MFA, 1947, gift of Martha C. (Mrs. Maxim) Karolik.""]",[],[],[],"[""From Museum of Fine Arts website:"", ""Thomas Cole first exhibited Expulsion from the Garden of Eden along with his Garden of Eden (Amon Carter Museum) in 1828 at the National Academy of Design, of which he had been a founding member. Writing to his patron Robert Gilmore, Cole noted that his submissions aimed for a higher form of landscape painting. Although the works failed to sell, Gilmore supported Cole's travels abroad and set him on his way to receiving a major commission from New York art patron Luman Reed to paint a series of five monumental canvases depicting the Course of Empire (1836, New-York Historical Society)."", ""Immigrating to the United States from England at the age of eighteen, Cole was likely inspired by contemporary British art when he conceived his scene of the Expulsion. He had relied upon British drawing books and prints for the rudiments of his artistic education, and his scene of Adam and Eve dwarfed by promontories of terrifying proportions recalls British painter and printmaker John Martin's illustrations for John Milton's Paradise Lost, which was popular on both sides of the Atlantic. Cole's dramatic use of light streaming through the rocky portal to Paradise is clearly reminiscent of Martin's history paintings."", ""In his 1835 Essay on American Scenery, Cole would describe the beauties of the American wilderness and its capacity to reveal God's creation as a metaphoric Eden. He considered European scenery to reflect the ravages of civilization, for which extensive forests had been felled, rugged mountains had been smoothed, and impetuous rivers had been turned from their courses. In contrast, Cole believed the American wilderness to embody a state of divine grace and lamented that the signs of progress were rapidly encroaching. In his Expulsion, Cole vividly portrays both Paradise and a hostile world replete with the consequences of earthly knowledge. These opposing realms meet near the center of the canvas. The profusion of flora and fauna evokes the beauty and harmony of Eden. Outside the gate to Paradise, Adam and Eve are cast into an abyss marked by blasted trees, desolate rocks, and an ominous wolf."", ""This text was adapted from Davis, et al., MFA Highlights: American Painting (Boston, 2003) available at www.mfashop.com/mfa-publications.html.""]",[],[],[],[],[],[],"[""[1]""]",[],[],[],"[""Museum of Fine Arts"", ""Native name"", ""Museum of Fine Arts Boston"", ""Location"", ""Boston"", "","", ""Massachusetts"", ""Coordinates"", ""42\u00b0\u00a020\u2032\u00a021\u2033\u00a0N, 71\u00b0\u00a005\u2032\u00a039\u2033\u00a0W"", ""Established"", ""1870"", ""Web page"", ""www.mfa.org"", ""Authority control"", "":"", ""Q49133"", ""VIAF"", "":"", ""151846308"", ""ISNI"", "":"", ""0000 0001 0664 9044"", ""ULAN"", "":"", ""500305147"", ""LCCN"", "":"", ""n79058410"", ""NLA"", "":"", ""36527557"", ""WorldCat"", ""institution QS:P195,Q49133""]","[""religious art""]","[""painting""]","[""\nMuseum of Fine Arts, Boston""]",[]
Sano di Pietro - Virgin and Child with Four Angels - WGA20782.jpg,artwork,"[""Sano di Pietro"", ""(1405\u20131481)"", ""Description"", ""painter and illuminator"", ""Date of birth/death"", ""2 December 1405"", ""October 1481"", ""Location of birth/death"", ""Siena"", ""Siena"", ""Work location"", ""Siena"", ""(1428\u20131481)"", ""Authority control"", "":"", ""Q1379714"", ""VIAF"", "":"", ""65118647"", ""ISNI"", "":"", ""0000 0001 1572 9337"", ""ULAN"", "":"", ""500115558"", ""LCCN"", "":"", ""nr91029004"", ""WGA"", "":"", ""SANO di Pietro"", ""WorldCat"", ""artist QS:P170,Q1379714""]",[],"[""Madonna and Child with Four Angels""]",[],[],[],"[""1470"", ""date QS:P571,+1470-00-00T00:00:00Z/9""]","[""tempera"", ""on"", ""panel"", ""medium QS:P186,Q175166;P186,Q106857709,P518,Q861259""]","[""Height: 65 cm (25.5 in); Width: 47 cm (18.5 in)"", ""dimensions QS:P2048,65U174728"", ""dimensions QS:P2049,47U174728""]",[],[],"[""97.229"", ""("", ""Museum of Fine Arts"", "")""]","[""Italy""]",[],[],[],[],[],[],"[""described at URL"", "":"", ""https://www.wga.hu/html/s/sano/virgin.html""]",[],[],[],[],[],[],[],[],[],"[""Museum of Fine Arts"", ""Native name"", ""Museum of Fine Arts Boston"", ""Location"", ""Boston"", "","", ""Massachusetts"", ""Coordinates"", ""42\u00b0\u00a020\u2032\u00a021\u2033\u00a0N, 71\u00b0\u00a005\u2032\u00a039\u2033\u00a0W"", ""Established"", ""1870"", ""Web page"", ""www.mfa.org"", ""Authority control"", "":"", ""Q49133"", ""VIAF"", "":"", ""151846308"", ""ISNI"", "":"", ""0000 0001 0664 9044"", ""ULAN"", "":"", ""500305147"", ""LCCN"", "":"", ""n79058410"", ""NLA"", "":"", ""36527557"", ""WorldCat"", ""institution QS:P195,Q49133""]","[""religious art""]","[""painting""]","[""Web Gallery of Art"", "":"", ""Image"", ""Info about artwork"", ""reference_wga QS:P973,\"""", ""http://www.wga.hu/html/s/sano/virgin.html"", ""\""""]",[]
