RecordNumber,actId,qid,filename,commons_uri,commons_page_url,actId_of_original,difference
49492,,Q1109475,Pontormo-visitation-after-restorationRGB.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Pontormo-visitation-after-restorationRGB.jpg,https://commons.wikimedia.org/wiki/File:Pontormo-visitation-after-restorationRGB.jpg,49490,crop
56046,,Q18602467,Nacimiento de San Juan Bautista (Artemisia Gentileschi).jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Nacimiento%20de%20San%20Juan%20Bautista%20%28Artemisia%20Gentileschi%29.jpg,https://commons.wikimedia.org/wiki/File:Nacimiento_de_San_Juan_Bautista_(Artemisia_Gentileschi).jpg,56032,crop of Zechariah
58806,,Q17492845,Fritz von Uhde - Christus mit den Bauern (ca.1887-88).jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Fritz%20von%20Uhde%20-%20Christus%20mit%20den%20Bauern%20%28ca.1887-88%29.jpg,https://commons.wikimedia.org/wiki/File:Fritz_von_Uhde_-_Christus_mit_den_Bauern_(ca.1887-88).jpg,58175,black and white
58171,,Q18686218,Jacopo Bassano - The Good Samaritan - Google Art Project.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Jacopo%20Bassano%20-%20The%20Good%20Samaritan%20-%20Google%20Art%20Project.jpg,https://commons.wikimedia.org/wiki/File:Jacopo_Bassano_-_The_Good_Samaritan_-_Google_Art_Project.jpg,54717,seems to differ only in being slightly smaller
57497,,Q19858712,Brooklyn Museum - Get Thee Behind Me Satan (Rétire-toi Satan) - James Tissot.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Brooklyn%20Museum%20-%20Get%20Thee%20Behind%20Me%20Satan%20%28R%C3%A9tire-toi%20Satan%29%20-%20James%20Tissot.jpg,https://commons.wikimedia.org/wiki/File:Brooklyn_Museum_-_Get_Thee_Behind_Me_Satan_(R%C3%A9tire-toi_Satan)_-_James_Tissot.jpg,56514,black and white and cropped
57502,,Q20178568,Harriet Powers - Pictorial quilt - Google Art Project.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Harriet%20Powers%20-%20Pictorial%20quilt%20-%20Google%20Art%20Project.jpg,https://commons.wikimedia.org/wiki/File:Harriet_Powers_-_Pictorial_quilt_-_Google_Art_Project.jpg,57057,black and white and cropped
56337,,Q2378567,"Angelico, prado.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/Angelico%2C%20prado.jpg,"https://commons.wikimedia.org/wiki/File:Angelico,_prado.jpg",47865,crop removing smaller panels at bottom
58386,,Q3937194,"'The Raising of Lazarus', tempera and gold on panel by Duccio di Buoninsegna, 1310–11, Kimbell Art Museum.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/%27The%20Raising%20of%20Lazarus%27%2C%20tempera%20and%20gold%20on%20panel%20by%20Duccio%20di%20Buoninsegna%2C%201310%E2%80%9311%2C%20Kimbell%20Art%20Museum.jpg,"https://commons.wikimedia.org/wiki/File:%27The_Raising_of_Lazarus%27,_tempera_and_gold_on_panel_by_Duccio_di_Buoninsegna,_1310%E2%80%9311,_Kimbell_Art_Museum.jpg",57320,this image seems to be corrupted - the download doesn't produce anything and no image is displayed
57485,,Q667094,Guds hand 2007.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Guds%20hand%202007.jpg,https://commons.wikimedia.org/wiki/File:Guds_hand_2007.jpg?uselang=enhands%20painting,55402,black and white
46621,57624,Q179962,Georges de La Tour 044.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Georges%20de%20La%20Tour%20044.jpg,https://commons.wikimedia.org/wiki/File:Georges_de_La_Tour_044.jpg,57624,lower resolution
