bad_qid,bad_label,filename,good_qid,notes
Q21074334,clarity,Ecce homo by Antonio Ciseri (1).jpg,Q55177712,done
Q18683211,The Crucifixion,The Crucifixion - Google Art Project.jpg,Q4233718,done
Q44265,Benedict of Nursia,Fra Angelico 031.jpg,Q3005521,"The ""bad"" item uses a crop of the good one. The bad one doesn't have its own Wikidata item."
Q1285598,,Burning-of-a-heretic-- Sassetta--Melburn museum.jpg,Q20407132,done
Q2907436,,Ernte in der Provénce.jpeg,Q26221146,done
Q9333675,,Albrecht Dürer 008.jpg,Q3947190,done
Q422681,Nazarene movement,JvFuhrichJosephRachel.jpg,Q28008117,done
Q163420,Albert van Ouwater,"Ouwater, Aelbert van - The Raising of Lazarus - c. 1445.jpg",Q9378385,done
Q379691,Romuald,Fra Angelico 032.jpg,Q3005521,"The ""bad"" item uses a crop of the good one. The bad one doesn't have its own Wikidata item."
Q3910081,Predella of Saints James and Lucia,"Beato angelico, incontro tra san domenicoe san francesco, 1430 ca..JPG",Q20202629,done
Q663118,Bible of San Paolo fuori le Mura,Ingobertus 001.jpg,Q26248636,wrong hit on the artist
Q936852,Raphael Cartoons,"V&A - Raphael, The Miraculous Draught of Fishes (1515).jpg",Q3900659,done
Q10289604,Kiss of Judas,Giotto - Scrovegni - -31- - Kiss of Judas.jpg,Q3504778,done
Q637420,Bernhard Strigel,Bernhard Strigel 001.jpg,Q21589744,done
Q1518676,Healing the blind who was  blinded since birth,Nicolas Colombel - Christ Healing the Blind.jpg,Q78644155,done
Q17301597,Archangel Michael,Pedro García de Benabarre and workshop - Herod's Banquet - Google Art Project.jpg,Q3374052,"wrong, ""bad"" is a cycle of paintings"
Q3613127,Christ before Pilate,Meister Bertram von Minden 011.jpg,Q3613127,good and bad Q IDs are the same; a cycle of paintings
