qid,act_id,label,description,image_filename
Q87737739,27238,The Tree of Jesse,representing the ancestry of Jesus Chris,Tree of Jesse Louvre OA10428.jpg
Q3698180,46131,Calvary,"painting by Antonello da Messina, Antwerpen","Calvarieberg, Antonello da Messina, 1475, Koninlijk Museum voor Schone Kunsten Antwerpen, 4.jpg"
Q1115595,46132,The Flight into Egypt,painting by Annibale Carracci,Annibale Carracci 003.jpg
Q3842501,46136,Madonna and sleeping child,painting by Andrea Mantegna,Andrea Mantegna 108.jpg
Q3945928,46138,Christ Blessing,painting by Antonello da Messina,Antonello da Messina 061.jpg
Q2034946,46140,"Psalter of Jean, Duc de Berry",,André Beauneveu 001.jpg
Q26256901,46151,Baptism of Christ,painting by Jacopino Del Conte,Jacopo del Conte 001.jpg
Q3769182,46153,Judith and Holofernes,painting by Andrea Mantegna or Follower (Possibly Giulio Campagnola),Andrea Mantegna 099.jpg
Q534108,46155,Saint Mark,painting by Andrea Mantegna,Andrea Mantegna 087.jpg
Q3948606,46156,Samson and Delilah,painting by Andrea Mantegna,Andrea Mantegna 042.jpg
Q19905341,46206,Madonna and Child,painting by workshop of Andrea del Verrocchio in the Metropolitan Museum of Art,"Workshop of Andrea del Verrocchio, 1470s Metropolitan Museum N-Y.jpg"
Q1252102,46213,Ecce Homo,title of a series of paintings by Antonello da Messina,Antonello da Messina 004.jpg
Q19966573,46214,Ecce Homo,painting by Antonello da Messina,Antonello da Messina 003.jpg
Q2715353,46216,Saint Jerome in His Study,1474 painting by Antonello da Messina,Antonello da Messina - St Jerome in his study - National Gallery London.jpg
Q2405395,46220,Adoration of the Magi,Painting by Andrea Mantegna,Andrea Mantegna 001.jpg
Q20537159,46227,Grapes and Walnuts on a Table,painting by Alfred Sisley,Alfred Sisley 057.jpg
Q19820319,46228,"Normandy, The Water Path, Evening at Sahurs",painting by Alfred Sisley,Alfred Sisley 045.jpg
Q29898367,46231,Die Traumtänzerin Madeleine,painting by Albert von Keller,Albert von Keller - Die Tänzerin Madeleine (Magdeleine Guipet).jpg
Q66057965,46233,Esther's toilet,painting by Aert de Gelder,Aert de Gelder 003.jpg
Q29951997,46234,On the Way to Golgatha ?,painting by Arent de Gelder,Aert de Gelder 002.jpg
Q2381716,46238,The Flight into Egypt,painting by Adam Elsheimer,Adam Elsheimer - Die Flucht nach Ägypten (Alte Pinakothek) 2.jpg
Q55854897,46262,Crucifixion with Mary and John,painting by Albrecht Altdorfer,Albrecht Altdorfer - Christus am Kreuz mit Maria und Johannes (Gemäldegalerie Alte Meister Kassel).jpg
Q21595671,46265,The Birth of Christ,painting by Albrecht Altdorfer,Albrecht Altdorfer - Nativity.jpg
Q21595671,46265,The Birth of Christ,painting by Albrecht Altdorfer,Albrecht Altdorfer - Nativity - WGA0211.jpg
Q110561985,46266,Still Life,painting by Albrecht Kauw,Albrecht Kauw 001.jpg
Q19897672,46267,The Adoration of the Magi,painting by Albrecht Altdorfer,Albrecht Altdorfer - The Adoration of the Magi - Städel.jpg
Q664038,46272,Martyrdom of the Ten Thousand,painting by Albrecht Dürer,Albrecht Dürer - Marter der zehntausend Christen (Yorck Project).jpg
Q2542197,46275,Lion,painting by Albrecht Dürer,Albrecht Dürer 055.jpg
Q3685122,46305,Lamentation of Christ,"painting by Albrecht Dürer, Nuremberg",Albrecht Dürer 011.jpg
Q22250340,46307,Via Crucis,painting by Albrecht Dürer,Albrecht Dürer 024.jpg
Q3947190,46309,The Apostle James the Elder,painting by Albrecht Dürer,"Durer, san giacomo.jpg"
Q22250338,46322,Flight to Egypt,painting by Albrecht Dürer,Albrecht Dürer 022.jpg
Q20538162,46404,The Young Christ as the Good Shepherd,painting by Bartolomé Esteban Murillo,Bartolomé Esteban Murillo - The Young Christ as the Good Shepherd - 58.1425 - Museum of Fine Arts.jpg
Q20188721,46410,The Mother and Sister of the Artist,painting by Berthe Morisot,Berthe Morisot 006.jpg
Q110561958,46447,Prophet Hosea,painting by Duccio di Buoninsegna,Duccio di Buoninsegna 063.jpg
Q3618178,46492,Annunciation,painting by Gentile da Fabriano,Gentile da Fabriano - Annunciation - WGA08546.jpg
Q3618178,46492,Annunciation,painting by Gentile da Fabriano,Gentile da Fabriano 079.jpg
Q4411577,46512,Saint Matthew and the Angel,painting by Guido Reni,Guido Reni 043.jpg
Q27968053,46514,The Finding of Moses,painting by Giovanni Battista Tiepolo,Giovanni Battista Tiepolo 011.jpg
Q27968053,46514,The Finding of Moses,painting by Giovanni Battista Tiepolo,Giovanni Battista Tiepolo 018.jpg
Q110561906,46517,Jephtha's Return,painting by Giovanni Antonio Pellegrini,Giovanni Antonio Pellegrini 001.jpg
