value,label,count
P18,image,445
P31,instance of,435
P170,creator,362
P195,collection,357
P276,location,351
P571,inception,332
P2048,height,326
P2049,width,325
P6216,copyright status,325
P217,inventory number,316
P186,material used,306
P136,genre,242
P1476,title,241
P180,depicts,171
P973,described at URL,144
P1257,depicts Iconclass notation,106
P4625,"Museum of Fine Arts, Boston object ID",106
P373,Commons category,101
P140,religion,89
P4701,Google Arts & Culture asset ID,87
P921,main subject,84
P646,Freebase ID,74
P528,catalog code,72
P350,RKDimages ID,65
P495,country of origin,55
P17,country,49
P135,movement,43
P1343,described by source,42
P21,sex or gender,31
P244,Library of Congress authority ID,30
P214,VIAF ID,28
P361,part of,27
P1417,Encyclopædia Britannica Online ID,26
P131,located in the administrative territorial entity,26
P227,GND ID,25
P569,date of birth,24
P7859,WorldCat Identities ID,24
P570,date of death,22
P2581,BabelNet ID,21
P106,occupation,21
P608,exhibition history,19
P19,place of birth,19
P735,given name,17
P20,place of death,16
P625,coordinate location,15
P1296,Gran Enciclopèdia Catalana ID,15
P1441,present in work,15
P2163,FAST ID,15
P27,country of citizenship,15
P910,topic's main category,14
P1679,Art UK artwork ID,14
P127,owned by,13
P1889,different from,12
P6108,IIIF manifest,12
P268,Bibliothèque nationale de France ID,11
P347,Joconde work ID,11
P1256,Iconclass notation,11
P213,ISNI,11
P1071,location of creation,10
P1871,CERL Thesaurus ID,10
P26,spouse,10
P40,child,10
P793,significant event,9
P856,official website,9
P3241,Catholic Encyclopedia ID,9
P144,based on,9
P269,IdRef ID,8
P734,family name,8
P1184,Handle ID,8
P2079,fabrication method,8
P3634,The Met object ID,8
P7763,copyright status as a creator,8
P508,BNCF Thesaurus ID,7
P841,feast day,7
P1559,name in native language,7
P2671,Google Knowledge Graph ID,7
P3219,Encyclopædia Universalis ID,7
P3847,Open Library subject ID,7
P5008,on focus list of Wikimedia project,7
P5986,Getty Iconography Authority ID,7
P411,canonization status,6
P648,Open Library ID,6
P935,Commons gallery,6
P1006,Nationale Thesaurus voor Auteurs ID,6
P1435,heritage designation,6
P1438,Jewish Encyclopedia ID (Russian),6
P2348,time period,6
P2924,Great Russian Encyclopedia Online ID,6
P3417,Quora topic ID,6
P4539,Collective Biographies of Women ID,6
P5905,Comic Vine ID,6
P6007,Salons ID,6
P6126,Santiebeati ID,6
P7293,PLWABN ID,6
P7704,Europeana entity,6
P22,father,6
P25,mother,6
P39,position held,6
P88,commissioned by,6
P279,subclass of,5
P460,said to be the same as,5
P527,has part,5
P691,NKCR AUT ID,5
P950,Biblioteca Nacional de España ID,5
P1207,NUKAT ID,5
P1422,Sandrart.net person ID,5
P3365,Treccani ID,5
P3430,SNAC Ark ID,5
P4683,National Gallery of Art artwork ID,5
P4713,Walters Art Museum ID,5
P4740,Brooklyn Museum artwork ID,5
P5499,Boijmans work ID,5
P7818,French Vikidia ID,5
P7902,Deutsche Biographie ID,5
P8960,Kunsthistorisches Museum Wien ID,5
P138,named after,5
P650,RKDartists ID,4
P674,characters,4
P1212,Atlas ID,4
P1412,"languages spoken, written or signed",4
P1472,Commons Creator page,4
P1684,inscription,4
P1711,British Museum person or institution ID,4
P2043,length,4
P3222,NE.se ID,4
P3373,sibling,4
P4342,Store norske leksikon ID,4
P4659,Musée d'Orsay artwork ID,4
P5063,ILI ID,4
P8406,Grove Art Online ID,4
P8408,KBpedia ID,4
P53,family,4
P119,place of burial,4
P156,followed by,4
P166,award received,4
P172,ethnic group,4
P407,language of work or name,3
P509,cause of death,3
P535,Find A Grave memorial ID,3
P551,residence,3
P906,SELIBR ID,3
P1014,Art & Architecture Thesaurus ID,3
P1269,facet of,3
P1315,NLA Trove ID,3
P1433,published in,3
P2092,Bildindex der Kunst und Architektur ID,3
P2108,Kunstindeks Danmark artwork ID,3
P4286,Nominis saint ID,3
P4432,AKL Online artist ID,3
P4704,Smithsonian American Art Museum ID,3
P4712,Minneapolis Institute of Art artwork ID,3
P4738,Yale Center for British Art artwork ID,3
P5002,Orthodox Encyclopedia ID,3
P5587,Libris-URI,3
P6366,Microsoft Academic ID,3
P6379,has works in the collection,3
P6404,Treccani's Dizionario di Storia ID,3
P6723,BlackPast.org ID,3
P6805,Art Gallery of South Australia work ID,3
P7420,image with frame,3
P7847,DigitaltMuseum ID,3
P8080,Ökumenisches Heiligenlexikon ID,3
P8905,Museo del Prado ID,3
P8946,National Galleries of Scotland ID,3
P8948,Pinakothek artwork ID,3
P9061,National Museum in Warsaw ID,3
P149,architectural style,3
P434,MusicBrainz artist ID,2
P486,MeSH descriptor ID,2
P708,diocese,2
P710,participant,2
P949,National Library of Israel ID,2
P953,full work available at URL,2
P1051,PSH ID,2
P1050,medical condition,2
P1138,Kunstindeks Danmark Artist ID,2
P1196,manner of death,2
P1245,OmegaWiki Defined Meaning,2
P1280,CONOR.SI ID,2
P1344,participant in,2
P1382,partially coincident with,2
P1477,birth name,2
P1580,University of Barcelona authority ID,2
P1669,Cultural Objects Names Authority ID,2
P1705,native label,2
P1726,Florentine musea Inventario 1890 ID,2
P2014,Museum of Modern Art work ID,2
P2242,Florentine musea catalogue ID,2
P2344,AGORHA work ID,2
P2347,YSO ID,2
P2582,J. Paul Getty Museum object ID,2
P2610,thickness,2
P3095,practiced by,2
P3293,BALaT object ID,2
P3569,Cultureel Woordenboek ID,2
P3710,Jewish Encyclopedia Daat ID,2
P3782,Artnet artist ID,2
P4200,Christie's creator ID,2
P4223,Treccani's Enciclopedia Italiana ID,2
P4629,Online Books Page author ID,2
P4643,Philadelphia Museum of Art work ID,2
P4927,Invaluable.com person ID,2
P4969,derivative work,2
P5019,Brockhaus Enzyklopädie online ID,2
P5198,ASC Leiden Thesaurus ID,2
P5383,archINFORM project ID,2
P6002,WikiArt ID,2
P6058,Larousse ID,2
P6295,ARTIC artist ID,2
