qid,label_en,description_en,act_uuid,act,act_ref1_hash,act_ref1_retrieved_nodeId,act_ref1_retrieved_val,act_ref1_retrieved_prec,inventory_number_uuid,inventory_number,inventory_number_collection,inventory_number_ref1_hash,inventory_number_ref1_referenceUrl,inventory_number_ref1_retrieved_nodeId,inventory_number_ref1_retrieved_val,inventory_number_ref1_retrieved_prec,title_uuid,title,title_ref1_hash,title_ref1_referenceUrl,title_ref1_retrieved_nodeId,title_ref1_retrieved_val,title_ref1_retrieved_prec,creator_uuid,creator,creator_object_has_role,creator_ref1_hash,creator_ref1_referenceUrl,creator_ref1_retrieved_nodeId,creator_ref1_retrieved_val,creator_ref1_retrieved_prec,instance_of_uuid,instance_of,instance_of_ref1_hash,instance_of_ref1_referenceUrl,instance_of_ref1_retrieved_nodeId,instance_of_ref1_retrieved_val,instance_of_ref1_retrieved_prec,inception_uuid,inception,inception_nodeId,inception_val,inception_prec,inception_earliest_date_nodeId,inception_earliest_date_val,inception_earliest_date_prec,inception_latest_date_nodeId,inception_latest_date_val,inception_latest_date_prec,inception_sourcing_circumstances,inception_ref1_hash,inception_ref1_referenceUrl,inception_ref1_retrieved_nodeId,inception_ref1_retrieved_val,inception_ref1_retrieved_prec,country_of_origin_uuid,country_of_origin,country_of_origin_ref1_hash,country_of_origin_ref1_referenceUrl,country_of_origin_ref1_retrieved_nodeId,country_of_origin_ref1_retrieved_val,country_of_origin_ref1_retrieved_prec,copyright_status_uuid,copyright_status,copyright_status_applies_to_jurisdiction,copyright_status_determination_method,copyright_status_ref1_hash,copyright_status_ref1_referenceUrl,copyright_status_ref1_retrieved_nodeId,copyright_status_ref1_retrieved_val,copyright_status_ref1_retrieved_prec,image_uuid,image,image_ref1_hash,image_ref1_referenceUrl,image_ref1_retrieved_nodeId,image_ref1_retrieved_val,image_ref1_retrieved_prec,collection_uuid,collection,collection_ref1_hash,collection_ref1_referenceUrl,collection_ref1_retrieved_nodeId,collection_ref1_retrieved_val,collection_ref1_retrieved_prec,iiif_manifest_uuid,iiif_manifest,iiif_manifest_ref1_hash,iiif_manifest_ref1_referenceUrl,iiif_manifest_ref1_retrieved_nodeId,iiif_manifest_ref1_retrieved_val,iiif_manifest_ref1_retrieved_prec,part_of,part_of_ref1_hash,part_of_ref1_referenceUrl,part_of_ref1_retrieved_nodeId,part_of_ref1_retrieved_val,part_of_ref1_retrieved_prec
,"Chartres Cathedral; Moses, Samuel, Aaron; left embrasure jamb figures, central portal, north transept",artwork ACT ID: 26238,,26238,,,2023-10-06,,,,,,,,,,,"Chartres Cathedral; Moses, Samuel, Aaron; left embrasure jamb figures, central portal, north transept",,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26238,,2023-10-06,,,_:,Q4233718,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26238,,2023-10-06,,,Q838948,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26238,,2023-10-06,,,,,1207-01-01T00:00:00Z,9,,1204-01-01T00:00:00Z,9,,1210-01-01T00:00:00Z,9,,,,,,,,Q142,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26238,,2023-10-06,,,Q19652,Q60332278,Q29940705,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26238,,2023-10-06,,,,,,,,,,,,,,,,,,,,,,,Q180274,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26238,,2023-10-06,
,"Chartres Cathedral; Mary, the mother of Jesus, apostles, angels; lintel of central portal, north transept",artwork ACT ID: 26242,,26242,,,2023-10-06,,,,,,,,,,,"Chartres Cathedral; Mary, the mother of Jesus, apostles, angels; lintel of central portal, north transept",,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26242,,2023-10-06,,,_:,Q4233718,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26242,,2023-10-06,,,Q838948,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26242,,2023-10-06,,,,,1207-01-01T00:00:00Z,9,,1204-01-01T00:00:00Z,9,,1210-01-01T00:00:00Z,9,,,,,,,,Q142,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26242,,2023-10-06,,,Q19652,Q60332278,Q29940705,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26242,,2023-10-06,,,,,,,,,,,,,,,,,,,,,,,Q180274,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26242,,2023-10-06,
,"Chartres Cathedral; Isaiah (Jacob), Jesse, Jeremiah, Simeon, Jesus, John the Baptist, Peter; right embrasure, central portal, north transept",artwork ACT ID: 26243,,26243,,,2023-10-06,,,,,,,,,,,"Chartres Cathedral; Isaiah (Jacob), Jesse, Jeremiah, Simeon, Jesus, John the Baptist, Peter; right embrasure, central portal, north transept",,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26243,,2023-10-06,,,_:,Q4233718,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26243,,2023-10-06,,,Q838948,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26243,,2023-10-06,,,,,1207-01-01T00:00:00Z,9,,1204-01-01T00:00:00Z,9,,1210-01-01T00:00:00Z,9,,,,,,,,Q142,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26243,,2023-10-06,,,Q19652,Q60332278,Q29940705,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26243,,2023-10-06,,,,,,,,,,,,,,,,,,,,,,,Q180274,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26243,,2023-10-06,
,"Chartres Cathedral; Melchizedek, Abraham, Isaac, Moses, Aaron (Samuel), David; left embrasure jamb figures, central portal, north transept",artwork ACT ID: 26244,,26244,,,2023-10-06,,,,,,,,,,,"Chartres Cathedral; Melchizedek, Abraham, Isaac, Moses, Aaron (Samuel), David; left embrasure jamb figures, central portal, north transept",,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26244,,2023-10-06,,,_:,Q4233718,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26244,,2023-10-06,,,Q838948,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26244,,2023-10-06,,,,,1207-01-01T00:00:00Z,9,,1204-01-01T00:00:00Z,9,,1210-01-01T00:00:00Z,9,,,,,,,,Q142,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26244,,2023-10-06,,,Q19652,Q60332278,Q29940705,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26244,,2023-10-06,,,,,,,,,,,,,,,,,,,,,,,Q180274,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26244,,2023-10-06,
,"Chartres Cathedral; Coronation, Death and Assumption of the Virgin; tympanum and lintel, central portal, north transept",relief sculpture ACT ID: 26246,,26246,,,2023-10-06,,,,,,,,,,,"Chartres Cathedral; Coronation, Death and Assumption of the Virgin; tympanum and lintel, central portal, north transept",,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26246,,2023-10-06,,,_:,Q4233718,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26246,,2023-10-06,,,Q838948,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26246,,2023-10-06,,,,,1207-01-01T00:00:00Z,9,,1204-01-01T00:00:00Z,9,,1210-01-01T00:00:00Z,9,,,,,,,,Q142,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26246,,2023-10-06,,,Q19652,Q60332278,Q29940705,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26246,,2023-10-06,,,,,,,,,,,,,,,,,,,,,,,Q180274,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26246,,2023-10-06,
,"Chartres Cathedral; Coronation of the Virgin; tympanum of central portal, north transept",relief sculpture ACT ID: 26247,,26247,,,2023-10-06,,,,,,,,,,,"Chartres Cathedral; Coronation of the Virgin; tympanum of central portal, north transept",,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26247,,2023-10-06,,,_:,Q4233718,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26247,,2023-10-06,,,Q838948,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26247,,2023-10-06,,,,,1207-01-01T00:00:00Z,9,,1204-01-01T00:00:00Z,9,,1210-01-01T00:00:00Z,9,,,,,,,,Q142,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26247,,2023-10-06,,,Q19652,Q60332278,Q29940705,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26247,,2023-10-06,,,,,,,,,,,,,,,,,,,,,,,Q180274,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26247,,2023-10-06,
,"Chartres Cathedral; Samuel, David; left embrasure jamb figures, central portal, north transept",artwork ACT ID: 26248,,26248,,,2023-10-06,,,,,,,,,,,"Chartres Cathedral; Samuel, David; left embrasure jamb figures, central portal, north transept",,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26248,,2023-10-06,,,_:,Q4233718,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26248,,2023-10-06,,,Q838948,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26248,,2023-10-06,,,,,1207-01-01T00:00:00Z,9,,1204-01-01T00:00:00Z,9,,1210-01-01T00:00:00Z,9,,,,,,,,Q142,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26248,,2023-10-06,,,Q19652,Q60332278,Q29940705,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26248,,2023-10-06,,,,,,,,,,,,,,,,,,,,,,,Q180274,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26248,,2023-10-06,
,"Chartres Cathedral; Isaiah, Jeremiah; jamb figures, right embrasures, central portal, north transept",artwork ACT ID: 26249,,26249,,,2023-10-06,,,,,,,,,,,"Chartres Cathedral; Isaiah, Jeremiah; jamb figures, right embrasures, central portal, north transept",,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26249,,2023-10-06,,,_:,Q4233718,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26249,,2023-10-06,,,Q838948,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26249,,2023-10-06,,,,,1207-01-01T00:00:00Z,9,,1204-01-01T00:00:00Z,9,,1210-01-01T00:00:00Z,9,,,,,,,,Q142,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26249,,2023-10-06,,,Q19652,Q60332278,Q29940705,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26249,,2023-10-06,,,,,,,,,,,,,,,,,,,,,,,Q180274,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26249,,2023-10-06,
,"Chartres Cathedral; Melchizedek, Abraham, Isaac, Samuel or Aaron, David; left embrasure jamb figures, central portal, north transept",artwork ACT ID: 26251,,26251,,,2023-10-06,,,,,,,,,,,"Chartres Cathedral; Melchizedek, Abraham, Isaac, Samuel or Aaron, David; left embrasure jamb figures, central portal, north transept",,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26251,,2023-10-06,,,_:,Q4233718,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26251,,2023-10-06,,,Q838948,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26251,,2023-10-06,,,,,1207-01-01T00:00:00Z,9,,1204-01-01T00:00:00Z,9,,1210-01-01T00:00:00Z,9,,,,,,,,Q142,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26251,,2023-10-06,,,Q19652,Q60332278,Q29940705,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26251,,2023-10-06,,,,,,,,,,,,,,,,,,,,,,,Q180274,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26251,,2023-10-06,
,"Chartres Cathedral; Melchizedek, Abraham, Isaac, Moses, Samuel (Aaron), David; left embrasure jamb figures of the central portal, north transept",artwork ACT ID: 26252,,26252,,,2023-10-06,,,,,,,,,,,"Chartres Cathedral; Melchizedek, Abraham, Isaac, Moses, Samuel (Aaron), David; left embrasure jamb figures of the central portal, north transept",,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26252,,2023-10-06,,,_:,Q4233718,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26252,,2023-10-06,,,Q838948,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26252,,2023-10-06,,,,,1207-01-01T00:00:00Z,9,,1204-01-01T00:00:00Z,9,,1210-01-01T00:00:00Z,9,,,,,,,,Q142,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26252,,2023-10-06,,,Q19652,Q60332278,Q29940705,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26252,,2023-10-06,,,,,,,,,,,,,,,,,,,,,,,Q180274,,https://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=26252,,2023-10-06,
