qid,label_en,act_id,dimension,status,inception_val
Q122959927,Adoration of the Magi,46328,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122959929,Orant Figure,46330,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122959930,Christ holding the Law,46331,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122959933,"Jonah, Raising of Lazarus, Striking of the Rock",46334,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122959934,Daniel in the Lions' Den,46335,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122959935,Visitation of the Magi,46336,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122959936,Dove and the Three Youths in the Fiery Furnace,46337,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122959937,Three Youths in the Fiery Furnace,46338,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122959938,Christ's Entry into Jerusalem and Raising of Lazarus,46339,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122959939,Christ in Judgment,46340,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122959940,Daniel in the Lions' Den,46341,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122959941,Noah Receiving the Dove and the Three Youths in the Fiery Furnace,46342,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122959942,Christ Performing Miracles,46343,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122959943,Orant Figure and Agape Meal,46344,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122959954,Vatican City. Direzione generale dei musei. Sarcophagus Frontal,46354,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122959966,Christ's Entry into Jerusalem [sarcophagus fragment],46365,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122959967,"Christ Performing Miracles, Healing Scenes",46366,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122959968,Christ Performing Miracles: Loaves and Healing,46367,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122959969,"Christ Performing Miracles, Healing the blind",46368,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122959972,Christ giving Law to Peter; Healing the woman who touched Jesus' cloak; Feeding the thousands,46370,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122959973,"Binding of Isaac, Moses, Christ Performing Miracle",46371,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122959975,Vatican City. Direzione generale dei musei. Sarcophagus Frontal,46372,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122959977,Lamb and Peacock with Aurelius Inscription,46374,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122959978,"Raising of Lazarus, Inscription",46375,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122959979,"Raising of Lazarus, Inscription detail",46376,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122959980,Peter Stiking the Rock; Wedding at Cana,46377,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122959981,"Sarcophagus Frontal, left side",46378,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122959982,"Sarcophagus Frontal, right side",46379,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122959983,Vatican City. Direzione generale dei musei. Sarcophagus Frontal,46380,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122959984,"Christ Performing Miracles, Healing Scenes",46381,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122959985,Peter Striking the Rock? ; Christ Healing,46382,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122959987,Peter Striking the Rock; Arrest of Peter; Healing by Christ; Wedding at Cana; Loaves and Fish,46383,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122959988,Christ Raises the Young Man; Christ at the Wedding at Cana,46385,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122959989,Healing of the Paralytic; Sacrifice of Isaac,46386,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122959991,Peter Striking the Rock and Wedding at Cana,46387,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122959992,"Orant Figure, Raising of Lazarus, and Loaves and Fishes",46388,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122959996,"Christ Performing Miracles, Healing Scenes",46391,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122959997,Fragment from the Vatican Museum. Christ's Entry into Jerusalem,46392,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122959999,Christ Performing Miracles --  Wedding at Cana and Healing of the Blind,46394,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122960001,Christ Performing Miracles; Wedding at Cana; Sacrifice of Isaac,46395,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122960002,Christ Raising the Dead and the Visitation of the Magi,46396,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122960003,Christ Performing Miracles,46397,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122960004,"Noah and the Dove, Jonah Cycle",46398,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122960005,"Jonah, Striking of the Rock",46399,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122960006,Jonah as Endymion,46400,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122960007,Inscription with Dove,46401,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122960008,Inscription with Wheat Tare,46402,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122960010,Traditio Legis; Christ handing the Law to Peter and Paul,46403,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122960011,Vatican City. Direzione generale dei musei. Sarcophagus Frontal,46405,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122960012,Vatican City. Direzione generale dei musei. Sarcophagus Frontal,46406,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122960013,Vatican City. Direzione generale dei musei. Sarcophagus Frontal,46407,3D,inception prior to copyright cutoff,0300-01-01T00:00:00Z
Q122959928,"Nativity, Baptism of Christ, and Christ Raising the Dead",46329,3D,inception prior to copyright cutoff,0350-01-01T00:00:00Z
Q122959931,Angels Supporting Slate,46332,3D,inception prior to copyright cutoff,0350-01-01T00:00:00Z
Q122959932,Adam and Serpent from the Garden of Eden,46333,3D,inception prior to copyright cutoff,0350-01-01T00:00:00Z
Q122959944,"Christ Performing Miracles, and Adam and Eve",46345,3D,inception prior to copyright cutoff,0350-01-01T00:00:00Z
Q122959957,"Scenes of Passion, Christ before Pilate",46357,3D,inception prior to copyright cutoff,0350-01-01T00:00:00Z
Q122959958,Christ before Centurion,46358,3D,inception prior to copyright cutoff,0350-01-01T00:00:00Z
Q122959959,Centurions Sleep under Chi Rho,46359,3D,inception prior to copyright cutoff,0350-01-01T00:00:00Z
Q122959960,Christ Crowned with Thorns,46360,3D,inception prior to copyright cutoff,0350-01-01T00:00:00Z
Q122959963,Procession of the Cross,46361,3D,inception prior to copyright cutoff,0350-01-01T00:00:00Z
Q122959964,Separation of Sheep and Goats,46362,3D,inception prior to copyright cutoff,0350-01-01T00:00:00Z
Q122959965,Peter in Gethsemane,46363,3D,inception prior to copyright cutoff,0350-01-01T00:00:00Z
Q122959993,Christ before Pilate,46389,3D,inception prior to copyright cutoff,0350-01-01T00:00:00Z
Q122959994,Adam and Eve and Christ Raising the Dead,46390,3D,inception prior to copyright cutoff,0350-01-01T00:00:00Z
Q122959998,Christ Blessing,46393,3D,inception prior to copyright cutoff,0350-01-01T00:00:00Z
Q122960207,Traditio Legis Sarcophagus,53848,3D,inception prior to copyright cutoff,0350-01-01T00:00:00Z
Q122959945,"Pontius Pilate, Sarcophagus of Junius Bassus",46346,3D,inception prior to copyright cutoff,0359-01-01T00:00:00Z
Q122959946,"Traditio Legis, Sarcophagus of Junius Bassus",46347,3D,inception prior to copyright cutoff,0359-01-01T00:00:00Z
Q122959947,"Christ's entrance to Jerusalem, Sarcophagus of Junius Bassus",46348,3D,inception prior to copyright cutoff,0359-01-01T00:00:00Z
Q122959949,"Christ Peaching, Sarcophagus of Junius Bassus",46349,3D,inception prior to copyright cutoff,0359-01-01T00:00:00Z
Q122959950,"Daniel in the Lions' Den, Sarcophagus of Junius Bassus",46350,3D,inception prior to copyright cutoff,0359-01-01T00:00:00Z
Q122959952,"Peter, the Apostle, Sarcophagus of Junius Bassus",46352,3D,inception prior to copyright cutoff,0359-01-01T00:00:00Z
Q122959953,"Trial, Sarcophagus of Junius Bassus",46353,3D,inception prior to copyright cutoff,0359-01-01T00:00:00Z
Q122959955,"Adam and Eve, Sarcophagus of Junius Bassus",46355,3D,inception prior to copyright cutoff,0359-01-01T00:00:00Z
Q122959956,"Woman Washing Jesus' feet, Sarcophagus of Junius Bassus",46356,3D,inception prior to copyright cutoff,0359-01-01T00:00:00Z
Q122959970,"Binding of Issac, Sarcophagus of Junius Bassus",46369,3D,inception prior to copyright cutoff,0359-01-01T00:00:00Z
Q122960205,Adam Naming the Animals,53847,3D,inception prior to copyright cutoff,0450-01-01T00:00:00Z
Q122960204,Ascension from the Rabbula Gospels,53846,3D,inception prior to copyright cutoff,0586-01-01T00:00:00Z
Q122960107,"Western front sculpture, Cathedral of St. Pierre, Angouleme, France",47125,3D,inception prior to copyright cutoff,1050-01-01T00:00:00Z
Q122960108,"Western front sculpture, Cathedral of St. Pierre, Angouleme, France",47143,3D,inception prior to copyright cutoff,1050-01-01T00:00:00Z
Q122960109,"Western front sculpture, Cathedral of St. Pierre, Angouleme, France",47144,3D,inception prior to copyright cutoff,1050-01-01T00:00:00Z
Q122960110,"Western front sculpture, Cathedral of St. Pierre, Angouleme, France",47145,3D,inception prior to copyright cutoff,1050-01-01T00:00:00Z
Q122960113,"Western front sculpture, Cathedral of St. Pierre, Angouleme, France",47146,3D,inception prior to copyright cutoff,1050-01-01T00:00:00Z
Q122960114,"Western front sculpture, Cathedral of St. Pierre, Angouleme, France",47147,3D,inception prior to copyright cutoff,1050-01-01T00:00:00Z
Q122960115,"Western front sculpture, Cathedral of St. Pierre, Angouleme, France,",47148,3D,inception prior to copyright cutoff,1050-01-01T00:00:00Z
Q122960116,"Western front sculpture, Cathedral of St. Pierre, Angouleme, France",47149,3D,inception prior to copyright cutoff,1050-01-01T00:00:00Z
Q122960117,"Western front sculpture, Cathedral of St. Pierre, Angouleme, France",47150,3D,inception prior to copyright cutoff,1050-01-01T00:00:00Z
Q122960119,"Western front sculpture, Cathedral of St. Pierre, Angouleme, France",47151,3D,inception prior to copyright cutoff,1050-01-01T00:00:00Z
