qid,commons_id,local_identifier,label_en,directory,local_filename,rank,image_name,iiif_manifest,notes
Q113814896,M122779898,51550,Jesus Teaching in the Temple,,Amiens19-large.jpg,primary,Jesus Teaching in the Temple - Vanderbilt ACT - Amiens19-large.jpg,https://iiif-manifest.library.vanderbilt.edu/act/51550.json,
Q113956653,M122969866,51541,Marriage Feast at Cana,,Amiens05-large.jpg,primary,Marriage Feast at Cana - Vanderbilt ACT - Amiens05-large.jpg,https://iiif-manifest.library.vanderbilt.edu/act/51541.json,
Q122959927,M140057049,46328,Adoration of the Magi,,DSC00241.jpg,primary,Adoration of the Magi - Vanderbilt ACT - DSC00241.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46328.json,
Q122959929,M140059010,46330,Orant Figure,,DSC00243.jpg,primary,Orant Figure - Vanderbilt ACT - DSC00243.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46330.json,
Q122959930,M140059397,46331,Christ holding the Law,,DSC00247.jpg,primary,Christ holding the Law - Vanderbilt ACT - DSC00247.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46331.json,
Q122959933,M140100418,46334,"Jonah, Raising of Lazarus, Striking of the Rock",,DSC00334.jpg,primary,"Jonah, Raising of Lazarus, Striking of the Rock - Vanderbilt ACT - DSC00334.jpg",https://iiif-manifest.library.vanderbilt.edu/act/46334.json,
Q122959934,M140108011,46335,Daniel in the Lions' Den,,DSC00255.jpg,primary,Daniel in the Lions' Den - Vanderbilt ACT - DSC00255.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46335.json,
Q122959935,M140108023,46336,Visitation of the Magi,,DSC00254.jpg,primary,Visitation of the Magi - Vanderbilt ACT - DSC00254.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46336.json,
Q122959936,M140108035,46337,Dove and the Three Youths in the Fiery Furnace,,DSC00262.jpg,primary,Dove and the Three Youths in the Fiery Furnace - Vanderbilt ACT - DSC00262.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46337.json,
Q122959937,M140108049,46338,Three Youths in the Fiery Furnace,,DSC00257.jpg,primary,Three Youths in the Fiery Furnace - Vanderbilt ACT - DSC00257.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46338.json,
Q122959938,M140108062,46339,Christ's Entry into Jerusalem and Raising of Lazarus,,DSC00325.jpg,primary,Christ's Entry into Jerusalem and Raising of Lazarus - Vanderbilt ACT - DSC00325.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46339.json,
Q122959939,M140108073,46340,Christ in Judgment,,DSC00260.jpg,primary,Christ in Judgment - Vanderbilt ACT - DSC00260.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46340.json,
Q122959940,M140108085,46341,Daniel in the Lions' Den,,DSC00238.jpg,primary,Daniel in the Lions' Den - Vanderbilt ACT - DSC00238.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46341.json,
Q122959941,M140108096,46342,Noah Receiving the Dove and the Three Youths in the Fiery Furnace,,DSC00256.jpg,primary,Noah Receiving the Dove and the Three Youths in the Fiery Furnace - Vanderbilt ACT - DSC00256.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46342.json,
Q122959942,M140108105,46343,Christ Performing Miracles,,DSC00264.jpg,primary,Christ Performing Miracles - Vanderbilt ACT - DSC00264.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46343.json,
Q122959943,M140108119,46344,Orant Figure and Agape Meal,,DSC00330.jpg,primary,Orant Figure and Agape Meal - Vanderbilt ACT - DSC00330.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46344.json,
Q122959954,M140108395,46354,Vatican City. Direzione generale dei musei. Sarcophagus Frontal,,DSC00300.jpg,primary,Vatican City. Direzione generale dei musei. Sarcophagus Frontal - Vanderbilt ACT - DSC00300.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46354.json,
Q122959966,M140108404,46365,Christ's Entry into Jerusalem [sarcophagus fragment],,DSC00294.jpg,primary,Christ's Entry into Jerusalem (sarcophagus fragment) - Vanderbilt ACT - DSC00294.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46365.json,
Q122959967,M140108411,46366,"Christ Performing Miracles, Healing Scenes",,DSC00293.jpg,primary,"Christ Performing Miracles, Healing Scenes - Vanderbilt ACT - DSC00293.jpg",https://iiif-manifest.library.vanderbilt.edu/act/46366.json,
Q122959968,M140108421,46367,Christ Performing Miracles: Loaves and Healing,,DSC00266.jpg,primary,Christ Performing Miracles- Loaves and Healing - Vanderbilt ACT - DSC00266.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46367.json,
Q122959969,M140108427,46368,"Christ Performing Miracles, Healing the blind",,DSC00297.jpg,primary,"Christ Performing Miracles, Healing the blind - Vanderbilt ACT - DSC00297.jpg",https://iiif-manifest.library.vanderbilt.edu/act/46368.json,
Q122959972,M140108439,46370,Christ giving Law to Peter; Healing the woman who touched Jesus' cloak; Feeding the thousands,,DSC00299.jpg,primary,Christ giving Law to Peter; Healing the woman who touched Jesus' cloak; Feeding the thousands - Vanderbilt ACT - DSC00299.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46370.json,
Q122959973,M140108448,46371,"Binding of Isaac, Moses, Christ Performing Miracle",,DSC00298.jpg,primary,"Binding of Isaac, Moses, Christ Performing Miracle - Vanderbilt ACT - DSC00298.jpg",https://iiif-manifest.library.vanderbilt.edu/act/46371.json,
Q122959975,M140108456,46372,Vatican City. Direzione generale dei musei. Sarcophagus Frontal,,DSC00302.jpg,primary,Vatican City. Direzione generale dei musei. Sarcophagus Frontal - Vanderbilt ACT - DSC00302.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46372.json,
Q122959977,M140108461,46374,Lamb and Peacock with Aurelius Inscription,,DSC00303.jpg,primary,Lamb and Peacock with Aurelius Inscription - Vanderbilt ACT - DSC00303.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46374.json,
Q122959978,M140108477,46375,"Raising of Lazarus, Inscription",,DSC00305.jpg,primary,"Raising of Lazarus, Inscription - Vanderbilt ACT - DSC00305.jpg",https://iiif-manifest.library.vanderbilt.edu/act/46375.json,
Q122959979,M140108482,46376,"Raising of Lazarus, Inscription detail",,DSC00306.jpg,primary,"Raising of Lazarus, Inscription detail - Vanderbilt ACT - DSC00306.jpg",https://iiif-manifest.library.vanderbilt.edu/act/46376.json,
Q122959980,M140108492,46377,Peter Stiking the Rock; Wedding at Cana,,DSC00313.jpg,primary,Peter Stiking the Rock; Wedding at Cana - Vanderbilt ACT - DSC00313.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46377.json,
Q122959981,M140108497,46378,"Sarcophagus Frontal, left side",,DSC00311.jpg,primary,"Sarcophagus Frontal, left side - Vanderbilt ACT - DSC00311.jpg",https://iiif-manifest.library.vanderbilt.edu/act/46378.json,
Q122959982,M140108503,46379,"Sarcophagus Frontal, right side",,DSC00312.jpg,primary,"Sarcophagus Frontal, right side - Vanderbilt ACT - DSC00312.jpg",https://iiif-manifest.library.vanderbilt.edu/act/46379.json,
Q122959983,M140108513,46380,Vatican City. Direzione generale dei musei. Sarcophagus Frontal,,DSC00307.jpg,primary,Vatican City. Direzione generale dei musei. Sarcophagus Frontal - Vanderbilt ACT - DSC00307.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46380.json,
Q122959984,M140108523,46381,"Christ Performing Miracles, Healing Scenes",,DSC00314.jpg,primary,"Christ Performing Miracles, Healing Scenes - Vanderbilt ACT - DSC00314.jpg",https://iiif-manifest.library.vanderbilt.edu/act/46381.json,
Q122959985,M140108527,46382,Peter Striking the Rock? ; Christ Healing,,DSC00316.jpg,primary,Peter Striking the Rock? ; Christ Healing - Vanderbilt ACT - DSC00316.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46382.json,
Q122959987,M140108534,46383,Peter Striking the Rock; Arrest of Peter; Healing by Christ; Wedding at Cana; Loaves and Fish,,DSC00315.jpg,primary,Peter Striking the Rock; Arrest of Peter; Healing by Christ; Wedding at Cana; Loaves and Fish - Vanderbilt ACT - DSC00315.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46383.json,
Q122959988,M140108539,46385,Christ Raises the Young Man; Christ at the Wedding at Cana,,DSC00317.jpg,primary,Christ Raises the Young Man; Christ at the Wedding at Cana - Vanderbilt ACT - DSC00317.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46385.json,
Q122959989,M140108547,46386,Healing of the Paralytic; Sacrifice of Isaac,,DSC00318.jpg,primary,Healing of the Paralytic; Sacrifice of Isaac - Vanderbilt ACT - DSC00318.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46386.json,
Q122959991,M140108554,46387,Peter Striking the Rock and Wedding at Cana,,DSC00319.jpg,primary,Peter Striking the Rock and Wedding at Cana - Vanderbilt ACT - DSC00319.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46387.json,
Q122959992,M140108562,46388,"Orant Figure, Raising of Lazarus, and Loaves and Fishes",,DSC00320.jpg,primary,"Orant Figure, Raising of Lazarus, and Loaves and Fishes - Vanderbilt ACT - DSC00320.jpg",https://iiif-manifest.library.vanderbilt.edu/act/46388.json,
Q122959996,M140108566,46391,"Christ Performing Miracles, Healing Scenes",,DSC00296.jpg,primary,"Christ Performing Miracles, Healing Scenes - Vanderbilt ACT - DSC00296.jpg",https://iiif-manifest.library.vanderbilt.edu/act/46391.json,
Q122959997,M140108580,46392,Fragment from the Vatican Museum. Christ's Entry into Jerusalem,,DSC00258.jpg,primary,Fragment from the Vatican Museum. Christ's Entry into Jerusalem - Vanderbilt ACT - DSC00258.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46392.json,
Q122959999,M140108589,46394,Christ Performing Miracles --  Wedding at Cana and Healing of the Blind,,DSC00327.jpg,primary,Christ Performing Miracles -- Wedding at Cana and Healing of the Blind - Vanderbilt ACT - DSC00327.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46394.json,
Q122960001,M140108600,46395,Christ Performing Miracles; Wedding at Cana; Sacrifice of Isaac,,DSC00328.jpg,primary,Christ Performing Miracles; Wedding at Cana; Sacrifice of Isaac - Vanderbilt ACT - DSC00328.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46395.json,
Q122960002,M140108607,46396,Christ Raising the Dead and the Visitation of the Magi,,DSC00234.jpg,primary,Christ Raising the Dead and the Visitation of the Magi - Vanderbilt ACT - DSC00234.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46396.json,
Q122960003,M140108617,46397,Christ Performing Miracles,,DSC00265.jpg,primary,Christ Performing Miracles - Vanderbilt ACT - DSC00265.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46397.json,
Q122960004,M140108625,46398,"Noah and the Dove, Jonah Cycle",,DSC00252.jpg,primary,"Noah and the Dove, Jonah Cycle - Vanderbilt ACT - DSC00252.jpg",https://iiif-manifest.library.vanderbilt.edu/act/46398.json,
Q122960005,M140108635,46399,"Jonah, Striking of the Rock",,DSC00335.jpg,primary,"Jonah, Striking of the Rock - Vanderbilt ACT - DSC00335.jpg",https://iiif-manifest.library.vanderbilt.edu/act/46399.json,
Q122960006,M140108644,46400,Jonah as Endymion,,DSC00336.jpg,primary,Jonah as Endymion - Vanderbilt ACT - DSC00336.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46400.json,
Q122960007,M140108651,46401,Inscription with Dove,,DSC00337.jpg,primary,Inscription with Dove - Vanderbilt ACT - DSC00337.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46401.json,
Q122960008,M140108656,46402,Inscription with Wheat Tare,,DSC00338.jpg,primary,Inscription with Wheat Tare - Vanderbilt ACT - DSC00338.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46402.json,
Q122960010,M140108673,46403,Traditio Legis; Christ handing the Law to Peter and Paul,,DSC00339.jpg,primary,Traditio Legis; Christ handing the Law to Peter and Paul - Vanderbilt ACT - DSC00339.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46403.json,
Q122960011,M140108684,46405,Vatican City. Direzione generale dei musei. Sarcophagus Frontal,,DSC00457.jpg,primary,Vatican City. Direzione generale dei musei. Sarcophagus Frontal - Vanderbilt ACT - DSC00457.jpg,https://iiif-manifest.library.vanderbilt.edu/act/46405.json,
