qid,instance_of_uuid
Q122959725,15A06CF2-FBDB-4485-8B88-0DC9D6304844
Q122959726,F97225F0-58B8-40FD-8CEC-75A58446CE04
Q122959727,5B94CEC3-3BF8-47CA-9CC9-5AFAC62FB505
Q122959728,1AA3B713-691D-41DD-8A41-151887235EB9
Q122959729,9F8C2496-1899-4A99-A5C7-BE7CCB5ADE4C
Q122959730,38BA9126-56D0-41B4-A737-53815C9AEC35
Q122959732,F62FC3EC-AC72-464E-A4F3-4FF3DC0892BE
Q122959733,701A5E7C-B9D3-43F1-AED2-0E89CDAA27C6
Q122959735,049EBA62-A652-4972-9DF4-CBC6D48B13FE
Q122959736,2B031162-B4AA-4194-9A05-4E20F2DB139E
Q122959738,04D2D76F-1F7B-4138-8B71-BCD18BEE1394
Q122959739,95061EEF-7DBC-4B88-994B-1D7E871A8457
Q122959740,61A9FABA-A21D-421C-B0A6-DF6A02B5E187
Q122959598,1A8BF0AF-58B2-4F5B-8116-53D7BB73E3AA
Q122959323,160AEC19-DE01-4AC7-80C0-A4BF322D2277
Q122959335,ADFFDB1B-6603-4C9C-AC2F-4FE83674BC8F
Q122959339,043DEFB7-A49D-4A08-A9CC-8705926599FD
Q122959343,2459BE8C-5340-40A5-826E-093BF721C8A5
Q122959554,5C420B90-A464-4B50-A5E5-536E36676236
Q122959557,2B3FF43B-3B49-4ECF-A915-071F64797F01
Q122959575,355510C1-6508-4378-89DF-B09537B15EF9
Q122959576,5BB2975B-2F21-492B-BF80-F9A8D82831DA
Q122959577,5D1E33E6-8B25-47E1-932F-39C80F902B6A
Q122959551,8347F10A-FB03-48B4-B93D-9B8B7AA75F66
Q122959464,EAE0086C-829D-44C0-9DA8-D8DDF6338007
Q122959469,FCC08473-901C-4467-BFA3-D516B6437F5D
Q122959494,01B48AFC-6D99-4B45-8965-A9B5EE37A55B
Q122959507,7B122430-8B39-4205-9994-17D24C84D0DA
Q122959510,9ECA6563-2794-48B7-8144-D1FB6749A272
Q122959513,73F2032A-7161-4833-9262-9B2BCB3F7E49
Q122959516,ACBAA558-4F25-4B30-B9C1-9B41FCC4F6D4
Q122959524,B2441DDD-3E10-4356-93C6-CC5DC5325CC4
Q122959528,25C114CE-6460-486A-B4DB-AAEECB40BDD2
Q122960125,B0716DCB-3ABB-42C0-B09F-B9BE46CD8521
Q122960126,B73363DE-E6F1-4948-8F5D-1169BF552DEB
Q122960127,25BAECB8-1A7D-49B4-AA5B-50C0B3F311F0
Q122959439,18BFD47B-4B2F-4A1D-BEC5-60D6C97DB674
Q122959440,50B03741-A039-4829-A232-B0ACEB06DC14
Q122959441,13F2336D-51B7-405E-ACA8-28AAD9216C08
Q122960162,9463D19F-274A-4C82-AB46-0F150A421834
Q122959931,6ED35F35-1FB6-4EED-828F-E7EC666E752F
Q122959932,F6B0EBA8-6C06-406A-A0EC-632DBA1B00D1
Q122959938,5F3B360F-A15C-4C72-8C17-0E6CB75CC89F
Q122959945,A25A2782-D494-443D-A2FA-95B9E33B48E9
Q122959946,F2ECDC83-F389-4E84-BF99-29E7E0A4AC87
Q122959947,5734028F-0759-4941-BB3A-9F620146D07D
Q122959949,C221EF2F-54E0-4961-8670-9557C0A05687
Q122959950,6548E541-5CE1-4B0F-BC10-8AB262E3FC5F
Q122959952,E45AA04C-6FD4-403E-B25C-3B0C5B1D3774
Q122959953,6B04C40A-661D-43BC-A74B-CA0D4D2DB0F9
Q122959954,9009A198-EC44-4F91-93AB-36BF08038F22
Q122959955,30CA7E0F-FDC6-4AD1-9E1A-33A1B860C53B
Q122959956,F31AAF57-E2B2-4B5F-B0B2-3317ECE42857
Q122959957,0AE236D4-1650-426D-97DE-C3D548572728
Q122959958,ADB7A7B8-DED1-4D2F-A84B-E98DE5CA6718
Q122959959,661CD6EA-1745-4686-A05B-9E110136F3C8
Q122959960,15CA3329-76EA-400E-B9FF-9300549111FC
Q122959963,A74D2C95-8381-45A9-943A-BD20C912F794
Q122959964,F6EC8A81-79B0-40A9-85B5-4F6D984E407B
Q122959965,3ED1D377-C00F-4379-9AA7-2762E4A3DEC8
Q122959966,E99643CE-5935-4A82-9476-49CB014E0586
Q122959970,49A7DAD9-2362-4D61-926F-4174FC4C592F
Q122959973,7F8E3776-9110-4C97-977B-6D1C95F43C93
Q122959975,10DC055E-3A3C-4CF7-B1CE-2F445D9F6338
Q122959981,3661291A-6657-4309-9996-26515BE28259
Q122959982,105BC01E-69FD-4365-8240-589904091FD7
Q122959983,21D2DEED-56B2-4E2D-BEAC-2BE4FC65A4A6
Q122959985,3263126F-7B4F-40EC-A56E-62A26B942713
Q122959987,65CDB351-7AF0-4823-86BF-4F416D6270C1
Q122959988,350489A7-3D33-4517-A695-6815A761AAA0
Q122959989,D466C098-A1FF-44DE-BE00-1FDA1CA7434D
Q122959991,C9C3E521-AC30-4430-932E-BD045C9DACFC
Q122959992,7C0EBC1E-4284-489E-9A7E-59E9EE412582
Q122959993,B13C3EE1-74B9-4A5D-83C8-6F444067CD46
Q122959994,41866902-6364-464A-B327-EED4662EDCA5
Q122959998,D46FF05D-9A03-49C5-BA52-AEE36C491413
Q122959999,919CC537-FF47-41C1-A0BA-DAE84DA4BA1C
Q122960001,720D9E98-D73F-41B7-81F1-960FDAF928CD
Q122960011,60601C66-E291-4A02-AFD3-A4E9DE6E36BD
Q122960012,CD61515E-2618-4AE2-86F1-C59A66C66CF5
Q122960013,6B9F2337-1871-4E70-A7E9-E04132B2BEA1
Q122959392,5302CB83-B7D0-4068-AE4C-DCDD7570F06D
Q122960066,6F0FBBDB-C65F-4A36-8FB1-2C0B32DB7CB6
Q122959775,09ABF4CD-4129-41A1-A931-8AECEC445290
Q122960163,AA75C7D0-678F-4D0C-98A4-686B0C64BBA0
Q122959776,232F205C-F8B2-489D-9ACD-911DC3DA6F9F
Q122960163,AA75C7D0-678F-4D0C-98A4-686B0C64BBA0
Q122960164,4CB46AFB-AA81-4EDB-A274-41ACA9A1D0CC
Q122960165,75C4A50E-D120-4A4B-A625-EAB7E89E7BC5
