qid,instance_of_uuid
Q122960350,32418250-8A55-4E81-B1F3-A2AE532934D2
Q122959727,89A5D554-A313-4315-8A6F-08250C86F3C8
Q122959738,F950132D-7875-4D8D-BB05-C9F533ED8308
Q122959739,ADAD1279-FCE9-4BE0-9D1B-E294C723E98F
Q122959740,3E9D3C87-2721-4095-8667-1D33E2225C59
Q122960122,70912BC2-171E-46DE-B817-CDB22C38C0A4
Q122960204,8D21C2EA-C266-4F8C-963F-628DE91B4CA4
Q122959777,C751D75E-7E14-4B72-BC88-2428E9B19511
Q122960351,D6FC221C-15AC-4F4C-86B2-58C8F23D82F3
Q122959318,289CAA48-7873-4971-970E-A27313855A70
Q122959320,26A4C54A-1DAA-4051-B688-82290088D603
Q122959321,A861EAE3-3DF0-48B4-91C4-42F203E353AF
Q122959323,7C1D86AF-16CA-49F7-8CC6-9BB36644FC64
Q122959326,48D98C3D-B5C0-4D3C-A15F-A9B2A596C569
Q122959327,17E26EA6-7DB6-488F-A5BA-B94D1F035FFC
Q122959329,1A92FB4A-F327-4223-A50A-B55AF69CF186
Q122959330,D4EFF7FC-5762-49BE-9B50-BC15B7E528C0
Q122959331,E2F6D00C-0EB5-411F-8FB3-DD1306C35371
Q122959332,BB3DF947-098A-46D0-BBF5-1FC9A9DDFCCB
Q122959333,B4BB64C1-2720-4412-8D65-ADD91A674CBE
Q122959334,5123BFDE-F020-4996-BEF9-AAF5FC61A5FA
Q122959335,B2EBA4EB-A399-4E15-9BAF-FE4DD4C4E847
Q122959337,F42B93D0-A840-462F-BEF4-666C43BD0260
Q122959338,1D88D0B9-0618-45A2-B507-197D4D1E5FE7
Q122959342,446791C4-5C69-490D-89A2-E82C47154CF5
Q122959343,AD02E789-4E5B-48C6-9062-2F2CCE041F96
Q122959344,81BFC844-DD01-42F8-9892-B540B130E4E9
Q122959345,C77363DC-4A87-4963-8CB0-7E1A53727DE4
Q122959346,B5E13486-524C-4307-A714-CEBA4154E9C4
