qid,local_filename,local_identifier,rank,label,notes,kilobytes,height,width,photo_inception,subdir,dimension
Q122959598,00000001.jpg,28332,primary,,,251,900,582,2023-08-09,,3D
Q122959318,00000002.jpg,26238,primary,,,216,900,598,2023-08-09,,3D
Q122959320,00000003.jpg,26242,primary,,,215,540,900,2023-08-09,,3D
Q122959321,00000004.jpg,26243,primary,,,224,900,564,2023-08-09,,3D
Q122959323,00000005.jpg,26244,primary,,,222,900,596,2023-08-09,,3D
Q122959324,00000006.jpg,26246,primary,,,273,606,900,2023-08-09,,3D
Q122959325,00000007.jpg,26247,primary,,,255,571,900,2023-08-09,,3D
Q122959326,00000008.jpg,26248,primary,,,218,900,598,2023-08-09,,3D
Q122959327,00000009.jpg,26249,primary,,,181,900,572,2023-08-09,,3D
Q122959329,00000011.jpg,26251,primary,,,252,900,581,2023-08-09,,3D
Q122959330,00000012.jpg,26252,primary,,,208,900,590,2023-08-09,,3D
Q122959331,00000028.jpg,26271,primary,,,384,590,900,2023-08-09,,3D
Q122959332,00000029.jpg,26272,primary,,,354,900,608,2023-08-09,,3D
Q122959333,00000030.jpg,26273,primary,,,336,580,900,2023-08-09,,3D
Q122959599,00000032.jpg,28333,primary,,,291,666,546,2023-08-09,,3D
Q122959600,00000036.jpg,28337,primary,,,463,900,510,2023-08-09,,3D
Q122959602,00000037.jpg,28338,primary,,,262,712,346,2023-08-09,,3D
Q122959334,00000038.jpg,26281,primary,,,304,900,548,2023-08-09,,3D
Q122959335,00000039.jpg,26282,primary,,,296,900,564,2023-08-09,,3D
Q122959336,00000040.jpg,26283,primary,,,311,900,564,2023-08-09,,3D
Q122959337,00000041.jpg,26284,primary,,,324,900,564,2023-08-09,,3D
Q122959338,00000042.jpg,26285,primary,,,281,900,546,2023-08-09,,3D
Q122959339,00000043.jpg,26286,primary,,,306,900,582,2023-08-09,,3D
Q122959340,00000045.jpg,26288,primary,,,377,564,900,2023-08-09,,3D
Q122959342,00000047.jpg,26290,primary,,,332,900,591,2023-08-09,,3D
Q122959343,00000048.jpg,26291,primary,,,324,900,588,2023-08-09,,3D
Q122959344,00000049.jpg,26292,primary,,,315,900,546,2023-08-09,,3D
Q122959345,00000050.jpg,26293,primary,,,243,900,564,2023-08-09,,3D
Q122959346,00000051.jpg,26294,primary,,,325,900,564,2023-08-09,,3D
Q122959347,00000052.jpg,26295,primary,,,217,603,900,2023-08-09,,3D
Q122959348,00000053.jpg,26296,primary,,,369,900,603,2023-08-09,,3D
Q122959349,00000054.jpg,26297,primary,,,144,900,470,2023-08-09,,3D
Q122959350,00000055.jpg,26298,primary,,,246,900,578,2023-08-09,,3D
Q122959351,00000056.jpg,26299,primary,,,160,900,466,2023-08-09,,3D
Q122959352,00000057.jpg,26300,primary,,,192,578,900,2023-08-09,,3D
Q122959353,00000058.jpg,26301,primary,,,249,900,606,2023-08-09,,3D
Q122959354,00000059.jpg,26302,primary,,,333,606,900,2023-08-09,,3D
