qid,p31_label,p31
Q122959725,architectural element,Q391414
Q122959726,architectural element,Q391414
Q122959727,architectural element,Q391414
Q122959728,architectural element,Q391414
Q122959729,architectural element,Q391414
Q122959730,architectural element,Q391414
Q122959732,architectural element,Q391414
Q122959733,architectural element,Q391414
Q122959735,architectural element,Q391414
Q122959736,architectural element,Q391414
Q122959738,architectural element,Q391414
Q122959739,architectural element,Q391414
Q122959740,architectural element,Q391414
Q122959598,architectural element,Q391414
Q122959323,architectural element,Q391414
Q122959335,architectural element,Q391414
Q122959339,architectural element,Q391414
Q122959343,architectural element,Q391414
Q122959554,architectural element,Q391414
Q122959557,architectural element,Q391414
Q122959575,architectural element,Q391414
Q122959576,architectural element,Q391414
Q122959577,architectural element,Q391414
Q122959551,architectural element,Q391414
Q122959464,architectural element,Q391414
Q122959469,architectural element,Q391414
Q122959494,architectural element,Q391414
Q122959507,architectural element,Q391414
Q122959510,architectural element,Q391414
Q122959513,architectural element,Q391414
Q122959516,architectural element,Q391414
Q122959524,architectural element,Q391414
Q122959528,architectural element,Q391414
Q122960125,architectural element,Q391414
Q122960126,architectural element,Q391414
Q122960127,architectural element,Q391414
Q122959439,architectural element,Q391414
Q122959440,architectural element,Q391414
Q122959441,architectural element,Q391414
Q122960162,fresco,Q22669139
Q122959931,relief scuplture,Q245117
Q122959932,relief scuplture,Q245117
Q122959938,relief scuplture,Q245117
Q122959945,relief scuplture,Q245117
Q122959946,relief scuplture,Q245117
Q122959947,relief scuplture,Q245117
Q122959949,relief scuplture,Q245117
Q122959950,relief scuplture,Q245117
Q122959952,relief scuplture,Q245117
Q122959953,relief scuplture,Q245117
Q122959954,relief scuplture,Q245117
Q122959955,relief scuplture,Q245117
Q122959956,relief scuplture,Q245117
Q122959957,relief scuplture,Q245117
Q122959958,relief scuplture,Q245117
Q122959959,relief scuplture,Q245117
Q122959960,relief scuplture,Q245117
Q122959963,relief scuplture,Q245117
Q122959964,relief scuplture,Q245117
Q122959965,relief scuplture,Q245117
Q122959966,relief scuplture,Q245117
Q122959970,relief scuplture,Q245117
Q122959973,relief scuplture,Q245117
Q122959975,relief scuplture,Q245117
Q122959981,relief scuplture,Q245117
Q122959982,relief scuplture,Q245117
Q122959983,relief scuplture,Q245117
Q122959985,relief scuplture,Q245117
Q122959987,relief scuplture,Q245117
Q122959988,relief scuplture,Q245117
Q122959989,relief scuplture,Q245117
Q122959991,relief scuplture,Q245117
Q122959992,relief scuplture,Q245117
Q122959993,relief scuplture,Q245117
Q122959994,relief scuplture,Q245117
Q122959998,relief scuplture,Q245117
Q122959999,relief scuplture,Q245117
Q122960001,relief scuplture,Q245117
Q122960011,relief scuplture,Q245117
Q122960012,relief scuplture,Q245117
Q122960013,relief scuplture,Q245117
Q122959392,stained glass window,Q21061279
Q122960066,wall painting,Q99516640
Q122959775,woodcarving,Q97570030
Q122960163,woodcarving,Q97570030
Q122959776,woodcarving,Q97570030
Q122960163,woodcarving,Q97570030
Q122960164,woodcarving,Q97570030
Q122960165,woodcarving,Q97570030
Q122960167,woodcarving,Q97570030
Q122960168,woodcarving,Q97570030
Q122960170,woodcarving,Q97570030
Q122960172,woodcarving,Q97570030
Q122960173,woodcarving,Q97570030
Q122960175,woodcarving,Q97570030
Q122960177,woodcarving,Q97570030
Q122960179,woodcarving,Q97570030
Q122960180,woodcarving,Q97570030
Q122960181,woodcarving,Q97570030
Q122960183,woodcarving,Q97570030
Q122960353,woodcarving,Q97570030
Q113814896,woodcarving,Q97570030
Q113956653,woodcarving,Q97570030
Q122959771,woodcarving,Q97570030
Q122959773,woodcarving,Q97570030
Q122959774,woodcarving,Q97570030
Q122960184,woodcarving,Q97570030
