RecordNumber,dimension,DateUpdated,DateCreated,LocationCountry,MaterialMedium,Description,Language,RelScriptureChapter,CopyrightStatement,BibliographyLink,StaffNotes,DateCreation,RelScriptureBook,LectionaryLink,CopyrightStatus,RelICANumber,RelScripture,SubjectBuildingName,ImageLink,Unit,Title,part_of,SubjectLC,RelScriptureVerse,Subject,Institution,ImageAvailable,ObjectFunction,CreatorArtist,SubjectName,LocationCreationSite,LocationState,Collection,IconClassNumber,OriginalLocation,BCAD,SortDate,LectionaryRank,CopyrightPermission
26238,3D,2022-06-14 12:22:29.0,2002-03-21 00:00:00.0,France,,"Moses the lawgiver, the Golden Calf at his feet, holding in his left arm the Brazen Serpent and the Tables of the Law.  Samuel sacrificing a lamb or Aaron presenting a sin offering (ICAD.) <p><p>Digitized from the slide collection of James T. Womack, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,124,,1204-1210,||||,,Educational Use Permitted,"20 C48 CND 14N,001 A6a","Exodus 32:15-16|Numbers 21:4-9|Samuel I, 7:7-11",Cathédrale de Chartres,2,,"Chartres Cathedral; Moses, Samuel, Aaron; left embrasure jamb figures, central portal, north transept",Q180274,"Christian art and symbolism -- France -- Chartres -- Medieval, 500-1500",||||,,Vanderbilt University,on,,,Samuel (Biblical figure) |Aaron (Biblical figure) |Moses (Biblical figure),Chartres,,Art in the Christian Tradition,71E134|71E324|71F8421|11I62(AARON),,2,1204,999,Creative Commons BY-SA 4.0
26242,3D,2022-06-14 12:23:23.0,2002-03-21 00:00:00.0,France,,"On the lintel, the death of Mary (non-canonical) is represented...round the bed, the Apostles are gathered bending towards Mary.  Christ, in the center, identified by his cruciform-halo, holds in one arm a small draped figure, which represents the soul.  In the neighbouring scene, the body is following the soul to heaven; eight angels seize the shroud and lift the body from the tomb. [Grodecki, p. 96] [Villette, pg. 141-142] <p><p>Digitized from the slide collection of James T. Womack, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,123,,1204-1210,||||,,Educational Use Permitted,"20 C48 CND 14N,001 A1-A2",,Cathédrale de Chartres,3,,"Chartres Cathedral; Mary, the mother of Jesus, apostles, angels; lintel of central portal, north transept",Q180274,"Christian art and symbolism -- France -- Chartres -- Medieval, 500-1500",||||,Death of Mary|Angels,Vanderbilt University,on,,,"Mary, the mother of Jesus (Biblical figure)",Chartres,,Art in the Christian Tradition,73E74|73E77,,2,,999,Creative Commons BY-SA 4.0
26243,3D,2022-06-17 13:42:55.0,2002-03-21 00:00:00.0,France,,"Right embrasure figures of central portal, north transept.  From left, figures depict Isaiah or Jacob (ICAD considers identification uncertain) holding a scroll and standing on Jesse or Jacob recumbent; Jeremiah holding cross-embossed disk and standing on male figure crouched and listening; Simeon holding infant Jesus and standing on crouching figure; John the Baptist with the lamb of God, standing on dragon; St. Peter wearing tiara and pope's vestments with keys hanging from right wrist, and standing on rock. [ICAD]<p><p>Digitized from the slide collection of James T. Womack, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,124,,1204-1210,||||,AProp16|CAdvt01|AEpip02,Educational Use Permitted,"20 C48 CND 14N,001 A6b",John 1:29-42|Matthew 16:13-20|Luke 21:25-36,Cathédrale de Chartres,4,,"Chartres Cathedral; Isaiah (Jacob), Jesse, Jeremiah, Simeon, Jesus, John the Baptist, Peter; right embrasure, central portal, north transept",Q180274,"Christian art and symbolism -- France -- Chartres -- Medieval, 500-1500",||||,,Vanderbilt University,on,,,,Chartres,,Art in the Christian Tradition,11I62(ISAIAH)|11I62(JEREMIAH)|11H(SIMEON)|11H(JOHN THE BAPTIST)|11H(PETER),,2,1204,999,Creative Commons BY-SA 4.0
26244,3D,2022-09-21 11:37:50.0,2002-03-21 00:00:00.0,France,,"Left embrasure figures of central portal, north transept: Melchizedek with chalice; Abraham with bound Isaac; Moses holding the tablets of the law; Aaron or Samuel sacrificing a lamb; David crowned and holding a lance. [Grodecki, p. 97]<p><p>Digitized from the slide collection of James T. Womack, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,123,,1204-1210,||||,,Educational Use Permitted,"20 C48 CND 14N,001 A6a","Genesis 14:18-20|Genesis 22:1-18|Exodus 34:29-35|Hebrews 5:5-10|Samuel I, 7:7-11",Cathédrale de Chartres,5,,"Chartres Cathedral; Melchizedek, Abraham, Isaac, Moses, Aaron (Samuel), David; left embrasure jamb figures, central portal, north transept",Q180274,"Christian art and symbolism -- France -- Chartres -- Medieval, 500-1500",||||,,Vanderbilt University,on,,,,Chartres,,Art in the Christian Tradition,71C117|71C131|71E134|71F8421|11I62(DAVID),,2,1204,999,Creative Commons BY-SA 4.0
26246,3D,2022-06-17 13:44:10.0,2002-03-21 00:00:00.0,France,Stone,"Coronation, Death and Assumption of the Virgin. Above, on tympanum, Mary, mother of Jesus (crowned) sits on throne beside Christ (seated, crowned, holding book).  Below, on lintel, left depicts the death of virgin surrounded by apostles, and right, angels lifting virgin from sarcophagus. [Villette, pg. 141-142]<p><p>Digitized from the slide collection of James T. Womack, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,122,,1204-1210,||||,,Educational Use Permitted,"20 C48 CND 14N,001 A1-A2",,Cathédrale de Chartres,6,,"Chartres Cathedral; Coronation, Death and Assumption of the Virgin; tympanum and lintel, central portal, north transept",Q180274,"Christian art and symbolism -- France -- Chartres -- Medieval, 500-1500",||||,Assumption of Mary,Vanderbilt University,on,Relief sculpture,,,Chartres,,Art in the Christian Tradition,730000000,,2,1204,999,Creative Commons BY-SA 4.0
26247,3D,2022-06-17 14:13:05.0,2002-03-21 00:00:00.0,France,Stone,"The Coronation of Mary. The virgin (crowned) sits on throne beside Christ (seated, crowned, holding book), flanked by two angels. [Villette, pg. 141-142]<p><p>Digitized from the slide collection of James T. Womack, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,122,,1204-1210,||||,,Educational Use Permitted,"20 C48 CND 14N,001 A1-A2",,Cathédrale de Chartres,7,,"Chartres Cathedral; Coronation of the Virgin; tympanum of central portal, north transept",Q180274,"Christian art and symbolism -- France -- Chartres -- Medieval, 500-1500",||||,Angels|Coronation of the Virgin,Vanderbilt University,on,Relief sculpture,,,Chartres,,Art in the Christian Tradition,7.3E+080,,2,1204,999,Creative Commons BY-SA 4.0
26248,3D,2022-06-17 13:45:04.0,2002-03-21 00:00:00.0,France,,"Samuel sacrificing a lamb or Aaron presenting a sin offering; David crowned and holding a lance. [ICAD]<p><p>Digitized from the slide collection of James T. Womack, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,124,,1204-1210,||||,BProp04,Educational Use Permitted,"20 C48 CND 14N,001 A6a","Exodus 34:29-35|Numbers 21:4-9|Samuel I, 7:7-11",Cathédrale de Chartres,8,,"Chartres Cathedral; Samuel, David; left embrasure jamb figures, central portal, north transept",Q180274,"Christian art and symbolism -- France -- Chartres -- Medieval, 500-1500",||||,,Vanderbilt University,on,,,,Chartres,,Art in the Christian Tradition,,,2,1204,2,Creative Commons BY-SA 4.0
26249,3D,2022-06-17 13:45:26.0,2002-03-21 00:00:00.0,France,,"From left to right, Jeremiah and Isaiah.<p><p>Digitized from the slide collection of James T. Womack, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,,,1204-1210,||||,BHoly02|AHoly02|CHoly02,Educational Use Permitted,"20 C48 CND 14N,001 A6b",,Cathédrale de Chartres,9,,"Chartres Cathedral; Isaiah, Jeremiah; jamb figures, right embrasures, central portal, north transept",Q180274,"Christian art and symbolism -- France -- Chartres -- Medieval, 500-1500",||||,,Vanderbilt University,on,,,Isaiah (Biblical figure) |Jeremiah (Biblical figure),Chartres,,Art in the Christian Tradition,11I62(ISAIAH)|11I62(JEREMIAH),,2,1204,999,Creative Commons BY-SA 4.0
26251,3D,2022-06-17 13:45:55.0,2002-03-21 00:00:00.0,France,,"Left embrasure figures of central portal, north transept: From left to right - Melchizedek, Abraham, Isaac, Samuel or Aaron, David.   Melchizedek with chalice, Abraham with bound Isaac in front of him, Moses holding the tablets of the law and standing beside a brazen serpent, Aaron or Samuel sacrificing a sheep, and David with spear.<p><p>Digitized from the slide collection of James T. Womack, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,,,1204-1210,||||,AVigl,Educational Use Permitted,"20 C48 CND 14N,001 A6a",Genesis 22:1-18,Cathédrale de Chartres,11,,"Chartres Cathedral; Melchizedek, Abraham, Isaac, Samuel or Aaron, David; left embrasure jamb figures, central portal, north transept",Q180274,"Christian art and symbolism -- France -- Chartres -- Medieval, 500-1500",||||,Sacrifice of Isaac,Vanderbilt University,on,,,,Chartres,,Art in the Christian Tradition,71C117|71C131|71E134|71F8421|11I62(DAVID),,2,,999,Creative Commons BY-SA 4.0
26252,3D,2022-06-17 13:46:45.0,2002-03-21 00:00:00.0,France,,"Left embrasure figures of the central portal, north transept.  From left, Melchizedek with chalice; Abraham with bound Isaac; Moses holding the tablets of the law and standing beside a brazen serpent; Samuel sacrificing a lamb or Aaron presenting a sin offering (ICAD); David crowned and holding a lance.<p><p>Digitized from the slide collection of James T. Womack, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,120,,1204-1210,||||,,Educational Use Permitted,"20 C48 CND 14N,001 A6a","Genesis 14:18-20|Genesis 22:1-18|Exodus 34:29-35|Hebrews 5:5-10|Samuel I, 7:7-11",Cathédrale de Chartres,12,,"Chartres Cathedral; Melchizedek, Abraham, Isaac, Moses, Samuel (Aaron), David; left embrasure jamb figures of the central portal, north transept",Q180274,"Christian art and symbolism -- France -- Chartres -- Medieval, 500-1500",||||,,Vanderbilt University,on,,,,Chartres,,Art in the Christian Tradition,71C117|71C131|71E134|71F8421|11I62(DAVID),,2,1204,999,Creative Commons BY-SA 4.0
