qid,label_en,title_uuid,title
Q122960132,"Church of St. Pierre, Aulnay, France; South Portal archivolts; Outer arch, Procession of Beasts. Middle arch, Fantastical Humanoid and Beasts, Inner arch, Elders of the Apocalypse",99B6ED8E-50B5-4E21-A317-7E2E7BD34927,"Church of St. Pierre, Aulnay, France; South Portal archivolts; Outer arch, Procession of Beasts. Middle arch, Fantastical Humanoid and Beasts, Inner arch, Elders of the Apocalypse"
Q122960133,"Church of St. Pierre, Aulnay, France; South Portal archivolts; Row of Fantastical and Mythical Beasts. Inner arch, Seated Elders",8C9761AB-0527-44FE-9FAE-5E07108A1C18,"Church of St. Pierre, Aulnay, France; South Portal archivolts; Row of Fantastical and Mythical Beasts. Inner arch, Seated Elders"
Q122960134,"Church of St. Pierre, Aulnay, France; South Portal top of the archivolt; Fantastical and Mythical Beasts with heads of Elders below",5D7112D7-C2CC-40CE-8BAD-BB97C49A9274,"Church of St. Pierre, Aulnay, France; South Portal top of the archivolt; Fantastical and Mythical Beasts with heads of Elders below"
Q122960135,"Church of St. Pierre, Aulnay, France; South Portal archivolts: Procession of Beasts, Fantastical and Mythological hybrid beings and Elders beneath",5A565806-ED49-4880-B235-52378AD6CBC3,"Church of St. Pierre, Aulnay, France; South Portal archivolts: Procession of Beasts, Fantastical and Mythological hybrid beings and Elders beneath"
Q122960136,"Church of St. Pierre, Aulnay, France; South Portal archivolts; Good view of an Elder of the Apocalypse beneath the hybrid beasts",10E96D50-7EBD-4B40-BECC-070ACD22AF43,"Church of St. Pierre, Aulnay, France; South Portal archivolts; Good view of an Elder of the Apocalypse beneath the hybrid beasts"
Q122960137,"Church of St. Pierre, Aulnay, France; South Portal archivolts; Seated Elders of the Apoclypse and hybrid creatures above",5E657D82-305A-4688-8F88-3D564FA38CBE,"Church of St. Pierre, Aulnay, France; South Portal archivolts; Seated Elders of the Apoclypse and hybrid creatures above"
Q122960138,"Church of St. Pierre, Aulnay, France; South Portal archivolts; Row of Fantastical and Mythological Beasts 2",3D72F5E6-1857-4744-900F-0F2D14FDFB8D,"Church of St. Pierre, Aulnay, France; South Portal archivolts; Row of Fantastical and Mythological Beasts 2"
Q122960139,"Church of St. Pierre, Aulnay, France; South Portal archivolts; Final view of the violence and combat among these Humanoid Beasts",94DD5A16-F9C0-44AE-9A9A-F9734050FD82,"Church of St. Pierre, Aulnay, France; South Portal archivolts; Final view of the violence and combat among these Humanoid Beasts"
Q122960140,"Church of St. Pierre, Aulnay, France; South Portal archivolts; Arch directly above the door with hybrid lions intertwined in decorative vegetation 1",7D25656D-7E75-4EE1-9735-2FA6FA4E490D,"Church of St. Pierre, Aulnay, France; South Portal archivolts; Arch directly above the door with hybrid lions intertwined in decorative vegetation 1"
Q122960141,"Church of St. Pierre, Aulnay, France; South Portal archivolts; Hybrid lions intertwined in decorative vegetation 2",F7CD118D-13DD-46CB-8791-CB998E95F061,"Church of St. Pierre, Aulnay, France; South Portal archivolts; Hybrid lions intertwined in decorative vegetation 2"
