qid,label_en,description_en,instance_of_uuid,instance_of,doi_uuid,doi,doi_ref1_hash,doi_ref1_referenceUrl,doi_ref1_retrieved_nodeId,doi_ref1_retrieved_val,doi_ref1_retrieved_prec,pmid_uuid,pmid,pmid_ref1_hash,pmid_ref1_referenceUrl,pmid_ref1_retrieved_nodeId,pmid_ref1_retrieved_val,pmid_ref1_retrieved_prec,published_uuid,published_nodeId,published_val,published_prec,published_ref1_hash,published_ref1_referenceUrl,published_ref1_retrieved_nodeId,published_ref1_retrieved_val,published_ref1_retrieved_prec,title_en_uuid,title_en,title_en_ref1_hash,title_en_ref1_referenceUrl,title_en_ref1_retrieved_nodeId,title_en_ref1_retrieved_val,title_en_ref1_retrieved_prec,journal_uuid,journal,journal_ref1_hash,journal_ref1_referenceUrl,journal_ref1_retrieved_nodeId,journal_ref1_retrieved_val,journal_ref1_retrieved_prec,volume_uuid,volume,volume_ref1_hash,volume_ref1_referenceUrl,volume_ref1_retrieved_nodeId,volume_ref1_retrieved_val,volume_ref1_retrieved_prec,page_uuid,page,page_ref1_hash,page_ref1_referenceUrl,page_ref1_retrieved_nodeId,page_ref1_retrieved_val,page_ref1_retrieved_prec,issue_uuid,issue,issue_ref1_hash,issue_ref1_referenceUrl,issue_ref1_retrieved_nodeId,issue_ref1_retrieved_val,issue_ref1_retrieved_prec
Q109404829,Christianity and Empire,journal article,51C706D8-007A-43C5-A6AC-3CB4CEE5A6B1,Q18918145,7F798325-3E6D-43D8-9225-667DAA1D75C0,10.1111/REC3.12158,f3d4ab525edb5544468b1ff88211898c147adeeb,http://doi.org/10.1111/REC3.12158,b57eaf06-f27e-4318-8573-a2d829f58dd8,2021-11-05T00:00:00Z,11,,,,,,,,159C0F66-456A-4BA6-81CB-7D29003E0243,64c67f72-a275-4b69-957c-f675dbf4fe49,2015-08-07T00:00:00Z,11,f3d4ab525edb5544468b1ff88211898c147adeeb,http://doi.org/10.1111/REC3.12158,0d150804-8ae0-4d6e-b6dd-40145323eb36,2021-11-05T00:00:00Z,11,060001E9-B30F-4B8C-B267-B60BD609726B,Christianity and Empire,f3d4ab525edb5544468b1ff88211898c147adeeb,http://doi.org/10.1111/REC3.12158,3c77f9e1-f116-4f64-8a6e-58d7db181683,2021-11-05T00:00:00Z,11,D953FCCC-F798-479A-9B08-A0E34491FA68,Q15749660,f3d4ab525edb5544468b1ff88211898c147adeeb,http://doi.org/10.1111/REC3.12158,9e196e15-fc2b-416d-a3a6-676a1a271065,2021-11-05T00:00:00Z,11,887818FC-6124-407B-8D6D-9FAF0A9C08D2,9,f3d4ab525edb5544468b1ff88211898c147adeeb,http://doi.org/10.1111/REC3.12158,a06a90de-0759-4d56-87de-f1b0cbf43155,2021-11-05T00:00:00Z,11,698B9622-72D1-4743-BB9D-106A7A670B3D,254-261,f3d4ab525edb5544468b1ff88211898c147adeeb,http://doi.org/10.1111/REC3.12158,77be32ba-bd87-41a7-a5ec-9d3e0e2e4973,2021-11-05T00:00:00Z,11,FC0AA504-DBC6-4350-817D-DDACA3E89F3D,8,f3d4ab525edb5544468b1ff88211898c147adeeb,http://doi.org/10.1111/REC3.12158,bde72b09-0198-423c-8af3-3d8f6123d4d9,2021-11-05T00:00:00Z,11
Q109404830,Black Church Giving,journal article,164E0B2D-EB2B-41F0-866B-D3704324ECED,Q18918145,02C0AC2B-6890-4B15-AD82-091B5840876A,10.1177/2158244013490706,1fce757e0ed647e52446afc376d37c4e5dd6467f,http://doi.org/10.1177/2158244013490706,745f653e-68a9-43c1-bf2f-17c37c88ef31,2021-11-05T00:00:00Z,11,,,,,,,,B114EA0D-63BD-466E-8E5D-EE0C6EE8975A,c76468fb-bfa3-4b7a-83d9-4c70a18a0d84,2013-06-14T00:00:00Z,11,1fce757e0ed647e52446afc376d37c4e5dd6467f,http://doi.org/10.1177/2158244013490706,56be8ecc-c265-4b13-abdd-b67781e66c75,2021-11-05T00:00:00Z,11,51CDA66C-D187-4768-9FCC-0CCC01A9326F,Black Church Giving,1fce757e0ed647e52446afc376d37c4e5dd6467f,http://doi.org/10.1177/2158244013490706,7b0a0399-cb74-4fd6-b4bd-8a68453e1b79,2021-11-05T00:00:00Z,11,9F8EDA6F-88C8-48B6-93CA-E02CFFB75B3B,Q18215981,1fce757e0ed647e52446afc376d37c4e5dd6467f,http://doi.org/10.1177/2158244013490706,040c4632-e978-46d7-a846-059025aa38b8,2021-11-05T00:00:00Z,11,D9A6EED2-6956-41E2-AB8E-52F545B3831E,3,1fce757e0ed647e52446afc376d37c4e5dd6467f,http://doi.org/10.1177/2158244013490706,16c72458-895e-4474-8555-b3e7d28b59f5,2021-11-05T00:00:00Z,11,F65C15C5-E339-4E81-9E06-28F889FE8BDE,215824401349070,1fce757e0ed647e52446afc376d37c4e5dd6467f,http://doi.org/10.1177/2158244013490706,40e3b42d-be52-4668-89b8-d56070d7bbca,2021-11-05T00:00:00Z,11,9968F274-2D09-4F7A-910E-16597BD1D32B,2,1fce757e0ed647e52446afc376d37c4e5dd6467f,http://doi.org/10.1177/2158244013490706,9bc83265-0fa9-4fab-a51a-0ef996da2c93,2021-11-05T00:00:00Z,11
Q109407333,Just Capitalism: A Christian Ethic of Globalization. By Brent Waters,journal article,512C8CFB-1CB1-4F01-BA79-CCEF45AB7A60,Q18918145,4796908C-29AE-421E-AA1D-651F6080D001,10.1093/JCS/CSX097,de9e99c27d49c5fe0966c5aa690cbea1837e6531,http://doi.org/10.1093/JCS/CSX097,35e1bfbb-e1bd-4bf8-8291-832eb0c9f9c1,2021-11-05T00:00:00Z,11,,,,,,,,E7210AB1-E8F5-4FEF-8B2B-C4F58FE6A63C,a7c4074a-470e-4027-a88d-03959258692c,2017-11-29T00:00:00Z,11,de9e99c27d49c5fe0966c5aa690cbea1837e6531,http://doi.org/10.1093/JCS/CSX097,df837f5e-d74b-48b4-aab0-6c570368e75d,2021-11-05T00:00:00Z,11,59C53DB2-648F-4159-A018-0292D91FAC48,Just Capitalism: A Christian Ethic of Globalization. By Brent Waters,de9e99c27d49c5fe0966c5aa690cbea1837e6531,http://doi.org/10.1093/JCS/CSX097,577cf079-6211-468e-8be2-159e9b85f5e9,2021-11-05T00:00:00Z,11,45C8826F-CF8F-4269-8DCA-795CD282B4E5,Q6294950,de9e99c27d49c5fe0966c5aa690cbea1837e6531,http://doi.org/10.1093/JCS/CSX097,eb780f3c-dcde-4450-ae33-f158d070db83,2021-11-05T00:00:00Z,11,FD91FC49-AB9E-412D-B7CF-AA42A0AA6FFD,60,de9e99c27d49c5fe0966c5aa690cbea1837e6531,http://doi.org/10.1093/JCS/CSX097,a079d244-6f33-417e-8f6b-96b45aaa121a,2021-11-05T00:00:00Z,11,52DF4A24-FEAF-4FDF-BD4A-9FB8148A27D0,141-143,de9e99c27d49c5fe0966c5aa690cbea1837e6531,http://doi.org/10.1093/JCS/CSX097,acf8dc86-a67f-4d51-8bfd-d59cb7f50cdb,2021-11-05T00:00:00Z,11,1DFCE443-2F62-44AB-AE02-ECD0C4C1C889,1,de9e99c27d49c5fe0966c5aa690cbea1837e6531,http://doi.org/10.1093/JCS/CSX097,0dec7257-833c-41a8-8f37-f003c2426847,2021-11-05T00:00:00Z,11
Q109407334,Deep solidarity: Broadening the basis of transformation,journal article,0ED63CCF-4475-4415-9E39-0C9F40F94186,Q18918145,ACDFE362-3F47-4306-99EE-2BDE9AAD2D58,10.4102/HTS.V73I3.4578,186331b0e927fcd38765a1b8083194a6ee367a51,http://doi.org/10.4102/HTS.V73I3.4578,ea4d4f32-347c-4edd-9cfc-5368c3c09837,2021-11-05T00:00:00Z,11,,,,,,,,37152B82-46D3-4EEB-AD16-3DD54BFF49B4,050c2fe9-7485-475a-b7e5-4634950061c6,2017-11-27T00:00:00Z,11,186331b0e927fcd38765a1b8083194a6ee367a51,http://doi.org/10.4102/HTS.V73I3.4578,a50b388f-24dc-40cf-be66-a5a2ae900fda,2021-11-05T00:00:00Z,11,F7C59766-CEA0-4F62-B493-C10AFB451BA9,Deep solidarity: Broadening the basis of transformation,186331b0e927fcd38765a1b8083194a6ee367a51,http://doi.org/10.4102/HTS.V73I3.4578,55f667ef-006e-4d99-aaa4-6edf2ae6d29f,2021-11-05T00:00:00Z,11,B1515055-7B30-42EE-B4B4-3772BB309D2E,Q4051385,186331b0e927fcd38765a1b8083194a6ee367a51,http://doi.org/10.4102/HTS.V73I3.4578,205f6642-d035-4907-88fd-e2aae3a80f00,2021-11-05T00:00:00Z,11,5530C5F3-270E-4855-8649-9D69362C8A97,73,186331b0e927fcd38765a1b8083194a6ee367a51,http://doi.org/10.4102/HTS.V73I3.4578,338829df-54a6-44f1-9723-00bec75f78b2,2021-11-05T00:00:00Z,11,,,,,,,,DB1B4810-8342-49F1-8B5A-3D23AE0BE35A,3,186331b0e927fcd38765a1b8083194a6ee367a51,http://doi.org/10.4102/HTS.V73I3.4578,8c2ae6e8-7cc9-4402-9018-5dfac4dd54e3,2021-11-05T00:00:00Z,11
Q109407335,"Empire, Deep Solidarity, and the Future of Liberation Theology",journal article,D240D504-42E0-4C37-A3F9-4ABD0887DEEA,Q18918145,E3E49E5B-8EE4-4CE5-B0E0-B9CD4F229E1B,10.1080/1462317X.2017.1311060,3519e55e8990b5ed2956178b339fe271b7cccb35,http://doi.org/10.1080/1462317X.2017.1311060,e71c0a61-7fa5-47cc-bba8-e13e543c7c17,2021-11-05T00:00:00Z,11,,,,,,,,FDA3AFAC-706D-480F-BB0F-1EBB661A9D4D,d3b10fb0-076f-4714-94e5-4647770fe07e,2017-04-24T00:00:00Z,11,3519e55e8990b5ed2956178b339fe271b7cccb35,http://doi.org/10.1080/1462317X.2017.1311060,7c1834bb-976f-4341-801b-3ab55bc38941,2021-11-05T00:00:00Z,11,F7A032A8-A108-459C-8173-47A6B34EDE69,"Empire, Deep Solidarity, and the Future of Liberation Theology",3519e55e8990b5ed2956178b339fe271b7cccb35,http://doi.org/10.1080/1462317X.2017.1311060,e5710756-e400-4798-94bb-e496a5f5317f,2021-11-05T00:00:00Z,11,0E755AC1-E148-4592-A6E7-72025E4777F2,Q15755002,3519e55e8990b5ed2956178b339fe271b7cccb35,http://doi.org/10.1080/1462317X.2017.1311060,898d6e79-efda-4466-9c1d-2448c928ae24,2021-11-05T00:00:00Z,11,7A09E41E-1334-4682-8163-728CE50DE15A,18,3519e55e8990b5ed2956178b339fe271b7cccb35,http://doi.org/10.1080/1462317X.2017.1311060,2fdaf13f-1e1a-4b96-bd66-79ea42330006,2021-11-05T00:00:00Z,11,F6B76712-291B-4084-BFCF-D72358D3D2EA,354-364,3519e55e8990b5ed2956178b339fe271b7cccb35,http://doi.org/10.1080/1462317X.2017.1311060,e7230bbe-4174-4206-a9d7-17c1b9805686,2021-11-05T00:00:00Z,11,86CFA1BB-0612-489B-A172-4611DB824120,4,3519e55e8990b5ed2956178b339fe271b7cccb35,http://doi.org/10.1080/1462317X.2017.1311060,382865e1-d020-42dd-a08c-5f658eb1c43a,2021-11-05T00:00:00Z,11
Q109407336,The Touch of Transcendence: A Postcolonial Theology of God - By Mayra Rivera,journal article,351417B5-5E95-47D7-892D-623E6DC8E96B,Q18918145,CBB057CC-B7E6-4871-B1DB-4E4B304EB182,10.1111/J.1748-0922.2009.01360_24.X,85ab193cdcfc860ef8d9559dd26724a367087005,http://doi.org/10.1111/J.1748-0922.2009.01360_24.X,1521d523-2ea0-4c36-b95f-fce14c91bb63,2021-11-05T00:00:00Z,11,,,,,,,,0596B8FB-0D07-4FB4-A813-DD1FD7567B36,0786bcc9-1cbf-4ac6-9b11-2276ef6be78f,2009-08-17T00:00:00Z,11,85ab193cdcfc860ef8d9559dd26724a367087005,http://doi.org/10.1111/J.1748-0922.2009.01360_24.X,2f19628c-e620-4b54-b557-390d653de44c,2021-11-05T00:00:00Z,11,C14B1DE0-C535-4892-933D-B9802A402495,The Touch of Transcendence: A Postcolonial Theology of God - By Mayra Rivera,85ab193cdcfc860ef8d9559dd26724a367087005,http://doi.org/10.1111/J.1748-0922.2009.01360_24.X,9e08451d-9ba8-49dd-bbc7-58f6201f635a,2021-11-05T00:00:00Z,11,BB4974AA-71AD-46BC-8A2D-17382BD2CA4C,Q7311312,85ab193cdcfc860ef8d9559dd26724a367087005,http://doi.org/10.1111/J.1748-0922.2009.01360_24.X,06f3b8e0-42cd-4f5b-bbd4-40613657b6be,2021-11-05T00:00:00Z,11,34881CA3-2B17-4BF2-9AD0-023612C71C4A,35,85ab193cdcfc860ef8d9559dd26724a367087005,http://doi.org/10.1111/J.1748-0922.2009.01360_24.X,63eca45b-4d59-4fdd-9c57-9593480dae99,2021-11-05T00:00:00Z,11,52D7E4E6-9790-4F67-B79B-432E152F26F3,162-162,85ab193cdcfc860ef8d9559dd26724a367087005,http://doi.org/10.1111/J.1748-0922.2009.01360_24.X,d7e30bb8-464a-4e8a-bec1-1f14c764a2e9,2021-11-05T00:00:00Z,11,8E6AD9C4-2F3F-4086-B73C-E91D6E0DAF9A,3,85ab193cdcfc860ef8d9559dd26724a367087005,http://doi.org/10.1111/J.1748-0922.2009.01360_24.X,0891addf-761e-4f3d-8ee1-b97aa7606246,2021-11-05T00:00:00Z,11
Q109407337,Controversies in Political Theology: Development or Liberation? - By Thia Cooper,journal article,650B23FB-EDB9-43C4-BB93-ECE5F479E35B,Q18918145,C694EB82-1459-47C5-B72C-392A6DC5EA6A,10.1111/J.1748-0922.2009.01360_6.X,2508eaa01ef18aab064b10f2c15a8a091f3fd6fb,http://doi.org/10.1111/J.1748-0922.2009.01360_6.X,97e63652-fca5-49a5-aa7b-a2fa11b93b68,2021-11-05T00:00:00Z,11,,,,,,,,3D88B7EC-0841-4794-A711-BADE4D658576,94f08732-1598-43ab-9e41-aedea7160aa3,2009-08-17T00:00:00Z,11,2508eaa01ef18aab064b10f2c15a8a091f3fd6fb,http://doi.org/10.1111/J.1748-0922.2009.01360_6.X,400d97bf-f04c-496e-a577-78db916d05d6,2021-11-05T00:00:00Z,11,80ADF303-2C7D-489F-9362-5FE37F9180B9,Controversies in Political Theology: Development or Liberation? - By Thia Cooper,2508eaa01ef18aab064b10f2c15a8a091f3fd6fb,http://doi.org/10.1111/J.1748-0922.2009.01360_6.X,954fd841-7301-4490-9337-7ee3506d9dc4,2021-11-05T00:00:00Z,11,B908D189-CA8A-4F5F-8FA5-DBD9A5ED2BAF,Q7311312,2508eaa01ef18aab064b10f2c15a8a091f3fd6fb,http://doi.org/10.1111/J.1748-0922.2009.01360_6.X,ba497986-3a03-4133-bc01-a07a2cb47403,2021-11-05T00:00:00Z,11,91CE0866-77FB-4FEB-B3EC-C168FF9066D5,35,2508eaa01ef18aab064b10f2c15a8a091f3fd6fb,http://doi.org/10.1111/J.1748-0922.2009.01360_6.X,73c0c7a0-9e25-493d-9090-5b1c66339f1a,2021-11-05T00:00:00Z,11,FB0A8C06-6A78-47D3-87CA-5977E46F94F4,156-157,2508eaa01ef18aab064b10f2c15a8a091f3fd6fb,http://doi.org/10.1111/J.1748-0922.2009.01360_6.X,f91df980-bab8-4864-8c6b-40465ae3ecad,2021-11-05T00:00:00Z,11,6F31F4DF-AB53-4730-8398-34093776E8C4,3,2508eaa01ef18aab064b10f2c15a8a091f3fd6fb,http://doi.org/10.1111/J.1748-0922.2009.01360_6.X,8bc71021-89fc-46bc-bbbb-befdfbf81fbf,2021-11-05T00:00:00Z,11
Q109407338,Karl Barth: God's Word in Action - By Paul S. Chung,journal article,CC794D0C-8503-42A4-BA1B-3BFF697AC360,Q18918145,89F42E9E-E428-46FA-8A6A-3DA675D5AC69,10.1111/J.1748-0922.2010.01443_8.X,f9a52e27cbcd5f40b0593ace81f0b6acb3f7389d,http://doi.org/10.1111/J.1748-0922.2010.01443_8.X,92b4608a-4ba3-44d9-9b03-67a1f947e8b9,2021-11-05T00:00:00Z,11,,,,,,,,342790B4-684C-4B5F-B816-C107A8ED0FC0,fe5db0b1-d770-433d-b86e-2185b2b8f5ce,2010-09-22T00:00:00Z,11,f9a52e27cbcd5f40b0593ace81f0b6acb3f7389d,http://doi.org/10.1111/J.1748-0922.2010.01443_8.X,a9aa311e-5d97-4090-85f0-1275d7a497a5,2021-11-05T00:00:00Z,11,AA5BAAC6-4FCF-48D8-AE53-9EDD6D5E2187,Karl Barth: God's Word in Action - By Paul S. Chung,f9a52e27cbcd5f40b0593ace81f0b6acb3f7389d,http://doi.org/10.1111/J.1748-0922.2010.01443_8.X,f600ab06-84a3-4547-87c4-0a39d8829220,2021-11-05T00:00:00Z,11,5A33B70A-879F-4D91-AC96-44A5119E3CA1,Q7311312,f9a52e27cbcd5f40b0593ace81f0b6acb3f7389d,http://doi.org/10.1111/J.1748-0922.2010.01443_8.X,c1e20bc7-8457-42ec-bdb2-07fb9c9ea401,2021-11-05T00:00:00Z,11,0A4C21D8-4FC0-48EE-9579-5052DAA6C8DD,36,f9a52e27cbcd5f40b0593ace81f0b6acb3f7389d,http://doi.org/10.1111/J.1748-0922.2010.01443_8.X,ee1644b5-0b39-4a61-ae77-eb2895c9e157,2021-11-05T00:00:00Z,11,51D0EEF6-33AA-4D67-858E-511E839834EF,211-211,f9a52e27cbcd5f40b0593ace81f0b6acb3f7389d,http://doi.org/10.1111/J.1748-0922.2010.01443_8.X,42290d7f-6fe8-44cf-9869-5064fd1ed1b2,2021-11-05T00:00:00Z,11,465A7350-11BB-4123-A921-8FEC927A8FE1,3,f9a52e27cbcd5f40b0593ace81f0b6acb3f7389d,http://doi.org/10.1111/J.1748-0922.2010.01443_8.X,2e00ca83-a28f-4918-9768-fce86834c4c4,2021-11-05T00:00:00Z,11
Q109407339,Notes on Recent Publications,journal article,987EF107-4C75-4A6E-8C61-C1E18C4B79E0,Q18918145,31B44718-9F87-4A0F-A2EA-F16C9AEF16AD,10.1111/J.1748-0922.2005.0015.X,355a9b4e68d65a3c9cfbc291e5fef36a9c68a120,http://doi.org/10.1111/J.1748-0922.2005.0015.X,10b60bd5-1a07-4202-894f-80987c1be183,2021-11-05T00:00:00Z,11,,,,,,,,321B6787-C246-4A71-BC64-84F64BEB9C1E,f391f4d2-fef0-4535-b054-07b9d9363388,2010-08-16T00:00:00Z,11,355a9b4e68d65a3c9cfbc291e5fef36a9c68a120,http://doi.org/10.1111/J.1748-0922.2005.0015.X,20cd1b78-0ca6-4f21-894e-b04deef925f4,2021-11-05T00:00:00Z,11,646CAC57-9D47-489B-A184-4F2BFEC00207,Notes on Recent Publications,355a9b4e68d65a3c9cfbc291e5fef36a9c68a120,http://doi.org/10.1111/J.1748-0922.2005.0015.X,f3f50019-78eb-4c85-95f9-c5a47cf5ebae,2021-11-05T00:00:00Z,11,034C30B6-69B3-4AAF-90CA-2A371F7AFE0E,Q7311312,355a9b4e68d65a3c9cfbc291e5fef36a9c68a120,http://doi.org/10.1111/J.1748-0922.2005.0015.X,e0a0f1e3-300a-4e2b-82cd-9fbe32544ed4,2021-11-05T00:00:00Z,11,81045AC2-7EF6-4554-BD3A-CB308C2BBC00,31,355a9b4e68d65a3c9cfbc291e5fef36a9c68a120,http://doi.org/10.1111/J.1748-0922.2005.0015.X,bf360afa-8ae3-4786-b386-3fb2754df5b0,2021-11-05T00:00:00Z,11,F71AFDEF-C37F-4051-9B37-366A92152FE2,179-232,355a9b4e68d65a3c9cfbc291e5fef36a9c68a120,http://doi.org/10.1111/J.1748-0922.2005.0015.X,7eb13014-26a5-4bb6-9b83-0ba1f4ab6f49,2021-11-05T00:00:00Z,11,F20BD169-9416-43B5-A839-9B0B413A2D07,3-4,355a9b4e68d65a3c9cfbc291e5fef36a9c68a120,http://doi.org/10.1111/J.1748-0922.2005.0015.X,67cddbdb-5861-47e2-b34c-b50c94756ad8,2021-11-05T00:00:00Z,11
Q109407937,The Ethics of Wealth in a World of Economic Inequality: A Christian Perspective in a Buddhist-Christian Dialogue,journal article,F7811315-259C-437E-9801-2CC76BCDEB84,Q18918145,391BC64F-551B-4C08-A5E0-CD657E29E4E1,10.1353/BCS.2013.0018,6ba58b14dd7e5a69f84834a76f6cf67fef16a15f,http://doi.org/10.1353/BCS.2013.0018,d9f772af-1391-4160-a556-ae32886d0cfd,2021-11-05T00:00:00Z,11,,,,,,,,462FB065-A597-412F-8755-B17608C56CB8,ed234de3-34c2-4585-9227-811c9e01d71f,2013-10-06T00:00:00Z,11,6ba58b14dd7e5a69f84834a76f6cf67fef16a15f,http://doi.org/10.1353/BCS.2013.0018,c446ea8b-b363-49f7-af0b-70e567bf03b8,2021-11-05T00:00:00Z,11,1EF54955-ABD1-4983-870D-D1D635AA0195,The Ethics of Wealth in a World of Economic Inequality: A Christian Perspective in a Buddhist-Christian Dialogue,6ba58b14dd7e5a69f84834a76f6cf67fef16a15f,http://doi.org/10.1353/BCS.2013.0018,1dab9c71-ccf7-4782-b6ab-bae72d95a5b2,2021-11-05T00:00:00Z,11,7485D67A-ACFF-4AAB-92AE-C8FB17D7793E,Q4984286,6ba58b14dd7e5a69f84834a76f6cf67fef16a15f,http://doi.org/10.1353/BCS.2013.0018,939a5a3d-3ea1-4752-a96a-e0726f42fbba,2021-11-05T00:00:00Z,11,6F2ADB35-6818-4648-A884-5D2AFAF87E7C,33,6ba58b14dd7e5a69f84834a76f6cf67fef16a15f,http://doi.org/10.1353/BCS.2013.0018,7baac53f-6da5-4110-8a5a-46c336d8f7e0,2021-11-05T00:00:00Z,11,4F76E652-8346-41EB-B280-A1AE51C8D06C,153-162,6ba58b14dd7e5a69f84834a76f6cf67fef16a15f,http://doi.org/10.1353/BCS.2013.0018,b31223ed-504d-4fe6-9928-d9406c9c84cd,2021-11-05T00:00:00Z,11,DBD80202-7E13-4DF5-81EB-ED1C6F48DCF1,1,6ba58b14dd7e5a69f84834a76f6cf67fef16a15f,http://doi.org/10.1353/BCS.2013.0018,14acacf3-73f4-40a2-8f36-b2c00a8390b9,2021-11-05T00:00:00Z,11
