qid,label_en,description_en,instance_of_uuid,instance_of,doi_uuid,doi,doi_ref1_hash,doi_ref1_referenceUrl,doi_ref1_retrieved_nodeId,doi_ref1_retrieved_val,doi_ref1_retrieved_prec,pmid_uuid,pmid,pmid_ref1_hash,pmid_ref1_referenceUrl,pmid_ref1_retrieved_nodeId,pmid_ref1_retrieved_val,pmid_ref1_retrieved_prec,published_uuid,published_nodeId,published_val,published_prec,published_ref1_hash,published_ref1_referenceUrl,published_ref1_retrieved_nodeId,published_ref1_retrieved_val,published_ref1_retrieved_prec,title_en_uuid,title_en,title_en_ref1_hash,title_en_ref1_referenceUrl,title_en_ref1_retrieved_nodeId,title_en_ref1_retrieved_val,title_en_ref1_retrieved_prec,journal_uuid,journal,journal_ref1_hash,journal_ref1_referenceUrl,journal_ref1_retrieved_nodeId,journal_ref1_retrieved_val,journal_ref1_retrieved_prec,volume_uuid,volume,volume_ref1_hash,volume_ref1_referenceUrl,volume_ref1_retrieved_nodeId,volume_ref1_retrieved_val,volume_ref1_retrieved_prec,page_uuid,page,page_ref1_hash,page_ref1_referenceUrl,page_ref1_retrieved_nodeId,page_ref1_retrieved_val,page_ref1_retrieved_prec,issue_uuid,issue,issue_ref1_hash,issue_ref1_referenceUrl,issue_ref1_retrieved_nodeId,issue_ref1_retrieved_val,issue_ref1_retrieved_prec,isbn10_uuid,isbn10,isbn10_ref1_hash,isbn10_ref1_referenceUrl,isbn10_ref1_retrieved_nodeId,isbn10_ref1_retrieved_val,isbn10_ref1_retrieved_prec,isbn13_uuid,isbn13,isbn13_ref1_hash,isbn13_ref1_referenceUrl,isbn13_ref1_retrieved_nodeId,isbn13_ref1_retrieved_val,isbn13_ref1_retrieved_prec,publisher_uuid,publisher,publisher_ref1_hash,publisher_ref1_referenceUrl,publisher_ref1_retrieved_nodeId,publisher_ref1_retrieved_val,publisher_ref1_retrieved_prec
Q110916222,Revives My Soul Again The Spirituality of Martin Luther King Jr.,monograph,D494D792-D22E-4193-A9D9-4CF086512649,Q193495,43AB973F-7A23-4434-AD33-7DA004B5AFB0,10.2307/J.CTV513DS2,d53d739060a4a6d5803991be8f239c96e1ab3cd9,http://doi.org/10.2307/J.CTV513DS2,73f610db-5974-47b6-a149-155c4c879f0d,2022-02-14T00:00:00Z,11,,,,,,,,EC2DCB03-6914-437B-A308-8E8171DC5228,a26c9668-456a-4636-b18f-4a184036da1f,2018-11-01T00:00:00Z,11,d53d739060a4a6d5803991be8f239c96e1ab3cd9,http://doi.org/10.2307/J.CTV513DS2,98e9d7d7-e801-45b9-8446-7d28b8f35c7f,2022-02-14T00:00:00Z,11,6D477CC7-272A-4BFD-A248-C77748EB06B2,Revives My Soul Again The Spirituality of Martin Luther King Jr.,d53d739060a4a6d5803991be8f239c96e1ab3cd9,http://doi.org/10.2307/J.CTV513DS2,5ccf523a-e8c7-4a89-9f07-79ab68341cd0,2022-02-14T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5AC14D28-0F07-4BA6-9C85-EC6713BADE8F,9781506424712,d53d739060a4a6d5803991be8f239c96e1ab3cd9,http://doi.org/10.2307/J.CTV513DS2,27465e07-8c12-4e0b-9df2-3248dfbac10b,2022-02-14T00:00:00Z,11,D2320BA5-FD71-47D3-ACC8-00A32DFEC33F,Q4820471,d53d739060a4a6d5803991be8f239c96e1ab3cd9,http://doi.org/10.2307/J.CTV513DS2,44c3d8b0-3cc1-4df3-b02f-0170e505b2a0,2022-02-14T00:00:00Z,11
Q110916224,Pragmatic Naturalism and Public Theology,academic book chapter,18E1489B-37A7-4286-8663-17B87D514798,Q21481766,44BBB0B4-6C74-43DA-A421-0F7BFACD98EF,10.4324/9781315228907-16,2b30de47182bad7909fc047ba9b96bfd18c49f37,http://doi.org/10.4324/9781315228907-16,5c829965-64a1-425e-baa1-72a464366c3b,2022-02-14T00:00:00Z,11,,,,,,,,9DB07490-4427-4033-AF06-00D7B78C0879,465e330b-d9a7-401f-a6c5-a9d78e8f0d44,2018-12-15T00:00:00Z,11,2b30de47182bad7909fc047ba9b96bfd18c49f37,http://doi.org/10.4324/9781315228907-16,2c1ae3ea-a5c3-4d36-81f3-eca2874b6961,2022-02-14T00:00:00Z,11,76E2AA04-2352-418C-8E33-2902C3ECCBD9,Pragmatic Naturalism and Public Theology,2b30de47182bad7909fc047ba9b96bfd18c49f37,http://doi.org/10.4324/9781315228907-16,9de3220d-6ec6-45d3-9a27-7dd54a6cc2d0,2022-02-14T00:00:00Z,11,,,,,,,,,,,,,,,D021C0C3-2881-4B62-96D6-67A443C9E4AF,180-190,2b30de47182bad7909fc047ba9b96bfd18c49f37,http://doi.org/10.4324/9781315228907-16,82cd127a-f49a-4263-b073-da5be26ad958,2022-02-14T00:00:00Z,11,,,,,,,,,,,,,,,117CFA32-7573-44CC-8C7C-FDBCD2FFB369,9781315228907,2b30de47182bad7909fc047ba9b96bfd18c49f37,http://doi.org/10.4324/9781315228907-16,d5ebc531-c079-4118-909e-4a8c13a0c274,2022-02-14T00:00:00Z,11,6B4A20EF-A586-4FD3-AC81-7F45218C82C2,Q1508259,2b30de47182bad7909fc047ba9b96bfd18c49f37,http://doi.org/10.4324/9781315228907-16,97c2ec64-3560-47eb-b407-ee37ae003a8c,2022-02-14T00:00:00Z,11
Q110920768,Signs and Wonders Theology After Modernity,book,BFB2811B-043C-4B1C-A18E-62CE5CD6B93B,Q3331189,1D1135FF-B474-4681-9BCA-0C9314876635,10.7312/ARMO17248,95c35dd06489cbe588fd1ef24f4406dda4c5cfb0,http://doi.org/10.7312/ARMO17248,9dd7c53c-9c87-462e-a706-a1c70bbe92dd,2022-02-15T00:00:00Z,11,,,,,,,,61121D1C-FF3D-4126-BC36-0EC2C500F8A5,683d7a6a-e9b8-47c1-999e-9af9dc5c6187,2016-09-25T00:00:00Z,11,95c35dd06489cbe588fd1ef24f4406dda4c5cfb0,http://doi.org/10.7312/ARMO17248,0b0e4505-af94-4981-ab12-ad81606c199a,2022-02-15T00:00:00Z,11,DE93FC8C-0754-4089-83F3-6BB5B06CFE05,Signs and Wonders Theology After Modernity,95c35dd06489cbe588fd1ef24f4406dda4c5cfb0,http://doi.org/10.7312/ARMO17248,20f11d5c-6262-447e-9b51-708a21fa8ca8,2022-02-15T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1F4A0476-CB22-4433-9721-E23E7BB431C0,9780231540940,95c35dd06489cbe588fd1ef24f4406dda4c5cfb0,http://doi.org/10.7312/ARMO17248,4a77106d-aa8a-4b10-9b53-ea73463d4cc7,2022-02-15T00:00:00Z,11,678B2B71-DABC-4D0F-979B-689254E9E954,Q2080179,95c35dd06489cbe588fd1ef24f4406dda4c5cfb0,http://doi.org/10.7312/ARMO17248,8e7ac1f0-fc17-4313-975e-6b252645dbd9,2022-02-15T00:00:00Z,11
Q110920769,Creation and Transcendence Theological Essays on the Divine Sublime,monograph,7F5D6942-3A6C-4051-981B-AEA61812F28D,Q193495,8E1FF33A-AEEE-47A7-AD05-21839ECF26A5,10.5040/9780567698728,632707eddecb8b38ae96397e966ef18f11cfa141,http://doi.org/10.5040/9780567698728,3648c4ec-6adb-46a5-ae7e-9d92592e5f27,2022-02-15T00:00:00Z,11,,,,,,,,84B83F23-9C29-434E-989A-348BA76A866C,6f20c5be-84dc-4af6-8d0a-aa13ce1a9a4f,2021-03-22T00:00:00Z,11,632707eddecb8b38ae96397e966ef18f11cfa141,http://doi.org/10.5040/9780567698728,d24bf919-da6e-4042-a75d-f151343d4cbb,2022-02-15T00:00:00Z,11,CF9BF4EA-D287-4EB0-B165-34757D9777F5,Creation and Transcendence Theological Essays on the Divine Sublime,632707eddecb8b38ae96397e966ef18f11cfa141,http://doi.org/10.5040/9780567698728,60c4bb6f-ee13-46f9-97ab-289f28c80f24,2022-02-15T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7800A169-FD29-4896-9043-C633D52815AC,9780567698704,632707eddecb8b38ae96397e966ef18f11cfa141,http://doi.org/10.5040/9780567698728,68e032c5-cbdf-4d87-a1d5-7de132b395c6,2022-02-15T00:00:00Z,11,480BA68C-7FBE-4D85-830F-B84CF971CBDD,Q7667718,632707eddecb8b38ae96397e966ef18f11cfa141,http://doi.org/10.5040/9780567698728,0d941a8f-493e-42b7-bffc-5eb93387e631,2022-02-15T00:00:00Z,11
Q110920770,The Origins of Black Humanism in America,book,EF4E46E6-5555-4ED6-8B47-E7845D61C3B0,Q3331189,042E6DAE-9EA7-4DCA-902C-8EE52256A473,10.1057/9780230615823,a86221176c07454fb29cf0b73e8a9a4b6f6609b3,http://doi.org/10.1057/9780230615823,3f9748b1-a896-486a-a377-bbc530f41d71,2022-02-15T00:00:00Z,11,,,,,,,,F124826B-1EEF-4B89-B8B5-B0C1AEE81325,c64303a7-c4c4-4b6b-b956-343be2d9d5db,2009-03-04T00:00:00Z,11,a86221176c07454fb29cf0b73e8a9a4b6f6609b3,http://doi.org/10.1057/9780230615823,7056b801-cd9e-4836-85be-814e7f350f85,2022-02-15T00:00:00Z,11,B7594E52-6F45-4D62-AD8C-61575BCBE34E,The Origins of Black Humanism in America,a86221176c07454fb29cf0b73e8a9a4b6f6609b3,http://doi.org/10.1057/9780230615823,2cffb362-20af-4e18-8cbb-1a6d86052e97,2022-02-15T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44494FC9-8A2B-435B-BA03-5D493E8060D4,9781349374175,a86221176c07454fb29cf0b73e8a9a4b6f6609b3,http://doi.org/10.1057/9780230615823,9fe1d846-d4da-4caf-ada7-bac3a98a5551,2022-02-15T00:00:00Z,11,1DC9EB5A-4CAE-434F-865D-8F9F8249947C,Q1076074,a86221176c07454fb29cf0b73e8a9a4b6f6609b3,http://doi.org/10.1057/9780230615823,d3f871c5-9b42-413f-b0d7-ccf7e98b6e9b,2022-02-15T00:00:00Z,11
Q110920771,"Just Traveling God, Leaving Home, and a Spirituality for the Road",monograph,37DDBBF7-2486-4805-83D7-4C548C38FC18,Q193495,58AE5D1A-EEE7-45CC-9C71-EDB507A2C88A,10.2307/J.CTV1KHDP3T,166c1bf58e9cf64495c8ea74349968d61ec41392,http://doi.org/10.2307/J.CTV1KHDP3T,edec0524-68a0-40f2-bff2-f6387614b67d,2022-02-15T00:00:00Z,11,,,,,,,,D9719319-599F-4FB7-BE12-FC59872F8D0A,4d09156b-697b-4cbb-8fcd-cc70a97bc363,2021-06-09T00:00:00Z,11,166c1bf58e9cf64495c8ea74349968d61ec41392,http://doi.org/10.2307/J.CTV1KHDP3T,027fc9f0-7450-474f-9f40-d9d261b62f85,2022-02-15T00:00:00Z,11,EE7FC9D3-6D31-481D-94BC-A8AEA2D8B4E5,"Just Traveling God, Leaving Home, and a Spirituality for the Road",166c1bf58e9cf64495c8ea74349968d61ec41392,http://doi.org/10.2307/J.CTV1KHDP3T,5c899545-13ff-455c-821a-0c7ba3563fc9,2022-02-15T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7C57EAD5-4691-411D-B9E2-A9F82C56DB88,9781506472072,166c1bf58e9cf64495c8ea74349968d61ec41392,http://doi.org/10.2307/J.CTV1KHDP3T,19f5fb5d-576f-4d86-9a3b-f2633c581df9,2022-02-15T00:00:00Z,11,F883E5B4-0AE6-4A4D-B9F4-5A44F71C9A93,Q89377628,166c1bf58e9cf64495c8ea74349968d61ec41392,http://doi.org/10.2307/J.CTV1KHDP3T,9efca275-8dd6-4e70-9e63-3432c9014e81,2022-02-15T00:00:00Z,11
Q110920772,Strangers and Friends at the Welcome Table Contemporary Christianities in the American South,book,A441602C-AF3B-4FD5-84E4-1D8174FD8A5A,Q3331189,CAB5E2F7-5E3E-45A0-8295-FB8082A873B1,10.5149/NORTHCAROLINA/9781469640372.001.0001,385da5210ddaf7c5c14244936e2b4480cf6a68a6,http://doi.org/10.5149/NORTHCAROLINA/9781469640372.001.0001,00d6fcea-c94e-48e0-9437-0189d297f8b0,2022-02-15T00:00:00Z,11,,,,,,,,E592A342-246E-419E-9F79-1E56B8DB1DB3,491ed4fb-33c3-4956-8335-d6cfdd81b2b4,2019-01-24T00:00:00Z,11,385da5210ddaf7c5c14244936e2b4480cf6a68a6,http://doi.org/10.5149/NORTHCAROLINA/9781469640372.001.0001,efa3c056-b4e8-4671-8f0b-d2b879cfa409,2022-02-15T00:00:00Z,11,24EDD1D6-0D3E-4941-983B-45EE2E8C6298,Strangers and Friends at the Welcome Table Contemporary Christianities in the American South,385da5210ddaf7c5c14244936e2b4480cf6a68a6,http://doi.org/10.5149/NORTHCAROLINA/9781469640372.001.0001,90a9ac94-e976-40f8-9168-2e4c9cc7d7d4,2022-02-15T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D2AC27FE-B02E-457D-942F-421B2E266DF0,9781469640372,385da5210ddaf7c5c14244936e2b4480cf6a68a6,http://doi.org/10.5149/NORTHCAROLINA/9781469640372.001.0001,51e38648-7494-4b91-8163-2b970540e804,2022-02-15T00:00:00Z,11,F04FC2D1-804A-441D-8D84-9F314AAE1994,Q7895937,385da5210ddaf7c5c14244936e2b4480cf6a68a6,http://doi.org/10.5149/NORTHCAROLINA/9781469640372.001.0001,0c1cb1bd-2c15-4b90-9567-9bbb477e3ad0,2022-02-15T00:00:00Z,11
Q110920773,The Future of Mainline Protestantism in America,book,862DFE24-7DC8-4D79-A628-470B2563538D,Q3331189,FF037278-847E-4272-949D-17A5FA0660EE,10.7312/HUDN18360,53ec37a2f019afd12415dc9fa297a7696a9cac01,http://doi.org/10.7312/HUDN18360,9f4045b1-2579-48c7-a363-6a116a1200f6,2022-02-15T00:00:00Z,11,,,,,,,,3BC012BA-5BFC-449F-9CE5-A77E7315D74C,be25b0aa-0bdc-4008-bfa9-1b99c057310b,2018-12-21T00:00:00Z,11,53ec37a2f019afd12415dc9fa297a7696a9cac01,http://doi.org/10.7312/HUDN18360,35550ea9-7aa4-42e0-be5f-45cf65950bcc,2022-02-15T00:00:00Z,11,0113A051-D17C-423B-97D7-107E3BDE130D,The Future of Mainline Protestantism in America,53ec37a2f019afd12415dc9fa297a7696a9cac01,http://doi.org/10.7312/HUDN18360,4b137675-08d9-49fc-8a88-df9715efa358,2022-02-15T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82D16610-6E4E-435D-8D79-31EDBF5A9A63,9780231545037,53ec37a2f019afd12415dc9fa297a7696a9cac01,http://doi.org/10.7312/HUDN18360,1361e596-3a4b-4184-bc9f-4f049365f23c,2022-02-15T00:00:00Z,11,B88EA345-55C9-4E62-A66B-4BD98B5B6BD5,Q2080179,53ec37a2f019afd12415dc9fa297a7696a9cac01,http://doi.org/10.7312/HUDN18360,9de04f4f-edc1-46b0-a1ef-1c874c5a2236,2022-02-15T00:00:00Z,11
Q110920774,"In Pursuit of Purity, Unity, and Liberty Richard Baxter's Puritan Ecclesiology in Its Seventeenth-Century Context",monograph,3B8523A5-011F-4DE1-8E45-C66C93A3E807,Q193495,8AE5A1CE-7BD6-4904-9670-8B39E12A5D9C,10.1163/9789047405214,cae16418c9002977d678dd0bcc63e678b9230280,http://doi.org/10.1163/9789047405214,a3d8787d-9dc1-45d5-9d0b-cda7c4559504,2022-02-15T00:00:00Z,11,,,,,,,,53175919-0F02-4936-AC33-386EEB9C4BB8,075b90f6-1020-4df0-ab86-035a1fe3e92c,2021-08-15T00:00:00Z,11,cae16418c9002977d678dd0bcc63e678b9230280,http://doi.org/10.1163/9789047405214,665d2199-2481-4127-9c8d-70a550c1254d,2022-02-15T00:00:00Z,11,EF17E6C3-8683-421A-A71F-9969ABB2A9FC,"In Pursuit of Purity, Unity, and Liberty Richard Baxter's Puritan Ecclesiology in Its Seventeenth-Century Context",cae16418c9002977d678dd0bcc63e678b9230280,http://doi.org/10.1163/9789047405214,623ebeab-5097-41c7-af2a-e39d8f40aa41,2022-02-15T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6A15B67B-7A0F-4045-B6F6-26E6057BDEB4,9789047405214,cae16418c9002977d678dd0bcc63e678b9230280,http://doi.org/10.1163/9789047405214,5c9aa7ea-2ab8-4205-a358-dfa4ba55b91c,2022-02-15T00:00:00Z,11,8419E707-F1CD-423E-8147-74CEBFA9A3D5,Q917031,cae16418c9002977d678dd0bcc63e678b9230280,http://doi.org/10.1163/9789047405214,efd6c011-6c71-4176-84e7-eab898dfad37,2022-02-15T00:00:00Z,11
Q110920775,The Cambridge Companion to Puritanism,book,08881792-510A-45C3-AD8E-8833CA31B245,Q3331189,A58F6E2B-7794-4830-BB8A-36CCCD721FFD,10.1017/CCOL9780521860888,33c8e5b3c7db6e1c17a6497064f24b508d4699db,http://doi.org/10.1017/CCOL9780521860888,147e9ce6-7c8e-41b3-910f-585a6c2d5d18,2022-02-15T00:00:00Z,11,,,,,,,,F3E26C8F-E83F-4763-BDB5-5377D8E0BE90,9135807b-a52e-4d15-b44f-e8a35b8ed073,2008-11-28T00:00:00Z,11,33c8e5b3c7db6e1c17a6497064f24b508d4699db,http://doi.org/10.1017/CCOL9780521860888,d8da6f89-4b46-44ae-b530-9637424d4d46,2022-02-15T00:00:00Z,11,3DA40A5D-6F33-42A9-91C7-C02BBC740982,The Cambridge Companion to Puritanism,33c8e5b3c7db6e1c17a6497064f24b508d4699db,http://doi.org/10.1017/CCOL9780521860888,e4956e4f-87df-48cd-8045-5fa03c420fb2,2022-02-15T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEFDA06D-4517-4915-A234-C2B76719A4FD,9780521860888,33c8e5b3c7db6e1c17a6497064f24b508d4699db,http://doi.org/10.1017/CCOL9780521860888,bec91f96-d8ff-49cf-9b43-a91f59dcd425,2022-02-15T00:00:00Z,11,8C85B40A-BD8E-42D4-9CB3-14C7239A91BC,Q912887,33c8e5b3c7db6e1c17a6497064f24b508d4699db,http://doi.org/10.1017/CCOL9780521860888,f8fe1f74-e07c-4563-b6d9-ccbaa566f52a,2022-02-15T00:00:00Z,11
