qid,label_en,description_en,instance_of_uuid,instance_of,doi_uuid,doi,doi_ref1_hash,doi_ref1_referenceUrl,doi_ref1_retrieved_nodeId,doi_ref1_retrieved_val,doi_ref1_retrieved_prec,pmid_uuid,pmid,pmid_ref1_hash,pmid_ref1_referenceUrl,pmid_ref1_retrieved_nodeId,pmid_ref1_retrieved_val,pmid_ref1_retrieved_prec,published_uuid,published_nodeId,published_val,published_prec,published_ref1_hash,published_ref1_referenceUrl,published_ref1_retrieved_nodeId,published_ref1_retrieved_val,published_ref1_retrieved_prec,title_en_uuid,title_en,title_en_ref1_hash,title_en_ref1_referenceUrl,title_en_ref1_retrieved_nodeId,title_en_ref1_retrieved_val,title_en_ref1_retrieved_prec,journal_uuid,journal,journal_ref1_hash,journal_ref1_referenceUrl,journal_ref1_retrieved_nodeId,journal_ref1_retrieved_val,journal_ref1_retrieved_prec,volume_uuid,volume,volume_ref1_hash,volume_ref1_referenceUrl,volume_ref1_retrieved_nodeId,volume_ref1_retrieved_val,volume_ref1_retrieved_prec,page_uuid,page,page_ref1_hash,page_ref1_referenceUrl,page_ref1_retrieved_nodeId,page_ref1_retrieved_val,page_ref1_retrieved_prec,issue_uuid,issue,issue_ref1_hash,issue_ref1_referenceUrl,issue_ref1_retrieved_nodeId,issue_ref1_retrieved_val,issue_ref1_retrieved_prec,isbn10_uuid,isbn10,isbn10_ref1_hash,isbn10_ref1_referenceUrl,isbn10_ref1_retrieved_nodeId,isbn10_ref1_retrieved_val,isbn10_ref1_retrieved_prec,isbn13_uuid,isbn13,isbn13_ref1_hash,isbn13_ref1_referenceUrl,isbn13_ref1_retrieved_nodeId,isbn13_ref1_retrieved_val,isbn13_ref1_retrieved_prec,publisher_uuid,publisher,publisher_ref1_hash,publisher_ref1_referenceUrl,publisher_ref1_retrieved_nodeId,publisher_ref1_retrieved_val,publisher_ref1_retrieved_prec
Q111731363,"“But to know it as we shou'd do”: Enthusiasm, Historicizing of the Charismata, and Cessationism in Enlightenment England",academic book chapter,DE180BA4-DE5D-46EB-84BF-D436EA1A4530,Q21481766,2688F966-A27A-44E1-9566-A8E77F8AB033,10.2307/J.CTVPJ7BGB.14,b2d0052ebc105bc7a1ae4da469d74b470ace9de6,http://doi.org/10.2307/J.CTVPJ7BGB.14,348e0655-9e91-40a8-8862-bf639181e0c9,2022-04-26T00:00:00Z,11,,,,,,,,1BA1486E-2F23-41B2-B95B-5A51DEDE4FBE,c1acff8e-d003-495f-8ada-058e22f0bac9,2019-09-19T00:00:00Z,11,b2d0052ebc105bc7a1ae4da469d74b470ace9de6,http://doi.org/10.2307/J.CTVPJ7BGB.14,851ddad1-ecfa-4f7f-8d27-a37b9f55a9c0,2022-04-26T00:00:00Z,11,7A2CA8A3-2CC3-4D4A-88E1-40CBA16C63D0,"“But to know it as we shou'd do”: Enthusiasm, Historicizing of the Charismata, and Cessationism in Enlightenment England",b2d0052ebc105bc7a1ae4da469d74b470ace9de6,http://doi.org/10.2307/J.CTVPJ7BGB.14,a5c541b3-8ce1-4aa5-b29b-0c5a8cc8b926,2022-04-26T00:00:00Z,11,23AC877D-D9D3-4BF9-AE23-F8CDE3A29F5C,Q111725115,b2d0052ebc105bc7a1ae4da469d74b470ace9de6,http://doi.org/10.2307/J.CTVPJ7BGB.14,d796bbc4-8195-4283-b494-9c1d2595cc24,2022-04-26T00:00:00Z,11,,,,,,,,B1E8DB77-8279-47EE-B47A-28B499226DEA,231-258,b2d0052ebc105bc7a1ae4da469d74b470ace9de6,http://doi.org/10.2307/J.CTVPJ7BGB.14,0478a092-850d-4fcf-acbb-4b1f1b3e9f33,2022-04-26T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,0B039D99-C3F2-4BB2-8C95-96B48C4A4AA2,Q3551356,b2d0052ebc105bc7a1ae4da469d74b470ace9de6,http://doi.org/10.2307/J.CTVPJ7BGB.14,619885eb-e26e-4973-ab5f-31f7fc2ae24d,2022-04-26T00:00:00Z,11
Q111731364,"“I Am Black and Beautiful, O Ye Daughters of Jerusalem …”: African American Virtue Ethics and a Womanist Hermeneutics of Redemption",academic book chapter,CD4913A0-AB11-4360-8838-99FFD48479BF,Q21481766,7A064B29-E7D9-4197-8389-90D7357FE63E,10.1057/9780230610507_4,3df336453e4338371db3750fc6bb4ce405ca6494,http://doi.org/10.1057/9780230610507_4,7557a278-9618-4d19-beaf-fdc5459980a9,2022-04-26T00:00:00Z,11,,,,,,,,C0D74364-429E-4F81-B7B3-1E156178A731,aae0b10e-011c-420e-8e74-ce1632441911,2016-05-20T00:00:00Z,11,3df336453e4338371db3750fc6bb4ce405ca6494,http://doi.org/10.1057/9780230610507_4,2a5c0293-67e1-413c-aada-e10bc3f6a100,2022-04-26T00:00:00Z,11,B7FD3B31-A467-4040-9E22-4F9BDB81816E,"“I Am Black and Beautiful, O Ye Daughters of Jerusalem …”: African American Virtue Ethics and a Womanist Hermeneutics of Redemption",3df336453e4338371db3750fc6bb4ce405ca6494,http://doi.org/10.1057/9780230610507_4,df631bcb-5f54-4475-9638-2bfc2a586f76,2022-04-26T00:00:00Z,11,E504B3CF-775A-4F46-800E-7ED1267BDA4C,Q111725106,3df336453e4338371db3750fc6bb4ce405ca6494,http://doi.org/10.1057/9780230610507_4,88878fec-4d2a-45d7-8cbd-679371655c26,2022-04-26T00:00:00Z,11,,,,,,,,970305F2-294B-498F-9393-4B0D216CFA2A,35-51,3df336453e4338371db3750fc6bb4ce405ca6494,http://doi.org/10.1057/9780230610507_4,94f884cc-0c3d-43b4-b5e7-455a7f2d366d,2022-04-26T00:00:00Z,11,,,,,,,,,,,,,,,3D77CA3E-C084-4FC9-ACBC-46819E679B30,9781349530502,3df336453e4338371db3750fc6bb4ce405ca6494,http://doi.org/10.1057/9780230610507_4,4a225da8-ebff-4138-8b2d-a667f9a16522,2022-04-26T00:00:00Z,11,81DD3B48-CF2B-4CBC-A6CC-CD76F1FAF5DD,Q1076074,3df336453e4338371db3750fc6bb4ce405ca6494,http://doi.org/10.1057/9780230610507_4,33dbb8c6-816e-4c2a-921e-fc0d59b36099,2022-04-26T00:00:00Z,11
Q111731365,"“Lest We Be Scattered Abroad”: Nimrod, Marcus Garvey, and Black Religious Humanism in Harlem",academic book chapter,259BDE6E-0138-4682-934A-C55426F7E89E,Q21481766,2D097D69-794A-447E-BA11-16E772756000,10.1057/9780230610507_5,9cfea04688a57bfd9bd51b73eaf080bcf8fb8819,http://doi.org/10.1057/9780230610507_5,13ee710c-962b-4f0a-9569-17d83eb1377b,2022-04-26T00:00:00Z,11,,,,,,,,0910C5F4-65D5-4DC5-8432-AD86CC0DF0AC,95fe8c8a-d72b-4964-a33d-b78729a29090,2016-05-20T00:00:00Z,11,9cfea04688a57bfd9bd51b73eaf080bcf8fb8819,http://doi.org/10.1057/9780230610507_5,503f28e2-fcff-40d8-b888-6ca6c35374d1,2022-04-26T00:00:00Z,11,2AFAB7EA-7B41-4F51-A100-1589D4129442,"“Lest We Be Scattered Abroad”: Nimrod, Marcus Garvey, and Black Religious Humanism in Harlem",9cfea04688a57bfd9bd51b73eaf080bcf8fb8819,http://doi.org/10.1057/9780230610507_5,d4e9ee20-0ddc-485b-b79b-ab17fd4e4d24,2022-04-26T00:00:00Z,11,DE49C462-9FC6-4D68-B647-D9DCF9C7A98E,Q111725106,9cfea04688a57bfd9bd51b73eaf080bcf8fb8819,http://doi.org/10.1057/9780230610507_5,8c1f10b9-bd1c-443c-9c5e-5fee3e9d6ec0,2022-04-26T00:00:00Z,11,,,,,,,,ABC920CF-6AA0-4A55-B450-C2321A6F2557,53-68,9cfea04688a57bfd9bd51b73eaf080bcf8fb8819,http://doi.org/10.1057/9780230610507_5,a2e108cd-8ebd-46ba-80ef-ccb4ac393f86,2022-04-26T00:00:00Z,11,,,,,,,,,,,,,,,2685AC05-D037-432C-86A7-2F6D9D234175,9781349530502,9cfea04688a57bfd9bd51b73eaf080bcf8fb8819,http://doi.org/10.1057/9780230610507_5,0a769610-7c1a-4210-ab73-04318f0a0e52,2022-04-26T00:00:00Z,11,03BB410E-1644-44D3-9190-EBA0BE9DACC0,Q1076074,9cfea04688a57bfd9bd51b73eaf080bcf8fb8819,http://doi.org/10.1057/9780230610507_5,52a6812d-9b5a-48a3-a3d2-a6c74a7f9759,2022-04-26T00:00:00Z,11
Q111731366,"“Though He cannot be eaten, we consume Him”: Appeals to Liturgical Practice in the Christological Polemic of Philoxenos of Mabbug",academic book chapter,41F48CC4-5178-42A2-AAF3-3B1DCFEA6E7B,Q21481766,532B59FA-A6D3-442E-A91D-01C167875B9F,10.31826/9781463214814-022,58c8a9bd7c00733d4df2bfbe5a6019a388883527,http://doi.org/10.31826/9781463214814-022,62d3cd69-e0ff-4bed-90a7-e8d605aa3a5c,2022-04-26T00:00:00Z,11,,,,,,,,A8AD7C51-3933-4126-96B6-EB2C943CE7F9,50f57a2b-8629-49a0-9d04-72eb070744f4,2019-04-29T00:00:00Z,11,58c8a9bd7c00733d4df2bfbe5a6019a388883527,http://doi.org/10.31826/9781463214814-022,eb0d963d-b4c0-46c6-aa3c-0c89c6c6fbd1,2022-04-26T00:00:00Z,11,56470FC6-4902-4169-AE85-F0B17B3EEFBE,"“Though He cannot be eaten, we consume Him”: Appeals to Liturgical Practice in the Christological Polemic of Philoxenos of Mabbug",58c8a9bd7c00733d4df2bfbe5a6019a388883527,http://doi.org/10.31826/9781463214814-022,bbb4d52a-8197-4054-8063-ff9905c74300,2022-04-26T00:00:00Z,11,,,,,,,,,,,,,,,AF804C7C-1639-49A9-B2C9-2AAD3FA9F71B,439-476,58c8a9bd7c00733d4df2bfbe5a6019a388883527,http://doi.org/10.31826/9781463214814-022,b0c9dd56-1af3-4aca-a8e7-6dc6961cd010,2022-04-26T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,95A6E814-98BC-4963-B838-B730E1C3D534,Q5586280,58c8a9bd7c00733d4df2bfbe5a6019a388883527,http://doi.org/10.31826/9781463214814-022,f97efe7a-be70-4ff7-901e-ea6679e696af,2022-04-26T00:00:00Z,11
Q111731368,The State of Contemporary Mainline Protestantism,academic book chapter,9D2CA733-CE29-4CD3-87C9-B2D34752DCD0,Q21481766,84580C91-D8C6-48AC-8230-39C84D8D7ADE,10.7312/HUDN18360-003,4fc11f8c498ede64665af289cebc0d80be4ed2ec,http://doi.org/10.7312/HUDN18360-003,1cc46d62-8aa2-4b76-a581-1162b14aeef7,2022-04-26T00:00:00Z,11,,,,,,,,89F501BA-845C-4DF3-AABD-AFB089F50E36,671bc459-8d73-44a7-9a1e-8cb8e235e41b,2018-12-21T00:00:00Z,11,4fc11f8c498ede64665af289cebc0d80be4ed2ec,http://doi.org/10.7312/HUDN18360-003,fd473944-0b0d-4527-9cc1-04bfc7bcf775,2022-04-26T00:00:00Z,11,71737097-ED3E-4904-8C8C-7DC695704844,The State of Contemporary Mainline Protestantism,4fc11f8c498ede64665af289cebc0d80be4ed2ec,http://doi.org/10.7312/HUDN18360-003,8291ae4c-e9ff-4e78-9ad6-4e65312b0c5d,2022-04-26T00:00:00Z,11,,,,,,,,,,,,,,,5214DCC2-EF87-4A84-8236-23B711391A90,17-58,4fc11f8c498ede64665af289cebc0d80be4ed2ec,http://doi.org/10.7312/HUDN18360-003,3af9fecb-2b6b-4b01-8a4a-a537e4450646,2022-04-26T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,20F1935C-12C6-4988-9E87-98513D66DC7E,Q2080179,4fc11f8c498ede64665af289cebc0d80be4ed2ec,http://doi.org/10.7312/HUDN18360-003,518550d8-57ef-476c-bd46-1b5876f7b3b2,2022-04-26T00:00:00Z,11
Q111731369,"Black Cultural Criticism, the New Politics of Difference, and Religious Criticism",academic book chapter,A4FB2D84-5215-483C-A466-5DB2E69750E7,Q21481766,D12FF963-16C7-45A9-95AB-D4890345AE75,10.7312/KING14542-054,29b23c182eeef822a36be42202ec571539fe3132,http://doi.org/10.7312/KING14542-054,d0e2b832-d992-41d8-a360-a84a4b6c0ded,2022-04-26T00:00:00Z,11,,,,,,,,5BA3FE19-F9D8-4570-9B70-CC4DAD71D4D3,fbbb45d3-1910-48bd-b65e-a4f0692bb8a3,2017-09-06T00:00:00Z,11,29b23c182eeef822a36be42202ec571539fe3132,http://doi.org/10.7312/KING14542-054,740bd029-1431-4018-a6c4-dac5f8423efa,2022-04-26T00:00:00Z,11,7AC3FE2D-F5C0-492E-BEBE-CB30BF3005A0,"Black Cultural Criticism, the New Politics of Difference, and Religious Criticism",29b23c182eeef822a36be42202ec571539fe3132,http://doi.org/10.7312/KING14542-054,960b268b-d730-40ee-8b4f-efc61fd62516,2022-04-26T00:00:00Z,11,,,,,,,,,,,,,,,7D678B59-E671-4845-AD36-04A4BAE0EB28,573-578,29b23c182eeef822a36be42202ec571539fe3132,http://doi.org/10.7312/KING14542-054,96e8cb14-695e-4244-ac40-fc4d784bfee4,2022-04-26T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,38DBC68F-074B-454E-82CE-12972B18F037,Q2080179,29b23c182eeef822a36be42202ec571539fe3132,http://doi.org/10.7312/KING14542-054,e581ad04-6ef4-45e1-89ee-1bf679e71908,2022-04-26T00:00:00Z,11
Q111731370,Theorizing Black Religious Studies: A Genealogy,academic book chapter,74C7852B-EE52-4468-8B7C-8C52884E94E7,Q21481766,65ADC664-A746-4ED7-B028-88C113C045BB,10.7312/KING14542-055,2d42fcd98ea4fcd8256227fd7e8f05dde8066fe4,http://doi.org/10.7312/KING14542-055,7b166e76-2763-47a4-a1b5-87fe4991c94d,2022-04-26T00:00:00Z,11,,,,,,,,001C823B-0E4A-4656-92F5-A6E3125F62F3,911e4f65-3646-4c6e-85c7-0fe21dee6abf,2017-09-06T00:00:00Z,11,2d42fcd98ea4fcd8256227fd7e8f05dde8066fe4,http://doi.org/10.7312/KING14542-055,95e46b37-0dec-4795-abdc-22f2ae196d80,2022-04-26T00:00:00Z,11,0EBC8C24-BA5B-4D0D-A6F9-B1669626A518,Theorizing Black Religious Studies: A Genealogy,2d42fcd98ea4fcd8256227fd7e8f05dde8066fe4,http://doi.org/10.7312/KING14542-055,f3bc74a1-420e-4aae-875e-2b9d28b3c7e1,2022-04-26T00:00:00Z,11,,,,,,,,,,,,,,,A15667E8-AB9C-4B9C-B054-10D0DC5166B4,579-586,2d42fcd98ea4fcd8256227fd7e8f05dde8066fe4,http://doi.org/10.7312/KING14542-055,050cb61c-2657-4664-a11c-f5b8e5253eaf,2022-04-26T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,FD4FC661-9846-4CAF-ACC3-854361F52E40,Q2080179,2d42fcd98ea4fcd8256227fd7e8f05dde8066fe4,http://doi.org/10.7312/KING14542-055,a3821072-adbc-4abf-890b-b4403666dcc3,2022-04-26T00:00:00Z,11
Q111731371,A Field of Study as a Field of Dreams: The Contours of Black Church Studies,academic book chapter,5A6A444C-2E17-4F72-A0FB-37F6E61C97C6,Q21481766,D60704B9-E358-4CE3-949D-9DFBA79C3BC7,10.1057/9781137534552_5,7a00a7cc05d1276ce112184741d522acfc796571,http://doi.org/10.1057/9781137534552_5,649e0673-5ce8-4726-8828-901b4257e2a4,2022-04-26T00:00:00Z,11,,,,,,,,F9E45190-C4A8-475D-951E-BC7428217601,ea0d8078-cd2c-4a9f-bc9c-632762105935,2016-05-23T00:00:00Z,11,7a00a7cc05d1276ce112184741d522acfc796571,http://doi.org/10.1057/9781137534552_5,d64e9d12-3372-4e01-a1e5-9717e2f7bddb,2022-04-26T00:00:00Z,11,E7030A7B-FCBA-4DFF-9CDB-5BFCFD826D9E,A Field of Study as a Field of Dreams: The Contours of Black Church Studies,7a00a7cc05d1276ce112184741d522acfc796571,http://doi.org/10.1057/9781137534552_5,996e67f7-30b0-4197-bd4f-260d60dd4e40,2022-04-26T00:00:00Z,11,,,,,,,,,,,,,,,7081D187-5998-4604-A3F7-381E3CE61DDD,59-67,7a00a7cc05d1276ce112184741d522acfc796571,http://doi.org/10.1057/9781137534552_5,3c1fd9fd-4d21-4da1-916f-e57dfff11e4b,2022-04-26T00:00:00Z,11,,,,,,,,,,,,,,,98C3FEFC-FA00-4D07-B62B-F4BCFB2D3FB7,9781349574223,7a00a7cc05d1276ce112184741d522acfc796571,http://doi.org/10.1057/9781137534552_5,ce739326-199b-47d7-aee9-f26b96428acd,2022-04-26T00:00:00Z,11,87395E4C-2288-4455-990A-B4FD00BCF543,Q1076074,7a00a7cc05d1276ce112184741d522acfc796571,http://doi.org/10.1057/9781137534552_5,960a1320-e5f6-44d3-85b1-473ceb701226,2022-04-26T00:00:00Z,11
Q111731372,Absolute Dependence or Infinite Desire: Subjective Alignment with God in Schleiermacher and Kierkegaard,academic book chapter,1E8CEFBC-0AAD-4AEA-B44A-8FA52657CF66,Q21481766,DB107171-CCC3-49F5-8792-812C7FC9BF70,10.5040/9780567698728.CH-002,13fe05df1830f417f56d3dd033c69e45c2ae58c5,http://doi.org/10.5040/9780567698728.CH-002,40570b47-1d14-41a9-9b95-b95e84266825,2022-04-26T00:00:00Z,11,,,,,,,,C3B5F39C-6896-4B95-886E-4EA33A2B96E9,6bca396e-3c9e-4ede-acdc-24629a83f8ab,2021-03-22T00:00:00Z,11,13fe05df1830f417f56d3dd033c69e45c2ae58c5,http://doi.org/10.5040/9780567698728.CH-002,78aaab79-666d-423c-bdef-a457102f5fc7,2022-04-26T00:00:00Z,11,4E9BD4FE-02DA-435D-A8BD-626E9C9ECF61,Absolute Dependence or Infinite Desire: Subjective Alignment with God in Schleiermacher and Kierkegaard,13fe05df1830f417f56d3dd033c69e45c2ae58c5,http://doi.org/10.5040/9780567698728.CH-002,bf14f87d-7a1c-461f-9619-dab678173420,2022-04-26T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9531C3AD-6B66-457C-8774-7660FA28A227,Q7667718,13fe05df1830f417f56d3dd033c69e45c2ae58c5,http://doi.org/10.5040/9780567698728.CH-002,cd8997c4-0405-4ac5-9cd8-c5a32edf968c,2022-04-26T00:00:00Z,11
Q111731373,African American Churches and Reproductive Health Rights,academic book chapter,EE2C0F9D-0B8F-4581-ACEE-1B04869BA8C1,Q21481766,8AA9D536-04F1-4F48-948E-B3405C0A3F5A,10.2307/J.CTV125JG5X.10,abc52d8125ffdd9f7472a8587af33d26e40d44be,http://doi.org/10.2307/J.CTV125JG5X.10,8e7ff565-a677-44d6-a9f9-eb4ab336479c,2022-04-26T00:00:00Z,11,,,,,,,,96C3FC45-026B-4166-AF71-60762ABFE3CD,f34bdb99-0201-48ca-994f-3aa8c52f4f57,2021-05-12T00:00:00Z,11,abc52d8125ffdd9f7472a8587af33d26e40d44be,http://doi.org/10.2307/J.CTV125JG5X.10,62c78e53-9789-44d5-87a5-53ed15f81ea3,2022-04-26T00:00:00Z,11,D59FA00E-EA17-473E-AB64-C08FD62DDE5F,African American Churches and Reproductive Health Rights,abc52d8125ffdd9f7472a8587af33d26e40d44be,http://doi.org/10.2307/J.CTV125JG5X.10,3b176828-e621-49c9-860a-f75df225b07c,2022-04-26T00:00:00Z,11,,,,,,,,,,,,,,,9AABE803-B503-4973-8304-0FE6FF9F775D,127-143,abc52d8125ffdd9f7472a8587af33d26e40d44be,http://doi.org/10.2307/J.CTV125JG5X.10,29c3744c-e74a-4f7a-ba08-8e965e5a6fb3,2022-04-26T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,F87491BC-8EED-432A-9D7A-C07424D4F305,Q3041095,abc52d8125ffdd9f7472a8587af33d26e40d44be,http://doi.org/10.2307/J.CTV125JG5X.10,1db105f1-daab-4ffb-9d4c-ddd1ca0282a2,2022-04-26T00:00:00Z,11
