qid,label_en,author_string_uuid,author_string,author_string_series_ordinal,author_string_ref1_hash,author_string_ref1_referenceUrl,author_string_ref1_retrieved_nodeId,author_string_ref1_retrieved_val,author_string_ref1_retrieved_prec
Q109407334,Deep solidarity: Broadening the basis of transformation,4B434522-4660-4A3E-A23B-494B56B08521,Rosemarie Henkel-Rieger,2,186331b0e927fcd38765a1b8083194a6ee367a51,http://doi.org/10.4102/HTS.V73I3.4578,89977493-5e3b-4f22-a670-878da8ef4241,2021-11-05T00:00:00Z,11
Q109408542,Interprofessional Simulation for Nursing and Divinity Students: Learning Beyond Checklists,657BC10C-439D-4E26-89BF-EDA28E653491,Jessica VanRegenmorter,3,0f71fdf0e73ae12ef1cc4b1a7e82e9e3c4099d9c,http://doi.org/10.1016/J.ECNS.2019.05.002,001b7fb4-e8f7-430a-b801-0f7c1480c5d9,2021-11-05T00:00:00Z,11
Q109409874,The folklore of state socialism: Semiotics and the study of the Soviet state,F948E5E6-0BD4-49D1-A721-363D1B8E2FDE,Michael E. Urban,1,2c76dddde312619fb0f6fb85270d7a9607006d3c,http://doi.org/10.1080/09668138308411498,2572c835-3145-4292-afa9-13550a8d84dc,2021-11-05T00:00:00Z,11
Q109417472,Empowering Activist Pedagogies in Pastoral Theology: Accountabilities and Transformative Possibilities,4FA82CC7-EF33-4C5D-ACE6-A3FDB2CD454C,K. Samuel Lee,1,a46efe106c8278a97d71c8bd13208845af36f75e,http://doi.org/10.1080/10649867.2018.1453015,87866976-79db-43b4-9d48-25a1682e7832,2021-11-05T00:00:00Z,11
Q109417472,Empowering Activist Pedagogies in Pastoral Theology: Accountabilities and Transformative Possibilities,3F3556F5-A350-4A14-B668-C0257B72DA69,Melinda A. McGarrah Sharp,2,a46efe106c8278a97d71c8bd13208845af36f75e,http://doi.org/10.1080/10649867.2018.1453015,bfd5b65e-b1bc-43c5-96d3-b32eda18c317,2021-11-05T00:00:00Z,11
Q109417534,Responses to the AAR-Teagle White Paper: “The Religious Studies Major in a Post-9/11 World”,C28B7F03-8585-4FDF-A70A-E79026E9EC0C,Jane S. Webster,1,a297c9f53a7f38e5885763d0736f99338bea4f40,http://doi.org/10.1111/J.1467-9647.2010.00673.X,dc5385bc-098c-493c-a835-777d0b2ad5f8,2021-11-05T00:00:00Z,11
Q109417534,Responses to the AAR-Teagle White Paper: “The Religious Studies Major in a Post-9/11 World”,12D766F1-656C-451E-AB7D-DC882005FF76,James J. Buckley,2,a297c9f53a7f38e5885763d0736f99338bea4f40,http://doi.org/10.1111/J.1467-9647.2010.00673.X,3f9bd112-d2a4-47db-963a-bd44e2a9e192,2021-11-05T00:00:00Z,11
Q109417534,Responses to the AAR-Teagle White Paper: “The Religious Studies Major in a Post-9/11 World”,9139718A-E981-4343-9A37-26A3E4F6CCCD,Tim Jensen,3,a297c9f53a7f38e5885763d0736f99338bea4f40,http://doi.org/10.1111/J.1467-9647.2010.00673.X,9db5176c-a673-42f2-ac82-2298ae7177b7,2021-11-05T00:00:00Z,11
Q109417540,Teaching to Transform: From Volatility to Solidarity in an Interdisciplinary Family Studies Classroom*,58A7D319-D306-423D-A9A8-D949F3E4CC5F,Katherine R. Allen,1,2a9a6eb1d96c6e296eec73d71d6446b1cdd93b22,http://doi.org/10.1111/J.1741-3729.2001.00317.X,6bc488fb-e192-4743-a41c-ebbcb617ad9b,2021-11-05T00:00:00Z,11
Q109417540,Teaching to Transform: From Volatility to Solidarity in an Interdisciplinary Family Studies Classroom*,FD2CB7B3-05C5-4742-BA9B-1688AD5FE7D0,Laura Gillman,3,2a9a6eb1d96c6e296eec73d71d6446b1cdd93b22,http://doi.org/10.1111/J.1741-3729.2001.00317.X,fd7b58e0-4e4f-4876-a051-7baac941a885,2021-11-05T00:00:00Z,11
