qid,label_en,author_string_uuid,author_string,author_string_series_ordinal,author_string_ref1_hash,author_string_ref1_referenceUrl,author_string_ref1_retrieved_nodeId,author_string_ref1_retrieved_val,author_string_ref1_retrieved_prec
Q111725127,T&amp;T Clark Handbook of Christian Theology and Climate Change,D0C35D44-0A53-45F4-9317-3D71B82856B1,Ernst M. Conradie,1,56a35b5130e6ddb95dd1776c83d9b6a0fcfb0d3e,http://doi.org/10.5040/9780567675187,13648c4b-2f9e-4e43-b925-292b19d9ccbf,2022-04-25T00:00:00Z,11
Q111725127,T&amp;T Clark Handbook of Christian Theology and Climate Change,063203CE-2A9F-4F3E-8A2F-9B0EA48F9F1D,Hilda P. Koster,2,56a35b5130e6ddb95dd1776c83d9b6a0fcfb0d3e,http://doi.org/10.5040/9780567675187,7012c33d-e4d9-4eb3-977b-dc0de30c61df,2022-04-25T00:00:00Z,11
Q111725136,Encyclopedia of Activism and Social Justice,DDE11833-D664-4F2A-A019-041333D6E3F5,Gary Anderson,1,ad5b09a2e457f1d091b334ca3422eba40a69c835,http://doi.org/10.4135/9781412956215,2aa7ca79-40c6-4e4a-bb90-adc422550130,2022-04-25T00:00:00Z,11
Q111725136,Encyclopedia of Activism and Social Justice,0A40FB18-F26A-42F8-B671-DA5EFA275CA6,Kathryn Herr,2,ad5b09a2e457f1d091b334ca3422eba40a69c835,http://doi.org/10.4135/9781412956215,eb0d5d2d-17ec-4ab1-b730-234950fa2522,2022-04-25T00:00:00Z,11
Q111725139,Interfigural Readings of the Gospel of John,C7746339-E1B1-4D68-8182-FB565EAE8AE8,Ingrid Rosa Kitzberger,1,4a47cf485a9cb9d567781be59a915a3a8eb23be4,http://doi.org/10.2307/J.CTVRS8Z3V,41f18167-0abd-496f-a1ca-1f56a1d17839,2022-04-25T00:00:00Z,11
Q111725144,Prophets and Prophecy in the Ancient Near East,D52C80D5-D1A9-4118-857C-922A2AE01760,Martti Nissinen,1,3975bf86e0cb930afee098ad9810e2e7ba659aa9,http://doi.org/10.2307/J.CTVKWNNG3,ecbb9bd6-5725-4296-b76a-a6f34db0a83e,2022-04-25T00:00:00Z,11
Q111725149,"Ethics That Matters African, Caribbean, and African American Sources",A8377BB2-A764-497E-9D5B-8E3CC1A58480,Noel Leo Erskine,3,94ebff210449aab7b703ee3d5ce4afa5c7f51821,http://doi.org/10.2307/J.CTT22NM96R,992b0893-4448-479d-a2c1-8b2a4285a91d,2022-04-25T00:00:00Z,11
Q111725149,"Ethics That Matters African, Caribbean, and African American Sources",45A669BA-870E-49F6-A156-15AC10FDA5EA,Riggins R. Earl,5,94ebff210449aab7b703ee3d5ce4afa5c7f51821,http://doi.org/10.2307/J.CTT22NM96R,b0e22dce-e193-4175-bb95-b46d0d2228aa,2022-04-25T00:00:00Z,11
Q111725149,"Ethics That Matters African, Caribbean, and African American Sources",037B1913-5036-4712-9467-AD5FAF129828,Rosetta E. Ross,10,94ebff210449aab7b703ee3d5ce4afa5c7f51821,http://doi.org/10.2307/J.CTT22NM96R,f577bf60-6335-407c-86c5-132b92ea1f76,2022-04-25T00:00:00Z,11
Q111725149,"Ethics That Matters African, Caribbean, and African American Sources",14E3FC09-CBDD-4CEB-B103-595AA0C903A9,Barbara A. Holmes,15,94ebff210449aab7b703ee3d5ce4afa5c7f51821,http://doi.org/10.2307/J.CTT22NM96R,a08383db-9c2f-452d-9863-f93dc3d0569d,2022-04-25T00:00:00Z,11
