qid,label_en,author_uuid,author,author_series_ordinal,author_stated_as,author_ref1_hash,author_ref1_referenceUrl,author_ref1_retrieved_nodeId,author_ref1_retrieved_val,author_ref1_retrieved_prec
Q111725149,"Ethics That Matters African, Caribbean, and African American Sources",AA3278AC-8C39-4EDF-8639-E0396212F9ED,Q6537132,8,Lewis V. Baldwin,94ebff210449aab7b703ee3d5ce4afa5c7f51821,http://doi.org/10.2307/J.CTT22NM96R,aab737e4-a698-45a1-89bb-7fdc3b23e845,2022-04-25T00:00:00Z,11
Q111725149,"Ethics That Matters African, Caribbean, and African American Sources",1FF8D767-FDD4-4060-A2B7-CE1EA0E56A2F,Q82775133,13,Victor Anderson,94ebff210449aab7b703ee3d5ce4afa5c7f51821,http://doi.org/10.2307/J.CTT22NM96R,9accf112-9b5b-48ab-a344-c5f049a8d9c3,2022-04-25T00:00:00Z,11
Q111725149,"Ethics That Matters African, Caribbean, and African American Sources",B62B038A-2E47-41C7-B4B0-50B40C198B8A,Q29447340,14,Emilie M. Townes,94ebff210449aab7b703ee3d5ce4afa5c7f51821,http://doi.org/10.2307/J.CTT22NM96R,759b8e42-e40e-4dbc-a38f-b287db4f1491,2022-04-25T00:00:00Z,11
Q111725101,Planetary Loves,27DFEB89-41AF-488D-BFF3-CB01047FF87C,Q107279588,1,Stephen D. Moore,3d1b36dcae20c6570397774b869fa855c9635257,https://doi.org/10.5422/FSO/9780823233250.001.0001,dea57aa0-12b6-483a-a506-7ce06f3f4b3f,2022-04-25T00:00:00Z,11
Q111725101,Planetary Loves,8354A3D8-4AB9-430D-9A84-E7DD3DE4DD37,Q90694961,2,Mayra Rivera,3d1b36dcae20c6570397774b869fa855c9635257,https://doi.org/10.5422/FSO/9780823233250.001.0001,68d38902-a9a8-459d-8014-a267b01279d0,2022-04-25T00:00:00Z,11
Q111725149,"Ethics That Matters African, Caribbean, and African American Sources",FE28A213-68E9-4D4D-854A-199875C62382,Q4772041,1,Anthony B. Pinn,17008bc2300d5fb78dcc32cc8c60a54bc510d8d1,https://doi.org/10.2307/J.CTT22NM96R,485d3c8c-5b32-4f8f-8610-aa3ad6b10bd9,2022-04-25T00:00:00Z,11
Q111725149,"Ethics That Matters African, Caribbean, and African American Sources",76DD1EE1-715D-459B-9979-CF8AF7793561,Q6377445,2,Katie Geneva Cannon,17008bc2300d5fb78dcc32cc8c60a54bc510d8d1,https://doi.org/10.2307/J.CTT22NM96R,216e0c51-06f0-485e-b88f-809705911201,2022-04-25T00:00:00Z,11
Q111725149,"Ethics That Matters African, Caribbean, and African American Sources",069F2FD9-2E35-4E97-ADF4-5B36AD755933,Q6118830,4,Jacob K. Olupona,17008bc2300d5fb78dcc32cc8c60a54bc510d8d1,https://doi.org/10.2307/J.CTT22NM96R,ac094dd0-b15a-41d4-83c0-d9626c5f198c,2022-04-25T00:00:00Z,11
Q111725149,"Ethics That Matters African, Caribbean, and African American Sources",1D848E71-879E-4297-A641-1F43A6E9854C,Q3806509,6,James H. Cone,17008bc2300d5fb78dcc32cc8c60a54bc510d8d1,https://doi.org/10.2307/J.CTT22NM96R,45ccc71b-7b89-41d7-8050-f06112cf98d2,2022-04-25T00:00:00Z,11
Q111725149,"Ethics That Matters African, Caribbean, and African American Sources",1FEF98DC-5A63-4213-8A93-E5C5576B1F83,Q5318184,7,Dwight N. Hopkins,17008bc2300d5fb78dcc32cc8c60a54bc510d8d1,https://doi.org/10.2307/J.CTT22NM96R,6a1e58b6-7cb7-4978-8d26-0fe77552ac2f,2022-04-25T00:00:00Z,11
Q111725149,"Ethics That Matters African, Caribbean, and African American Sources",8DECE742-E0B9-458F-A7F2-007646281CE1,Q29833941,9,Jonathan L. Walton,17008bc2300d5fb78dcc32cc8c60a54bc510d8d1,https://doi.org/10.2307/J.CTT22NM96R,d1aaf4bf-cbf6-4725-92ba-9b098c68e69b,2022-04-25T00:00:00Z,11
Q111725149,"Ethics That Matters African, Caribbean, and African American Sources",808EB3E0-FF54-4C9A-948A-685E9AAF9E2A,Q78268416,11,Traci C. West,17008bc2300d5fb78dcc32cc8c60a54bc510d8d1,https://doi.org/10.2307/J.CTT22NM96R,92c9587f-9211-4eb9-8dd1-d4c1c176a48a,2022-04-25T00:00:00Z,11
Q111725149,"Ethics That Matters African, Caribbean, and African American Sources",8D071E11-573D-455A-B10D-228BCFC2C403,Q87716500,12,Melanie L. Harris,17008bc2300d5fb78dcc32cc8c60a54bc510d8d1,https://doi.org/10.2307/J.CTT22NM96R,1f478232-9c75-4a8b-a750-7bc869b67f32,2022-04-25T00:00:00Z,11
