qid,label_en,author_uuid,author,author_series_ordinal,author_stated_as,author_ref1_hash,author_ref1_referenceUrl,author_ref1_retrieved_nodeId,author_ref1_retrieved_val,author_ref1_retrieved_prec
Q111731363,"“But to know it as we shou'd do”: Enthusiasm, Historicizing of the Charismata, and Cessationism in Enlightenment England",7A7350C5-1587-4E0E-9B95-492D850D0A6B,Q53901122,1,PAUL C. H. LIM,b2d0052ebc105bc7a1ae4da469d74b470ace9de6,http://doi.org/10.2307/J.CTVPJ7BGB.14,4f9abb26-4bc6-4193-ab67-a920c3c7cc55,2022-04-26T00:00:00Z,11
Q111731364,"“I Am Black and Beautiful, O Ye Daughters of Jerusalem …”: African American Virtue Ethics and a Womanist Hermeneutics of Redemption",E6A16065-F8E0-4DB4-8F8B-19E48FEE79FB,Q7595851,1,Stacey M. Floyd-Thomas,3df336453e4338371db3750fc6bb4ce405ca6494,http://doi.org/10.1057/9780230610507_4,28b6e4b0-de88-4bd8-95e1-56b7938a9b04,2022-04-26T00:00:00Z,11
Q111731365,"“Lest We Be Scattered Abroad”: Nimrod, Marcus Garvey, and Black Religious Humanism in Harlem",1345192D-1C1F-4AE4-9EC5-ED5E27C1C735,Q83500331,1,Juan M. Floyd-Thomas,9cfea04688a57bfd9bd51b73eaf080bcf8fb8819,http://doi.org/10.1057/9780230610507_5,bb2fa503-a944-4806-901e-1c2ed94eea02,2022-04-26T00:00:00Z,11
Q111731366,"“Though He cannot be eaten, we consume Him”: Appeals to Liturgical Practice in the Christological Polemic of Philoxenos of Mabbug",A7FFACDD-619A-42EE-95FF-60A532F771B6,Q83260986,1,David Michelson,58c8a9bd7c00733d4df2bfbe5a6019a388883527,http://doi.org/10.31826/9781463214814-022,19ea09ff-7e5f-46f9-81be-569597ee3d33,2022-04-26T00:00:00Z,11
Q111731368,The State of Contemporary Mainline Protestantism,A7BFEB60-EA07-49D2-8B34-9F2BF538F7D4,Q83505867,1,Graham Reside,4fc11f8c498ede64665af289cebc0d80be4ed2ec,http://doi.org/10.7312/HUDN18360-003,1a49cf38-420d-414a-8bf1-2da4eebd4ffd,2022-04-26T00:00:00Z,11
Q111731369,"Black Cultural Criticism, the New Politics of Difference, and Religious Criticism",2F79C0DA-6FDE-4EA1-BE58-D7A7C19D9EF0,Q82775133,1,Victor Anderson,29b23c182eeef822a36be42202ec571539fe3132,http://doi.org/10.7312/KING14542-054,8c3e7658-2bf4-43c7-a4b6-ed4815a30f5f,2022-04-26T00:00:00Z,11
Q111731370,Theorizing Black Religious Studies: A Genealogy,182DFC68-1E93-40E7-86CF-669776E3C155,Q82775133,1,Victor Anderson,2d42fcd98ea4fcd8256227fd7e8f05dde8066fe4,http://doi.org/10.7312/KING14542-055,8cf82ff1-5bbf-4893-ad5b-86419d5b5ad4,2022-04-26T00:00:00Z,11
Q111731371,A Field of Study as a Field of Dreams: The Contours of Black Church Studies,FEFFD6D0-2526-43D6-A8CE-934C104CF064,Q7595851,1,Stacey M. Floyd-Thomas,7a00a7cc05d1276ce112184741d522acfc796571,http://doi.org/10.1057/9781137534552_5,c1550fb6-d9be-4235-9042-6b8d3711273e,2022-04-26T00:00:00Z,11
Q111731372,Absolute Dependence or Infinite Desire: Subjective Alignment with God in Schleiermacher and Kierkegaard,3DE0DEB5-BF9E-4DDA-917B-10A8649F995F,Q83500325,1,Paul DeHart,13fe05df1830f417f56d3dd033c69e45c2ae58c5,http://doi.org/10.5040/9780567698728.CH-002,2fbe70a2-5c87-4a67-852c-9a82f1032c06,2022-04-26T00:00:00Z,11
Q111731373,African American Churches and Reproductive Health Rights,BFC9A398-8AF3-4E06-BDA8-BEDB586B0F74,Q29447340,1,Emilie M. Townes,abc52d8125ffdd9f7472a8587af33d26e40d44be,http://doi.org/10.2307/J.CTV125JG5X.10,0875aa53-0b7e-4b59-bbe3-2fd015c6fc7e,2022-04-26T00:00:00Z,11
