FACULTY,CHAPTERS,DOI,doi,BOOK TITLE,YEAR,PUBLISHER,NOTES
Ellen Armour,,https://doi.org/10.7312/armo17248,10.7312/armo17248,Signs and Wonders: Religion After Modernity.,2016,Columbia University Press,
Juan Floyd-Thomas,,https://doi.org/10.1057/9780230615823,10.1057/9780230615823,The Origins of Black Humanism in America: Reverend Ethelred Brown and the Unitarian Church,2008,Palgrave Macmillan,
Paul Lim,,https://doi.org/10.1093/acprof:oso/9780195339468.001.0001,10.1093/acprof:oso/9780195339468.001.0001,Mystery Unveiled: The Crisis of the Trinity in Early Modern England.,2012,oxford University Press,
Paul Lim,,https://doi.org/10.1163/9789047405214,10.1163/9789047405214,"In Pursuit of Purity, Unity, and Liberty",2004,Brill,
Herbert Marbury,,https://doi.org/10.18574/nyu/9781479835966.001.0001,10.18574/nyu/9781479835966.001.0001,Pillars of Cloud and Fire: The Politics of Exodus in the African American Quest for Freedom,2015,New York University Press,
David Michelson,,https://doi.org/10.1093/acprof:oso/9780198722960.001.0001,10.1093/acprof:oso/9780198722960.001.0001,The Practical Christology of Philoxenos of Mabbug,2014,oxford University Press,
Joerg Rieger,,https://doi.org/10.1007/978-1-137-56844-1,10.1007/978-1-137-56844-1,Religious Experience and New Materialism,2016,Palgrave Macmillan,
Joerg Rieger,,https://doi.org/10.1093/019516119X.001.0001,10.1093/019516119X.001.0001,Opting for the Margins: Postmodernity and Liberation in Christian Theology,2003,Oxford University Press,
Joerg Rieger,,https://doi.org/10.2307/j.ctv1hqdj3m.3,10.2307/j.ctv1hqdj3m.3,Empire and the Christian Tradition: New Readings of Classical Theologians,2007,fortress Press,book url https://www-jstor-org.proxy.library.vanderbilt.edu/stable/j.ctv1hqdj3m
Joerg Rieger,,https://doi.org/10.1057/9781137339249,10.1057/9781137339249,"Religion, Theology, and Class: Fresh Engagements after Long Silence",2013,palgrave Macmillan,
Fernando Segovia,,https://doi.org/10.2307/j.ctt9qh241,10.2307/j.ctt9qh241,"Latino/a Biblical Hermeneutics: Problematics, Objectives, Strategies",2014,sbl Press,
Fernando Segovia,,https://doi.org/10.2307/j.ctt32c046,10.2307/j.ctt32c046,The Future of the Biblical Past,2012,SBL Press,
Fernando Segovia,,https://doi.org/10.2307/j.ctv1fx4hdx,10.2307/j.ctv1fx4hdx,They Were All Together in One Place? Toward Minority Biblical Criticism,2009,SBL Press,
