author,journal_article,journal_title,volume,issue,pages,publication_year ,doi
Joerg Rieger,Christianity and Empire,Religion Compass ,9,,1-8,2015,10.1111/rec3.12158
B. Miller-McLemore,Also a pastoral theologian: in pursuit of dynamic theology (or: meditations from a recalcitrant heart),Pastoral Psychology,59,6,813-828,2010,10.1007/s11089-010-0273-z
Sandra L. Baners,Black Church Giving,Sage Open,3,2,2158244013490706,2013,10.1177/2158244013490706
Joerg Rieger,Book review of Just Capitalism: A Christian Ethic of Globalization by Brent Waters. ,Journal of Church and State,,,,2017,10.1093/jcs/csx097
,Deep solidarity: Broadening the basis of transformation,HTS Teologiese Studies,73,3,,2017,10.4102/hts.v73i3.4578
Joerg Rieger,"Empire, Deep Solidarity, and the Future of Liberation Theology.","Twenty-Fifth Anniversary of
the Centre for Liberation Theologies",,,,2013,10.1080/1462317X.2017.1311060
,The Touch of Transcendence: A Postcolonial Theology of God – By Mayra Rivera (book review),Religious Studies Review,35,3,162,2009,10.1111/j.1748-0922.2009.01360_24.x
Joerg Rieger,"Book review of: Thia Cooper, Controversies in Political Theology: Development or Liberation?",Religious Studies Review ,35,3,156-157,2009,10.1111/j.1748-0922.2009.01360_6.x
Joerg Rieger,"Book review of Paul Chung, Karl Barth: God’s Word in Action",Religious Studies Review ,36,3,211,2010,10.1111/j.1748-0922.2010.01443_8.x
Joerg Rieger,"Book review of: Jeff Astley, Ordinary Theology: Looking, Listening and Learning in Theology.",Religious Studies Review ,31,3-4,186,2005,10.1111/j.1748-0922.2005.0015.x
Joerg Rieger,"“Occupy Heaven! Are God, Religion, and Politics beyond Rescue?” Resistance and Visions: Postcolonial, Post-secular and Queer Contributions to Theology and the Study of Religions.",Journal of the European Society of Women in Theological Research ,,,105-117,2014,10.2143/ESWTR.22.0.3040793
,The Ethics of Wealth in a World of Economic Inequality: A Christian Perspective in a Buddhist-Christian Dialogue,Buddhist-Christian Studies,33,,153-162,2013,10.1353/bcs.2013.0018
B. Miller-McLemore,Assessing Spiritual Needs: A Guide for Caregivers; Spiritual Assessment in Pastoral Care: A Guide to Selected Resources,The Journal of Pastoral Care,48,4,415-416,1994,10.1177/002234099404800416
B. Miller-McLemore,"Blessed Are the Poor: Women's Poverty, Family Policy, and Practical Theology",The Journal of Religion,73,1,109-110,1993,10.1086/489078
Joerg Rieger,"Book review of: Stephen Sykes, Power and Christian Theology. ",Religious Studies Review ,35,3,163,2009,10.1111/j.1748-0922.2009.01360_28.x
Joerg Rieger,Power and Empire in the Study of Nineteenth-Century Theology: The Case of Schleiermacher,"Journal for the History of Modern Theology/Zeitschrift für neuere
Theologiegeschichte ",20,1,44-60,2013,10.1515/znth-2013-0004
Joerg Rieger,Book review of Radikale Theologie by Ingolf U. Dalferth. ,Religious Studies Review ,38,2,75-76,2012,10.1111/j.1748-0922.2012.01596_11.x
Joerg Rieger,Re-envisioning Ecotheology and the Divine from the Margins.,Ecotheology,9,1,65-85,2004,10.1558/ecot.9.1.65.36243
,"Notes on Recent Publications - Ordinary Theology: Looking, Listening and Learning in Theology , Jeff Astley (book review)",Religious Studies Review,31,3-4,179-232,2006,10.1111/j.1748-0922.2005.0015.x
Joerg Rieger,Religion and Class.,"Class, Race and Corporate Power ",4,1,,2016,10.25148/CRCP.4.1.16092142
Joerg Rieger,"Book review of: Ulrich Duchrow, Reinhold Bianchi, René Krüger, Vincenzo Petracca, Solidarisch Mensch werden: Psychische und soziale Destruktion im Neoliberalismus—Wege zu ihrer Überwindung. ",Religious Studies Review ,32,2,132,2007,10.1111/j.1748-0922.2007.00171_47.x
Joerg Rieger,The Economy is Expanding: Theology to the Rescue.,Religious Studies Review ,28,3,215-220,2002,10.1111/j.1748-0922.2002.tb00381.x
Joerg Rieger,"Book review of: Christopher J. Insole, The Politics of Human Frailty: A Theological Defence ofPolitical Liberalism. ",Religious Studies Review ,33,3,225,2007,10.1111/j.1748-0922.2007.00200_42.x
,Book Review of Divine Currency: The Theological Power of Money in the West,Political Theology,21-Jan,1-2,162-163,2020,10.1080/1462317X.2020.1734282
Joerg Rieger,"The Turning of the Tide: Theology, Religion, and Economics.",Dialog: A Journal of Theology,52,1,29-36,2013,10.1111/dial.12007
Joerg Rieger,"Book review of: M. Douglas Meeks, ed., Wesleyan Perspectives on the New Creation. ",Religious Studies Review ,33,3,225,2007,10.1111/j.1748-0922.2007.00200_41.x
,The Cambridge companion to liberation theology (Book review).,Theology Today,57,1,145-146,2000,10.1177/004057360005700130
Joerg Rieger,"Extended review essay of Jon Sobrino, Where is God? Earthquake, Terrorism, Barbarity, and Hope. ",Theology Today ,63,2,242-245,2006,10.1177/004057360606300213
,The Suffering of Economic Injustice: A Response to Ulrich Duchrow and David Loy,Buddhist-Christian Studies,34,,51-55,4014,10.1353/bcs.2014.0032
,"Religion, Labor, Class, and Justice: Buddhist—Christian Dialogue in Fresh Perspective",Buddhist-Christian Studies,39,1,133-146,2019,10.1353/bcs.2019.0011
,Occupy Religion: Theology of the Multitude and Interreligious Dialogue,Buddhist-Christian Studies,34,,167-172,2014,10.1353/bcs.2014.0023
,Theology and mission between neocolonialism and postcolonialism,Mission Studies,21,2,201-227,2004,10.1163/1573383042653677
,"Is Political and Intercultural Theology Real Theology, and Why Should Anyone Care?",Interreligious Studies and Intercultural Theology,2,2,141-154,2018,10.1558/37326
,Book Review: With the Grain of the Universe: The Church's Witness and Natural Theology.,Interpretation,56,3,324-326,2002,10.1177/002096430005600312
,Theologie aus asiatischen Quellen: der theologische Weg Choan-Seng Songs vor dem Hintergrund der asiatischen ökumenischen Diskussion (Book review),Interpretation,50,3,332-333,1996,10.1177/002096439605000334
,Capitalism and Christian theology,Religion Compass ,14,5,,2020,10.1111/rec3.12350
,Engaging whiteness (more) constructively: Conversations with James Cone and Frederick Herzog on the future of race and class in theology,Review & Expositor,117,1,58-71,2020,10.1177/0034637320903301
,Hoping against Hope: Dealing with Hopelessness in Ancient Times and Today †,Religions,11,7,,2020,10.3390/rel11070331
,Restructuring Interreligious Dialogue from the Bottom Up through the Lenses of Deep Solidarity and the Multitude,The Ecumenical Review,71,5,628-641,2019,10.1111/erev.12468
,Protestants and giving: The tithes that bind?,New Directions for Philanthropic Fundraising,1995,7,79-89,1995,10.1002/pf.41219950707
Jay Geller,"Idols, Fetishes and Foreskins : The Other of Religion",Religion ,27,2,117-121,1997,10.1006/reli.1997.0070
Douglas A. Knight,Academic freedom and the plight of German theological studies,Religion,32,2,107-112,2002,10.1006/reli.2002.0417
,The Gentilemen's Agreement,Religion,32,2,119-123,2002,10.1006/reli.2002.0419
B. Miller-McLemore,Thinking theologically about modern medicine,Journal of Religion and Health,30,4,287-298,1991,10.1007/BF00986900
B. Miller-McLemore,Giving Birth: Reclaiming Biblical Metaphor for Pastoral Practice,Pastoral Psychology,43,6,436-438,1995,10.1007/BF02282632
Douglas M. Meeks,Comment,Forum for Social Economics,25,1,33-36,1995,10.1007/BF02779045
B. Miller-McLemore,Wisdom in pastoral care and counseling: what does it entail?,Pastoral Psychology,55,2,217-222,2006,10.1007/s11089-006-0037-y
,Seeing Things Differently and Not Being Looked At,Pastoral Psychology,58,5-6,551-562,2009,10.1007/s11089-009-0237-3
B. Miller-McLemore,"The royal road: children, play, and the religious life",Pastoral Psychology,58,5-6,505-519,2009,10.1007/s11089-009-0241-7
Bonnie Miller-McLimore,Also a pastoral theologian: in pursuit of dynamic theology (or: meditations from a recalcitrant heart),Pastoral Psychology,59,2,813-828,2010,10.1007/s11089-010-0273-z
,Resistance to Women in Ministry and the Psychodynamics of Sadness,Pastoral Psychology,59,6,769-781,2010,10.1007/s11089-010-0299-2
B. Miller-McLemore,Tribute to Don S. Browning (1934–2010),Pastoral Psychology,60,1,1-6,2011,10.1007/s11089-010-0319-2
,Revisiting Forgiveness as a Pastoral Theological “Problem”,Pastoral Psychology,61,4,435-450,2012,10.1007/s11089-012-0435-2
B. Miller-McLemore,"Embodied knowing, embodied theology: what happened to the body?",Pastoral Psychology,62,5,743-758,2013,10.1007/s11089-013-0510-3
Jaco J. Hamman,On Getting away with It: Jesus and the Temptation in the Desert,Pastoral Psychology,62,5,671-686,2013,10.1007/s11089-013-0511-2
,The Memory of Feeling: Envy and Happiness,Pastoral Psychology,64,4,437-352,2015,10.1007/s11089-013-0555-3
,Blessed Are Those Who Mourn: Depression as Political Resistance,Pastoral Psychology,63,4,503-522,2014,10.1007/s11089-013-0576-y
,A Review of Kirk A. Bingaman’s The Power of Neuroplasticity for Pastoral and Spiritual Care,Pastoral Psychology,64,6,899-901,2015,10.1007/s11089-015-0668-y
,Getting it Write: On the Craft of Academic Writing,Pastoral Psychology,65,6,803-820,2016,10.1007/s11089-016-0707-3
,"The Organ of Tactility: Fantasy, Image, and Male Masturbation",Pastoral Psychology,67,,627-653,2018,10.1007/s11089-017-0797-6
,The Living Human Web: A Twenty-five Year Retrospective,Pastoral Psychology,67,3,305-321,2018,10.1007/s11089-018-0811-7
,“I’m the King of Debt”: Pastoral Reflections on Debt in the Age of Trump,Pastoral Psychology,68,5,511-532,2019,10.1007/s11089-018-0847-8
,The  psychodynamics of conversion: Winnicottian  perspectives on  the transformation  of Job,Pastoral Psychology,69,4,361-382,2020,10.1007/s11089-020-00910-9
,Toys: a Man Has His Reasons. Winnicottian Perspectives on the Playing of Men,Pastoral Psychology,70,1,87-106,2021,10.1007/s11089-021-00937-6
Sandra L. Baners,The Least of These: Black Church Children's and Youth Outreach Efforts,Journal of African American Studies,12,2,97-119,2008,10.1007/s12111-008-9035-8
Sandra L. Baners,"Theological, Denominational, and Organizational Influences on Ecumenical Involvement between Black and White Churches",Journal of African American Studies,14,1,1-20,2010,10.1007/s12111-009-9086-5
Sandra L. Baners,Black Megachurches: Social Gospel Usage and Community Empowerment,Journal of African American Studies,15,2,177-198,2011,10.1007/s12111-010-9148-8
"Oluchi Nwosu, Sandra L. Barners",Black Church Electoral and Protest Politics from 2002 to 2012: a Social Media Analysis of the Resistance Versus Accommodation Dialectic,Journal of African American Studies,18,2,209-235,2014,10.1007/s12111-013-9263-4
Sandra L. Baners,"To Educate, Equip, and Empower: Black Church Sponsorship of Tutoring or Literary Programs",Review of Religious Research,57,1,111-129,2015,10.1007/s13644-014-0173-2
,Interprofessional Simulation for Nursing and Divinity Students: Learning Beyond Checklists,Clinical Simulation in Nursing,35,,10-16,2019,10.1016/j.ecns.2019.05.002
Sandra L. Baners,"Too Poor to Get Sick? The Implications of Place, Race, and Costs on the Health Care Experiences of Residents in Poor Urban Neighborhoods",Research in the Sociology of Health Care,,,47-64,2004,10.1016/S0275-4959(04)22003-8
,"Review of The Devil's Book: Charles I, the Book of Sports and Puritanism in Tudor and Early Stuart England by Alistair Dougall",Journal of British Studies,52,3,755-757,2013,10.1017/jbr.2013.70
Jay Geller,Hitler's Monsters: A Supernatural History of the Third Reich. By Eric Kurlander.,Central European History,51,2,325-327,2018,10.1017/S000893891800047X
Jame P. Byrd,Baptists in America,Church History,77,3,778-780,2008,10.1017/S0009640708001509
,Cotton Mather and Biblia Americana: America's first Bible commentary: essays in reappraisal,Church History,82,2,463-465,2013,10.1017/S000964071300036X
,The Syro-Palestinian context of Solomon's dream,Harvard Theological Review,77,2,141-152,1984,10.1017/S0017816000014267
,Review of Reason and religion in the English Revolution. The challenge of Socinianism. By Sarah Mortimer.,Journal of Ecclesiastical History,64,4,855-857,2013,10.1017/S002204691300119X
,The word of the Lord': liturgy's use of scripture,Horizons,29,2,366-367,2002,10.1017/S0360966900010318
B. Miller-McLemore,The Moral Revolution: A Christian Humanist Vision,Horizons,16,2,402-403,1989,10.1017/S0360966900040883
,"The Rod of Discipline: Masochism, Sadism, and the Judeo-Christian Religion",Journal of Religion and Health,39,4,319-328,2000,10.1023/A:1010356918097
,The search to be real: Why psychotherapists become therapists,Journal of Religion and Health,40,,343-357,2001,10.1023/A:1012516915840
"John Wall, B. Miller-McLemore",Marital therapy caught between person and public: Christian traditions on marriage,Pastoral Psychology,50,4,259-280,2002,10.1023/A:1014070029176
B. Miller-McLemore,The Ontological Status of God and Other Small Questions,Pastoral Psychology,47,3,165-174,1999,10.1023/A:1021366404868
B. Miller-McLemore,Theology and pastoral counseling: a new interdisciplinary approach,Pastoral Psychology,46,4,301-304,1998,10.1023/A:1023032503927
B. Miller-McLemore,"Faith, Family, and Feminism : Irreconcilable Differences?",Pastoral Psychology,46,2,107-118,1997,10.1023/A:1024881319281
,The Burning of Rebellious Thoughts: MOVE as Revolutionary Black Humanism,The Black Scholar,32,1,11-21,2002,10.1080/00064246.2002.11431166
