FACULTY,title,doi,BOOK TITLE,YEAR,PUBLISHER,,
Victor Anderson,,10.2307/j.ctv513ds2,Revives My Soul Again: The Spirituality of Martin Luther King Jr,2018,Fortress Press,,
Victor Anderson,Introduction,10.2307/j.ctv513ds2.6,Revives My Soul Again: The Spirituality of Martin Luther King Jr,2018,Fortress Press,,
Victor Anderson,"Blessed Assurance: Martin Luther King, Jr. and the Consolation of the Soul",10.2307/j.ctv513ds2.7,Revives My Soul Again: The Spirituality of Martin Luther King Jr,2018,Fortress Press,,
Victor Anderson,The Promptings of Some Beneficent Force:,10.2307/j.ctv513ds2.9,Revives My Soul Again: The Spirituality of Martin Luther King Jr,2018,Fortress Press,,
Victor Anderson,,10.5040/9781474287678,Beyond Ontological Blackness: An Essay on African American Religious and Cultural Crticism,2016,Bloomsbury,,
Victor Anderson,Introduction,10.5040/9781474287678.0005,Beyond Ontological Blackness: An Essay on African American Religious and Cultural Crticism,2016,Bloomsbury,,
Victor Anderson,Chapter 1. The Religious Functions of Cultural Criticism,10.5040/9781474287678.ch-001,Beyond Ontological Blackness: An Essay on African American Religious and Cultural Crticism,2016,Bloomsbury,,
Victor Anderson,Chapter 2. Categorical Racism and Racial Apologetics,10.5040/9781474287678.ch-002,Beyond Ontological Blackness: An Essay on African American Religious and Cultural Crticism,2016,Bloomsbury,,
Victor Anderson,Ontological Blackness in Theology,10.5040/9781474287678.ch-003,Beyond Ontological Blackness: An Essay on African American Religious and Cultural Crticism,2016,Bloomsbury,,
Victor Anderson,Explicating and Displacing Ontological Blackness : The Heroic and Grotesque in African American Cultural and Religious Criticism,10.5040/9781474287678.ch-004,Beyond Ontological Blackness: An Essay on African American Religious and Cultural Crticism,2016,Bloomsbury,,
Victor Anderson,Epilogue,10.5040/9781474287678.0006,Beyond Ontological Blackness: An Essay on African American Religious and Cultural Crticism,2016,Bloomsbury,,
Victor Anderson,Pragmatic Naturalism and Public Theology: A Version of Religious Naturalism,10.4324/9781315228907-16,Handbook on Religious Naturalism,2018,Routledge,,
Victor Anderson,For the Beauty of the World: Vision and Moral Order in Martin Luther King’s World House,10.2307/j.ctvfxv9j2.6,"Reclaiming the Great World House: The Global Vision of
Martin Luther King Jr",2019,University of Georgia Press,,
Victor Anderson,Black Cultural Criticism: The New Politics of Difference and Religious Criticism,10.7312/king14542-054,Theory/Religion/Critique: Classical and Contemporary Approaches,2017,Columbia University Press,,
Victor Anderson,Theorizing Black Religious Studies: A Genealogy,10.7312/king14542-055,Theory/Religion/Critique: Classical and Contemporary Approaches,2017,Columbia University Press,,
Victor Anderson,Black Ontology and Theology,10.1093/oxfordhb/9780199755653.013.0028,The Oxford Handbook of African American Theology,2014,Oxford University Press,,
Victor Anderson,The mimesis of salvation and dissimilitude in the scandalous gospel of Jesus,10.4324/9780203106129-21,Christology and Whiteness,2012,Routledge,,
Victor Anderson,An American Public Theology in the Absence of Giants: Creative Conflict and Democratic Longings,10.2307/j.ctt22nm96r.20,"Ethics that Matters: African, Caribbean, and African American Sources",2012,Fortress Press,,
Victor Anderson,The Black Church and the Curious Body of the Black Homosexual,10.1057/9781403980342_17,Loving the Black Body: Black Religious Studies and the Erotic,2004,Palgrave,,
Victor Anderson,African American Religious Ethics,10.1002/9781444367072.wbiee363,"International Encyclopedia of Ethics,",2013,Wiley,,
Ellen Armour,,10.7312/armo17248,Signs and Wonders: Religion After Modernity.,2016,Columbia University Press,,
Ellen Armour,Introduction,10.7312/armo17248-002,Signs and Wonders: Religion After Modernity.,2016,Columbia University Press,,
Ellen Armour,Man and His Others,10.7312/armo17248-003,Signs and Wonders: Religion After Modernity.,2016,Columbia University Press,,
Ellen Armour,Photography and/as Bio-Discipline,10.7312/armo17248-004,Signs and Wonders: Religion After Modernity.,2016,Columbia University Press,,
Ellen Armour,Bio-Discipline and Globalization,10.7312/armo17248-005,Signs and Wonders: Religion After Modernity.,2016,Columbia University Press,,
Ellen Armour,Regarding the Photographs of Others,10.7312/armo17248-006,Signs and Wonders: Religion After Modernity.,2016,Columbia University Press,,
Ellen Armour,Bio-Discipline and the Right of Life,10.7312/armo17248-007,Signs and Wonders: Religion After Modernity.,2016,Columbia University Press,,
Ellen Armour,The perfect Storm,10.7312/armo17248-008,Signs and Wonders: Religion After Modernity.,2016,Columbia University Press,,
Ellen Armour,Conclusion,10.7312/armo17248-009,Signs and Wonders: Religion After Modernity.,2016,Columbia University Press,,
Ellen Armour,"Decolonizing Spectatorship: Photography, Theology, and the New Media",10.2307/j.ctv1m46fsx.9,"Beyond Man: Race, Coloniality and the Philosophy of Religion",2011,Duke University Press,https://doi.org/10.1215/9781478021339-006,https://doi.org/10.1515/9781478021339-007
Ellen Armour,Reponsi/ability After Derrida,10.5422/fordham/9780823249923.003.0007,Living Together: Jacques Derrida’s Communities of Peace and Violence,2012,Fordham University Press,,
Ellen Armour,Visual Theology: Diagnosing Postmodernity,10.4324/9781315261676-21,Between Philosophy and Theology: Contemporary Interpretations of Christianity,2011,Ashgate Press,,
Ellen Armour,"Beyond the God/Man Duo: Globalization, Feminist Theology, and Religious Subjectivity",/9780199273881.003.0018,The Oxford Handbook of Feminist Theology,2011,Oxford University Press,,
Ellen Armour,Planetary Sightings? Negotiating Sexual Differences in Globalization’s Shadow,10.5422/fso/9780823233250.003.0013,"Planetary Loves: Postcoloniality, Gender and Theology",2010,Fordham University Press,,
Ellen Armour,Divining Differences: Irigaray and Religion,10.4324/9781315010823-4,Religion in French Feminist Thought,2003,Routledge,,
Ellen Armour,Queering the Subject.” Invited Contribution to “Forum on Teaching,10.1558/bsor.v39i4.003,Bulletin for the Study of Religion,2010,,,
Ellen Armour,"Performative, Queer Theories of Religion: Judith Butler",10.5040/9781350023772.ch-009,Cultural Approaches to Studying Religion: An Introduction to Theories and Methods,2019,Bloomsbury,,
Ellen Armour,Christianity and Sexuality,10.1007/978-1-4614-6086-2_9040, Encyclopedia of Psychology and Religion,2013,Springer,,
Ellen Armour,God,10.2307/j.ctv1hqdhmw.6,Constructive Theology: A Contemporary Approach to Classical Themes,2004,Fortress Press,,
Annalisa Azzoni,,10.1515/9781575068589,The Private Lives of Women in Persian Egypt,2013,Eisenbrauns,https://doi.org/10.5325/j.ctv1bxgxt8,
Annalisa Azzoni,Introduction,10.5325/j.ctv1bxgxt8.4,,2013,Eisenbrauns,,
Annalisa Azzoni,The Transition from Daughter to Wife,10.1515/9781575068589-003,,2013,Eisenbrauns,,
Annalisa Azzoni,The Rights and Duties of a Wife,10.1515/9781575068589-004,,2013,Eisenbrauns,,
Annalisa Azzoni,Matrimonial Property,10.5325/j.ctv1bxgxt8.7,,2013,Eisenbrauns,,
Annalisa Azzoni,The Law of Divorce,10.1515/9781575068589-006,,2013,Eisenbrauns,,
Annalisa Azzoni,Women's Legal Capacity and Activity,10.1515/9781575068589-007,,2013,Eisenbrauns,,
Annalisa Azzoni,Women and Religion,10.1515/9781575068589-008,,2013,Eisenbrauns,,
Annalisa Azzoni,Private Life,10.1515/9781575068589-009,,2013,Eisenbrauns,,
Annalisa Azzoni,Three Remarkable Women,10.5325/j.ctv1bxgxt8.12,,2013,Eisenbrauns,,
Annalisa Azzoni,PFAT 783: fruit and the bazikara,10.2307/j.ctv1q26jhj.4,Achemenet. Vingt ans après: Études offertes à Pierre Briant à l'occasion des vingt ans du Programme Achemenet,2021,Peeters,,
Annalisa Azzoni,The Empire as Visible in the Aramaic Documents from Persepolis,10.2307/j.ctvckq4gq.13,Die Verwaltung im Achämenidenreich—Imperiale Muster und Strukturen / The Administration of the Achaemenid Empire—Tracing the Imperial Signature,2017,Harrassowitz,,
Annalisa Azzoni,Women at Elephantine and Women in the Land,10.1163/9789004240841_002,"In the Shadow of Bezalel: Aramaic, Biblical and Ancient Near Eastern Studies in Honor of Bezalel Porten",2013,Brill,,
Annalisa Azzoni,Where Will Yehoyišmaʿ Go?” A Reconsideration of TAD B3.8,10.1163/9789004227163_002,Puzzling Out the Past: Studies in Northwest Semitic Languages and Literatures in Honor of Bruce Zuckerman,2012,Brill,,
Stephanie Budwey,“Marian Hymnology in the East and West,10.2307/j.ctv14gpjgt.20,Hymns and Hymnody: Historical and Theological Introductions. Vol. 1: From Asia Minor to Western Europe,2019,Cascade Books,,
James P. Byrd,,10.1093/acprof:oso/9780199843497.001.0001,"Sacred Scripture, Sacred War: The Bible and the American Revolution",2013,Oxford University Press,,
James P. Byrd,Introduction,10.1093/acprof:oso/9780199843497.003.0001,"Sacred Scripture, Sacred War: The Bible and the American Revolution",2013,Oxford University Press,,
James P. Byrd,The Curse of Cowardice,10.1093/acprof:oso/9780199843497.003.0002,"Sacred Scripture, Sacred War: The Bible and the American Revolution",2013,Oxford University Press,,
James P. Byrd,The Lord is a Man of War,10.1093/acprof:oso/9780199843497.003.0003,"Sacred Scripture, Sacred War: The Bible and the American Revolution",2013,Oxford University Press,,
