chapter,doi
Pragmatic Naturalism and Public Theology: A Version of Religious Naturalism,10.4324/9781315228907-16
For the Beauty of the World: Vision and Moral Order in Martin Luther King’s World House,10.2307/j.ctvfxv9j2.6
Black Cultural Criticism: The New Politics of Difference and Religious Criticism,10.7312/king14542-054
Theorizing Black Religious Studies: A Genealogy,10.7312/king14542-055
"Decolonizing Spectatorship: Photography, Theology, and the New Media",10.2307/j.ctv1m46fsx.9
"Reponsi/ability, After Derrida",10.5422/fordham/9780823249923.003.0007
"Beyond the God/Man Duo: Globalization, Feminist Theology, and Religious Subjectivity",10.1093/oxfordhb/9780199273881.003.0018
Planetary Sightings? Negotiating Sexual Differences in Globalization’s Shadow,10.5422/fso/9780823233250.003.0013
Divining Differences: Irigaray and Religion,10.4324/9781315010823-4
"Performative, Queer Theories of Religion: Judith Butler",10.5040/9781350023772.ch-009
Christianity and Sexuality,10.1007/978-1-4614-6086-2_9040
1 God,10.2307/j.ctv1hqdhmw.6
PFAT 783: fruit and the bazikara,10.2307/j.ctv1q26jhj.4
The Empire as Visible in the Aramaic Documents from Persepolis,10.2307/j.ctvckq4gq.13
Marian Hymnology in the East and West,10.2307/j.ctv14gpjgt.20
Absolute Dependence or Infinite Desire? Comparing Soteriological Themes in Schleiermacher and Kierkegaard,10.5040/9780567698728.ch-002
Liberation in African American Theology,10.1093/oxfordhb/9780199755653.013.0014
"Economic Justice, and Globalization in Black Church Studies: Confronting the ‘Malignant Kinship’ in the Post-Civil Rights Era",10.1057/9781137534552_26
"‘Lest We Be Scattered Abroad’: Nimrod, Marcus Garvey, and Black Religious Humanism in Harlem",10.1057/9780230610507_5
A Field of Study as a Field of Dreams: The Contours of Black Church Studies,10.1057/9781137534552_5
"I am Black and Beautiful, O Ye Daughters of Jerusalem...’: African American Virtue Ethics and a Womanist Hermeneutics of Redemption",10.1057/9780230610507_4
Religious Thought: Womanist,10.4135/9781608712427.n332
Playing,10.1002/9781444345742.ch3
"Theology, Praxis, and Leadership: Paradigm for Black Churches,",10.5040/9780567675477.ch-024
Pursuing American Racial Justice and a Politically and Theologically Informed Black Church Praxis,10.14325/mississippi/9781628462005.003.0010
Afterword,10.1093/oso/9780190280192.003.0010
Economics,10.1002/9781444324082.ch8
Suburbanization and Religion,10.1017/chol9780521871082.006
"But to know it as we should do’: Enthusiasm, Historicizing of the Charismata, and Cessationism in Enlightenment England",10.2307/j.ctvpj7bgb.14
"Herbert, Edward (Lord of Cherbury)",10.1515/ebr.herbertedwardlordofcherbury
James I (King of England),10.1515/ebr.jamesikingofengland
Reformed Theology in North America,10.1093/oxfordhb/9780198723912.013.10
The Platonic Captivity of Primitive Christianity and the Enlightening of Augustine,10.1093/acprof:oso/9780190267070.003.0006
Exogamy and Divorce in Ezra and Nehemiah,10.1093/oxfordhb/9780190261160.013.38
"Syriaca.org as a Test Case for Digitally Re-Sorting the Ancient World,",10.1163/9789004325234_005
It is not the custom of our Syriac language…’: Reconsidering the Role of Translation in the Polemics of Philoxenos of Mabbug,10.4324/9781315243191-8
Philoxenos of Mabbug: A Cappadocian Theologian on the Banks of the Euphrates?,10.1484/m.celama-eb.5.108243
“Philoxenos of Mabbug and the Simplicity of Evagrian Gnosis: Competing Uses of Evagrius in Early Sixth-Century Polemical Theology,10.2307/j.ctvpj7dsk.12
"Though He cannot be eaten, we consume Him’: Appeals to Liturgical Practice in the Christological Polemic of Philoxenos of Mabbug",10.31826/9781463214814-022
The State of Mainline Protestantism Today,10.7312/hudn18360-003
Rethinking the New Materialism for Religion and Theology,10.1007/978-1-137-56844-1_6
Deep Solidarity: Dealing with Oppression and Exploitation Beyond Charity and Advocacy,10.5325/j.ctv14gp64t.12
The Bible in the German Empire,10.1093/oxfordhb/9780190888459.013.27
Working with Environmental Economists,10.5040/9780567675187.0013
Grassroots Social Movements and Political Theology,10.1002/9781119133759.ch40
Theology and Exclusion: From Charity to Advocacy to Deep Solidarity,10.4324/9781315209456-7
Welcome to the Great American Middle Class: From the American Dream to Deep Solidarity,10.1057/9781137372215_7
"Responses to Miles, Perdue, West, and Boer.",10.2307/j.ctt1b7x69m.15
Reconfiguring the Common Good and Religion in the Context of Capitalism: Abrahamic Alternatives,10.2307/j.ctt17t74qs.10
Religious Activism,10.4135/9781412956215.n732
Option for the poor,10.4135/9781412956215.n636
Jesus Christ,10.2307/j.ctv1hqdhmw.9
"Foreword A Call to Personal, Transformative, Autobiographical Criticism: Reflections on the Work of Ingrid Rosa Kitzberger",10.2307/j.ctvrs8z3v.5
Intercultural Bible Reading as Transformation for Liberation: Intercultural Hermeneutics and Biblical Studies,10.2307/j.ctt18z4h3g.4
Postcolonial Criticism and the Gospel of Matthew,10.1017/cbo9780511627118.009
Divine Justice in the Book of Job,10.1017/9781108562072.022
Perspectives on a Pluriform Classic,10.5040/9780567687357.0014
Hope in Two Keys: Musical Impact and the Poetics of Job 14,10.1163/ej.9789004179776.i-640.112
"Job’s Gōʾēl, Again",10.1515/9783110910001.689
West Semitic Sources,10.2307/j.ctvkwnng3.16
The Social World of Ecclesiastes,10.1017/cbo9781107337695.010
From Mountain to Mountain: The Reign of God in Daniel 2,10.1515/9781575065366-026
Womanist Pastoral Theology and Black Women’s Experience of Religion & Sexuality,10.1002/9781119292586.ch6
Uninterrogated Coloredness and Its Kin,10.1057/9781137311825.0013
Walking on the Rimbones of Nothingness: Embodied Scholarship for Those of Way Down Under the Sun,10.2307/j.ctt22nm96r.21
African American Churches and Reproductive Health Rights,10.2307/j.ctv125jg5x.10
