qid,label_en,description_en,doi_uuid,doi,doi_ref1_hash,doi_ref1_referenceUrl,doi_ref1_retrieved_nodeId,doi_ref1_retrieved_val,doi_ref1_retrieved_prec,pmid_uuid,pmid,pmid_ref1_hash,pmid_ref1_referenceUrl,pmid_ref1_retrieved_nodeId,pmid_ref1_retrieved_val,pmid_ref1_retrieved_prec,published_uuid,published_nodeId,published_val,published_prec,published_ref1_hash,published_ref1_referenceUrl,published_ref1_retrieved_nodeId,published_ref1_retrieved_val,published_ref1_retrieved_prec,title_en_uuid,title_en,title_en_ref1_hash,title_en_ref1_referenceUrl,title_en_ref1_retrieved_nodeId,title_en_ref1_retrieved_val,title_en_ref1_retrieved_prec,journal_uuid,journal,journal_ref1_hash,journal_ref1_referenceUrl,journal_ref1_retrieved_nodeId,journal_ref1_retrieved_val,journal_ref1_retrieved_prec,volume_uuid,volume,volume_ref1_hash,volume_ref1_referenceUrl,volume_ref1_retrieved_nodeId,volume_ref1_retrieved_val,volume_ref1_retrieved_prec,page_uuid,page,page_ref1_hash,page_ref1_referenceUrl,page_ref1_retrieved_nodeId,page_ref1_retrieved_val,page_ref1_retrieved_prec,issue_uuid,issue,issue_ref1_hash,issue_ref1_referenceUrl,issue_ref1_retrieved_nodeId,issue_ref1_retrieved_val,issue_ref1_retrieved_prec,isbn10_uuid,isbn10,isbn10_ref1_hash,isbn10_ref1_referenceUrl,isbn10_ref1_retrieved_nodeId,isbn10_ref1_retrieved_val,isbn10_ref1_retrieved_prec,isbn13_uuid,isbn13,isbn13_ref1_hash,isbn13_ref1_referenceUrl,isbn13_ref1_retrieved_nodeId,isbn13_ref1_retrieved_val,isbn13_ref1_retrieved_prec,publisher_uuid,publisher,publisher_ref1_hash,publisher_ref1_referenceUrl,publisher_ref1_retrieved_nodeId,publisher_ref1_retrieved_val,publisher_ref1_retrieved_prec
Q108802815,"Homosexuality, Queer Theory, and Christian Theology",book chapter,,,,,,,,,,,,,,,6BBBF813-B01D-4CB4-8541-D2AC99072143,fc1d2395f6a4679c97b3b7f23f202c19,2009-01-01T00:00:00Z,9,,,,,,C9933777-C644-413D-8521-CEB9124CDE00,"Homosexuality, Queer Theory, and Christian Theology",,,,,,3891E56A-F6B2-4E90-AF75-F8E0E83AEC66,Q108747187,,,,,,,,,,,,,86CB6D81-C0F4-4033-A66A-F6754D0AFDF7,63-76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q108816833,"Homosexuality, Queer Theory, and Christian Theology",book review,D6E98245-634F-4429-A7E8-77FDE6CC66BC,10.1111/J.1748-0922.2000.TB00355.X,,,,,,,,,,,,,6177CF9B-89DE-4299-8E11-EC6C1CD8D92C,236dd3762152804043971d3dce9f3f27,2000-01-01T00:00:00Z,10,,,,,,A2DB92B2-B625-4952-B62E-D32EEA9DF7A2,"Homosexuality, Queer Theory, and Christian Theology",,,,,,4E88D67D-17A0-4998-A01D-BA0944443AA5,Q7311312,,,,,,FF38C3EF-9DC3-4006-8C61-3D20D2639AB0,26,,,,,,B6D2B89F-C93B-471C-B03D-4293E7432D16,3-12,,,,,,0DBC4AC9-7B47-4020-9CD4-F2FCA5D24594,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Q109418013,Linguistic Evidence and the Dating of Qohelet,journal article,90C5CB9D-6EEC-4601-9E72-3169B5078E75,10.2307/3266347,dbc32e5899ecd054007c4c712352661eea6d2e24,http://doi.org/10.2307/3266347,1a33e8170ee201bef4524f5ebbdbb797,2021-11-05T00:00:00Z,11,,,,,,,,5B76B5BE-EEFA-4B7F-B78A-BD32EF204D0F,27be5dfabdb5aa8f8a1e42ce2171a70b,2006-05-05T00:00:00Z,11,dbc32e5899ecd054007c4c712352661eea6d2e24,http://doi.org/10.2307/3266347,1a33e8170ee201bef4524f5ebbdbb797,2021-11-05T00:00:00Z,11,6215625D-9160-437C-BDE6-3E037BA886D4,Linguistic Evidence and the Dating of Qohelet,dbc32e5899ecd054007c4c712352661eea6d2e24,http://doi.org/10.2307/3266347,1a33e8170ee201bef4524f5ebbdbb797,2021-11-05T00:00:00Z,11,958323FD-3EED-4479-BFC6-D315FBBE8FBE,Q4041879,dbc32e5899ecd054007c4c712352661eea6d2e24,http://doi.org/10.2307/3266347,1a33e8170ee201bef4524f5ebbdbb797,2021-11-05T00:00:00Z,11,D3C25051-6E29-41CB-90DF-15E723DC6E94,115,dbc32e5899ecd054007c4c712352661eea6d2e24,http://doi.org/10.2307/3266347,1a33e8170ee201bef4524f5ebbdbb797,2021-11-05T00:00:00Z,11,D0829213-B2BF-483F-937E-DD8657A3A170,643,dbc32e5899ecd054007c4c712352661eea6d2e24,http://doi.org/10.2307/3266347,1a33e8170ee201bef4524f5ebbdbb797,2021-11-05T00:00:00Z,11,423461B9-3657-45A2-8BF9-E4D83CCC7493,4,dbc32e5899ecd054007c4c712352661eea6d2e24,http://doi.org/10.2307/3266347,1a33e8170ee201bef4524f5ebbdbb797,2021-11-05T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,
Q106927449,Linguistic Evidence and the Dating of Qoheleth,scholarly article,,,,,,,,,,,,,,,C7D5CF8F-9873-4F30-B219-0CE8CA3D7BDA,e1f28dafe18efe99a187a348d0740ee4,1996-01-01T00:00:00Z,9,,,,,,00AF1249-7065-44EF-8BAD-E6737A1E083C,Linguistic Evidence and the Dating of Qoheleth,,,,,,2E5EC0D4-1AB1-4B5F-BE53-928DC8AAC56F,Q4041879,,,,,,A56C8E0C-EB79-41A1-9668-C0479B1C48CA,115,,,,,,,,,,,,,75C68FFE-076C-4E53-A0D0-DCA095582D53,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Q97573359,On the Very Idea of Religions (in the Modern West and in Early Medieval China),journal article,8bdbe723-4865-9799-c651-d512d6584432,10.1086/378757,,,,,,,,,,,,,2E71C066-F3FC-44A1-A13B-66A5D74680A5,75b5895a29adff562955fa203ef75560,2003-05-01T00:00:00Z,10,,,,,,F0B97BFE-17F0-494B-926D-C6702F6BB7CD,On the Very Idea of Religions (in the Modern West and in Early Medieval China),,,,,,E0CF692C-BDDF-4856-A06B-CBB4B790A214,Q5866179,,,,,,5E2BFE30-3FAB-4506-B15A-E2A8C97ADEB7,42,,,,,,375C9B0A-4E97-4A5F-BED6-6E8B7055CC82,287-319,,,,,,38F9FDC8-4982-4681-A9E3-CE8429EF239F,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Q98130849,On the Very Idea of Religions (in the Modern West and in Early Medieval China),book chapter,,,,,,,,,,,,,,,4856B659-01C5-41C6-9C29-569F66F33EC0,ac3f54d758c2b8d235d9d0e9fbf2f43a,2013-01-01T00:00:00Z,9,,,,,,DA4C3191-4891-45B8-A458-52F88F385336,On the Very Idea of Religions (in the Modern West and in Early Medieval China),,,,,,6A634ECC-96E9-40CC-9BE6-0D784CAF66AD,Q98093990,,,,,,7FAF7B33-495F-4813-8507-FE855EF92B1A,1,,,,,,D12D1E88-370E-4C1A-A7D3-FDA6E6182DD2,41-76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q106976566,"Orthography, textual criticism, and the poetry of Job",scholarly article,,,,,,,,,,,,,,,9DDC176E-C643-4398-8661-7E2389543FE8,dafb9cf711b15afe91ec0aa7158e57a6,2011-01-01T00:00:00Z,9,,,,,,6E912E7E-4576-4AD9-AE65-C013CC704E51,"Orthography, textual criticism, and the poetry of Job",,,,,,0A7C6304-A31F-43CF-803C-D29AD46B92D6,Q4041879,,,,,,AFF895A9-8CC2-4C55-A4A3-503184608E1A,130,,,,,,,,,,,,,E668B0F0-0B08-4DDA-97A1-728575CECFC6,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Q109418024,"Orthography, Textual Criticism, and the Poetry of Job",journal article,1FE295CF-57B0-49B2-9F80-062B05FF0ABA,10.2307/41304188,a2014cbe3c2d9d342a65d5aa5c261f1bb229fe73,http://doi.org/10.2307/41304188,1a33e8170ee201bef4524f5ebbdbb797,2021-11-05T00:00:00Z,11,,,,,,,,BAC20685-847E-47E6-9310-1F135EF9EAD5,227d857d35795d17a0b8be3df70157b7,2016-09-12T00:00:00Z,11,a2014cbe3c2d9d342a65d5aa5c261f1bb229fe73,http://doi.org/10.2307/41304188,1a33e8170ee201bef4524f5ebbdbb797,2021-11-05T00:00:00Z,11,A1BEEC00-F232-4EC0-BD2F-FC2BD7852B66,"Orthography, Textual Criticism, and the Poetry of Job",a2014cbe3c2d9d342a65d5aa5c261f1bb229fe73,http://doi.org/10.2307/41304188,1a33e8170ee201bef4524f5ebbdbb797,2021-11-05T00:00:00Z,11,CFF3789D-184E-4082-96A1-AB3E8C5D7A3B,Q4041879,a2014cbe3c2d9d342a65d5aa5c261f1bb229fe73,http://doi.org/10.2307/41304188,1a33e8170ee201bef4524f5ebbdbb797,2021-11-05T00:00:00Z,11,62330C32-DEBC-430B-87E3-3257BCDE5A83,130,a2014cbe3c2d9d342a65d5aa5c261f1bb229fe73,http://doi.org/10.2307/41304188,1a33e8170ee201bef4524f5ebbdbb797,2021-11-05T00:00:00Z,11,896E78ED-4D19-4349-A2FD-594E0F4AB2BA,63,a2014cbe3c2d9d342a65d5aa5c261f1bb229fe73,http://doi.org/10.2307/41304188,1a33e8170ee201bef4524f5ebbdbb797,2021-11-05T00:00:00Z,11,DF8AB95D-AA35-411F-88CE-373678672262,1,a2014cbe3c2d9d342a65d5aa5c261f1bb229fe73,http://doi.org/10.2307/41304188,1a33e8170ee201bef4524f5ebbdbb797,2021-11-05T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,
Q60383916,The Protest Psychosis,2010 edition,,,,,,,,,,,,,,,5C2C7953-F87F-4D1C-89BA-758BECD51BF3,4f272fae38ee73a331afd0407cdc74b9,2010-01-01T00:00:00Z,9,,,,,,9B8D5D05-D5C3-4099-AEA6-AC25E0194BD5,The Protest Psychosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64465EF7-30EF-4D88-8E77-01E2E799D702,0-8070-8592-8,,,,,,394AAFF7-2C4A-4EC6-9E7A-8CB526B2210F,978-0-8070-8592-9,,,,,,,,,,,,
Q7758616,The Protest Psychosis,book by Jonathan Metzl,,,,,,,,,,,,,,,9DA9E76E-7879-403B-B720-E4CF0CA4B1C1,4f272fae38ee73a331afd0407cdc74b9,2010-01-01T00:00:00Z,9,,,,,,2600E4BE-E9AF-4A89-9865-0F985522E0DA,The Protest Psychosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694FDFF4-0247-4691-B4B0-5862A624AC78,Q4875979,,,,,
