qid,label_en,editor_uuid,editor,editor_series_ordinal,editor_stated_as,editor_ref1_hash,editor_ref1_referenceUrl,editor_ref1_retrieved_nodeId,editor_ref1_retrieved_val,editor_ref1_retrieved_prec
Q111083723,Empire and the Christian Tradition New Readings of Classical Theologians,8FDDCFA2-7BC4-4094-889B-BA35BA624BAC,Q27643173,3,Joerg Rieger,a6185499ce833588457714c47252fad3f05ee7bf,http://doi.org/10.2307/J.CTV1HQDJ3M,997d3274-0512-48ed-a0dd-32a032eef2cf,2022-03-03T00:00:00Z,11
Q111083718,Between Philosophy and Theology Contemporary Interpretations of Christianity,D87FEAFF-5B25-441C-A06C-76961BF53437,Q15605198,1,Lieven Boeve,da5aebe6f6bd8dcce8d80fdc7e9e31c76102fe44,https://doi.org/10.4324/9781315261676,34aa2568-eb9c-4d75-a44d-ec4902c4528e,2022-03-03T00:00:00Z,11
Q111083719,,3AE8AE93-5EDE-470B-963F-1B2DB32811A9,Q7614697,2,Steven Fine,7e844cf4ba4f7fb688d4871b90b21c888a6d0b6e,https://doi.org/10.1163/9789004227163,2f31f0f1-0b25-4331-93d1-14e8b36e68cc,2022-03-03T00:00:00Z,11
Q111083723,,257999C2-3A90-4B51-B591-3E4B7DF641CF,Q12493238,1,Kwok Pui-lan,ebe231c590495203e1de843a8f8a993ef110c83a,https://doi.org/10.2307/J.CTV1HQDJ3M,fe22b5a9-3f1e-4b79-aaef-83875dd8660a,2022-03-03T00:00:00Z,11
Q111083723,,6933CDB2-70D6-4B68-8DF2-C937F72BE59C,Q5292723,2,Don H. Compier,ebe231c590495203e1de843a8f8a993ef110c83a,https://doi.org/10.2307/J.CTV1HQDJ3M,46be73d3-b8d6-4f09-bde0-168de9b20e62,2022-03-03T00:00:00Z,11
Q111083720,,EFA3C5CD-2331-4C56-A710-51722E759D3E,Q111083862,1,R. David Nelson,bfad02ad7ce4933abed16581637462e37402aec2,http://dx.doi.org/10.5040/9780567659644,084c09f5-6d80-4a6b-9b31-caa3390649b8,2022-03-03T00:00:00Z,11
Q111088301,"In the Shadow of Bezalel. Aramaic, Biblical, and Ancient Near Eastern Studies in Honor of Bezalel Porten",F5B51865-E292-4597-9B9A-9B1341352640,Q55990040,1,Alejandro F. Botta,e6cbbee34030bd7fe557487584c92e658ad7bb71,https://brill.com/view/title/18567,9876285a-8759-4ba6-8b91-9c3992bb12fa,2022-03-04T00:00:00Z,11
Q111088304,"Loss and Hope. Global, Interreligious and Interdisciplinary Perspectives",103CD2E2-EB17-4B08-B599-0835660F37EB,Q107464477,1,Peter Admirand,6caaa8f9964df1a91b4d882728868ed458634b1e,https://www.bloomsbury.com/us/loss-and-hope-9781472525413/,30b7f899-3223-492a-9d6b-06c8978363ef,2022-03-04T00:00:00Z,11
Q111088307,Conundrums in Practical Theology,9D106C4D-9D04-4EF8-8842-AE72A2EAE4B6,Q57435308,1,Joyce Ann Mercer,9ad30e6a2d0793060b4bc64add19cfc56f79711b,https://ebookcentral.proquest.com/lib/vand/detail.action?docID=4694024,7c2f3104-5fc4-4557-9f97-9b7f5d1389e8,2022-03-04T00:00:00Z,11
Q111088307,Conundrums in Practical Theology,4B466290-45DA-4FD6-AFC0-88C3986D2CF1,Q63038665,2,Bonnie Miller-McLemore,9ad30e6a2d0793060b4bc64add19cfc56f79711b,https://ebookcentral.proquest.com/lib/vand/detail.action?docID=4694024,47bd55f8-d86b-478f-a547-0901df5323f1,2022-03-04T00:00:00Z,11
