qid,label_en,editor_uuid,editor,editor_series_ordinal,editor_stated_as,editor_ref1_hash,editor_ref1_referenceUrl,editor_ref1_retrieved_nodeId,editor_ref1_retrieved_val,editor_ref1_retrieved_prec
Q111725099,,1F58BA98-C196-4F41-B0A4-B4D3CC8B6140,Q5293925,1,Donald A. Crosby,cc937a4f764395c5177608cd207ea5e8eac4c36d,https://doi.org/10.4324/9781315228907,b58d3141-e1b4-4b28-b84c-e60734893840,2022-04-25T00:00:00Z,11
Q111725099,,9178075D-38BD-486E-9019-EAC631553356,Q6182538,2,Jerome A. Stone,cc937a4f764395c5177608cd207ea5e8eac4c36d,https://doi.org/10.4324/9781315228907,230f6f61-1466-4fc0-a397-2744411c1491,2022-04-25T00:00:00Z,11
Q111725152,,5E68C804-3C4F-48C3-B0E9-B95A5793A156,Q50225606,2,Wouter F. M. Henkelman,257d912439609a1010337c54ad22ef21b37e7b8f,https://doi.org/10.2307/J.CTVCKQ4GQ,16e284e8-b177-4962-bbfe-902b7dad4b0d,2022-04-25T00:00:00Z,11
Q111725152,,9062206A-749E-4F0E-B4AB-2AD57700D2FD,Q993385,1,Bruno Jacobs,257d912439609a1010337c54ad22ef21b37e7b8f,https://doi.org/10.2307/J.CTVCKQ4GQ,ba17c574-0d3b-47b0-88e1-5382e1d3f13e,2022-04-25T00:00:00Z,11
Q111725152,,FDF7F881-B771-4F0D-8680-02FDC9EE173D,Q1909619,3,Matthew W. Stolper,257d912439609a1010337c54ad22ef21b37e7b8f,https://doi.org/10.2307/J.CTVCKQ4GQ,d42d6fa2-65d6-4ac8-aa03-a6e759229d77,2022-04-25T00:00:00Z,11
Q111725106,,73468F13-305F-45A9-A6A3-1241962AC9A6,Q4772041,1,Anthony B. Pinn,6a840a9112460456e847779ab5c8131bcb5b8c7f,https://doi.org/10.1057/9780230610507,5604e5e1-7e28-4877-b9b1-891c2601877c,2022-04-25T00:00:00Z,11
Q111725107,,39707200-0F92-4FE1-B13F-F5213E15DA1C,Q63038665,1,Bonnie J. Miller-McLemore,e470d2a1c54f277611133568207191fd58bfb954,https://doi.org/10.1002/9781444345742,eedd58dd-4ce9-4dee-8344-13d31bc4ac53,2022-04-25T00:00:00Z,11
Q111725108,,B74B6537-0C3F-48B7-82EC-E31F5FCEA826,Q106860497,3,Anthony G. Reddie,27c9e070c9547145756e6fba50918207c2581944,https://doi.org/10.14325/MISSISSIPPI/9781628462005.001.0001,955b4f02-35b2-489d-9fce-a57f90bab2a6,2022-04-25T00:00:00Z,11
Q111725110,,24B59A32-8726-4C8C-84F9-7439C0B95440,Q20081152,1,Amanda Porterfield,824a33db46e51bb2d093b934361f078be764b414,https://doi.org/10.1093/OSO/9780190280192.001.0001,b884aac3-0ae2-4b6a-aef3-352374e31259,2022-04-25T00:00:00Z,11
Q111725110,,2922AC3D-44CD-4020-8E71-45F19BADEDB2,Q6227181,3,John Corrigan,824a33db46e51bb2d093b934361f078be764b414,https://doi.org/10.1093/OSO/9780190280192.001.0001,472c586a-2dae-4d87-a91d-aff64fbbb9ed,2022-04-25T00:00:00Z,11
Q111725116,,20117731-55DC-4F87-8E43-14759046D71A,Q92602470,1,Michael Allen,0f54f5f95d470655130d64a2b6cdf0f7206762b2,https://doi.org/10.1093/OXFORDHB/9780198723912.001.0001,2db04244-8d48-4653-a7f7-8a7bab3baf52,2022-04-25T00:00:00Z,11
Q111725116,,3B1699E7-FE11-4305-B4AC-EBE03797A6B4,Q95303541,2,Scott R. Swain,0f54f5f95d470655130d64a2b6cdf0f7206762b2,https://doi.org/10.1093/OXFORDHB/9780198723912.001.0001,17bcbf0f-497f-4881-a2b7-355e11fc59d9,2022-04-25T00:00:00Z,11
Q111725118,,4649E437-7198-4005-9F40-DB040B318FE8,Q93237708,2,Brent A. Strawn,7b56da992217a72b430aee6a47543a33ce161630,https://doi.org/10.1093/OXFORDHB/9780190261160.001.0001,81e72276-5acd-42fb-afa1-a499f5718cf6,2022-04-25T00:00:00Z,11
Q111725120,,687A9CEF-C3A0-44F0-BFCC-FA622D578A4E,Q16196105,1,George Kiraz,d07807fe315b57cc5ff9d8996d09c3bca654eeeb,https://doi.org/10.31826/9781463214814,8843b733-b446-4a34-8997-09e83939ad9b,2022-04-25T00:00:00Z,11
Q111725125,,629F95BF-14F6-4755-97C7-6EDC96214B4F,Q42305783,1,R.S. Sugirtharajah,80fa52d840c4895e1e32c1902571dd6fdab19dd4,https://doi.org/10.1093/OXFORDHB/9780190888459.001.0001,670e654c-ceb5-4a93-b62a-df4593427af9,2022-04-25T00:00:00Z,11
Q111725127,,B1571F59-63D9-4F7A-93A5-A8C3DAA52557,Q76351372,1,Ernst M. Conradie,be58f51b5c1ca56f5456dec773f723372ba0e2b9,https://doi.org/10.5040/9780567675187,984eb949-5cd5-42a8-a64b-33a2b2ab4315,2022-04-25T00:00:00Z,11
Q111725131,,9B3223D9-FB8A-4E08-A5FC-5BC7D2CB1049,Q4678278,1,Ada María Isasi-Díaz,5a67d2a7f0dad347ebabafa3259301cb02ec63a2,https://doi.org/10.1057/9781137372215,4866b8fb-31f7-4d30-a670-5500339da312,2022-04-25T00:00:00Z,11
Q111725133,,BA2C75F2-053E-423C-ADA6-5652D52DB0CC,Q58042411,1,Roland Boer,5b762f534a59ed731f51233e17d8cba436d20de2,https://doi.org/10.2307/J.CTT1B7X69M,319020b8-1bfb-4ada-b659-889a3eaf5996,2022-04-25T00:00:00Z,11
Q111725138,,2E3D1C78-CBF1-484C-92E3-5E04494BD5F1,Q16202612,1,Serene Jones,a8e358feaabd964f507f635b03a41ddc1266c7e0,https://doi.org/10.2307/J.CTV1HQDHMW,c881ec50-4c4f-4613-8ea6-aea4bfab5daa,2022-04-25T00:00:00Z,11
Q111725144,,9A8F4EB0-A14D-45BA-A0B8-B3A0F8439118,Q5473986,1,Martti Nissinen,f869ea4a2417908c9f937e6935d8d1a3a047be0f,https://doi.org/10.2307/J.CTVKWNNG3,4c31157e-0ffa-4a16-b453-be83269a2c76,2022-04-25T00:00:00Z,11
Q111725145,,5CE8C033-2650-49BC-96D6-197372CDAC13,Q93237708,1,Brent A. Strawn,4aedefdf7737d8c425d92f3d784215777aa599d8,https://doi.org/10.5325/J.CTV1BXH338,8eb9cf5f-7593-418f-b16d-8dc6bceaa2ac,2022-04-25T00:00:00Z,11
Q111725146,,B9B290F5-CFF4-4B21-91C7-FEABB4A7B0A7,Q96197876,1,Nancy J. Ramsay,81a3556520c34cc8d4c4fedf881c008c4a90ceaf,https://doi.org/10.1002/9781119292586,99868e51-df63-4322-b5e9-fc587424fc6e,2022-04-25T00:00:00Z,11
Q111725149,"Ethics That Matters African, Caribbean, and African American Sources",5CBF84CD-F7AE-40CD-B086-A28356AB3AD9,Q16973881,1,Marcia Y. Riggs,17008bc2300d5fb78dcc32cc8c60a54bc510d8d1,https://doi.org/10.2307/J.CTT22NM96R,884dd385-ddae-48df-9dcf-5345318f3c4e,2022-04-25T00:00:00Z,11
Q111725149,,A944073D-DDCF-459E-AE05-AE84639FA141,Q94159809,2,James Samuel Logan,17008bc2300d5fb78dcc32cc8c60a54bc510d8d1,https://doi.org/10.2307/J.CTT22NM96R,74a2bcc3-afb0-4686-9314-7f535bbcd70c,2022-04-25T00:00:00Z,11
