Title,Url,yes/no
Faith on Earth: An Inquiry into the Structure of Human Faith,,
Dialogical Interrogations,,
The Pragmatic Secularization of Theology,,
Is Cornel West also among the Theologians?,,
Secularization and the worldliness of theology,,
Ontological Blackness in Theology,,
Ontological Blackness in Theology,,
Introduction,,
Theorizing African American Religion,,
Is America Possible?,,
The mimesis of salvation and dissimilitude in the scandalous gospel of Jesus,http://site.ebrary.com/lib/vanderbilt/detail.action?docID=10603716,
"Responsibility, Vengeance and the Death Penalty",,
The Black Church and the Curious Body of the Black Homosexual,http://site.ebrary.com/lib/vanderbilt/Doc?id=10135726,
Frustrated Fellowship: The Black Baptist Quest for Social Power,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000549721&site=ehost-live,
Soul theology: the heart of American black culture,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000560637&site=ehost-live,
Face to face : becoming a pastor to children,,
"The Legacy of Pragmatism in the Theologies of D. C. MacIntosh, H. Richard Niebuhr, and James M. Gustafson",,
The search for public theology in the United States,,
Pragmatic theology: negotiating the intersections of an American philosophy of religion and public theology,,
The Wrestle of Christ and Culture in Pragmatic Public Theology,,
African American Religious Thought and Pragmatism,,
The Narrative Turn in Christian Ethics : A Critical Appraisal,,
Changing conversions: religious reflection and cultural analysis,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000357749&site=ehost-live,
Contour of an African American public theology,,
Critical reflection on the problems of history and narrative in a recent African-American research program,,
Three paths to empowerment in recent African American theology and ethics,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001401530&site=ehost-live,
Pragmatic theology and the natural sciences at the intersection of human interests,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001287781&site=ehost-live,
A relational concept of race in African American religious thought,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001365253&site=ehost-live,
Spirituality and capitalism,,
Theology and modern physics,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001625456&site=ehost-live,
Creative exchange: a constructive theology of African American religious experience,,
Making a way out of no way: a womanist theology,,
Telling God's stories with power,,
The Christian imagination: theology and the origins of race,,
Black scholarly aesthetics and the religious critic: black experience as manifolds of manifestations and powers of presentations,,
Beyond ontological blackness : an essay on African religious and cultural criticism,,
Abominations of a million men : reflection on a silent minority,,
African American Church Tradition,,
African American Religious Ethics,https://doi.org/10.1002/9781444367072 ,
"African American Theologies; Black Theology; Dewey,John; Du Bois, W.E.B.; Pragmatism and Christian Theologies; Introductory Entry: Racism and Christianity: Ethnocentrism; Thurman, Howard",http://dx.doi.org/10.1017/CBO9780511780165,
"Liberation Theologies, Postmodernity, and the Americas",http://search.ebscohost.com/login.aspx?direct=true&db=rlh&AN=2438373&site=ehost-live,
The Christian Imagination: Theology and the Origins of Race,http://search.ebscohost.com/login.aspx?direct=true&db=rlh&AN=65828645&site=ehost-live,
Masculinities Beyond Good and Evil: Representations of the Down Low in the Fictional Imagination of Alphonso Morgan's Sons,http://ejournals.library.vanderbilt.edu/ojs/index.php/ameriquests/article/view/137/154,
Why Lord?: suffering and evil in Black theology,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000358781&site=ehost-live,
Deadly silence: reflections on homosexuality and human rights,,
Rousseau on order,,
An American Public Theology in the Absence of Giants: Creative Conflict and Democratic Longings,,
Ontological Inquiry and Black Existence,,
Mimetic Reflections: The Religious Critic between the Church and Empire,,
Three theories of sexuality,,
Augustine,,
"""We see through a glass darkly"": black narrative theology and the opacity of African American religious thought",,
Response,,
Fear and Trembling in the Everyday of Richard Wright’s Black Boy: A Quare Reading,,
A Reasonable Belief: Why God and Faith Make Sense by William Greenway (review),https://muse.jhu.edu/article/685077,
Foreword,,
Theorizing Black Religious Studies: A Genealogy,,
"Black Cultural Criticism, the New Politics of Difference, and Religious Criticism",,
“Black Religion and Culture Studies”,,
Revives my soul again: the spirituality of Martin Luther King Jr. / Lewis V. Baldwin and Victor Anderson.,,
A Response: Narrative Renewed,,
"Matthew 3:7-12, Matthew 3:13-17, Matthew 4:1-11",,
African American Practical Theology,,
Teaching preaching as a Christian practice: a new approach to homiletical pedagogy,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001933219&site=ehost-live,
Seeking restoration,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001553341&site=ehost-live,
African American Biblical Interpretation,,
Do you know your proper place? Is there a crisis in black preaching?,,
Foreword,,
Preaching a Just Word in Privileged Pulpits: Healing Affluenza,,
Black Preaching Praxis,,
"Job 42, Ruth 1, Wisdom of Solomon 3",,
"Hebrews 10, Titus 2, Hebrews 1",,
African American Apprenticeship,,
African American Preaching and Sermonic Traditions,,
Race and Racism,,
"New Proclamation: Advent through Holy Week, Year A 2004-2005",,
Practical theology for Black churches: bridging Black theology and African American folk religion,,
"Preaching God's transforming justice: a lectionary commentary, year C",,
"Preaching God's transforming justice: a lectionary commentary, year B",,
Epiphany,,
Advent 3,,
The Boy Wonder (Luke 2:41051),,
