qid,label_en,author_string_uuid,author_string,author_string_series_ordinal,author_string_ref1_hash,author_string_ref1_referenceUrl,author_string_ref1_stated_in,author_string_ref1_retrieved_nodeId,author_string_ref1_retrieved_val,author_string_ref1_retrieved_prec
Q115715334,Methodist revolutions: Evangelical engagements of church and world,,Upolu Luma Va'ai,2,,,Q114403967,,2022-12-15,
Q115715335,"Seventh Sunday of Easter: May 20, 2007",,Paula J Carlson,4,,,Q114403967,,2022-12-15,
Q115715335,"Seventh Sunday of Easter: May 20, 2007",,Martie McMane,7,,,Q114403967,,2022-12-15,
Q115715336,"Day of Pentecost: May 27, 2007",,V Steven Parrish,1,,,Q114403967,,2022-12-15,
Q115715336,"Day of Pentecost: May 27, 2007",,Paula J Carlson,4,,,Q114403967,,2022-12-15,
Q115715336,"Day of Pentecost: May 27, 2007",,David von Schlichten,7,,,Q114403967,,2022-12-15,
Q115715336,"Day of Pentecost: May 27, 2007",,Patrick J Willson,8,,,Q114403967,,2022-12-15,
Q115715337,"Proper 12, Ordinary 17, Pentecost 8: July 26, 2009",,David W Sharrard,3,,,Q114403967,,2022-12-15,
Q115715337,"Proper 12, Ordinary 17, Pentecost 8: July 26, 2009",,Linda M Clemow,4,,,Q114403967,,2022-12-15,
Q115715337,"Proper 12, Ordinary 17, Pentecost 8: July 26, 2009",,Gretchen Lord Anderson,5,,,Q114403967,,2022-12-15,
Q115715337,"Proper 12, Ordinary 17, Pentecost 8: July 26, 2009",,Martin Kich,6,,,Q114403967,,2022-12-15,
Q115715337,"Proper 12, Ordinary 17, Pentecost 8: July 26, 2009",,Lisa Wilson Davison,7,,,Q114403967,,2022-12-15,
Q115715337,"Proper 12, Ordinary 17, Pentecost 8: July 26, 2009",,Sallie Watson,8,,,Q114403967,,2022-12-15,
Q115715338,"Proper 11, Ordinary 16, Pentecost 7: July 19, 2009",,David W Sharrard,3,,,Q114403967,,2022-12-15,
Q115715338,"Proper 11, Ordinary 16, Pentecost 7: July 19, 2009",,Linda M Clemow,4,,,Q114403967,,2022-12-15,
Q115715338,"Proper 11, Ordinary 16, Pentecost 7: July 19, 2009",,Gretchen Lord Anderson,5,,,Q114403967,,2022-12-15,
Q115715338,"Proper 11, Ordinary 16, Pentecost 7: July 19, 2009",,Martin Kich,6,,,Q114403967,,2022-12-15,
Q115715338,"Proper 11, Ordinary 16, Pentecost 7: July 19, 2009",,Lisa Wilson Davison,7,,,Q114403967,,2022-12-15,
Q115715340,"Proper 10, Ordinary 15, Pentecost 6: July 12, 2009",,David W Sharrard,3,,,Q114403967,,2022-12-15,
Q115715340,"Proper 10, Ordinary 15, Pentecost 6: July 12, 2009",,Linda M Clemow,4,,,Q114403967,,2022-12-15,
