qid,label_en,author_uuid,author,author_stated_as,author_series_ordinal,author_ref1_hash,author_ref1_referenceUrl,author_ref1_stated_in,author_ref1_retrieved_nodeId,author_ref1_retrieved_val,author_ref1_retrieved_prec
Q115715308,The Gospel of Prosperity,,Q27643173,Joerg Rieger,,,,Q114403967,,2022-12-15,
Q115715309,Jesus is Lord?!,,Q27643173,Joerg Rieger,,,,Q114403967,,2022-12-15,
Q115715310,Santa Claus Theology,,Q27643173,Joerg Rieger,,,,Q114403967,,2022-12-15,
Q115715311,Rethinking Religion and Economics.,,Q27643173,Joerg Rieger,,,,Q114403967,,2022-12-15,
Q115715312,What is Jesus Doing,,Q27643173,Joerg Rieger,,,,Q114403967,,2022-12-15,
Q115715314,God and Creation—with a Twist,,Q27643173,Joerg Rieger,,,,Q114403967,,2022-12-15,
Q115715315,"Scripture, Authority, and Power",,Q27643173,Joerg Rieger,,,,Q114403967,,2022-12-15,
Q115715316,Justice Revisited,,Q27643173,Joerg Rieger,,,,Q114403967,,2022-12-15,
Q115715317,Tongue-Tied: Class Struggle Is Damaging the Church,,Q27643173,Joerg Rieger,,,,Q114403967,,2022-12-15,
Q115715320,Class Struggle and Religion: Staying Neutral Isn’t An Option,,Q27643173,Joerg Rieger,,,,Q114403967,,2022-12-15,
Q115715321,Keine Religion außer sozialer Religion: Zum befreienden Charakter wesleyanischer Theologie,,Q27643173,Joerg Rieger,,,,Q114403967,,2022-12-15,
Q115715324,"Theologies on the move: religion, migration, and pilgrimage in the world of neoliberal capital",,Q27643173,Joerg Rieger,,,,Q114403967,,2022-12-15,
Q115715325,"Faith, class, and labor: intersectional approaches in a global context",,Q106784918,Jin Young Choi,1,,,Q114403967,,2022-12-15,
Q115715325,"Faith, class, and labor: intersectional approaches in a global context",,Q27643173,Joerg Rieger,2,,,Q114403967,,2022-12-15,
Q115715327,Instigating Class Struggle? The Study of Class in Religion and Theology in the United States And Some Implications for Race and Gender.,,Q27643173,Joerg Rieger,,,,Q114403967,,2022-12-15,
Q115715329,"Mobilizing, Organizing, and Religion: On the Relevance and Irrelevance of Christianity",,Q27643173,Joerg Rieger,,,https://doi.org/10.1080/1462317x.2021.1899703,,,2022-12-15,
Q115715330,Mission as Solidarity: Transforming the World Beyond Advocacy and Charity,,Q27643173,Joerg Rieger,,,,Q114403967,,2022-12-15,
Q115715332,"Rethinking religion, theology, and what really matters: the ultimate concerns of essential work",,Q27643173,Joerg Rieger,,,https://ojs.reformedjournals.co.za/stj/article/view/2199,,,2022-12-15,
Q115715334,Methodist revolutions: Evangelical engagements of church and world,,Q27643173,Joerg Rieger,1,,,Q114403967,,2022-12-15,
Q115715335,"Seventh Sunday of Easter: May 20, 2007",,Q113801010,Holly E Hearon,1,,,Q114403967,,2022-12-15,
Q115715335,"Seventh Sunday of Easter: May 20, 2007",,Q27643173,Joerg Rieger,2,,,Q114403967,,2022-12-15,
Q115715335,"Seventh Sunday of Easter: May 20, 2007",,Q113834603,Ryan LaMothe,3,,,Q114403967,,2022-12-15,
Q115715335,"Seventh Sunday of Easter: May 20, 2007",,Q113823707,Fred Guyette,5,,,Q114403967,,2022-12-15,
Q115715335,"Seventh Sunday of Easter: May 20, 2007",,Q66946645,Jill Y Crainshaw,6,,,Q114403967,,2022-12-15,
Q115715336,"Day of Pentecost: May 27, 2007",,Q27643173,Joerg Rieger,2,,,Q114403967,,2022-12-15,
Q115715336,"Day of Pentecost: May 27, 2007",,Q113834603,Ryan LaMothe,3,,,Q114403967,,2022-12-15,
Q115715336,"Day of Pentecost: May 27, 2007",,Q113823707,Fred Guyette,5,,,Q114403967,,2022-12-15,
Q115715336,"Day of Pentecost: May 27, 2007",,Q66946645,Jill Y Crainshaw,6,,,Q114403967,,2022-12-15,
Q115715337,"Proper 12, Ordinary 17, Pentecost 8: July 26, 2009",,Q93232230,Jerry L Sumney,1,,,Q114403967,,2022-12-15,
Q115715337,"Proper 12, Ordinary 17, Pentecost 8: July 26, 2009",,Q27643173,Joerg Rieger,2,,,Q114403967,,2022-12-15,
Q115715338,"Proper 11, Ordinary 16, Pentecost 7: July 19, 2009",,Q93232230,Jerry L Sumney,1,,,Q114403967,,2022-12-15,
Q115715338,"Proper 11, Ordinary 16, Pentecost 7: July 19, 2009",,Q27643173,Joerg Rieger,2,,,Q114403967,,2022-12-15,
Q115715338,"Proper 11, Ordinary 16, Pentecost 7: July 19, 2009",,Q113810907,Brett Younger,8,,,Q114403967,,2022-12-15,
Q115715340,"Proper 10, Ordinary 15, Pentecost 6: July 12, 2009",,Q93232230,Jerry L Sumney,1,,,Q114403967,,2022-12-15,
Q115715340,"Proper 10, Ordinary 15, Pentecost 6: July 12, 2009",,Q27643173,Joerg Rieger,2,,,Q114403967,,2022-12-15,
Q115715341,"Proper 9, Ordinary 14, Pentecost 5: July 5, 2009",,Q93232230,Jerry L Sumney,1,,,Q114403967,,2022-12-15,
Q115715341,"Proper 9, Ordinary 14, Pentecost 5: July 5, 2009",,Q27643173,Joerg Rieger,2,,,Q114403967,,2022-12-15,
Q115715343,"Proper Twenty-Six, Ordinary 31, Pentecost 23: October 31, 2010",,Q27643173,Joerg Rieger,2,,,Q114403967,,2022-12-15,
Q115715343,"Proper Twenty-Six, Ordinary 31, Pentecost 23: October 31, 2010",,Q113802355,Edward N McNulty,6,,,Q114403967,,2022-12-15,
Q115715343,"Proper Twenty-Six, Ordinary 31, Pentecost 23: October 31, 2010",,Q113810907,Brett Younger,8,,,Q114403967,,2022-12-15,
Q115715344,"Proper Twenty-Five, Ordinary 30, Pentecost 22: October 24, 2010",,Q27643173,Joerg Rieger,2,,,Q114403967,,2022-12-15,
Q115715344,"Proper Twenty-Five, Ordinary 30, Pentecost 22: October 24, 2010",,Q113735559,Michael S Koppel,3,,,Q114403967,,2022-12-15,
Q115715344,"Proper Twenty-Five, Ordinary 30, Pentecost 22: October 24, 2010",,Q113802355,Edward N McNulty,6,,,Q114403967,,2022-12-15,
Q115715344,"Proper Twenty-Five, Ordinary 30, Pentecost 22: October 24, 2010",,Q113810907,Brett Younger,8,,,Q114403967,,2022-12-15,
Q115715346,"Proper Twenty-Four, Ordinary 29, Pentecost 21: October 17, 2010",,Q27643173,Joerg Rieger,2,,,Q114403967,,2022-12-15,
Q115715346,"Proper Twenty-Four, Ordinary 29, Pentecost 21: October 17, 2010",,Q113735559,Michael S Koppel,3,,,Q114403967,,2022-12-15,
Q115715347,"Proper Twenty-Three, Ordinary 28, Pentecost 20: October 10, 2010",,Q27643173,Joerg Rieger,2,,,Q114403967,,2022-12-15,
Q115715347,"Proper Twenty-Three, Ordinary 28, Pentecost 20: October 10, 2010",,Q113735559,Michael S Koppel,3,,,Q114403967,,2022-12-15,
Q115715349,"Proper Twenty-Two, Ordinary 27, Pentecost 19: October 3, 2010",,Q27643173,Joerg Rieger,2,,,Q114403967,,2022-12-15,
Q115715349,"Proper Twenty-Two, Ordinary 27, Pentecost 19: October 3, 2010",,Q113802355,Edward N McNulty,6,,,Q114403967,,2022-12-15,
Q115715350,"Proper 12, Ordinary 17, Pentecost 7: July 27, 2014",,Q27643173,Joerg Rieger,2,,,Q114403967,,2022-12-15,
Q115715350,"Proper 12, Ordinary 17, Pentecost 7: July 27, 2014",,Q113802355,Edward N McNulty,6,,,Q114403967,,2022-12-15,
Q115715350,"Proper 12, Ordinary 17, Pentecost 7: July 27, 2014",,Q113810907,Brett Younger,8,,,Q114403967,,2022-12-15,
Q115715351,"Proper 11, Ordinary 16, Pentecost 6: July 20, 2014",,Q27643173,Joerg Rieger,2,,,Q114403967,,2022-12-15,
