qid,label,orcid
Q93237708,Brent A. Strawn,
Q93241981,Brad E. Kelle,
Q93522193,Jonathan S. Coley,
Q107266742,Karen Baker-Fletcher,
Q95303541,Scott R. Swain,
Q92935270,Donald K. Grayson,0000-0002-9547-6268
Q109600229,Randall C. Bailey,
Q92602470,Michael Allen,
Q97398066,Elizabeth Alexander,
Q97398634,Lucinda Stewart,
Q93244333,Francisco Lozada,
Q96586626,Annalise E. Glauz-Todrank,
Q96236317,Christine A Hastorf,0000-0002-4661-5524
Q112532820,Theodore Walker,
Q94854010,Garth Kasimu Baker-Fletcher,
Q99398137,Eric Ziolkowski,
Q335189,Colin Renfrew,
Q83196562,Tiffiny A. Tung,0000-0001-9869-3842
Q4772041,Anthony B. Pinn,
Q6377445,Katie Geneva Cannon,
Q5298611,Dorothy Roberts,
Q83492821,Larry W. Isaac,0000-0003-2961-7509
Q5292723,Don H. Compier,
Q6138351,James M. Adovasio,
Q6769717,Mark Silk,
Q1336892,John Dominic Crossan,
Q1817914,Lenn Evan Goodman,0000-0003-3368-2303
Q21294582,Philippe Bordeyne,
Q12482381,Eleazar S. Fernandez,
Q5052770,Catherine Keller,
Q15715715,John Coffey,
Q100329,Michael Welker,
Q92222709,Paul E. Capetz,
Q12493238,Kwok Pui-lan,
Q6537132,Lewis V. Baldwin,
Q7346735,Robert Laurens Kelly,
Q57435308,Joyce Ann Mercer,0000-0002-8537-3679
Q61787528,Gustavo Politis,0000-0003-4161-9873
Q1995603,Brethren of Purity,
Q6766521,Mark Allan Powell,
Q27662966,Manan Ahmed Asif,
Q15129872,Vance T. Holliday,0000-0002-7361-3911
Q47092734,Catherine Mayeur-Jaouen,
Q5814824,Duccio Bonavia,
Q6844375,Miguel A. De La Torre,
Q42305783,R. S. Sugirtharajah,
Q60694120,Todd J. Braje,0000-0002-3138-1665
Q4164276,Richard Klein,0000-0002-6180-2168
Q30146162,Isabel Rey,0000-0002-2122-5124
Q56042645,Christine Hastorf,
Q47744325,Julia C. Phillippi,0000-0002-6549-094X
Q22096894,Adam Sabra,
Q63183858,Edward P. Wimberly,
Q63183852,Kathleen A. Cahalan,
Q58328277,Katherine L Chiou,0000-0003-0160-8037
Q5112096,Christopher Chippindale,
Q5210332,Dale Allison,
Q83492880,Oluchi Nwosu-Randolph,0000-0002-8018-5505
Q20708438,Jonathan Boyarin,
Q58042411,Roland Boer,
Q5289551,Dolores R. Piperno,0000-0002-0584-3133
Q63183850,Lucy Bregman,
Q87181391,Tat-Siong Benny Liew,
Q86741654,JuLeigh Petty,0000-0002-9370-4888
Q63183848,Felicidad Oberholzer,
Q63183857,Herbert Anderson,
Q92224966,Laura Gillman,
Q83439346,Daniel B.  Cornfield,
Q42907841,José Iriarte,0000-0002-8155-5360
Q57230480,Torben C. Rick,0000-0002-8254-5885
Q27443414,David J. Meltzer,0000-0001-8084-9802
Q63038666,Joretta L. Marshall,
Q63183851,Carol Lakey Hess,
Q59685764,Ximena S Villagran,0000-0001-8630-2015
Q58463679,Gelvam A Hartmann,0000-0001-6078-3893
Q83665976,Teresa Rosales Tham,
Q50204819,"Steven L. Goodbred, Jr.",0000-0001-7626-9864
Q6271166,Jon M. Erlandson,0000-0002-4705-4319
Q63183847,Trevor Watt,
Q1898981,Mario Pino Quivira,0000-0001-6181-353X
Q89128687,Sally Miller,0000-0002-3426-8027
