qid,label_en,author_uuid,author,author_stated_as,author_series_ordinal,author_ref1_hash,author_ref1_referenceUrl,author_ref1_stated_in,author_ref1_retrieved_nodeId,author_ref1_retrieved_val,author_ref1_retrieved_prec
Q115564466,Faith on Earth: An Inquiry into the Structure of Human Faith,20F9CF43-7775-4260-AC4C-A559BDBF662C,Q82775133,Victor Anderson,1,b040a097b08bf1314c9e2647912dbb7f119015cf,,Q114403967,6305aa58-274e-48c2-93f5-c465eefacd2b,2022-12-02T00:00:00Z,11
Q115564467,Dialogical Interrogations,B0616D0A-59A6-4538-8881-17EDF0BA8FF0,Q82775133,Victor Anderson,3,b040a097b08bf1314c9e2647912dbb7f119015cf,,Q114403967,5c9e9523-4a54-4abe-996c-c804d2d2a890,2022-12-02T00:00:00Z,11
Q115564467,Dialogical Interrogations,379AC47E-A3A0-4F1A-BD3C-0DA75E9B9259,Q112532820,Theodore Walker,2,b040a097b08bf1314c9e2647912dbb7f119015cf,,Q114403967,48447d84-622f-4a44-98ff-fd6d62e56e73,2022-12-02T00:00:00Z,11
Q115564467,Dialogical Interrogations,ACC929BE-22DE-4DF3-8F7A-68054C887C90,Q94854010,G Kasimu Baker-Fletcher,1,b040a097b08bf1314c9e2647912dbb7f119015cf,,Q114403967,8b99aa67-275c-4f07-b106-7482738a2c71,2022-12-02T00:00:00Z,11
Q115633054,Spirituality and capitalism,0021E2A0-32EE-4D37-A67C-42A43FF42D7F,Q82775133,Victor Anderson,,8197fe17d2ee45e8ec5c6f2445690105a6e37021,,Q114403967,be886587-f6e1-4977-8907-60a281543259,2022-12-08T00:00:00Z,11
Q115633055,Telling God's stories with power,A49BB2F9-C800-493E-B8CA-9584B6258CCB,Q82775133,Victor Anderson,,8197fe17d2ee45e8ec5c6f2445690105a6e37021,,Q114403967,063c3b74-3f15-425f-9728-e954115d1ffd,2022-12-08T00:00:00Z,11
Q115633056,Frustrated Fellowship: The Black Baptist Quest for Social Power,93363D97-58C1-4A4D-912D-B13DD6191DA2,Q82775133,Victor Anderson,,8197fe17d2ee45e8ec5c6f2445690105a6e37021,,Q114403967,412e57b2-b313-4324-a051-2d256a5cc5ab,2022-12-08T00:00:00Z,11
Q115633057,Soul theology: the heart of American black culture,862CC3CA-B4F7-49A3-BB2B-1773B935939F,Q82775133,Victor Anderson,,8197fe17d2ee45e8ec5c6f2445690105a6e37021,,Q114403967,4930cea9-98b8-4ca5-bb99-8e766b819971,2022-12-08T00:00:00Z,11
Q115633058,Face to face : becoming a pastor to children,DC463329-C9B9-4BB5-BCF8-98257B68BC8B,Q82775133,Victor Anderson,,8197fe17d2ee45e8ec5c6f2445690105a6e37021,,Q114403967,8d469c05-cc8f-450f-baf8-c0193353b4d4,2022-12-08T00:00:00Z,11
Q115633059,African American Religious Thought and Pragmatism,5CB9E294-E415-4F79-8702-49A4D8B3509A,Q82775133,Victor Anderson,,8197fe17d2ee45e8ec5c6f2445690105a6e37021,,Q114403967,8422a0e8-8982-4908-b763-3c37ac9b757a,2022-12-08T00:00:00Z,11
Q115648806,A Reasonable Belief: Why God and Faith Make Sense by William Greenway (review),1B6215F5-FBAC-4517-8489-632BD49D0E6B,Q82775133,Victor Anderson,,ecd4a0af66cf33aeb880971a289fcf5d2f2f2d5b,https://muse.jhu.edu/article/685077,,6724914b-085c-4e89-ae73-4b77057dae77,2022-12-09T00:00:00Z,11
Q115649449,Changing conversions: reliigous reflection and cultural analysis,A27FAFA9-285D-4CC3-B55B-98DE680BBE20,Q82775133,Victor Anderson,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,11370dd3-91e7-4188-90da-71efd75d41e0,2022-12-09T00:00:00Z,11
Q115649450,Nuts and Bolts of Culture-Sensitive Sermons,B0B0C8FF-9600-48DC-ACCE-06CCA3D68606,Q82775133,Victor Anderson,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,55b94ed5-c91b-46ab-bb27-5b33717a9f68,2022-12-09T00:00:00Z,11
Q115649451,TED Talks: The Official Guide to Public Speaking,48463180-B17A-43DE-B3EC-2BA9CAD87DD1,Q82775133,Victor Anderson,,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,1893904d-b768-4d54-8b5e-9e3e3129d08b,2022-12-09T00:00:00Z,11
