qid,label_en,author_string_uuid,author_string,author_string_series_ordinal,author_string_ref1_hash,author_string_ref1_referenceUrl,author_string_ref1_stated_in,author_string_ref1_retrieved_nodeId,author_string_ref1_retrieved_val,author_string_ref1_retrieved_prec
Q115649895,"Introduction: Afrofuturism in Black Theology – Race, Gender, Sexuality, and the State of Black Religion in the Black Metropolis",01EBA16B-100E-4BA9-BC27-6E4FC3FA7963,Terrance Dean,2,0b4a8b3df9dc3487209c63822542b3280b0d2f64,http://dx.doi.org/10.1080/14769948.2015.1131499,,56910e7f-244a-4938-96f0-ba569d94aef5,2022-12-09T00:00:00Z,11
Q115649898,Listening to listeners: homiletical case studies,742ED985-28D2-461C-AC34-DBDBFBB6DC2E,"G. Lee Ramsey, Jr.",1,111b34e11e08aeb3af4b74b93e6231b505e9b9cd,https://chalicepress.com/products/listening-to-listeners,,a9da15ea-d5ac-41db-b506-1a7a6e4d4b13,2023-01-20T00:00:00Z,11
Q115649898,Listening to listeners: homiletical case studies,5B848965-588F-4C23-ABC4-0464A9CC5DAA,L. Susan Bond,3,111b34e11e08aeb3af4b74b93e6231b505e9b9cd,https://chalicepress.com/products/listening-to-listeners,,36d7b3c3-888d-4a14-bdc9-d2d21f7789c8,2023-01-20T00:00:00Z,11
Q115649898,Listening to listeners: homiletical case studies,C48CB92D-336D-46C7-B272-430928895248,Dan P. Moseley,6,111b34e11e08aeb3af4b74b93e6231b505e9b9cd,https://chalicepress.com/products/listening-to-listeners,,02463fd0-9606-4958-9535-a3f22159465f,2023-01-20T00:00:00Z,11
Q115649899,"Easter/Resurrection of the Lord: March 27, 2005",FED19F38-7776-4A68-8403-40691C89A14A,Preston Harper,4,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,46fe993c-f587-4bd2-bc83-a2b650391d69,2022-12-09T00:00:00Z,11
Q115649899,"Easter/Resurrection of the Lord: March 27, 2005",8B6CB52C-F0E5-41CC-BA00-E777F9677D95,David von Schlichten,5,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,63dd079a-1f57-4575-a1cb-f421253263b1,2022-12-09T00:00:00Z,11
Q115649899,"Easter/Resurrection of the Lord: March 27, 2005",AB88AAE0-E369-420D-8F8B-6C421C19BEF9,Fritz Bogar,7,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,d3276da6-bc76-4007-a91b-58568392d04c,2022-12-09T00:00:00Z,11
Q115649899,"Easter/Resurrection of the Lord: March 27, 2005",09F5FBC8-5682-49CD-AA1E-DC8D6F178AE2,Patrick J Willson,8,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,b8fa4297-3e85-489f-845e-9ad968bb1d12,2022-12-09T00:00:00Z,11
Q115649900,"Passion/Palm Sunday: March 20, 2005",BF8C510A-3841-43B0-AD24-A46CED752AB1,Preston Harper,4,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,9a9f008b-4b5b-4331-9419-afee6e74c4f1,2022-12-09T00:00:00Z,11
Q115649900,"Passion/Palm Sunday: March 20, 2005",C2748FBB-92B4-4595-8CC7-206888EA3EF2,David von Schlichten,5,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,0dbdd8b6-8348-41af-a65e-5ec5b0e197b8,2022-12-09T00:00:00Z,11
Q115649900,"Passion/Palm Sunday: March 20, 2005",D11C5D5D-4FB1-4486-B52F-D4527EDA63B7,Virginia Miner,7,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,a5aa5170-2ed1-40dd-9d89-cdaccca6839b,2022-12-09T00:00:00Z,11
Q115649900,"Passion/Palm Sunday: March 20, 2005",8CE426A5-B284-4EA7-80A1-C5C874394393,Robert J Elder,8,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,74fed6ef-07c4-4dc8-97a1-a3adafdc19e4,2022-12-09T00:00:00Z,11
Q115649902,"Fifth Sunday in Lent: March 13, 2005",2C875405-CF00-46E5-8FBF-F46F45174D9F,Preston Harper,4,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,51fd1666-59d7-4f1b-8b5b-613cea9e7f46,2022-12-09T00:00:00Z,11
Q115649902,"Fifth Sunday in Lent: March 13, 2005",BCD95A2D-1277-4080-99B6-5661E73218E8,David von Schlichten,5,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,48b448b9-5dfd-49b2-9450-9f1fb7fee32b,2022-12-09T00:00:00Z,11
Q115649902,"Fifth Sunday in Lent: March 13, 2005",E0D13EA7-5E20-4F1B-AA3D-DA7C78B5A164,Dean J Seal,7,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,57f206d7-db7d-4d94-9620-c722eea335cd,2022-12-09T00:00:00Z,11
Q115649902,"Fifth Sunday in Lent: March 13, 2005",EFED61A8-4D4E-463C-87EF-1FC55C59BFF6,Robert J Elder,8,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,96c76ea0-522a-4386-ba4a-2063953815cc,2022-12-09T00:00:00Z,11
Q115649904,"Fourth Sunday in Lent: March 6, 2005",25F4902D-AA24-471F-BF5D-2A6011E70BDC,Preston Harper,4,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,98af12c0-fd28-4e6b-aa75-b83cf49080ac,2022-12-09T00:00:00Z,11
Q115649904,"Fourth Sunday in Lent: March 6, 2005",B651B70E-1A46-482B-9216-6E6766029BBD,David von Schlichten,5,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,a3f67eab-6b11-4600-b5a6-e14987a37eb9,2022-12-09T00:00:00Z,11
