skipped,Key,Divinity Faculty,Publication Year,Author,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Item Type,Title,Publication Title
,IA4WAMRM,"Knight, Douglas A.",2002,"Knight, Douglas A.",0-8264-6149-2,,,,,2002,5/16/14 15:51,5/16/14 15:51,,51-63,,,,,,,,,,,Sheffield Academic Press,London,,,,,,EBSCOhost,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001338489&site=ehost-live&scope=cite,,Ideology; Bible. Joshua 22-23; Boundaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,Joshua 22 and the ideology of space,'Imagining' biblical worlds
,W8GIKFFC,"Sasson, Jack",2000,"Sasson, Jack M.",1-930675-01-1 978-1-930675-01-8,,,,,2000,12/15/14 19:44,5/1/15 14:58,,205-220,,,,,,,Brown Judaic Studies,,,,Brown Judaic Studies,"Providence, R.I.",English,,,,,Open WorldCat,,,,,,,,"Olyan, Saul M.; Culley, Robert C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,The Mother of All… Etiologies,"""A wise and discerning mind"": essays in honor of Burke O. Long"
,ZEFXJN83,"Rieger, Joerg",2018,"Ramminger, Michael; Segbers, Franz; Institut für Theologie und Politik; Rosa-Luxemburg-Stiftung; Rieger, Joerg",978-3-89965-790-6,,,,,2018,6/11/20 19:00,9/29/20 18:18,,231-242,,,,,,,,,,,VSA Verlag,Hamburg,German,,,,,Open WorldCat,,OCLC: 1048925173,,,,,,,,,"Ramminger, Michael; Segbers, Franz; Institut für Theologie und Politik; Rosa-Luxemburg-Stiftung",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,"Die Christen, Marx und die USA","""Alle Verhältnisse umzuwerfen ... und die Mächtigen vom Thron zu stürzen"": das gemeinsame Erbe von Christen und Marx"
,5F47ID3V,"Rieger, Joerg",2015,"Rieger, Jeorg",978-3-89965-656-5,,,,,2015,6/26/18 16:21,9/23/20 15:03,,46-61,,,,,,,,,,,VSA,Hamburg,,,,,,,,,,,,,,,,,,,"Segbers, Franz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,Occupray! Theologie für die 99 Prozent.,"""Diese Wirtschaft tötet"": (Papst Franziskus) Kirchen gegen Kapitalismus"
,T3WK6Q53,"Sasson, Jack",1994,"Sasson, Jack M.",0-931464-88-9,,,,,1994,12/12/14 3:42,12/12/14 3:42,,448-457,,,,,,"The ""Tower of Babel"" as a clue to the redactional structuring of the primeval history (Genesis 1",,,,,Eisenbrauns,"Winona Lake, Ind",,,,,,EBSCOhost,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001208349&site=ehost-live&scope=cite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,"The ""Tower of Babel"" as a clue to the redactional structuring of the primeval history (Genesis 1:1-11:9)","""I studied inscriptions before the Flood"""
,2HGCKK5X,"Sasson, Jack",1992,"Sasson, Jack M.",978-0-931464-61-4,,,,"Book by Michael A. Fishbane, Emanuel Tov",1992,12/12/14 16:34,5/1/15 15:58,,183-194,,,,,,,,,,,Eisenbrauns,"Winona Lake, Ind",English,,,,,Amazon.com,,,,,http://www.amazon.com/22ShaArei-Talmon-22-Studies-Presented-Shemaryahu/dp/0931464617,,,"Fishbane, Michael A.; Tov, Emanuel; Talmon, Shemaryahu; Fields, Weston W.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,Time…to Begin,"""Sha'Arei Talmon"": Studies in the Bible, Qumran, and the Ancient Near East Presented to Shemaryahu Talmon"
,6AZXXUXE,"Morrill, Bruce T.",2007,"Morrill, Bruce T.",978-0-8146-6017-1,,,,,2007,10/30/14 17:28,10/30/14 17:30,,,,,,,,,,,,,Liturgical Press,"Collegeville, Minn",eng,,,,,Primo,BX2015.3 .C66 2007,,,,,,Catholic Church Liturgy Texts Rubrics; Catholic Church. General instruction of the Roman missal; Catholic Church. Institutio generalis Missalis Romani; General instruction of the Roman missal; Institutio generalis Missalis Romani; Lord's Supper Catholic Church Liturgy Texts; Mass Celebration; Missals Texts,"Foley, Edward; Mitchell, Nathan; Pierce, Joanne M.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,Chapter Three: The Duties and Ministries in the Mass (De Officiis et Ministeriis in Missa),A commentary on the general instruction of the Roman Missal : developed under the auspices of the Catholic Academy of Liturgy and cosponsored by the Federation of Diocesan Liturgical Commissions
,PWHV3RUD,"Sasson, Jack",2008,"Sasson, Jack M.",978-1-4051-8838-8,,,,"A Companion to Ancient Epic  presents for the first time a comprehensive, up-to-date overview of ancient Near Eastern, Greek and Roman epic. It offers a multi-disciplinary discussion of both longstanding ideas and newer perspectives. A  Companion  to the Near Eastern, Greek, and Roman epic traditions Considers the interrelation between these different traditions Provides a balanced overview of longstanding ideas and newer perspectives in the study of epic Shows how scholarship over the last forty years has transformed the ways that we conceive of and understand the genre Covers recently introduced topics, such as the role of women, the history of reception, and comparison with living analogues from oral tradition The editor and contributors are leading scholars in the field Includes a detailed index of poems, poets, technical terms, and important figures and events",11/3/08,12/15/14 16:39,11/28/22 19:29,,215-232,,,,,,,Blackwell companions to the ancient world. Literature and culture,,,,Wiley-Blackwell,"Oxford ; Malden, MA",English,,,,,Amazon.com,,DOI 10.1002/9780470996614.ch15,,,http://www.amazon.com/Companion-Ancient-Epic-Miles-Foley/dp/1405188383,,,"Foley, John Miles",,,,,,,,,,,,,,,,,,,1 edition,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,Comparative Observations on the Near Eastern Epic Traditions,A Companion to Ancient Epic
,8NIF8I9X,"Sasson, Jack",2011,"Sasson, Jack M.",978-1-907534-33-1,,,,"This volume honours the distinctive contribution to Hebrew Bible studies over four decades by Cheryl Exum, Professor Emerita of Biblical Studies in the University of Sheffield. Her special interests have lain, first, in the modern literary criticism of the Hebrew Bible, where her key work was Tragedy and Biblical Narrative: Arrows of the Almighty. Asecond area has been feminist criticism of the Hebrew Bible; here her notable contributions were Fragmented Women: Feminist (Sub)versions of Biblical Narratives and Plotted, Shot, and Painted: Cultural Representations of Biblical Women. A more recent, and now almost favourite, theme is the Bible and cultural studies, especially the Bible and art. Key works here have been a series of edited volumes, such as Beyond the Biblical Horizon: The Bible and the Arts, and The Bible in Film / The Bible and Film. Her fourth area of continuing interest has been the Song of Songs, with many articles culminating in her perceptive commentary in the Old Testament Library series. In this rich volume, 25 of her friends and colleagues offer her papers on all these themes. Several are on or around the Song of Songs (Graeme Auld, Fiona Black, David Clines, Sara Japhet, Martti Nissinen, Yair Zakovitch), and topics of feminist interest (Yairah Amit, Athalya Brenner, Claudia Camp, Hugh Pyper, Jack Sasson). Cultural studies are represented by Alice Bach, Hans Barstad, Andrew Davies, David Gunn, Martin O'Kane, John Sawyer and Ellen van Wolde, and literary criticism by Michael Fox, Edwin Good, Norman Gottwald, Edward Greenstein, Francis Landy, Burke Long and Hugh Williamson.",2011-11,12/11/14 21:12,12/11/14 21:14,,333-355,,,,,,,,,,,Sheffield Phoenix Press Ltd,"Sheffield, England",Inglese,,,,,Amazon.com,,,,,http://www.amazon.it/Critical-Engagement-Essays-Hebrew-Honour/dp/1907534334,,,"Clines, David J. A.; Wolde, Ellen Van",,,,,,,,,,,,,,,,,,,New. edizione,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,Breeder or two for each leader: On Mothers in Judges 4 and 5,A Critical Engagement: Essays on the Hebrew Bible in Honour of J. Cheryl Exum
,9P4CK4VM,"Levine, Amy-Jill",2015,"Levine, Amy-Jill",,,,http://www.bloomsbury.com/us/a-feminist-companion-to-tobit-and-judith-9780567656025/,"A Feminist Companion to Tobit and Judith extends the work of the hugely influential and respected Feminist Companion series, which continues to set the standard for feminist approaches to the Hebrew Bible and related texts. In the present volume Athalya Brenner-Idan (with Helen Efthimiadis-Keith) draws together a range of scholarly commentators and addresses the core issues relating to feminist interpretations of the two texts at hand. The volume examines attitudes to gender, identities, exile, social mores, beliefs, clothing, food and drink, personal relationships, and biblical reception. The contributors are: Beverly Bow and George Nickelsburg, Athalya Brenner-Idan, Ora Brison, Helen Efthimiadis-Keith, Renate Egger-Wenzel, Beate Ego, Emma England, Jennifer Glancy, Jan Willem van Henten, Naomi Jacobs, Amy-Jill Levine, Pamela Milne, and Barbara Schmitz.",2015,11/3/16 19:59,8/10/20 19:31,11/3/16 19:59,,,,,,,,,,,,Bloomsbury Publishing,,,,,,,,,,,C:\Users\xus12\Zotero\storage\BMQW6SEM\a-feminist-companion-to-tobit-and-judith-9780567656025.html,,,,"Brenner-Idan, Athalya; Efthimiadis-Keith, Helen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,Redrawing the Boundaries: A New Look at ‘Diaspora as Metaphor: Bodies and Boundaries in the Book of Tobit,A Feminist Companion to Tobit and Judith
,HKIWGHU7,"Levine, Amy-Jill",2014,"Levine, Amy-Jill",978-90-04-28428-9,,,http://proxy.library.vanderbilt.edu/login?url=http://site.ebrary.com/lib/vanderbilt/docDetail.action?docID=10959432,"$$Ccontents$$VJacob Neusner's Legacy of Learning / William Scott Green, Alan J. Avery-Peck, Bruce Chilton, Gary G. Porton -- Ancient and Rabbinic Judaism -- The Amoraic Agenda in Bavli Rosh Hashanah: A Generational Analysis / Alan J. Avery-Peck -- Women and Gender in Jacob Neusner's Writings / Judith R. Baskin -- ""It Is Time to Act for the Lord"": In Appreciation of Midrash Samuel / Craig A. Evans -- Tent of Meeting as Bet Ulpana: Temple as Torah in the Targums of Israel / Paul V.M. Flesher -- Talmudic Stories about Angry and Annoyed Rabbis / Joel Gereboff -- Judaism Evolving: An Experimental Preliminary Translation / William Scott Green -- ""The Weaver of Midrash in Performance"": Notes to an Oral-Performative Translation of Sifre Devarim / Martin S. Jaffee -- The ""Neusnerian Turn"" in Method and the End of the Wissenschaft as We Knew It / Peter J. Haas -- Israelite Religion in the Light of Hebrew Epigraphy: The Inscriptions from Kuntillet 'Ajrud / Baruch A. Levine -- How the Rabbis Imagined Sarah: A Preliminary Study of the Feminine in Genesis Rabbah / Gary G. Porton -- Varieties of Religious Visualizations / Tzvee Zahavy -- Judaism and Christianity -- Vayavo Ya'acov Skalem / Herbert Basser -- The Platform of Mark's Gospel, Its Aramaic Sources and Mark's Achievement / Bruce Chilton -- Embodied Judaism, Emplaced Judaism / David Kraemer -- Jesus Talks Back / Amy-Jill Levine -- Parting of the Ways that Never Parted: Judaism and Christianity in the Work of Jacob Neusner / Elliot R. Wolfson -- American Judaism -- The American Jewish Holocaust ""Myth"" and ""Negative Judaism"": Jacob Neusner's Contribution to American Judaism / Shaul Magid -- World Religions and Philosophy -- Intentionality and Meaning / Robert M. Berchman -- Another Prophetic Paradigm: Moses in Sufi Verse / Th. Emil Homerin -- The Formative Period of Islam and the Documentary Approach: A Prolegomenon / Aaron W. Hughes -- The Academy -- Transcendent Education: Immortality and the Liberal Arts / Roger Brooks., $$Creproduction$$VElectronic reproduction. Palo Alto, Calif. Available via World Wide Web., $$Cbibliography_note$$VIncludes bibliographical references and index.",2014,11/3/16 19:33,11/3/16 19:34,11/3/16 19:33,,,,,,,,Brill reference library of Judaism ; v. 43. ^A1233636,,,,Brill,Leiden ; Boston,eng,,,,,discoverlibrary.vanderbilt.edu,AVAILABLE ONLINE,,,,,,"Electronic books; Festschriften; Anniversary volumes; Commemorative volumes; Homage volumes; J. ニユーズナー, 1932-2016; Jubilee volumes; Judaism History Talmudic period, 10-425; Neuser, Jacob, 1932-2016; Neusner, Jacob, 1932-2016; r Employer: Bard College; Rabbinical literature History and criticism; Talmud Criticism, interpretation, etc; Talmud Evidences, authority, etc; Wedding publications; נוסנר, יעקב, ־1932; ניוזנר, יעקב, ־1932","Neusner, Jacob; Avery-Peck, Alan J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,Jesus Talks Back,A legacy of learning: essays in honor of Jacob Neusner
,LWTPSECW,"Levine, Amy-Jill",2015,"Levine, Amy-Jill",978-1-930675-96-4 978-1-930675-94-0,,,https://www.jstor.org/stable/10.2307/j.ctt1803z7s,,10/30/15,6/19/18 19:13,8/11/20 16:42,6/19/18 19:13,,,,,,,,,,,,Society of Biblical Literaure Press,,en,,,,,Crossref,,DOI: 10.2307/j.ctt1803z7s,,C:\Users\xus12\Zotero\storage\5XX75USS\Harvey et al. - 2015 - A Most Reliable Witness Essays in Honor of Ross S.pdf,,,,"Harvey, Susan Ashbrook; DesRosiers, Nathaniel P.; Lander, Shira L.; Pastis, Jacqueline Z.; Ullucci, Daniel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,This poor widow … (Mark 12:43): From Donation to Diatribe,A Most Reliable Witness: Essays in Honor of Ross Shepard Kraemer
,HPDTRZPP,"Armour, Ellen T.",1996,"Armour, Ellen T.",0-687-27803-1,,,,,1996,5/7/14 19:28,5/7/14 19:28,,,,,,,,,,,,,Abingdon Press,Nashville,,,,,,acorn.library.vanderbilt.edu Library Catalog,BT28 .N48 1996,,,,,,,"Price, Joseph; Musser, Donald",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,Sallie McFague,A new handbook of Christian theologians
,S3K74EHC,"Sasson, Jack",1988,"Sasson, Jack M.",0-934718-90-3,,,,,1988,12/12/14 16:06,10/7/20 18:53,,,,,,,,,Occasional Publications of the Samuel Noah Kramer Fund,,,,The University Museum (University of Pennsylvania Museum of Archaeology and Anthropology),Philadelphia,,,,,,EBSCOhost,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001039674&site=ehost-live&scope=cite,,"Festschriften; Assyriology; Akkadian language--Texts; Astronomy, Assyro-Babylonian; Sachs, Abraham J, 1914-1983; Sumerian language--Texts","Leichty, Erle; Ellis, Maria deJong; Gerardi, Pamela",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,Shunukhra-Khalu,A scientific humanist : studies in memory of Abraham Sachs
,NMLDGYB2,"Budwey, Stephanie A.",2021,"Budwey, Stephanie A.",978-1-5018-9657-6,,,,,2021,6/29/22 22:09,6/29/22 22:11,,87-90,,,,,,,,,,,Abingdon Press,Nashville,eng,,,,,catalog.library.vanderbilt.edu,,,,,,,"Public worship; Worship; Handbooks, manuals, etc; Liturgies","Williams, Khalia J.",,,,,"Liu, Gerald C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,"Worship, Gender, and Sexuality.",A worship workbook: a practical guide for extraordinary liturgy / Gerald C. Liu & Khalia J. Williams ; foreword by Lauren Winner.
