skipped,Key,Divinity Faculty,Publication Year,Author,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Item Type,Title,Publication Title
,7ABPA2C5,"Seow, C.L.",2016,"Seow, Choon-Leong",,,,,,2016,8/31/21 16:22,8/31/21 16:24,,,,,13,,,,,,,,De Gruyter,Berlin,English,,,,,Open WorldCat,,OCLC: 946759332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encyclopediaArticle,"History of Interpretation (HB/OT); “Jemimah”; “Jeshua (Place)""",Encyclopedia of the Bible and Its Reception
,3BGG759M,"Seow, C.L.",2017,"Seow, Choon-Leong",,,,,,2017,8/31/21 16:21,8/31/21 16:22,,,,,14,,,,,,,,De Gruyter,Berlin,English,,,,,Open WorldCat,,OCLC: 1045921415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encyclopediaArticle,"Job, Book and Person (Introduction; HB/OT; Visual Arts); Job’s Friends (HB/OT; Visual Arts); Joshua son of Jehozadaq (HB/OT; Judaism, Christianity, Visual Art); Justice (HB/OT)",Encyclopedia of the Bible and Its Reception
,RXDAAUD4,"Hudnut-Beumler, Jim",2020,"Hudnut-Beumler, James",,,,,,2020,7/8/21 19:08,7/8/21 19:11,,,,,18,,,,,,,,,,English,,,,,Open WorldCat,,OCLC: 1222054314,,,,,,"Furey, Constance M; Matz, Brian J; McKenzie, Steven L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encyclopediaArticle,“Money  | Christianity  | Modern Europe  and  America“  and  “Moneylending  |  Christianity | Modern  Europe and America”,Encyclopedia of the Bible and Its Reception
,BPW7UJT3,"Andrews, Dale P.",2013,"Andrews, Dale P.",978-0-664-23540-6,,,,"$$Ccontents$$VVolume 1. Chapters 1-13 -- Volume 2. Chapters 14-18., $$Cbibliography_note$$VIncludes bibliographical references.",2013,10/11/16 17:45,6/29/20 18:12,,,,,,,,,,,,,Westminster John Knox Press,Louisville,eng,,,,,discoverlibrary.vanderbilt.edu,"BS2575.52 .F37 2013 v.2, BS2575.52 .F37 2013 v.1",,,,,,Bible. Matai den; Bible. Matai ni yoru fukuinsho; Bible. Matʻae pogŭm; Bible. Matius; Bible. Mattá; Bible. Matteo; Bible. Matthäusevangelium; Bible. Matthieu; Bible. New Testament. Matai den; Bible. New Testament. Matai ni yoru fukuinsho; Bible. New Testament. Matʻae pogŭm; Bible. New Testament. Matius; Bible. New Testament. Mattá; Bible. New Testament. Matteo; Bible. New Testament. Matthäusevangelium; Bible. New Testament. Matthew; Bible. New Testament. Matthieu; Evangelie volgens Matteus; Evangelie volgens Matthéüs; Matai den; Matai ni yoru fukuinsho; Matʻae pogŭm; Matius (Book of the New Testament); Mattá; Matteo (Book of the New Testament); Matteus; Matthäusevangelium; Matthéüs; Matthew (Book of the New Testament); Matthieu (Book of the New Testament); nnea Bible. N.T. Matthew; Bible. Matthew; Bible. Matthew Commentaries; Commentaries,"Jarvis, Cynthia A.; Johnson, E. Elizabeth",,,,,,,,,,,,,,,,,,,First edition.,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,"""Matthew 3:7-12"", ""Matthew 3:13-17"", ""Matthew 4:1-11""",Feasting on the Gospels: a feasting on the word commentary. Matthew
,VVK5A6FU,"Armour, Ellen T.",2013,"Armour, Ellen T.",978-1-4094-3762-8,,,,Includes index.,2013,5/1/14 19:43,7/1/20 15:23,,517-528,,,,,,,,,,,Ashgate Publishing,"Farnham, Surrey, England",eng,,,,,Primo,BT28 .K46 2013,,,,,,Christian theologians; nne Theology 20th century; Theologians; Theologians History 20th century; Theology History 20th century,"Kristiansen, Ståle Johannes; Rise, Svein",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,Sallie McFague,Key theological thinkers : from modern to postmodern
,BZP9WE3N,"Segovia, Fernando F.",2010,"Segovia, Fernando F.",,,,,,2010,5/28/14 17:12,10/13/20 14:33,,1-18,,,,,,,,,,,Catholic Theological Society of America,,,,,,,,,,,,,,,"Tan, Jonathan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,A Theological Reading of Scripture? Critical Problematic and Prophetic Vision in the  Aftermath and Crossroad of Disciplinary Transformation,Proceedings of the CTSA 2010 Annual Meeting
,HRX36ZRT,"Levine, Amy-Jill",1999,"Levine, Amy-Jill",978-0-19-528217-7,,,,"Divinity Bible Collection., Includes index to color maps.",1999,10/28/16 19:02,10/28/16 19:03,,,,,,,,,,,,,Oxford University Press,Oxford,eng,,,,,discoverlibrary.vanderbilt.edu,BS191.5 .A1 1999 .N49,,,,,,Bible Commentaries; Bible Exegesis; Bible Interpretation,"O'Day, Gail R.; Peterson, David",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,"""Matthew"" and ""Mark.""","The access Bible: New Revised Standard Version, with the Apocryphal/Deuterocanonical books"
,X4AK8Q56,"Seow, C.L.",2001,"Seow, Choon-Leong",0-19-528478-X,,,,,2001,10/29/14 17:40,10/29/14 17:41,,726-774,,,,,,,,,,,Oxford University Press,Oxford,English,,,,,OCLC WorldCat FirstSearch,,,,,,,Bible; Commentaries. Oude Testament. Nieuwe Testament. Deuterocanonieke boeken. Genre/Form: Commentaries,"Coogan, Michael David Newsom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,Job,The new Oxford annotated Bible with the Apocryphal/Deuterocanonical books
,X8KED8FF,"Knight, Douglas A.",1994,"Knight, Douglas A.",,,,,,1994,5/16/14 16:52,7/30/20 19:42,,,,,,,,,,,,,Oxford University Press,Oxford,,,,,,EBSCOhost,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000141914&site=ehost-live&scope=cite,,Biblical Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,"""Hebrews""; ""Idols, Idolatry""",The Oxford companion to the Bible
,IQFIVJJD,"Levine, Amy-Jill",1993,"Levine, Amy-Jill",978-0-19-504645-8,,,http://proxy.library.vanderbilt.edu/login?url=http://www.oxfordreference.com/views/BOOK_SEARCH.html?book=t120,"This is one-volume reference to the people, places, events books, institutions, religious beliefs, and secular influence of the Bible. Embracing a wide variety of perspectives, the multi-volume work offers over 700 entries, ranging from immortality and grace to ethics.",1993,10/27/16 20:17,10/27/16 20:18,10/27/16 20:17,,,,,,,,,,,,Oxford University Press,Oxford,eng,,,,,discoverlibrary.vanderbilt.edu,BS440 .M434 1993,,,,,,Electronic books; Bible Dictionaries; Bible Dictionnaires anglais; Bible. Anglais. New Revised Standard Dictionnaires anglais,,,,,,"Metzger, Bruce M.; Coogan, Michael David; Oxford University Press",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,"""Gentiles""; ""Joseph of Arimathea.""",The Oxford companion to the Bible
