Key,Divinity Faculty,Publication Year,Author,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Item Type,Title,Publication Title
KFR8DKNP,"Seow, C.L.",1995,"Seow, C. L. (Choon Leong)",0-687-15786-2,,,,,1995,10/10/14 19:35,10/10/14 19:39,,,366,,,,,,,,,,Abingdon Press,"Nashville, TN",English,,,,,OCLC WorldCat FirstSearch,,,,,,,grammar; Grammar. Oudhebreeuws. Hebrew language; Hebrew language,,,,,,,,,,,,,,,,,,,,Revised edition,,,,,,,,,,,,,,,,,,,,,,,,,,,book,A grammar for Biblical Hebrew,
FKTV5PQ5,"Segovia, Fernando F.",2007,"Segovia, Fernando F.; Sugirtharajah, R. S.",978-0-567-04563-8,,,,,2007,5/21/14 15:10,6/30/20 22:31,,,,,,,,,Bible and postcolonialism,,,,Continuum,London; New York,,,,,,EBSCOhost,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001681948&site=ehost-live&scope=cite,,New Testament; Politics/Political Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,A postcolonial commentary on the New Testament writings,
JWKMK7XE,"Townes, Emilie",1993,"Townes, Emilie M.",0-88344-783-5,,,,,1993,9/23/14 18:36,10/20/20 15:09,,,,,,,,A troubling in my soul,Bishop Henry McNeal Turner Studies in North American Black Religion,,,,Orbis Books,"Maryknoll, NY",,,,,,EBSCOhost,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001042420&site=ehost-live&scope=cite,,Feminist theology; Black theology; Suffering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,A troubling in my soul : womanist perspectives on evil and suffering,
ASMZKBFX,"Floyd-Thomas, Stacey",2007,"Floyd-Thomas, Stacey M.",978-0-687-33265-6,,,,,2007,7/3/14 16:30,7/3/14 16:30,,,287,,,,,Black church studies,,,,,Abingdon Press,"Nashville, TN",English,,,,,OCLC WorldCat FirstSearch,,,,,,,Religion; African American churches. African Americans; Religion. Kirche. Religion. African American churches. African Americans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Black church studies: an introduction,
9D4WXJJD,"Townes, Emilie",1998,"Townes, Emilie M.",,,,,,1998,9/23/14 18:36,12/10/14 13:40,,,,,,,,Breaking the fine rain of death,,,,,Continuum,New York,,,,,,EBSCOhost,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000028762&site=ehost-live&scope=cite,,Medical Science/Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Breaking the fine rain of death: African American health issues and a womanist ethic of care,
BNR5HAIG,"Segovia, Fernando F.",1985,,0-8006-1873-4,,,,,1985,5/21/14 15:20,10/13/20 16:28,,,,,,,,,,,,,Fortress Press,"Philadelphia, Pa",,,,,,EBSCOhost,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001038111&site=ehost-live&scope=cite,,"New Testament; Conference proceedings; Conference proceedings--Biblical studies; Disciples, Twelve; Bible. New Testament --Criticism, interpretation; Discipleship","Segovia, Fernando F.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Discipleship in the New Testament,
47XGQ6B9,"Townes, Emilie",1997,,1-57075-140-4,,,,,1997,9/23/14 18:36,10/20/20 15:50,,,,,,,,Embracing the spirit,Bishop Henry McNeal Turner/Sojourner Truth Series in Black Religion,,,,Orbis Books,"Maryknoll, NY",,,,,,EBSCOhost,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001233591&site=ehost-live&scope=cite,,"African American women; Womanist theology; Women's Theologies, Christian; Spiritual life (Christianity); Women (Theology)","Townes, Emilie M.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,"Embracing the spirit : womanist perspectives on hope, salvation, and transformation",
STZ5C2W8,"Rieger, Joerg",2007,"Anderson, Gary L.; Herr, Kathryn; Thomson Gale",978-1-4129-5388-7,,,,,2007,9/30/20 15:30,9/30/20 15:30,,,,,,,,,,,,,Sage Publications,"Thousand Oaks, Calif",eng,,,,,catalog.library.vanderbilt.edu,,,,,,,Social justice; Social action; Social movements; Social reformers,"Rieger, Joerg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,"Encyclopedia of activism and social justice Gary Anderson and Kathryn Herr, eds.",
RGBFXRYJ,"Seow, C.L.",2016,,,,,,,2016,11/15/22 20:03,11/15/22 20:15,,,,,,,,,,,,,De Gruyter,Berlin,,,,,,EBSCOhost,,,,,http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLAiAZI210530001201&site=ehost-live&scope=site&scope=cite,,,"Seow, C.L.; Allison, Dale C.; Helmer, Christine; McKenzie, Steve; Romer, Thomas; Schroter, Jens; Walfish, Barry; Ziolkowski, Eric J.",,,,,,,,,,,,,,,,,,,2nd,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Encyclopedia of the Bible and its Reception (EBR),
59FYWDXF,"Seow, C.L.",2015,,,,,,,2015,11/15/22 20:16,11/15/22 20:19,,,,,,,,,,,,,De Gruyter,Berlin,,,,,,EBSCOhost,,,,,http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLAiBCB160815003036&site=ehost-live&scope=site&scope=cite,,Biblical Studies; General Reference,"Seow, C.L.; Allison, Dale C.; Helmer, Christine; McKenzie, Steve; Romer, Thomas; Schroter, Jens; Walfish, Barry; Ziolkowski, Eric J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Encyclopedia of the Bible and its Reception 10 Genocide-Hakkoz,
