Key,skipped,Divinity Faculty,Publication Year,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Item Type,Title
0,,"Knight, Douglas A.",2002,0-8264-6149-2,,,,,2002,5/16/14 15:51,5/16/14 15:51,,,,,,,,,,,,,Sheffield Academic Press,London,,,,,,EBSCOhost,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001338489&site=ehost-live&scope=cite,,Ideology; Bible. Joshua 22-23; Boundaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,"""Imagining"" biblical worlds"
1,,"Sasson, Jack",2000,1-930675-01-1 978-1-930675-01-8,,,,,2000,12/15/14 19:44,5/1/15 14:58,,,,,,,,,Brown Judaic Studies,,,,Brown Judaic Studies,"Providence, R.I.",English,,,,,Open WorldCat,,,,,,,,"Olyan, Saul M.; Culley, Robert C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,"""A wise and discerning mind"": essays in honor of Burke O. Long"
2,,"Rieger, Joerg",2018,978-3-89965-790-6,,,,,2018,6/11/20 19:00,9/29/20 18:18,,,,,,,,,,,,,VSA Verlag,Hamburg,German,,,,,Open WorldCat,,,,,,,,,,,"Ramminger, Michael; Segbers, Franz; Institut für Theologie und Politik; Rosa-Luxemburg-Stiftung",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,"""Alle Verhältnisse umzuwerfen ... und die Mächtigen vom Thron zu stürzen"": das gemeinsame Erbe von Christen und Marx"
3,,"Rieger, Joerg",2015,978-3-89965-656-5,,,,,2015,6/26/18 16:21,9/23/20 15:03,,,,,,,,,,,,,VSA,Hamburg,,,,,,,,,,,,,,,,,,,"Segbers, Franz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,"""Diese Wirtschaft tötet"": (Papst Franziskus) Kirchen gegen Kapitalismus"
4,,"Sasson, Jack",1994,0-931464-88-9,,,,,1994,12/12/14 3:42,12/12/14 3:42,,,,,,,,"The ""Tower of Babel"" as a clue to the redactional structuring of the primeval history (Genesis 1",,,,,Eisenbrauns,"Winona Lake, Ind",,,,,,EBSCOhost,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001208349&site=ehost-live&scope=cite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,"""I studied inscriptions before the Flood"""
5,,"Sasson, Jack",1992,978-0-931464-61-4,,,,"Book by Michael A. Fishbane, Emanuel Tov",1992,12/12/14 16:34,5/1/15 15:58,,,,,,,,,,,,,Eisenbrauns,"Winona Lake, Ind",English,,,,,Amazon.com,,,,,http://www.amazon.com/22ShaArei-Talmon-22-Studies-Presented-Shemaryahu/dp/0931464617,,,"Fishbane, Michael A.; Tov, Emanuel; Talmon, Shemaryahu; Fields, Weston W.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,"""Sha'Arei Talmon"": Studies in the Bible, Qumran, and the Ancient Near East Presented to Shemaryahu Talmon"
6,,"Morrill, Bruce T.",2007,978-0-8146-6017-1,,,,,2007,10/30/14 17:28,10/30/14 17:30,,,,,,,,,,,,,Liturgical Press,"Collegeville, Minn",eng,,,,,Primo,BX2015.3 .C66 2007,,,,,,Catholic Church Liturgy Texts Rubrics; Catholic Church. General instruction of the Roman missal; Catholic Church. Institutio generalis Missalis Romani; General instruction of the Roman missal; Institutio generalis Missalis Romani; Lord's Supper Catholic Church Liturgy Texts; Mass Celebration; Missals Texts,"Foley, Edward; Mitchell, Nathan; Pierce, Joanne M.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,A commentary on the general instruction of the Roman Missal : developed under the auspices of the Catholic Academy of Liturgy and cosponsored by the Federation of Diocesan Liturgical Commissions
7,,"Sasson, Jack",2008,978-1-4051-8838-8,,,,"A Companion to Ancient Epic  presents for the first time a comprehensive, up-to-date overview of ancient Near Eastern, Greek and Roman epic. It offers a multi-disciplinary discussion of both longstanding ideas and newer perspectives. A  Companion  to the Near Eastern, Greek, and Roman epic traditions Considers the interrelation between these different traditions Provides a balanced overview of longstanding ideas and newer perspectives in the study of epic Shows how scholarship over the last forty years has transformed the ways that we conceive of and understand the genre Covers recently introduced topics, such as the role of women, the history of reception, and comparison with living analogues from oral tradition The editor and contributors are leading scholars in the field Includes a detailed index of poems, poets, technical terms, and important figures and events",11/3/08,12/15/14 16:39,11/28/22 19:29,,,,,,,,,Blackwell companions to the ancient world. Literature and culture,,,,Wiley-Blackwell,Oxford,English,,,,,Amazon.com,,,,,http://www.amazon.com/Companion-Ancient-Epic-Miles-Foley/dp/1405188383,,,"Foley, John Miles",,,,,,,,,,,,,,,,,,,1 edition,,,,,,,,,,,,,,,,,,,,,,,,,,,book,A Companion to Ancient Epic
8,,"Sasson, Jack",2011,978-1-907534-33-1,,,,"This volume honours the distinctive contribution to Hebrew Bible studies over four decades by Cheryl Exum, Professor Emerita of Biblical Studies in the University of Sheffield. Her special interests have lain, first, in the modern literary criticism of the Hebrew Bible, where her key work was Tragedy and Biblical Narrative: Arrows of the Almighty. Asecond area has been feminist criticism of the Hebrew Bible; here her notable contributions were Fragmented Women: Feminist (Sub)versions of Biblical Narratives and Plotted, Shot, and Painted: Cultural Representations of Biblical Women. A more recent, and now almost favourite, theme is the Bible and cultural studies, especially the Bible and art. Key works here have been a series of edited volumes, such as Beyond the Biblical Horizon: The Bible and the Arts, and The Bible in Film / The Bible and Film. Her fourth area of continuing interest has been the Song of Songs, with many articles culminating in her perceptive commentary in the Old Testament Library series. In this rich volume, 25 of her friends and colleagues offer her papers on all these themes. Several are on or around the Song of Songs (Graeme Auld, Fiona Black, David Clines, Sara Japhet, Martti Nissinen, Yair Zakovitch), and topics of feminist interest (Yairah Amit, Athalya Brenner, Claudia Camp, Hugh Pyper, Jack Sasson). Cultural studies are represented by Alice Bach, Hans Barstad, Andrew Davies, David Gunn, Martin O'Kane, John Sawyer and Ellen van Wolde, and literary criticism by Michael Fox, Edwin Good, Norman Gottwald, Edward Greenstein, Francis Landy, Burke Long and Hugh Williamson.",2011-11,12/11/14 21:12,12/11/14 21:14,,,,,,,,,,,,,Sheffield Phoenix Press Ltd,"Sheffield, England",Inglese,,,,,Amazon.com,,,,,http://www.amazon.it/Critical-Engagement-Essays-Hebrew-Honour/dp/1907534334,,,"Clines, David J. A.; Wolde, Ellen Van",,,,,,,,,,,,,,,,,,,New. edizione,,,,,,,,,,,,,,,,,,,,,,,,,,,book,A Critical Engagement: Essays on the Hebrew Bible in Honour of J. Cheryl Exum
9,,"Levine, Amy-Jill",2015,,,,,"A Feminist Companion to Tobit and Judith extends the work of the hugely influential and respected Feminist Companion series, which continues to set the standard for feminist approaches to the Hebrew Bible and related texts. In the present volume Athalya Brenner-Idan (with Helen Efthimiadis-Keith) draws together a range of scholarly commentators and addresses the core issues relating to feminist interpretations of the two texts at hand. The volume examines attitudes to gender, identities, exile, social mores, beliefs, clothing, food and drink, personal relationships, and biblical reception. The contributors are: Beverly Bow and George Nickelsburg, Athalya Brenner-Idan, Ora Brison, Helen Efthimiadis-Keith, Renate Egger-Wenzel, Beate Ego, Emma England, Jennifer Glancy, Jan Willem van Henten, Naomi Jacobs, Amy-Jill Levine, Pamela Milne, and Barbara Schmitz.",2015,11/3/16 19:59,8/10/20 19:31,11/3/16 19:59,,,,,,,,,,,,Bloomsbury Publishing,,,,,,,,,,,C:\Users\xus12\Zotero\storage\BMQW6SEM\a-feminist-companion-to-tobit-and-judith-9780567656025.html,,,,"Brenner-Idan, Athalya; Efthimiadis-Keith, Helen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,A Feminist Companion to Tobit and Judith
