Key,Divinity Faculty,Publication Year,Author,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Item Type,Title,Publication Title
Q8YNKKSX,"Levine, Amy-Jill",,"Levine, Amy-Jill",,,,https://soundcloud.com/valleybeitmidrash/marc-brettler-amy-jill-levine-the-bible-with-and-without-jesus,"Rabbi Dr. Shmuly Yanklowitz, President & Dean of Valley Beit Midrash, interviews Professor Marc Zvi Brettler,  Bernice and Morton Lerner Professor in Judaic Studies at Duke University, and Professor A",,7/14/21 15:50,7/14/21 15:50,7/14/21 15:50,,,,,,,,,,,,,,en,,,,,soundcloud.com,,,,C:\Users\xus12\Zotero\storage\H49TSLZW\marc-brettler-amy-jill-levine-the-bible-with-and-without-jesus.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,audioRecording,Marc Brettler & Amy-Jill Levine - The Bible With and Without Jesus,
DYYVATD4,"Rieger, Joerg",,"Rieger, Joerg",,,,https://soundcloud.com/user-673959570/joerg-rieger-on-jesus-vs-caesar,"Joerg Rieger talks about his book Jesus vs. Caesar: For People Tired of Serving the Wrong God.  Rieger is Distinguished Professor of Theology, Cal Turner Chancellor’s Chair of Wesleyan Studies, Foundi",,8/18/21 19:06,8/18/21 19:07,8/18/21 19:06,,,,,,,,,,,,,,en,,,,,soundcloud.com,,,,C:\Users\xus12\Zotero\storage\NQLBQYJ2\joerg-rieger-on-jesus-vs-caesar.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,audioRecording,Joerg Rieger on Jesus vs. Caesar,
7FWASZGR,"Rieger, Joerg",,"Rieger, Joerg",,,,https://soundcloud.com/cheri-dinovo/the-christian-left,"What is the Christian Left? From the earliest days, Christians have worked to dismantle systems of oppression and create alternative communities of justice. Church has always been a center of progress",,8/18/21 18:59,8/18/21 19:00,8/18/21 18:59,,,,,,,,,,,,,,en,,,,,soundcloud.com,,,,C:\Users\xus12\Zotero\storage\2KBYLDNY\the-christian-left.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,audioRecording,Faith Panel | The Christian Left,
TNVPB5V5,"Seow, C.L.",1996,"Stackhouse, Max L.; Seow, C. L. (Choon Leong)",,,,,,1996,10/10/14 19:51,10/10/14 19:54,,,,,,,,,,,,,Princeton Theological Seminary,"Princeton, NJ",English,,,,,OCLC WorldCat FirstSearch,,,,,,,Religious aspects; Homosexuality and Christianity. Sex; Presbyterian Church,,,,"Seow, C. L. (Choon Leong)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,audioRecording,On the Bible and Homosexuality (in Human sexuality and Christian community: a resource for theological reflection on human sexuality and the place of homosexuals in the church),
GD8IEFMD,"Matson, Viki",2013,"Matson, Viki",,,,http://navigatingintersections.blogspot.com/2013/09/conversations-around-case-studies.html,,9/5/13,6/22/18 18:15,7/9/20 19:49,6/22/18 18:15,,,,,,,At the Intersections,,,,,,,,,,,,,,,,C:\Users\xus12\Zotero\storage\6ZJGJSF3\conversations-around-case-studies.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blogPost,Conversations Around Case Studies: Making Space for Theological Reflection,At the Intersections
LZHESMRN,"Matson, Viki",2013,"Matson, Viki",,,,http://navigatingintersections.blogspot.com/2013/11/the-inner-life-self-examination_15.html,,11/15/13,6/22/18 18:15,7/9/20 19:49,6/22/18 18:15,,,,,,,At the Intersections,,,,,,,,,,,,,,,,C:\Users\xus12\Zotero\storage\3K35R2AZ\the-inner-life-self-examination_15.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blogPost,The Inner Life: Self-Examination,At the Intersections
JV2JD62E,"Matson, Viki",2014,"Matson, Viki",,,,http://navigatingintersections.blogspot.com/2014/09/tilling-soil-for-planting-first-few.html,,9/5/14,6/22/18 18:15,7/9/20 19:49,6/22/18 18:15,,,,,,,At the Intersections,,,,,,,,,,,,,,,,C:\Users\xus12\Zotero\storage\6JIQFYIL\tilling-soil-for-planting-first-few.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blogPost,Tilling the Soil for Planting: The First Few Weeks of Supervising,At the Intersections
SPEEBFHJ,"Stringer, Trudy Hawkins",2012,"Stringer, Trudy Hawkins",,,,http://navigatingintersections.blogspot.com/2012/09/creativity-and-theological-field.html,,9/17/12,6/22/18 18:17,6/22/18 18:24,6/22/18 18:17,,,,,,,At the Intersections,,,,,,,,,,,,,,,,C:\Users\xus12\Zotero\storage\RYPSUSJ5\creativity-and-theological-field.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blogPost,At the Intersections: Creativity and Theological Field Education Supervision,At the Intersections
9BE7UT5R,"Stringer, Trudy Hawkins",2012,"Stringer, Trudy Hawkins",,,,http://navigatingintersections.blogspot.com/2012/02/f-word-in-theological-field-education.html,,2/29/12,6/22/18 18:17,6/22/18 18:24,6/22/18 18:17,,,,,,,At the Intersections,,,,,,,,,,,,,,,,C:\Users\xus12\Zotero\storage\79YI45SC\f-word-in-theological-field-education.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blogPost,"At the Intersections: THE ""F"" WORD IN THEOLOGICAL FIELD EDUCATION SUPERVISION",At the Intersections
22VVC8AI,"Stringer, Trudy Hawkins",2013,"Stringer, Trudy Hawkins",,,,http://navigatingintersections.blogspot.com/2013/09/the-importance-of-i-dont-know-in_13.html,,9/13/13,6/22/18 18:17,6/22/18 18:24,6/22/18 18:17,,,,,,,At the Intersections,,,,,,,,,,,,,,,,C:\Users\xus12\Zotero\storage\IP8NBTAF\the-importance-of-i-dont-know-in_13.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blogPost,"At the Intersections: The Importance of ""I don't know"" in Theological Supervision",At the Intersections
