Abstract Note,Access Date,Application Number,Archive,Archive Location,Artwork Size,Assignee,Attorney Agent,Author,Automatic Tags,Book Author,Call Number,Cast Member,Code,Code Number,Commenter,Committee,Composer,Conference Name,Contributor,Cosponsor,Counsel,Country,Court,DOI,Date,Date Added,Date Modified,Divinity Faculty,Edition,Editor,Extra,File Attachments,Filing Date,Guest,History,ISBN,ISSN,Interviewer,Issue,Issuing Authority,Journal Abbreviation,Language,Legal Status,Legislative Body,Library Catalog,Link Attachments,Manual Tags,Medium,Meeting Name,Notes,Num Pages,Number,Number Of Volumes,Pages,Place,Priority Numbers,Producer,Programming Language,Publication Year,Publisher,Recipient,References,Reporter,Reviewed Author,Rights,Running Time,Scale,Scriptwriter,Section,Series,Series Editor,Series Number,Series Text,Series Title,Session,Short Title,System,Translator,Type,Url,Version,Volume,Words By,qid,Key,Item Type,Title,Publication Title
"This book offers an examination of the polemical debates about the doctrine of the Trinity in seventeenth-century England, showing that this philosophical and theological re-configuration significantly impacted the politics of religion in the early modern period. Through analysis of these heated polemics, the book shows how Trinitarian God-Talk became untenable in many ecclesiastical and philosophical circles, which led to the emergence of Unitarianism. It also demonstrates that those who continued to embrace Trinitarian doctrine articulated their piety and theological perspectives in an increasingly secularized culture of discourse. Drawing on both unexplored manuscripts and well-known treatises of Continental and English provenance, the book unearths the complex layers of the polemic: from biblical exegesis to reception history of patristic authorities, from popular religious radicalism during the Civil War to Puritan spirituality, from Continental Socinians to English Anti-Trinitarians who avowed their relative independent theological identity, from the notion of the Platonic captivity of primitive Christianity to that of Plato as ""Moses Atticus."" Among this book's surprising conclusions are the findings that Anti-Trinitarian sentiment arose from a Puritan ambience, in which Biblical literalism overcame rationalistic presuppositions, and that theology and philosophy were not as unconnected during this period as previously thought. © Oxford University Press, 2014.",,,Scopus,,,,,"Lim, P.C.H.",Christianity; Trinity; Plato; Unitarianism; Anti-trinitarian sentiment; God-talk; Polemical debates; Politics of religion; Seventeenth-century england,,,,,,,,,,,,,,,,2013,11/22/22 20:47,11/22/22 20:47,"Lim, Paul",,,Pages: 512 DOI: 10.1093/acprof:oso/9780195339468.001.0001,C:\Users\xus12\Zotero\storage\IWNHWB4J\display.html,,,,978-0-19-997909-7,,,,,,English,,,Scopus,,,,,,1,,,,,,,,2013,,,,,,,,,,,Mystery Unveiled: The Crisis of the Trinity in Early Modern England,,,,,,Mystery Unveiled,,,,,,,,Q106421012,ZXA42IH8,book,Mystery Unveiled: The Crisis of the Trinity in Early Modern England,
,,,,,,,,"Sasson, Jack M.",,,,,,,,,,,,,,,,,1966,12/11/14 18:58,5/1/15 16:36,"Sasson, Jack",,,,,,,,,,,4,,,eng,,,Primo,,,,,,,,,473,,,,,1966,,,,,,,,,,,,,,,,,,,,,,,85,,Q106872446,V3GRR4HC,journalArticle,Circumcision in the Ancient Near East,Journal of Biblical Literature
"Four major ways in which Johannine scholars have attempted to solve the literary difficulties occasioned by the present position of John 15-17 in the Gospel are delineated.  The redactional approach is adopted, and John 15:1-17 is designated as an originally independent discourse.  The exegetical analysis of the passage shows the presence of an interrelated christological-ethical problem (docetic christology/libertine behavior) within the Christian community and thus thrusts these verses directly into the Sitz im Leben of 1 John.  Thus, the passage is said to be a later addition to the Gospel coming from the stage of 1 John.",5/21/14 19:45,,,,,,,"Segovia, Fernando F.",Peer reviewed; Bible. John --Theology; Bible. John 13-21; Church history--0030-600; Jesus Christ --Teachings; Love--Religious aspects,,,,,,,,,,,,,,,10.2307/3260444,3/1/82,5/21/14 19:45,8/25/21 16:30,"Segovia, Fernando F.",,,,C:\Users\xus12\Zotero\storage\W6APFAVH\Segovia - 1982 - The theology and provenance of John 151-17.pdf,,,,,0021-9231,,1,,Journal of Biblical Literature,,,,EBSCOhost,,,,,,,,,115-128,,,,,1982,,,,,,,,,,,,,,,,,The theology and provenance of John 15,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000792358&site=ehost-live,,101,,Q106877202,G4C2E3FR,journalArticle,The theology and provenance of John 15:1-17,Journal of Biblical Literature
"In the present sequence of the Fourth Gospel narrative, Jesus' farewell discourse to his disciples is quite extensive, encompassing as it does all of 13:31-17:26. However, the clearly concluding statements of 14:30-31c, the command of 14:31d to arise and depart, and the obvious connection of these verses with the beginning of the passion narrative (18:1-12) appear to divide this farewell into at least two seemingly independent and separate discourses.... In this present study, the author leaves all questions concerning chaps 15-17 aside and turns exclusively to the first discourse of 13:31-14:31.  Given its more limited scope, one would expect a greater degree of scholarly consensus concerning such issues as the structure, the Tendenz, and the Sitz im Leben of 13:31-14:31 than with chaps 15-17.  However, a review of the exegetical literature shows a great deal of disagreement with respect to these questions.   Such a situation is most unfortunate, because widespread agreement does exist with respect to the importance of this unit for and within the Fourth Gospel. [ed excerpt].",5/21/14 19:42,,,,,,,"Segovia, Fernando F.","Peer reviewed; Eschatology--Biblical teaching; Bible. John 13-21; Bible. New Testament --Criticism, Redaction; Docetism; Farewells in the Bible; Love--Biblical teaching",,,,,,,,,,,,,,,10.2307/3260925,9/1/85,5/21/14 19:42,8/25/21 16:29,"Segovia, Fernando F.",,,,"C:\Users\xus12\Zotero\storage\CXHWZC34\Segovia - 1985 - The structure, Tendenz, and Sitz im leben of John .pdf",,,,,0021-9231,,3,,Journal of Biblical Literature,,,,EBSCOhost,,,,,,,,,471-493,,,,,1985,,,,,,,,,,,,,,,,,"The structure, Tendenz, and Sitz im leben of John 13",,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000957669&site=ehost-live,,104,,Q106877421,VX89VBES,journalArticle,"The structure, Tendenz, and Sitz im leben of John 13:31-14:31",Journal of Biblical Literature
,10/21/14 17:42,,,,,,,"Seow, C. L. (Choon Leong)","Peer reviewed; Bible. Ecclesiastes; Bible. Old Testament --History and dating; Bible. Old Testament --Language, style",,,,,,,,,,,,,,,10.2307/3266347,1996-12,10/21/14 17:42,8/30/21 20:43,"Seow, C.L.",,,,,,,,,0021-9231,,4,,,,,,EBSCOhost,,,,,,,,,643-666,,,,,1996,,,,,,,,,,,,,,,,,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001016906&site=ehost-live,,115,,Q106927449,3N7U3U3C,journalArticle,Linguistic Evidence and the Dating of Qoheleth,Journal of Biblical Literature
,10/21/14 17:42,,,,,,,"Seow, C. L. (Choon Leong)","Peer reviewed; Bible. Job --Language, style; Bible. Job --Criticism, Textual; Bible. Old Testament --History and dating; Hebrew language--Orthography; Hebrew poetry",,,,,,,,,,,,,,,10.2307/41304188,2011-03,10/21/14 17:42,8/30/21 20:45,"Seow, C.L.",,,,,,,,,0021-9231,,1,,,,,,EBSCOhost,,,,,,,,,63-85,,,,,2011,,,,,,,,,,,,,,,,,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001833706&site=ehost-live,,130,,Q106976566,ZDHXNQKE,journalArticle,"Orthography, textual criticism, and the poetry of Job",Journal of Biblical Literature
"Against the skepticism of some scholars, this essay argues that Psalm 1 is not only poetry but exquisite poetry. The aesthetic excellence consists not of balanced structure, predictable rhythmic patterns, or intricate design. Rather, it is on account of its brilliant imagerial contrast, its clever employment of both symmetry and asymmetry, its shrewd play with lineation, its subtle use of ambiguity and polyvalence, and its performative closure that this poem deserves to be considered among the finest in the Psalter and indeed the Bible. Furthermore, the essay shows how interpreters through the centuries are indispensable conversation partners for the modern interpreter. They broaden the horizon of every interpreter, and their voices contribute to a deeper appreciation of Psalm 1 as a theologically profound introduction to the Psalter, thereby inviting the reader to live a commendable life amid uncertainties, but a life that leads nevertheless to the praise of God.",10/21/14 21:45,,,,,,,"Seow, C. L. (Choon Leong)",,,,,,,,,,,,,,,,10.1353/jbl.2013.0032,2013,10/21/14 21:45,10/21/14 21:45,"Seow, C.L.",,,"<p>Volume 132,&nbsp;&nbsp;Number 2, 2013</p>",C:\Users\xus12\Zotero\storage\H7MSUP24\132.2.seow.html,,,,,1934-3876,,2,,,,,,Project MUSE,,,,,,,,,275-293,,,,,2013,,,,,,,,,,,,,,,,,,,,,http://muse.jhu.edu/journals/journal_of_biblical_literature/v132/132.2.seow.html,,132,,Q106976698,2NV86XAT,journalArticle,An Exquisitely Poetic Introduction to the Psalter,Journal of Biblical Literature
,2/25/15 16:54,,,,,,,"Segovia, Fernando F.","Peer reviewed; Bible --Criticism, Feminist; Bible --Criticism, interpretation --History; Meyers, Carol L.",,,,,,,,,,,,,,,10.15699/jbibllite.133.1.3,1/1/14,2/25/15 16:54,8/25/21 15:56,"Segovia, Fernando F.",,,,C:\Users\xus12\Zotero\storage\KV6HNDZK\Segovia - 2014 - [Introduction to the Society of Biblical Literatur.pdf,,,,,0021-9231,,1,,Journal of Biblical Literature,,,,EBSCOhost,,,,,,,,,307,,,,,2014,,,,,,,,,,,,,,,,,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001985543&site=ehost-live,,133,,Q106976755,JBS66T35,journalArticle,"[Introduction to the Society of Biblical Literature presidential address, N 23 2013]",Journal of Biblical Literature
,2/25/15 16:54,,,,,,,"Segovia, Fernando F.","Bible --Criticism, Feminist; Bible --Criticism, interpretation --History; Meyers, Carol L.; Peer reviewed",,,,,,,,,,,,,,,10.15699/jbl.1341.2015.0002,2015,2/25/15 16:56,11/28/22 19:36,"Segovia, Fernando F.",,,,,,,,,0021-9231,,1,,Journal of Biblical Literature,,,,EBSCOhost,,,,,,,,,6-29,,,,,2015,,,,,,,,,,,,,,,,,,,,,,,134,,Q106976805,MDNEJWZE,journalArticle,Criticism in Critical Times: Reflections on Vision and Task,Journal of Biblical Literature
A Holy Baptism of Fire and Blood: The Bible and the American Civil War-book,6/23/21 18:41,,,,,,,"Byrd, James P.",,,,,,,,,,,,,,,,,2021,6/23/21 18:41,6/23/21 18:43,"Byrd, James P",,,,C:\Users\xus12\Zotero\storage\N3Y9K85S\fulldisplay.html,,,,978-0-19-090279-7,,,,,,en,,,,,,,,,352,,,,,,,,2021,Oxford Univ Press,,,,,,,,,,,,,,,,A Holy Baptism of Fire and Blood,,,,https://catalog.library.vanderbilt.edu/discovery/fulldisplay/WorldCat1239553091/01VAN_INST:vanui,,,,Q107302748,A83K77PZ,book,A Holy Baptism of Fire and Blood: The Bible and the American Civil War - Vanderbilt University,
