skipped,Key,Divinity Faculty,Publication Year,Author,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Item Type,Title,Publication Title
Q108747223,7J6PRGWQ,"Armour, Ellen T.",1996,"Armour, Ellen T.",0-664-22058-4,,,,,1996,5/22/14 13:17,11/19/14 22:05,,,,,,,,,,,,,Westminster John Knox Press,"Louisville, KY",,,,,,acorn.library.vanderbilt.edu Library Catalog,BT83.55 .D53 1996,,,,,,,"Russell, Letty M.; Clarkson, Shannon",,,,,,,,,,,,,,,,,,,lst ed,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,Essentialism,Dictionary of feminist theologies
Q108747223,TM2NNDND,"Townes, Emilie",1996,"Townes, Emilie M.",0-585-32873-0,,,,,1996,10/13/14 13:15,12/10/14 14:37,,91-92,,,,,,,,,,,Westminster John Knox Press,"Louisville, Ky",eng,,,,,Primo,BT83.55,,,,,,"Feminist theology; E-Books; Ebooks; Electronic books; Internet books (Electronic publications); Online books; Web books (Electronic publications); World Wide Web books (Electronic publications); Theology, Feminist; Feminist theology Dictionaries","Russell, Letty M.; Clarkson, J. Shannon (Jeanette Shannon)",,,,,,,,,,,,,,,,,,,1st ed.,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,"Ethics, Womanist",Dictionary of feminist theologies
Q108747223,HN35TTGT,"Townes, Emilie",1996,"Townes, Emilie M.",0-585-32873-0,,,,,1996,10/13/14 13:15,12/10/14 14:37,,138-139,,,,,,,,,,,Westminster John Knox Press,"Louisville, Ky",eng,,,,,Primo,BT83.55,,,,,,"Feminist theology; E-Books; Ebooks; Electronic books; Internet books (Electronic publications); Online books; Web books (Electronic publications); World Wide Web books (Electronic publications); Theology, Feminist; Feminist theology Dictionaries","Russell, Letty M.; Clarkson, J. Shannon (Jeanette Shannon)",,,,,,,,,,,,,,,,,,,1st ed.,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,Hegemony,Dictionary of feminist theologies
Q108747223,IK762VJ2,"Levine, Amy-Jill",1996,"Levine, Amy-Jill",,,,,,1996,8/6/14 13:19,11/19/14 22:05,,140-141,,,,,,,,,,,Westminster/John Knox Press,"Louisville, KY",,,,,,,,,,,,,,"Russell, Letty M.; Clarkson, J. Shannon (Jeanette Shannon)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,Hermeneutics of Suspicion,Dictionary of feminist theologies
Q489181,7DF55BIE,"Seow, C.L.",1992,"Seow, Choon-Leong",0-385-19351-3,,,,,1992,10/29/14 17:33,2/3/16 16:50,,386-393,,,1,6,,,,,,,Doubleday,New York,English,,,,,OCLC WorldCat FirstSearch,,,,,,,Bijbel. Genre/Form: Dictionnaire (Descripteur de forme) Encyclopédie (Descripteur de forme) Dictionaries,"Freedman, David Noel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,Ark of the Covenant,The Anchor Bible dictionary
Q489181,VKAAP497,"Seow, C.L.",1992,"Seow, Choon-Leong",0-385-19351-3,,,,,1992,10/29/14 17:35,2/3/16 16:51,,125-126,,,2,6,,,,,,,Doubleday,New York,English,,,,,OCLC WorldCat FirstSearch,,,,,,,Bijbel. Genre/Form: Dictionnaire (Descripteur de forme) Encyclopédie (Descripteur de forme) Dictionaries,"Freedman, David Noel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,"Deep, The",The Anchor Bible dictionary
Q489181,GAVJ5G2E,"Sasson, Jack",1992,"Sasson, Jack M.",,,,,,1992,12/16/14 14:29,12/16/14 19:54,,1024-1027,,,2: D-G,,,,,,,,Doubleday,"New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,Gilgamesh Epic,The Anchor Bible dictionary
Q489181,U7329FVX,"Seow, C.L.",1992,"Seow, Choon-Leong",0-385-19351-3,,,,,1992,10/29/14 17:35,2/3/16 16:51,,291-297,,,3,6,,,,,,,Doubleday,New York,English,,,,,OCLC WorldCat FirstSearch,,,,,,,Bijbel. Genre/Form: Dictionnaire (Descripteur de forme) Encyclopédie (Descripteur de forme) Dictionaries,"Freedman, David Noel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,"Hosea, Book of",The Anchor Bible dictionary
Q489181,2TT5SSTK,"Seow, C.L.",1992,"Seow, Choon-Leong",0-385-19351-3,,,,,1992,10/29/14 17:36,2/3/16 16:52,,304-307,,,3,6,,,,,,,Doubleday,New York,English,,,,,OCLC WorldCat FirstSearch,,,,,,,Bijbel. Genre/Form: Dictionnaire (Descripteur de forme) Encyclopédie (Descripteur de forme) Dictionaries,"Freedman, David Noel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,"Hosts, Lord of",The Anchor Bible dictionary
Q489181,SXFN5QM4,"Knight, Douglas A.",1992,"Knight, Douglas A.",,,,,,1992,5/16/14 16:49,5/23/14 16:44,,633-38,,,,,,,,,,,Doubleday,New York,,,,,,EBSCOhost,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000137042&site=ehost-live&scope=cite,,Biblical Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,Tradition History,The Anchor Bible dictionary
