skipped,Key,Divinity Faculty,Publication Year,Author,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Item Type,Title,Publication Title
Q116479595,KZM9RRUZ,"Knight, Douglas A.",1999,"Knight, Douglas A.",,,,,,1999,5/16/14 17:09,5/23/14 16:45,,98-99,,,,,,,,,,,Abingdon Pr,Nashville,,,,,,EBSCOhost,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000012291&site=ehost-live&scope=cite,,Biblical Hermeneutics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,James Barr,"Dictionary of biblical interpretation. v 1, A-J"
Q116488638,TREGUWAP,"Levine, Amy-Jill",2000,"LeVine, Amy-Jill",978-0-8028-2400-4,,,,$$Cbibliography_note$$VIncludes bibliographical references.,2000,10/28/16 18:59,8/10/20 15:14,,,,,,,,,,,,,William B. Eerdmans Publishing Company,"Grand Rapids, Mich.",eng,,,,,discoverlibrary.vanderbilt.edu,BS440 .E44 2000,,,,,,Bible Dictionaries,"Freedman, David Noel; Myers, Allen C.; Beck, Astrid B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,Apocrypha,Eerdmans Dictionary of the Bible
Q116497674,MRTDTP32,"Lim, Paul",2000,"Lim, Paul",978-0-8028-3907-7,,,,,2000,5/9/14 15:30,12/11/14 18:18,,,,,,,,,,,,,William B. Eerdmans Publishing Company; Paternoster,"Grand Rapids, Michigan; Carlisle, England",,,,,,EBSCOhost,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001277400&site=ehost-live&scope=cite,,Christian; Historical Theology,"Hart, Trevor A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,Richard Baxter,The dictionary of historical theology
Q116497869,7DE7ACBN,"Sasson, Jack",1976,"Sasson, Jack M.",0-687-19269-2 978-0-687-19269-4,,,,,1976,12/11/14 20:43,12/11/14 20:44,,,,,,,,"The Interpreter's dictionary of the Bible, supplementary volume",,,,,Abingdon,Nashville,English,,,,,Open WorldCat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,Ass,The Interpreter's dictionary of the Bible: supplementary volume
Q116497869,PP9WPICE,"Sasson, Jack",1976,"Sasson, Jack M.",0-687-19269-2 978-0-687-19269-4,,,,,1976,12/11/14 20:45,12/11/14 20:45,,,,,,,,"The Interpreter's dictionary of the Bible, supplementary volume",,,,,Abingdon,Nashville,English,,,,,Open WorldCat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,Generation; seventh,The Interpreter's dictionary of the Bible: supplementary volume
Q116497869,GZREP238,"Sasson, Jack",1976,"Sasson, Jack M.",0-687-19269-2 978-0-687-19269-4,,,,,1976,12/11/14 20:45,11/30/22 19:13,,,,,,,,"The Interpreter's dictionary of the Bible, supplementary volume",,,,,Abingdon,Nashville,English,,,,,Open WorldCat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,Mari,The Interpreter's dictionary of the Bible: supplementary volume
Q116497869,VP8IMJPQ,"Sasson, Jack",1976,"Sasson, Jack M.",0-687-19269-2 978-0-687-19269-4,,,,,1976,12/11/14 20:45,11/30/22 19:16,,,,,,,,"The Interpreter's dictionary of the Bible, supplementary volume",,,,,Abingdon,Nashville,English,,,,,Open WorldCat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,Twins,The Interpreter's dictionary of the Bible: supplementary volume
Q116497869,PCTGD7KF,"Sasson, Jack",1976,"Sasson, Jack M.",0-687-19269-2 978-0-687-19269-4,,,,,1976,12/11/14 20:45,12/11/14 20:45,,,,,,,,"The Interpreter's dictionary of the Bible, supplementary volume",,,,,Abingdon,Nashville,English,,,,,Open WorldCat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,Wordplay in the OT,The Interpreter's dictionary of the Bible: supplementary volume
Q116498137,4EQ6VIGU,"Hamman, Jaco",2002,"Hamman, Jaco J.",0-8028-2318-1,,,,Published simultaneously in Great Britain by SPCK.,2002,6/13/14 14:17,7/27/20 19:10,,,,,,,,,,,,,William B. Eerdmans Publishing Company,"Grand Rapids, Mich",eng,,,,,Primo,BV4005.5 .N49 2002,,,,,"Care of souls; Cure of souls; Ministry; Pastoral office and work; Pastoral theology; Pastoral theology Dictionaries; Theology, Pastoral",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,Paranoia,The new dictionary of pastoral studies
Q116502439,MP7ZTH4K,"McClure, John S.",1995,"McClure, John S.",0-664-21942-X,,,,,1995,5/12/14 14:54,11/20/14 21:35,,,,,,,,,,,,,Westminster John Knox Press,"Louisville, Ky",eng,,,,,Primo,BV4211.2 .C583 1995,,,,,,"Clergy; Preaching; Christian preaching; Homiletics; Speaking; Clergy Biography Dictionaries; Clergy Major orders; Clergy members; Clergymen; Indigenous clergy; Major orders; Members of the clergy; Ministers (Clergy); Ministers of the gospel; nne Native clergy; Ordained clergy; Ordained ministers; Orders, Major; Pastors; Preaching Encyclopedias; Rectors","Lischer, Richard; Willimon, William H.",,,,,,,,,,,,,,,,,,,1st ed.,,,,,,,,,,,,,,,,,,,,,,,,,,,encyclopediaArticle,Expository Preaching,Concise encyclopeida of preaching
